"ple0053","year","bildungsniveau","sex","n","percent","lower_confidence","upper_confidence"
"Nein","1999","AkademikerIn","maennlich","976","0.904893567325629","0.887373170602216","0.922413964049043"
"Nein","1999","AkademikerIn","weiblich","760","0.853805279873245","0.830462529963046","0.877148029783444"
"Ja","2000","(noch) kein Abschluss","maennlich","32","0.0732215047489336","0.0482487041791875","0.0981943053186797"
"Ja","2000","(noch) kein Abschluss","weiblich","43","0.0987504983625372","0.0725490326512575","0.124951964073817"
"Ja","2000","Hauptschule","maennlich","629","0.128516467280888","0.119362974377966","0.13766996018381"
"Ja","2000","Hauptschule","weiblich","841","0.155428821688925","0.145871787863907","0.164985855513942"
"Ja","2000","Realschule","maennlich","233","0.0846531009633349","0.0741746369718513","0.0951315649548185"
"Ja","2000","Realschule","weiblich","450","0.124729495212816","0.113883384002831","0.1355756064228"
"Ja","2000","(Fach-)Abitur","maennlich","95","0.0875006334337803","0.0709149817063636","0.104086285161197"
"Ja","2000","(Fach-)Abitur","weiblich","141","0.111152361267079","0.0936079192381607","0.128696803295996"
"Ja","2000","AkademikerIn","maennlich","199","0.0928407693841409","0.0805908046003226","0.105090734167959"
"Ja","2000","AkademikerIn","weiblich","182","0.109929587511141","0.0948639537312014","0.12499522129108"
"Nein","2000","(noch) kein Abschluss","maennlich","386","0.926778495251066","0.90180569468132","0.951751295820812"
"Nein","2000","(noch) kein Abschluss","weiblich","455","0.901249501637463","0.875048035926183","0.927450967348742"
"Nein","2000","Hauptschule","maennlich","4506","0.871483532719112","0.86233003981619","0.880637025622034"
"Nein","2000","Hauptschule","weiblich","4680","0.844571178311075","0.835014144486058","0.854128212136093"
"Nein","2000","Realschule","maennlich","2478","0.915346899036665","0.904868435045181","0.925825363028149"
"Nein","2000","Realschule","weiblich","3115","0.875270504787184","0.8644243935772","0.886116615997169"
"Nein","2000","(Fach-)Abitur","maennlich","1020","0.91249936656622","0.895913714838803","0.929085018293636"
"Nein","2000","(Fach-)Abitur","weiblich","1092","0.888847638732921","0.871303196704004","0.906392080761839"
"Nein","2000","AkademikerIn","maennlich","1957","0.907159230615859","0.894909265832041","0.919409195399677"
"Nein","2000","AkademikerIn","weiblich","1474","0.890070412488859","0.87500477870892","0.905136046268799"
"Ja","2001","(noch) kein Abschluss","maennlich","25","","",""
"Ja","2001","(noch) kein Abschluss","weiblich","34","0.0723018033531814","0.048736826270621","0.0958667804357418"
"Ja","2001","Hauptschule","maennlich","580","0.133925174676714","0.124008641295979","0.143841708057448"
"Ja","2001","Hauptschule","weiblich","752","0.16128122645954","0.150915373699061","0.171647079220019"
"Ja","2001","Realschule","maennlich","202","0.0817161990907232","0.0709588870193198","0.0924735111621265"
"Ja","2001","Realschule","weiblich","418","0.128257438474728","0.116798530672699","0.139716346276758"
"Ja","2001","(Fach-)Abitur","maennlich","87","0.0835285950451895","0.0666644290074962","0.100392761082883"
"Ja","2001","(Fach-)Abitur","weiblich","151","0.129968316862935","0.110781922412716","0.149154711313154"
"Ja","2001","AkademikerIn","maennlich","181","0.0943207408109497","0.0814761133687558","0.107165368253144"
"Ja","2001","AkademikerIn","weiblich","179","0.120357579937816","0.104143483944781","0.136571675930851"
"Nein","2001","(noch) kein Abschluss","maennlich","377","0.945209548129542","0.922963567455565","0.96745552880352"
"Nein","2001","(noch) kein Abschluss","weiblich","430","0.927698196646819","0.904133219564258","0.951263173729379"
"Nein","2001","Hauptschule","maennlich","3951","0.866074825323286","0.856158291942552","0.875991358704021"
"Nein","2001","Hauptschule","weiblich","4084","0.83871877354046","0.828352920779981","0.849084626300939"
"Nein","2001","Realschule","maennlich","2289","0.918283800909277","0.907526488837874","0.92904111298068"
"Nein","2001","Realschule","weiblich","2853","0.871742561525272","0.860283653723242","0.883201469327301"
"Nein","2001","(Fach-)Abitur","maennlich","947","0.916471404954811","0.899607238917117","0.933335570992504"
"Nein","2001","(Fach-)Abitur","weiblich","1029","0.870031683137065","0.850845288686846","0.889218077587284"
"Nein","2001","AkademikerIn","maennlich","1808","0.90567925918905","0.892834631746856","0.918523886631244"
"Nein","2001","AkademikerIn","weiblich","1368","0.879642420062184","0.863428324069149","0.895856516055219"
"Ja","2002","(noch) kein Abschluss","maennlich","38","0.100737592355497","0.072156271570311","0.129318913140684"
"Ja","2002","(noch) kein Abschluss","weiblich","37","0.0997523210955778","0.0729439774177567","0.126560664773399"
"Ja","2002","Hauptschule","maennlich","547","0.127580666248932","0.117597357132024","0.137563975365839"
"Ja","2002","Hauptschule","weiblich","704","0.158975331559795","0.148422410762475","0.169528252357116"
"Ja","2002","Realschule","maennlich","247","0.100899736238454","0.0892276926976223","0.112571779779286"
"Ja","2002","Realschule","weiblich","394","0.124333978322751","0.113277018843419","0.135390937802082"
"Ja","2002","(Fach-)Abitur","maennlich","102","0.0960133855333992","0.0789265385280565","0.113100232538742"
"Ja","2002","(Fach-)Abitur","weiblich","145","0.11454029389455","0.0972881998959168","0.131792387893184"
"Ja","2002","AkademikerIn","maennlich","260","0.104066769789659","0.092318517357122","0.115815022222197"
"Ja","2002","AkademikerIn","weiblich","213","0.118368131106453","0.10404104058161","0.132695221631296"
"Nein","2002","(noch) kein Abschluss","maennlich","388","0.899262407644503","0.870681086859317","0.927843728429689"
"Nein","2002","(noch) kein Abschluss","weiblich","443","0.900247678904422","0.873439335226601","0.927056022582243"
"Nein","2002","Hauptschule","maennlich","3743","0.872419333751068","0.862436024634161","0.882402642867976"
"Nein","2002","Hauptschule","weiblich","3908","0.841024668440205","0.830471747642884","0.851577589237525"
"Nein","2002","Realschule","maennlich","2311","0.899100263761546","0.887428220220714","0.910772307302378"
"Nein","2002","Realschule","weiblich","3027","0.875666021677249","0.864609062197918","0.886722981156581"
"Nein","2002","(Fach-)Abitur","maennlich","1040","0.903986614466601","0.886899767461258","0.921073461471943"
"Nein","2002","(Fach-)Abitur","weiblich","1164","0.88545970610545","0.868207612106816","0.902711800104083"
"Nein","2002","AkademikerIn","maennlich","2335","0.895933230210341","0.884184977777803","0.907681482642878"
"Nein","2002","AkademikerIn","weiblich","1740","0.881631868893547","0.867304778368704","0.89595895941839"
