"m11104","year","bildungsniveau","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","1995","Realschule","Bremen","7","0.569089691498525","0.340321499574667","0.797857883422382"
"Fast nie oder nie","1995","Realschule","Nordrhein-Westfalen","120","","",""
"Fast nie oder nie","1995","Realschule","Hessen","43","0.280588138004412","0.210309762274402","0.350866513734422"
"Fast nie oder nie","1995","Realschule","Rheinland-Pfalz,Saarland","31","0.347123302626418","0.256497341197739","0.437749264055097"
"Fast nie oder nie","1995","Realschule","Baden-Wuerttemberg","40","0.166681623983703","0.121894145380697","0.211469102586709"
"Fast nie oder nie","1995","Realschule","Bayern","83","0.305253020164706","0.255186232323434","0.355319808005979"
"Fast nie oder nie","1995","Realschule","Saarland","","","",""
"Fast nie oder nie","1995","Realschule","Berlin","49","0.320064468236429","0.247780714089814","0.392348222383044"
"Fast nie oder nie","1995","Realschule","Brandenburg","89","0.453871384238501","0.386694364777059","0.521048403699943"
"Fast nie oder nie","1995","Realschule","Mecklenburg-Vorpommern","53","0.285306094263228","0.216195960960286","0.354416227566169"
"Fast nie oder nie","1995","Realschule","Sachsen","161","","",""
"Fast nie oder nie","1995","Realschule","Sachsen-Anhalt","76","0.356150843364463","0.294926629974412","0.417375056754513"
"Fast nie oder nie","1995","Realschule","Thueringen","81","0.357858164172793","0.297832635148448","0.417883693197139"
"Fast nie oder nie","1995","(Fach-)Abitur","Schleswig-Holstein","7","0.164194038405238","0.021799660820254","0.306588415990222"
"Fast nie oder nie","1995","(Fach-)Abitur","Hamburg","5","0.128536754473957","-0.0467795371699588","0.303853046117874"
"Fast nie oder nie","1995","(Fach-)Abitur","Niedersachsen","34","0.290693871273572","0.206220194878503","0.37516754766864"
"Fast nie oder nie","1995","(Fach-)Abitur","Bremen","4","0.500022961929396","0.190125446103902","0.80992047775489"
"Fast nie oder nie","1995","(Fach-)Abitur","Nordrhein-Westfalen","74","0.230766052395354","0.182106621121261","0.279425483669447"
"Fast nie oder nie","1995","(Fach-)Abitur","Hessen","24","","",""
"Fast nie oder nie","1995","(Fach-)Abitur","Rheinland-Pfalz,Saarland","18","","",""
"Fast nie oder nie","1995","(Fach-)Abitur","Baden-Wuerttemberg","43","0.208503008012908","0.143274754030625","0.27373126199519"
"Fast nie oder nie","1995","(Fach-)Abitur","Bayern","27","","",""
"Fast nie oder nie","1995","(Fach-)Abitur","Saarland","","","",""
"Fast nie oder nie","1995","(Fach-)Abitur","Berlin","14","","",""
"Fast nie oder nie","1995","(Fach-)Abitur","Brandenburg","4","0.135639076124187","-0.00429521336679883","0.275573365615173"
"Fast nie oder nie","1995","(Fach-)Abitur","Mecklenburg-Vorpommern","2","","",""
"Fast nie oder nie","1995","(Fach-)Abitur","Sachsen","13","","",""
"Fast nie oder nie","1995","(Fach-)Abitur","Sachsen-Anhalt","9","0.296146294722889","0.129979805444011","0.462312784001767"
"Fast nie oder nie","1995","(Fach-)Abitur","Thueringen","2","","",""
"Fast nie oder nie","1995","AkademikerIn","Schleswig-Holstein","6","0.261204088904104","0.0816743496393386","0.44073382816887"
"Fast nie oder nie","1995","AkademikerIn","Hamburg","1","","",""
"Fast nie oder nie","1995","AkademikerIn","Niedersachsen","15","","",""
"Fast nie oder nie","1995","AkademikerIn","Bremen","1","","",""
"Fast nie oder nie","1995","AkademikerIn","Nordrhein-Westfalen","61","0.237497204962325","0.186357614691963","0.288636795232686"
"Fast nie oder nie","1995","AkademikerIn","Hessen","28","","",""
"Fast nie oder nie","1995","AkademikerIn","Rheinland-Pfalz,Saarland","16","","",""
"Fast nie oder nie","1995","AkademikerIn","Baden-Wuerttemberg","31","0.269119945118117","0.192586857636512","0.345653032599721"
"Fast nie oder nie","1995","AkademikerIn","Bayern","37","0.19997062792137","0.140195579215553","0.259745676627187"
"Fast nie oder nie","1995","AkademikerIn","Saarland","","","",""
"Fast nie oder nie","1995","AkademikerIn","Berlin","41","0.288803109822354","0.214780788193853","0.362825431450855"
"Fast nie oder nie","1995","AkademikerIn","Brandenburg","56","0.420684093644157","0.338909226836843","0.502458960451471"
"Fast nie oder nie","1995","AkademikerIn","Mecklenburg-Vorpommern","31","0.356511673752925","0.257557515199763","0.455465832306088"
"Fast nie oder nie","1995","AkademikerIn","Sachsen","62","0.302880568053291","0.243879560183742","0.361881575922839"
"Fast nie oder nie","1995","AkademikerIn","Sachsen-Anhalt","66","0.52168900716037","0.44201426967142","0.601363744649321"
"Fast nie oder nie","1995","AkademikerIn","Thueringen","37","0.32045656228058","0.235899797848837","0.405013326712322"
"Mehrmals im Jahr","1995","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"Mehrmals im Jahr","1995","(noch) kein Abschluss","Hamburg","","","",""
"Mehrmals im Jahr","1995","(noch) kein Abschluss","Niedersachsen","2","","",""
"Mehrmals im Jahr","1995","(noch) kein Abschluss","Bremen","","","",""
"Mehrmals im Jahr","1995","(noch) kein Abschluss","Nordrhein-Westfalen","18","","",""
"Mehrmals im Jahr","1995","(noch) kein Abschluss","Hessen","3","","",""
"Mehrmals im Jahr","1995","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","3","","",""
"Mehrmals im Jahr","1995","(noch) kein Abschluss","Baden-Wuerttemberg","34","0.159920258443091","0.110697008239083","0.209143508647099"
"Mehrmals im Jahr","1995","(noch) kein Abschluss","Bayern","18","","",""
"Mehrmals im Jahr","1995","(noch) kein Abschluss","Saarland","","","",""
"Mehrmals im Jahr","1995","(noch) kein Abschluss","Berlin","2","","",""
"Mehrmals im Jahr","1995","(noch) kein Abschluss","Brandenburg","5","0.26431394351987","0.0800488591982948","0.448579027841446"
"Mehrmals im Jahr","1995","(noch) kein Abschluss","Mecklenburg-Vorpommern","2","","",""
"Mehrmals im Jahr","1995","(noch) kein Abschluss","Sachsen","4","0.138126909381225","0.0204064551932673","0.255847363569183"
"Mehrmals im Jahr","1995","(noch) kein Abschluss","Sachsen-Anhalt","7","0.46990824975721","0.245492492194046","0.694324007320374"
"Mehrmals im Jahr","1995","(noch) kein Abschluss","Thueringen","3","","",""
"Mehrmals im Jahr","1995","Hauptschule","Schleswig-Holstein","31","0.246762948050684","0.175347874849234","0.318178021252133"
"Mehrmals im Jahr","1995","Hauptschule","Hamburg","6","0.140468389332162","0.057266935014528","0.223669843649796"
"Mehrmals im Jahr","1995","Hauptschule","Niedersachsen","95","0.192680380641239","0.158484078775392","0.226876682507085"
"Mehrmals im Jahr","1995","Hauptschule","Bremen","12","","",""
"Mehrmals im Jahr","1995","Hauptschule","Nordrhein-Westfalen","218","","",""
"Mehrmals im Jahr","1995","Hauptschule","Hessen","88","0.208510000356923","0.1716652336301","0.245354767083746"
"Mehrmals im Jahr","1995","Hauptschule","Rheinland-Pfalz,Saarland","70","0.150709181802789","0.117127463298971","0.184290900306606"
"Mehrmals im Jahr","1995","Hauptschule","Baden-Wuerttemberg","167","","",""
"Mehrmals im Jahr","1995","Hauptschule","Bayern","190","","",""
"Mehrmals im Jahr","1995","Hauptschule","Saarland","","","",""
"Mehrmals im Jahr","1995","Hauptschule","Berlin","29","","",""
"Mehrmals im Jahr","1995","Hauptschule","Brandenburg","37","0.180879042034525","0.124647501458505","0.237110582610544"
"Mehrmals im Jahr","1995","Hauptschule","Mecklenburg-Vorpommern","23","","",""
"Mehrmals im Jahr","1995","Hauptschule","Sachsen","71","0.182279854609937","0.142994306067552","0.221565403152322"
"Mehrmals im Jahr","1995","Hauptschule","Sachsen-Anhalt","35","0.107907060491814","0.0690567019713293","0.1467574190123"
"Mehrmals im Jahr","1995","Hauptschule","Thueringen","33","0.106413438406333","0.0677215674705081","0.145105309342159"
"Mehrmals im Jahr","1995","Realschule","Schleswig-Holstein","20","","",""
"Mehrmals im Jahr","1995","Realschule","Hamburg","5","0.226959602412907","0.0627670467859771","0.391152158039837"
"Mehrmals im Jahr","1995","Realschule","Niedersachsen","46","0.166638051526089","0.119294205521003","0.213981897531176"
"Mehrmals im Jahr","1995","Realschule","Bremen","6","0.214867771676441","0.0251234094426439","0.404612133910238"
"Mehrmals im Jahr","1995","Realschule","Nordrhein-Westfalen","136","","",""
"Mehrmals im Jahr","1995","Realschule","Hessen","39","0.260296610183357","0.191659130926304","0.32893408944041"
"Mehrmals im Jahr","1995","Realschule","Rheinland-Pfalz,Saarland","32","0.276488714437559","0.191344230436982","0.361633198438136"
"Mehrmals im Jahr","1995","Realschule","Baden-Wuerttemberg","77","0.30571747882477","0.250352450894386","0.361082506755155"
"Mehrmals im Jahr","1995","Realschule","Bayern","77","0.230858663728946","0.185046313148435","0.276671014309457"
"Mehrmals im Jahr","1995","Realschule","Saarland","","","",""
"Mehrmals im Jahr","1995","Realschule","Berlin","52","0.335222468598525","0.262076090613844","0.408368846583205"
"Mehrmals im Jahr","1995","Realschule","Brandenburg","76","0.328593045306328","0.265216441197372","0.391969649415283"
"Mehrmals im Jahr","1995","Realschule","Mecklenburg-Vorpommern","63","0.364770457846268","0.291098647866912","0.438442267825624"
"Mehrmals im Jahr","1995","Realschule","Sachsen","110","","",""
"Mehrmals im Jahr","1995","Realschule","Sachsen-Anhalt","91","0.376601261066101","0.314651732670964","0.438550789461239"
"Mehrmals im Jahr","1995","Realschule","Thueringen","84","0.280816410448793","0.224543914939653","0.337088905957932"
"Mehrmals im Jahr","1995","(Fach-)Abitur","Schleswig-Holstein","1","","",""
"Mehrmals im Jahr","1995","(Fach-)Abitur","Hamburg","4","0.477872494763511","0.216217893485087","0.739527096041934"
"Mehrmals im Jahr","1995","(Fach-)Abitur","Niedersachsen","28","","",""
"Mehrmals im Jahr","1995","(Fach-)Abitur","Bremen","1","","",""
"Mehrmals im Jahr","1995","(Fach-)Abitur","Nordrhein-Westfalen","67","0.20120753563653","0.154906474147215","0.247508597125846"
"Mehrmals im Jahr","1995","(Fach-)Abitur","Hessen","19","","",""
"Mehrmals im Jahr","1995","(Fach-)Abitur","Rheinland-Pfalz,Saarland","12","","",""
"Mehrmals im Jahr","1995","(Fach-)Abitur","Baden-Wuerttemberg","31","0.217610717630216","0.151357565784101","0.283863869476331"
"Mehrmals im Jahr","1995","(Fach-)Abitur","Bayern","31","0.258788345111275","0.184633562116514","0.332943128106036"
"Mehrmals im Jahr","1995","(Fach-)Abitur","Saarland","","","",""
"Mehrmals im Jahr","1995","(Fach-)Abitur","Berlin","13","","",""
"Mehrmals im Jahr","1995","(Fach-)Abitur","Brandenburg","4","0.113158577256056","-0.0163059820185826","0.242623136530695"
"Mehrmals im Jahr","1995","(Fach-)Abitur","Mecklenburg-Vorpommern","6","0.313812112199374","0.0789792689152411","0.548644955483508"
"Mehrmals im Jahr","1995","(Fach-)Abitur","Sachsen","17","","",""
"Mehrmals im Jahr","1995","(Fach-)Abitur","Sachsen-Anhalt","6","0.205399041057529","0.0583633251889091","0.352434756926149"
"Mehrmals im Jahr","1995","(Fach-)Abitur","Thueringen","8","0.486188922550783","0.272420917148627","0.699956927952939"
"Mehrmals im Jahr","1995","AkademikerIn","Schleswig-Holstein","6","0.313218439319169","0.12367133821309","0.502765540425249"
"Mehrmals im Jahr","1995","AkademikerIn","Hamburg","2","","",""
"Mehrmals im Jahr","1995","AkademikerIn","Niedersachsen","24","","",""
"Mehrmals im Jahr","1995","AkademikerIn","Bremen","","","",""
"Mehrmals im Jahr","1995","AkademikerIn","Nordrhein-Westfalen","61","0.193009398467073","0.145581843098535","0.24043695383561"
"Mehrmals im Jahr","1995","AkademikerIn","Hessen","29","","",""
"Mehrmals im Jahr","1995","AkademikerIn","Rheinland-Pfalz,Saarland","10","","",""
"Mehrmals im Jahr","1995","AkademikerIn","Baden-Wuerttemberg","25","","",""
"Mehrmals im Jahr","1995","AkademikerIn","Bayern","37","0.231586017749586","0.168542902660175","0.294629132838998"
"Mehrmals im Jahr","1995","AkademikerIn","Saarland","","","",""
"Mehrmals im Jahr","1995","AkademikerIn","Berlin","45","0.289304862809495","0.215244406473275","0.363365319145714"
"Mehrmals im Jahr","1995","AkademikerIn","Brandenburg","44","0.285008674596148","0.210232456077512","0.359784893114784"
"Mehrmals im Jahr","1995","AkademikerIn","Mecklenburg-Vorpommern","32","0.396443060796193","0.295383741118278","0.497502380474108"
"Mehrmals im Jahr","1995","AkademikerIn","Sachsen","80","0.305049269951611","0.245929581978656","0.364168957924567"
"Mehrmals im Jahr","1995","AkademikerIn","Sachsen-Anhalt","43","0.241243933263424","0.173003950891688","0.30948391563516"
"Mehrmals im Jahr","1995","AkademikerIn","Thueringen","46","0.373706112335098","0.286044521573682","0.461367703096513"
"Mindestens einmal im Monat","1995","(noch) kein Abschluss","Schleswig-Holstein","1","","",""
"Mindestens einmal im Monat","1995","(noch) kein Abschluss","Hamburg","","","",""
"Mindestens einmal im Monat","1995","(noch) kein Abschluss","Niedersachsen","1","","",""
"Mindestens einmal im Monat","1995","(noch) kein Abschluss","Bremen","","","",""
"Mindestens einmal im Monat","1995","(noch) kein Abschluss","Nordrhein-Westfalen","9","0.0480589923113899","0.0196659328279162","0.0764520517948636"
"Mindestens einmal im Monat","1995","(noch) kein Abschluss","Hessen","3","","",""
"Mindestens einmal im Monat","1995","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","2","","",""
"Mindestens einmal im Monat","1995","(noch) kein Abschluss","Baden-Wuerttemberg","3","","",""
"Mindestens einmal im Monat","1995","(noch) kein Abschluss","Bayern","6","0.0821679476507789","0.0293885716776413","0.134947323623916"
"Mindestens einmal im Monat","1995","(noch) kein Abschluss","Saarland","","","",""
"Mindestens einmal im Monat","1995","(noch) kein Abschluss","Berlin","1","","",""
"Mindestens einmal im Monat","1995","(noch) kein Abschluss","Brandenburg","2","","",""
"Mindestens einmal im Monat","1995","(noch) kein Abschluss","Mecklenburg-Vorpommern","3","","",""
"Mindestens einmal im Monat","1995","(noch) kein Abschluss","Sachsen","1","","",""
"Mindestens einmal im Monat","1995","(noch) kein Abschluss","Sachsen-Anhalt","2","","",""
"Mindestens einmal im Monat","1995","(noch) kein Abschluss","Thueringen","1","","",""
"Mindestens einmal im Monat","1995","Hauptschule","Schleswig-Holstein","8","0.0600037240209523","0.0206635531278097","0.0993438949140949"
"Mindestens einmal im Monat","1995","Hauptschule","Hamburg","5","0.08952953175707","0.0211656399663314","0.157893423547809"
"Mindestens einmal im Monat","1995","Hauptschule","Niedersachsen","43","0.0781803995026197","0.0549043349626064","0.101456464042633"
"Mindestens einmal im Monat","1995","Hauptschule","Bremen","3","","",""
"Mindestens einmal im Monat","1995","Hauptschule","Nordrhein-Westfalen","86","0.0639936391382766","0.0503494836588925","0.0776377946176607"
"Mindestens einmal im Monat","1995","Hauptschule","Hessen","19","","",""
"Mindestens einmal im Monat","1995","Hauptschule","Rheinland-Pfalz,Saarland","26","","",""
"Mindestens einmal im Monat","1995","Hauptschule","Baden-Wuerttemberg","68","0.0670390341054433","0.0511609809416243","0.0829170872692624"
"Mindestens einmal im Monat","1995","Hauptschule","Bayern","64","0.0635480182123555","0.0474760073272267","0.0796200290974844"
"Mindestens einmal im Monat","1995","Hauptschule","Saarland","","","",""
"Mindestens einmal im Monat","1995","Hauptschule","Berlin","10","","",""
"Mindestens einmal im Monat","1995","Hauptschule","Brandenburg","6","0.0216370604367122","0.000382067539924057","0.0428920533335002"
"Mindestens einmal im Monat","1995","Hauptschule","Mecklenburg-Vorpommern","3","","",""
"Mindestens einmal im Monat","1995","Hauptschule","Sachsen","13","","",""
"Mindestens einmal im Monat","1995","Hauptschule","Sachsen-Anhalt","3","","",""
"Mindestens einmal im Monat","1995","Hauptschule","Thueringen","1","","",""
"Mindestens einmal im Monat","1995","Realschule","Schleswig-Holstein","4","0.057842952784023","0.00465428544590083","0.111031620122145"
"Mindestens einmal im Monat","1995","Realschule","Hamburg","","","",""
"Mindestens einmal im Monat","1995","Realschule","Niedersachsen","17","","",""
"Mindestens einmal im Monat","1995","Realschule","Bremen","","","",""
"Mindestens einmal im Monat","1995","Realschule","Nordrhein-Westfalen","40","0.0876213696880135","0.0621137658710885","0.113128973504939"
"Mindestens einmal im Monat","1995","Realschule","Hessen","13","","",""
"Mindestens einmal im Monat","1995","Realschule","Rheinland-Pfalz,Saarland","9","0.0792813820182469","0.0278481013065667","0.130714662729927"
"Mindestens einmal im Monat","1995","Realschule","Baden-Wuerttemberg","26","","",""
"Mindestens einmal im Monat","1995","Realschule","Bayern","37","0.0857556596138098","0.0553139564615227","0.116197362766097"
"Mindestens einmal im Monat","1995","Realschule","Saarland","","","",""
"Mindestens einmal im Monat","1995","Realschule","Berlin","18","","",""
"Mindestens einmal im Monat","1995","Realschule","Brandenburg","15","","",""
"Mindestens einmal im Monat","1995","Realschule","Mecklenburg-Vorpommern","11","","",""
"Mindestens einmal im Monat","1995","Realschule","Sachsen","37","0.0958170514523145","0.0668269286151742","0.124807174289455"
"Mindestens einmal im Monat","1995","Realschule","Sachsen-Anhalt","21","","",""
"Mindestens einmal im Monat","1995","Realschule","Thueringen","17","","",""
"Mindestens einmal im Monat","1995","(Fach-)Abitur","Schleswig-Holstein","2","","",""
"Mindestens einmal im Monat","1995","(Fach-)Abitur","Hamburg","1","","",""
"Mindestens einmal im Monat","1995","(Fach-)Abitur","Niedersachsen","10","","",""
"Mindestens einmal im Monat","1995","(Fach-)Abitur","Bremen","3","","",""
"Mindestens einmal im Monat","1995","(Fach-)Abitur","Nordrhein-Westfalen","25","","",""
"Mindestens einmal im Monat","1995","(Fach-)Abitur","Hessen","5","0.0754282724145945","0.0182700716166255","0.132586473212564"
"Mindestens einmal im Monat","1995","(Fach-)Abitur","Rheinland-Pfalz,Saarland","8","0.235075277785273","0.12197490436404","0.348175651206506"
"Mindestens einmal im Monat","1995","(Fach-)Abitur","Baden-Wuerttemberg","15","","",""
"Mindestens einmal im Monat","1995","(Fach-)Abitur","Bayern","19","","",""
"Mindestens einmal im Monat","1995","(Fach-)Abitur","Saarland","","","",""
"Mindestens einmal im Monat","1995","(Fach-)Abitur","Berlin","4","0.0573847626702502","-0.00841025307174478","0.123179778412245"
"Mindestens einmal im Monat","1995","(Fach-)Abitur","Brandenburg","2","","",""
"Mindestens einmal im Monat","1995","(Fach-)Abitur","Mecklenburg-Vorpommern","1","","",""
"Mindestens einmal im Monat","1995","(Fach-)Abitur","Sachsen","2","","",""
"Mindestens einmal im Monat","1995","(Fach-)Abitur","Sachsen-Anhalt","2","","",""
"Mindestens einmal im Monat","1995","(Fach-)Abitur","Thueringen","4","0.153121159058672","-0.000895141926282705","0.307137460043627"
"Mindestens einmal im Monat","1995","AkademikerIn","Schleswig-Holstein","3","","",""
"Mindestens einmal im Monat","1995","AkademikerIn","Hamburg","4","0.294974976586439","0.0641954304102633","0.525754522762614"
"Mindestens einmal im Monat","1995","AkademikerIn","Niedersachsen","10","","",""
"Mindestens einmal im Monat","1995","AkademikerIn","Bremen","","","",""
"Mindestens einmal im Monat","1995","AkademikerIn","Nordrhein-Westfalen","18","","",""
"Mindestens einmal im Monat","1995","AkademikerIn","Hessen","12","","",""
"Mindestens einmal im Monat","1995","AkademikerIn","Rheinland-Pfalz,Saarland","3","","",""
"Mindestens einmal im Monat","1995","AkademikerIn","Baden-Wuerttemberg","16","","",""
"Mindestens einmal im Monat","1995","AkademikerIn","Bayern","24","","",""
"Mindestens einmal im Monat","1995","AkademikerIn","Saarland","","","",""
"Mindestens einmal im Monat","1995","AkademikerIn","Berlin","15","","",""
"Mindestens einmal im Monat","1995","AkademikerIn","Brandenburg","10","","",""
"Mindestens einmal im Monat","1995","AkademikerIn","Mecklenburg-Vorpommern","6","0.0595411386556775","0.0106527970176978","0.108429480293657"
"Mindestens einmal im Monat","1995","AkademikerIn","Sachsen","23","","",""
"Mindestens einmal im Monat","1995","AkademikerIn","Sachsen-Anhalt","7","0.0315242583290369","0.00365493463898479","0.059393582019089"
"Mindestens einmal im Monat","1995","AkademikerIn","Thueringen","11","","",""
"Mindestens einmal die Woche","1995","(noch) kein Abschluss","Schleswig-Holstein","8","0.68427642984215","0.440801995152803","0.927750864531497"
"Mindestens einmal die Woche","1995","(noch) kein Abschluss","Hamburg","1","","",""
"Mindestens einmal die Woche","1995","(noch) kein Abschluss","Niedersachsen","16","","",""
"Mindestens einmal die Woche","1995","(noch) kein Abschluss","Bremen","1","","",""
"Mindestens einmal die Woche","1995","(noch) kein Abschluss","Nordrhein-Westfalen","52","0.367477610629095","0.303478603335053","0.431476617923137"
"Mindestens einmal die Woche","1995","(noch) kein Abschluss","Hessen","21","","",""
"Mindestens einmal die Woche","1995","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","6","0.143557951558044","0.0411097234972802","0.246006179618808"
"Mindestens einmal die Woche","1995","(noch) kein Abschluss","Baden-Wuerttemberg","37","0.312008746542173","0.249788298771526","0.374229194312821"
"Mindestens einmal die Woche","1995","(noch) kein Abschluss","Bayern","28","","",""
"Mindestens einmal die Woche","1995","(noch) kein Abschluss","Saarland","","","",""
"Mindestens einmal die Woche","1995","(noch) kein Abschluss","Berlin","12","","",""
"Mindestens einmal die Woche","1995","(noch) kein Abschluss","Brandenburg","12","","",""
"Mindestens einmal die Woche","1995","(noch) kein Abschluss","Mecklenburg-Vorpommern","12","","",""
"Mindestens einmal die Woche","1995","(noch) kein Abschluss","Sachsen","22","","",""
"Mindestens einmal die Woche","1995","(noch) kein Abschluss","Sachsen-Anhalt","6","0.28041102764444","0.0784297641308341","0.482392291158045"
"Mindestens einmal die Woche","1995","(noch) kein Abschluss","Thueringen","6","0.314051065573167","0.0709257951498517","0.557176335996482"
"Mindestens einmal die Woche","1995","Hauptschule","Schleswig-Holstein","35","0.231044317874353","0.161223911121945","0.300864724626762"
"Mindestens einmal die Woche","1995","Hauptschule","Hamburg","17","","",""
"Mindestens einmal die Woche","1995","Hauptschule","Niedersachsen","108","","",""
"Mindestens einmal die Woche","1995","Hauptschule","Bremen","14","","",""
"Mindestens einmal die Woche","1995","Hauptschule","Nordrhein-Westfalen","261","","",""
"Mindestens einmal die Woche","1995","Hauptschule","Hessen","82","0.18397369968654","0.148832255954256","0.219115143418823"
"Mindestens einmal die Woche","1995","Hauptschule","Rheinland-Pfalz,Saarland","77","0.166318705651645","0.131366432701185","0.201270978602104"
"Mindestens einmal die Woche","1995","Hauptschule","Baden-Wuerttemberg","199","","",""
"Mindestens einmal die Woche","1995","Hauptschule","Bayern","205","","",""
"Mindestens einmal die Woche","1995","Hauptschule","Saarland","","","",""
"Mindestens einmal die Woche","1995","Hauptschule","Berlin","26","","",""
"Mindestens einmal die Woche","1995","Hauptschule","Brandenburg","14","","",""
"Mindestens einmal die Woche","1995","Hauptschule","Mecklenburg-Vorpommern","9","0.0718358836780659","0.0254423218201531","0.118229445535979"
"Mindestens einmal die Woche","1995","Hauptschule","Sachsen","23","","",""
"Mindestens einmal die Woche","1995","Hauptschule","Sachsen-Anhalt","20","","",""
"Mindestens einmal die Woche","1995","Hauptschule","Thueringen","22","","",""
"Mindestens einmal die Woche","1995","Realschule","Schleswig-Holstein","25","","",""
"Mindestens einmal die Woche","1995","Realschule","Hamburg","11","","",""
"Mindestens einmal die Woche","1995","Realschule","Niedersachsen","114","","",""
"Mindestens einmal die Woche","1995","Realschule","Bremen","5","0.216042536825034","0.0259225734178294","0.406162500232239"
"Mindestens einmal die Woche","1995","Realschule","Nordrhein-Westfalen","176","","",""
"Mindestens einmal die Woche","1995","Realschule","Hessen","62","0.396422150737296","0.31990762897711","0.472936672497482"
"Mindestens einmal die Woche","1995","Realschule","Rheinland-Pfalz,Saarland","34","0.297106600917776","0.210111250618544","0.384101951217007"
"Mindestens einmal die Woche","1995","Realschule","Baden-Wuerttemberg","123","","",""
"Mindestens einmal die Woche","1995","Realschule","Bayern","128","","",""
"Mindestens einmal die Woche","1995","Realschule","Saarland","","","",""
"Mindestens einmal die Woche","1995","Realschule","Berlin","41","0.235636083950111","0.169876495529259","0.301395672370963"
"Mindestens einmal die Woche","1995","Realschule","Brandenburg","31","0.152565404586245","0.104049069080731","0.201081740091759"
"Mindestens einmal die Woche","1995","Realschule","Mecklenburg-Vorpommern","37","0.246244388815203","0.180308082070732","0.312180695559673"
"Mindestens einmal die Woche","1995","Realschule","Sachsen","88","0.207618694665811","0.167670161588929","0.247567227742694"
"Mindestens einmal die Woche","1995","Realschule","Sachsen-Anhalt","47","0.196508738112473","0.145704999564625","0.247312476660322"
"Mindestens einmal die Woche","1995","Realschule","Thueringen","63","0.271252497679544","0.215580031335327","0.32692496402376"
"Mindestens einmal die Woche","1995","(Fach-)Abitur","Schleswig-Holstein","16","","",""
"Mindestens einmal die Woche","1995","(Fach-)Abitur","Hamburg","4","0.247384061651225","0.0213589790445959","0.473409144257854"
"Mindestens einmal die Woche","1995","(Fach-)Abitur","Niedersachsen","39","0.382538269580305","0.292125646573127","0.472950892587483"
"Mindestens einmal die Woche","1995","(Fach-)Abitur","Bremen","2","","",""
"Mindestens einmal die Woche","1995","(Fach-)Abitur","Nordrhein-Westfalen","122","","",""
"Mindestens einmal die Woche","1995","(Fach-)Abitur","Hessen","34","0.44711173762561","0.339497957887201","0.554725517364019"
"Mindestens einmal die Woche","1995","(Fach-)Abitur","Rheinland-Pfalz,Saarland","16","","",""
"Mindestens einmal die Woche","1995","(Fach-)Abitur","Baden-Wuerttemberg","60","0.497793920534082","0.417511449020661","0.578076392047503"
"Mindestens einmal die Woche","1995","(Fach-)Abitur","Bayern","57","0.419859972386097","0.336296910679938","0.503423034092256"
"Mindestens einmal die Woche","1995","(Fach-)Abitur","Saarland","","","",""
"Mindestens einmal die Woche","1995","(Fach-)Abitur","Berlin","17","","",""
"Mindestens einmal die Woche","1995","(Fach-)Abitur","Brandenburg","13","","",""
"Mindestens einmal die Woche","1995","(Fach-)Abitur","Mecklenburg-Vorpommern","6","0.348610560763784","0.107457328215165","0.589763793312402"
"Mindestens einmal die Woche","1995","(Fach-)Abitur","Sachsen","19","","",""
"Mindestens einmal die Woche","1995","(Fach-)Abitur","Sachsen-Anhalt","12","","",""
"Mindestens einmal die Woche","1995","(Fach-)Abitur","Thueringen","7","0.236942355190266","0.0550818186566194","0.418802891723912"
"Mindestens einmal die Woche","1995","AkademikerIn","Schleswig-Holstein","8","0.334735815561136","0.141880179198257","0.527591451924015"
"Mindestens einmal die Woche","1995","AkademikerIn","Hamburg","8","0.361683557425498","0.118527630386157","0.604839484464839"
"Mindestens einmal die Woche","1995","AkademikerIn","Niedersachsen","47","0.50015794840085","0.400138960133935","0.600176936667765"
"Mindestens einmal die Woche","1995","AkademikerIn","Bremen","4","0.842126009534856","0.522525897728478","1.16172612134123"
"Mindestens einmal die Woche","1995","AkademikerIn","Nordrhein-Westfalen","126","","",""
"Mindestens einmal die Woche","1995","AkademikerIn","Hessen","43","0.442543203335146","0.350557035866773","0.534529370803519"
"Mindestens einmal die Woche","1995","AkademikerIn","Rheinland-Pfalz,Saarland","22","","",""
"Mindestens einmal die Woche","1995","AkademikerIn","Baden-Wuerttemberg","57","0.440047665854172","0.354387556124364","0.525707775583979"
"Mindestens einmal die Woche","1995","AkademikerIn","Bayern","74","0.45976730958914","0.385286679462647","0.534247939715633"
"Mindestens einmal die Woche","1995","AkademikerIn","Saarland","","","",""
"Mindestens einmal die Woche","1995","AkademikerIn","Berlin","43","0.33783491826078","0.260584249031747","0.415085587489813"
"Mindestens einmal die Woche","1995","AkademikerIn","Brandenburg","30","0.226043241055279","0.156758406435831","0.295328075674726"
"Mindestens einmal die Woche","1995","AkademikerIn","Mecklenburg-Vorpommern","21","","",""
"Mindestens einmal die Woche","1995","AkademikerIn","Sachsen","68","0.299020576564513","0.240234658809403","0.357806494319623"
"Mindestens einmal die Woche","1995","AkademikerIn","Sachsen-Anhalt","35","0.205542801247169","0.141089375525388","0.26999622696895"
