"m11104","year","age_gr","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","1998","66 +","Staedtischer Raum","910","0.744290323573066","0.719759918500843","0.76882072864529"
"Fast nie oder nie","1998","66 +","Laendlicher Raum","470","0.748101904212895","0.713624682075617","0.782579126350173"
"Mehrmals im Jahr","1998","17-34","Staedtischer Raum","804","0.24208706903395","0.227245884795501","0.256928253272399"
"Mehrmals im Jahr","1998","17-34","Laendlicher Raum","472","0.281134559749876","0.259317208111432","0.30295191138832"
"Mehrmals im Jahr","1998","35-65","Staedtischer Raum","1006","","",""
"Mehrmals im Jahr","1998","35-65","Laendlicher Raum","744","0.273260100525464","0.256438560193112","0.290081640857817"
"Mehrmals im Jahr","1998","66 +","Staedtischer Raum","107","","",""
"Mehrmals im Jahr","1998","66 +","Laendlicher Raum","58","0.101481371175514","0.0774987774250211","0.125463964926007"
"Mindestens einmal im Monat","1998","17-34","Staedtischer Raum","352","0.114042128305584","0.103028959542232","0.125055297068936"
"Mindestens einmal im Monat","1998","17-34","Laendlicher Raum","172","","",""
"Mindestens einmal im Monat","1998","35-65","Staedtischer Raum","367","0.0859156286162748","0.077954514623586","0.0938767426089636"
"Mindestens einmal im Monat","1998","35-65","Laendlicher Raum","164","","",""
"Mindestens einmal im Monat","1998","66 +","Staedtischer Raum","30","0.022035962973339","0.0137815268453293","0.0302903991013486"
"Mindestens einmal im Monat","1998","66 +","Laendlicher Raum","17","","",""
"Mindestens einmal die Woche","1998","17-34","Staedtischer Raum","1254","","",""
"Mindestens einmal die Woche","1998","17-34","Laendlicher Raum","593","0.386204267489698","0.36257547235117","0.409833062628227"
"Mindestens einmal die Woche","1998","35-65","Staedtischer Raum","1260","","",""
"Mindestens einmal die Woche","1998","35-65","Laendlicher Raum","595","0.251605662600361","0.235225673854845","0.267985651345877"
"Mindestens einmal die Woche","1998","66 +","Staedtischer Raum","168","","",""
"Mindestens einmal die Woche","1998","66 +","Laendlicher Raum","64","0.122180945406548","0.0961707456712232","0.148191145141874"
"Fast nie oder nie","1999","17-34","Staedtischer Raum","868","0.266358673881761","0.250571807874236","0.282145539889287"
"Fast nie oder nie","1999","17-34","Laendlicher Raum","472","0.283773430086754","0.261394665265707","0.306152194907801"
"Fast nie oder nie","1999","35-65","Staedtischer Raum","2368","","",""
"Fast nie oder nie","1999","35-65","Laendlicher Raum","1412","","",""
"Fast nie oder nie","1999","66 +","Staedtischer Raum","943","0.813549262246065","0.791068687092709","0.836029837399421"
"Fast nie oder nie","1999","66 +","Laendlicher Raum","509","0.818842302277908","0.787973055636018","0.849711548919798"
"Mehrmals im Jahr","1999","17-34","Staedtischer Raum","775","0.243830322410621","0.228495664474592","0.259164980346649"
"Mehrmals im Jahr","1999","17-34","Laendlicher Raum","471","0.29791486317395","0.275212764422351","0.32061696192555"
"Mehrmals im Jahr","1999","35-65","Staedtischer Raum","887","0.197980595387213","0.186481594308402","0.209479596466024"
"Mehrmals im Jahr","1999","35-65","Laendlicher Raum","550","0.209280070931577","0.193646679778594","0.224913462084559"
"Mehrmals im Jahr","1999","66 +","Staedtischer Raum","67","0.0604903828091659","0.0467301044672295","0.0742506611511023"
"Mehrmals im Jahr","1999","66 +","Laendlicher Raum","25","","",""
"Mindestens einmal im Monat","1999","17-34","Staedtischer Raum","320","0.104831189739822","0.0938911642074397","0.115771215272203"
"Mindestens einmal im Monat","1999","17-34","Laendlicher Raum","146","","",""
"Mindestens einmal im Monat","1999","35-65","Staedtischer Raum","279","","",""
"Mindestens einmal im Monat","1999","35-65","Laendlicher Raum","138","","",""
"Mindestens einmal im Monat","1999","66 +","Staedtischer Raum","22","","",""
"Mindestens einmal im Monat","1999","66 +","Laendlicher Raum","14","","",""
"Mindestens einmal die Woche","1999","17-34","Staedtischer Raum","1049","","",""
"Mindestens einmal die Woche","1999","17-34","Laendlicher Raum","470","0.32652906435831","0.303251079337811","0.349807049378809"
"Mindestens einmal die Woche","1999","35-65","Staedtischer Raum","1079","","",""
"Mindestens einmal die Woche","1999","35-65","Laendlicher Raum","501","0.225105182673402","0.209054554278241","0.241155811068562"
"Mindestens einmal die Woche","1999","66 +","Staedtischer Raum","121","","",""
"Mindestens einmal die Woche","1999","66 +","Laendlicher Raum","50","0.0984442423286642","0.0745667367573098","0.122321747900019"
"Fast nie oder nie","2000","17-34","Staedtischer Raum","","","",""
"Fast nie oder nie","2000","17-34","Laendlicher Raum","","","",""
"Fast nie oder nie","2000","35-65","Staedtischer Raum","","","",""
"Fast nie oder nie","2000","35-65","Laendlicher Raum","","","",""
"Fast nie oder nie","2000","66 +","Staedtischer Raum","","","",""
"Fast nie oder nie","2000","66 +","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2000","17-34","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2000","17-34","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2000","35-65","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2000","35-65","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2000","66 +","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2000","66 +","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2000","17-34","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2000","17-34","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2000","35-65","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2000","35-65","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2000","66 +","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2000","66 +","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2000","17-34","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2000","17-34","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2000","35-65","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2000","35-65","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2000","66 +","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2000","66 +","Laendlicher Raum","","","",""
"Fast nie oder nie","2001","17-34","Staedtischer Raum","1256","","",""
"Fast nie oder nie","2001","17-34","Laendlicher Raum","701","0.324738983900504","0.304935846297541","0.344542121503468"
"Fast nie oder nie","2001","35-65","Staedtischer Raum","3850","0.470279657909158","0.459269312281007","0.481290003537309"
"Fast nie oder nie","2001","35-65","Laendlicher Raum","2356","","",""
"Fast nie oder nie","2001","66 +","Staedtischer Raum","1680","","",""
"Fast nie oder nie","2001","66 +","Laendlicher Raum","989","0.841131768081232","0.820221259701609","0.862042276460856"
"Mehrmals im Jahr","2001","17-34","Staedtischer Raum","881","0.214053173959216","0.201441228091574","0.226665119826858"
"Mehrmals im Jahr","2001","17-34","Laendlicher Raum","533","0.23501666945823","0.21708559673022","0.252947742186241"
"Mehrmals im Jahr","2001","35-65","Staedtischer Raum","1346","","",""
"Mehrmals im Jahr","2001","35-65","Laendlicher Raum","735","0.166855544746432","0.155665829134006","0.178045260358858"
"Mehrmals im Jahr","2001","66 +","Staedtischer Raum","126","","",""
"Mehrmals im Jahr","2001","66 +","Laendlicher Raum","54","0.0454879806908461","0.0335686169767041","0.0574073444049882"
"Mindestens einmal im Monat","2001","17-34","Staedtischer Raum","386","0.0972693441773314","0.0881578045320071","0.106380883822656"
"Mindestens einmal im Monat","2001","17-34","Laendlicher Raum","185","","",""
"Mindestens einmal im Monat","2001","35-65","Staedtischer Raum","497","0.0683198522257586","0.062754323739347","0.0738853807121703"
"Mindestens einmal im Monat","2001","35-65","Laendlicher Raum","213","","",""
"Mindestens einmal im Monat","2001","66 +","Staedtischer Raum","51","0.0218028083072962","0.0156695878249284","0.027936028789664"
"Mindestens einmal im Monat","2001","66 +","Laendlicher Raum","30","0.0256364423636765","0.016595713656077","0.034677171071276"
"Mindestens einmal die Woche","2001","17-34","Staedtischer Raum","1540","","",""
"Mindestens einmal die Woche","2001","17-34","Laendlicher Raum","729","0.35712181073713","0.336858822799368","0.377384798674891"
"Mindestens einmal die Woche","2001","35-65","Staedtischer Raum","2201","","",""
"Mindestens einmal die Woche","2001","35-65","Laendlicher Raum","961","0.241540702151372","0.228695235815298","0.254386168487445"
"Mindestens einmal die Woche","2001","66 +","Staedtischer Raum","321","0.143518330308897","0.12879412460095","0.158242536016845"
"Mindestens einmal die Woche","2001","66 +","Laendlicher Raum","101","","",""
"Fast nie oder nie","2002","17-34","Staedtischer Raum","","","",""
"Fast nie oder nie","2002","17-34","Laendlicher Raum","","","",""
"Fast nie oder nie","2002","35-65","Staedtischer Raum","","","",""
"Fast nie oder nie","2002","35-65","Laendlicher Raum","","","",""
"Fast nie oder nie","2002","66 +","Staedtischer Raum","","","",""
"Fast nie oder nie","2002","66 +","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2002","17-34","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2002","17-34","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2002","35-65","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2002","35-65","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2002","66 +","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2002","66 +","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2002","17-34","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2002","17-34","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2002","35-65","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2002","35-65","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2002","66 +","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2002","66 +","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2002","17-34","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2002","17-34","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2002","35-65","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2002","35-65","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2002","66 +","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2002","66 +","Laendlicher Raum","","","",""
"Fast nie oder nie","2003","17-34","Staedtischer Raum","886","0.230816077329943","0.217470003134527","0.244162151525359"
"Fast nie oder nie","2003","17-34","Laendlicher Raum","426","0.233038894190132","0.214417320860676","0.251660467519589"
"Fast nie oder nie","2003","35-65","Staedtischer Raum","2841","","",""
"Fast nie oder nie","2003","35-65","Laendlicher Raum","1564","","",""
"Fast nie oder nie","2003","66 +","Staedtischer Raum","1589","","",""
"Fast nie oder nie","2003","66 +","Laendlicher Raum","903","0.738224666604635","0.713825583786653","0.762623749422618"
"Mehrmals im Jahr","2003","17-34","Staedtischer Raum","794","0.211969722412608","0.199024373048806","0.224915071776409"
"Mehrmals im Jahr","2003","17-34","Laendlicher Raum","537","0.262779586723424","0.243392614655482","0.282166558791366"
"Mehrmals im Jahr","2003","35-65","Staedtischer Raum","1665","","",""
"Mehrmals im Jahr","2003","35-65","Laendlicher Raum","964","0.224172489289687","0.211570602319621","0.236774376259753"
"Mehrmals im Jahr","2003","66 +","Staedtischer Raum","203","","",""
"Mehrmals im Jahr","2003","66 +","Laendlicher Raum","104","","",""
"Mindestens einmal im Monat","2003","17-34","Staedtischer Raum","426","0.113811671086423","0.103752508657034","0.123870833515812"
"Mindestens einmal im Monat","2003","17-34","Laendlicher Raum","192","","",""
"Mindestens einmal im Monat","2003","35-65","Staedtischer Raum","675","0.080060729283619","0.0742512433011467","0.0858702152660913"
"Mindestens einmal im Monat","2003","35-65","Laendlicher Raum","314","0.0760902607876323","0.0680782570377936","0.084102264537471"
"Mindestens einmal im Monat","2003","66 +","Staedtischer Raum","70","0.0288046818263221","0.0220892970605559","0.0355200665920884"
"Mindestens einmal im Monat","2003","66 +","Laendlicher Raum","48","0.0396566357406004","0.0288251989831913","0.0504880724980095"
"Mindestens einmal die Woche","2003","17-34","Staedtischer Raum","1723","","",""
"Mindestens einmal die Woche","2003","17-34","Laendlicher Raum","825","0.419671376544448","0.397933998099164","0.441408754989731"
"Mindestens einmal die Woche","2003","35-65","Staedtischer Raum","3202","0.353997930213131","0.34376109590169","0.364234764524571"
"Mindestens einmal die Woche","2003","35-65","Laendlicher Raum","1365","","",""
"Mindestens einmal die Woche","2003","66 +","Staedtischer Raum","521","0.209194155297578","0.192863794562188","0.225524516032969"
"Mindestens einmal die Woche","2003","66 +","Laendlicher Raum","192","","",""
"Fast nie oder nie","2004","17-34","Staedtischer Raum","","","",""
"Fast nie oder nie","2004","17-34","Laendlicher Raum","","","",""
"Fast nie oder nie","2004","35-65","Staedtischer Raum","","","",""
"Fast nie oder nie","2004","35-65","Laendlicher Raum","","","",""
"Fast nie oder nie","2004","66 +","Staedtischer Raum","","","",""
"Fast nie oder nie","2004","66 +","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2004","17-34","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2004","17-34","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2004","35-65","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2004","35-65","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2004","66 +","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2004","66 +","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2004","17-34","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2004","17-34","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2004","35-65","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2004","35-65","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2004","66 +","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2004","66 +","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2004","17-34","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2004","17-34","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2004","35-65","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2004","35-65","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2004","66 +","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2004","66 +","Laendlicher Raum","","","",""
"Fast nie oder nie","2005","17-34","Staedtischer Raum","814","0.234928096898253","0.220880736442798","0.248975457353707"
"Fast nie oder nie","2005","17-34","Laendlicher Raum","439","0.250732438380945","0.230579976670182","0.270884900091708"
"Fast nie oder nie","2005","35-65","Staedtischer Raum","2891","","",""
"Fast nie oder nie","2005","35-65","Laendlicher Raum","1606","","",""
"Fast nie oder nie","2005","66 +","Staedtischer Raum","1665","","",""
"Fast nie oder nie","2005","66 +","Laendlicher Raum","909","0.73292756757218","0.708575629888526","0.757279505255834"
"Mehrmals im Jahr","2005","17-34","Staedtischer Raum","781","0.224883707620596","0.211050001387295","0.238717413853898"
"Mehrmals im Jahr","2005","17-34","Laendlicher Raum","483","0.273946583628573","0.253210744822426","0.294682422434721"
"Mehrmals im Jahr","2005","35-65","Staedtischer Raum","1491","","",""
"Mehrmals im Jahr","2005","35-65","Laendlicher Raum","844","0.211715494059392","0.198859489505613","0.224571498613172"
"Mehrmals im Jahr","2005","66 +","Staedtischer Raum","174","","",""
"Mehrmals im Jahr","2005","66 +","Laendlicher Raum","93","0.0801868617694492","0.0652386281352765","0.0951350954036219"
"Mindestens einmal im Monat","2005","17-34","Staedtischer Raum","428","0.127459320925317","0.11640951216558","0.138509129685054"
"Mindestens einmal im Monat","2005","17-34","Laendlicher Raum","174","","",""
"Mindestens einmal im Monat","2005","35-65","Staedtischer Raum","600","0.080586230249688","0.074496942038965","0.0866755184604109"
"Mindestens einmal im Monat","2005","35-65","Laendlicher Raum","272","","",""
"Mindestens einmal im Monat","2005","66 +","Staedtischer Raum","86","0.0324369592864588","0.025436279059304","0.0394376395136135"
"Mindestens einmal im Monat","2005","66 +","Laendlicher Raum","58","0.0405288620952661","0.0296749418248003","0.0513827823657318"
"Mindestens einmal die Woche","2005","17-34","Staedtischer Raum","1476","","",""
"Mindestens einmal die Woche","2005","17-34","Laendlicher Raum","681","0.370629745867625","0.348173993028749","0.3930854987065"
"Mindestens einmal die Woche","2005","35-65","Staedtischer Raum","2694","","",""
"Mindestens einmal die Woche","2005","35-65","Laendlicher Raum","1157","","",""
"Mindestens einmal die Woche","2005","66 +","Staedtischer Raum","535","0.203396771793404","0.187490309644473","0.219303233942335"
"Mindestens einmal die Woche","2005","66 +","Laendlicher Raum","208","","",""
"Fast nie oder nie","2006","17-34","Staedtischer Raum","","","",""
"Fast nie oder nie","2006","17-34","Laendlicher Raum","","","",""
"Fast nie oder nie","2006","35-65","Staedtischer Raum","","","",""
"Fast nie oder nie","2006","35-65","Laendlicher Raum","","","",""
"Fast nie oder nie","2006","66 +","Staedtischer Raum","","","",""
"Fast nie oder nie","2006","66 +","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2006","17-34","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2006","17-34","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2006","35-65","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2006","35-65","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2006","66 +","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2006","66 +","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2006","17-34","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2006","17-34","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2006","35-65","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2006","35-65","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2006","66 +","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2006","66 +","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2006","17-34","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2006","17-34","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2006","35-65","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2006","35-65","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2006","66 +","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2006","66 +","Laendlicher Raum","","","",""
"Fast nie oder nie","2007","17-34","Staedtischer Raum","700","0.236184607833768","0.221128234661659","0.251240981005877"
"Fast nie oder nie","2007","17-34","Laendlicher Raum","457","0.287403467436332","0.265420377085559","0.309386557787106"
"Fast nie oder nie","2007","35-65","Staedtischer Raum","2648","","",""
"Fast nie oder nie","2007","35-65","Laendlicher Raum","1582","","",""
"Fast nie oder nie","2007","66 +","Staedtischer Raum","1759","","",""
"Fast nie oder nie","2007","66 +","Laendlicher Raum","1001","","",""
"Mehrmals im Jahr","2007","17-34","Staedtischer Raum","638","0.219188641936562","0.204523628823334","0.23385365504979"
"Mehrmals im Jahr","2007","17-34","Laendlicher Raum","400","0.230849599977146","0.210380860941681","0.251318339012612"
"Mehrmals im Jahr","2007","35-65","Staedtischer Raum","1396","","",""
"Mehrmals im Jahr","2007","35-65","Laendlicher Raum","843","0.21276642736364","0.199985615126172","0.225547239601108"
"Mehrmals im Jahr","2007","66 +","Staedtischer Raum","224","","",""
"Mehrmals im Jahr","2007","66 +","Laendlicher Raum","128","","",""
"Mindestens einmal im Monat","2007","17-34","Staedtischer Raum","378","0.1264454735477","0.114664070206856","0.138226876888544"
"Mindestens einmal im Monat","2007","17-34","Laendlicher Raum","161","","",""
"Mindestens einmal im Monat","2007","35-65","Staedtischer Raum","538","0.0670664120111557","0.061395924564103","0.0727368994582084"
"Mindestens einmal im Monat","2007","35-65","Laendlicher Raum","283","","",""
"Mindestens einmal im Monat","2007","66 +","Staedtischer Raum","90","0.0299883944487147","0.0236676689431985","0.0363091199542309"
"Mindestens einmal im Monat","2007","66 +","Laendlicher Raum","48","0.0287860906902606","0.02030754072814","0.0372646406523812"
"Mindestens einmal die Woche","2007","17-34","Staedtischer Raum","1341","","",""
"Mindestens einmal die Woche","2007","17-34","Laendlicher Raum","610","0.385691941042272","0.362047215386949","0.409336666697595"
"Mindestens einmal die Woche","2007","35-65","Staedtischer Raum","2893","","",""
"Mindestens einmal die Woche","2007","35-65","Laendlicher Raum","1231","","",""
"Mindestens einmal die Woche","2007","66 +","Staedtischer Raum","724","0.242344498884044","0.22646435872548","0.258224639042607"
"Mindestens einmal die Woche","2007","66 +","Laendlicher Raum","317","0.20288722396231","0.182495214347716","0.223279233576903"
"Fast nie oder nie","2008","17-34","Staedtischer Raum","530","0.185113394702025","0.170836716409111","0.199390072994939"
"Fast nie oder nie","2008","17-34","Laendlicher Raum","342","0.238439676461698","0.216692969736385","0.260186383187011"
"Fast nie oder nie","2008","35-65","Staedtischer Raum","1967","","",""
"Fast nie oder nie","2008","35-65","Laendlicher Raum","1121","","",""
"Fast nie oder nie","2008","66 +","Staedtischer Raum","1494","","",""
"Fast nie oder nie","2008","66 +","Laendlicher Raum","865","0.598852525221639","0.573932374754786","0.623772675688491"
"Mehrmals im Jahr","2008","17-34","Staedtischer Raum","572","0.213084289986539","0.198032107153249","0.228136472819829"
"Mehrmals im Jahr","2008","17-34","Laendlicher Raum","337","0.209705433063847","0.188929936148572","0.230480929979122"
"Mehrmals im Jahr","2008","35-65","Staedtischer Raum","1381","","",""
"Mehrmals im Jahr","2008","35-65","Laendlicher Raum","896","0.245614774790571","0.231716746994682","0.259512802586461"
"Mehrmals im Jahr","2008","66 +","Staedtischer Raum","303","0.104480149997455","0.0931096334335571","0.115850666561352"
"Mehrmals im Jahr","2008","66 +","Laendlicher Raum","156","","",""
"Mindestens einmal im Monat","2008","17-34","Staedtischer Raum","318","0.106002548462488","0.0946867304358249","0.117318366489152"
"Mindestens einmal im Monat","2008","17-34","Laendlicher Raum","171","","",""
"Mindestens einmal im Monat","2008","35-65","Staedtischer Raum","591","0.0844626695328467","0.0779207153348481","0.0910046237308454"
"Mindestens einmal im Monat","2008","35-65","Laendlicher Raum","257","","",""
"Mindestens einmal im Monat","2008","66 +","Staedtischer Raum","89","0.0326217101652508","0.0260181639172402","0.0392252564132615"
"Mindestens einmal im Monat","2008","66 +","Laendlicher Raum","53","0.032032678277849","0.0230797385619206","0.0409856179937775"
"Mindestens einmal die Woche","2008","17-34","Staedtischer Raum","1423","","",""
"Mindestens einmal die Woche","2008","17-34","Laendlicher Raum","625","0.421543908871224","0.396343436048294","0.446744381694154"
"Mindestens einmal die Woche","2008","35-65","Staedtischer Raum","3002","0.408416769970707","0.396853070956213","0.4199804689852"
"Mindestens einmal die Woche","2008","35-65","Laendlicher Raum","1411","","",""
"Mindestens einmal die Woche","2008","66 +","Staedtischer Raum","894","0.303450842481159","0.286360697283863","0.320540987678456"
"Mindestens einmal die Woche","2008","66 +","Laendlicher Raum","412","0.256484822097978","0.234281679885055","0.278687964310902"
"Fast nie oder nie","2009","17-34","Staedtischer Raum","497","0.175301909252982","0.160667080321856","0.189936738184108"
"Fast nie oder nie","2009","17-34","Laendlicher Raum","344","0.259704735760564","0.236375495954723","0.283033975566404"
"Fast nie oder nie","2009","35-65","Staedtischer Raum","2053","","",""
"Fast nie oder nie","2009","35-65","Laendlicher Raum","1409","","",""
"Fast nie oder nie","2009","66 +","Staedtischer Raum","1624","","",""
"Fast nie oder nie","2009","66 +","Laendlicher Raum","938","0.665618744318231","0.641335996825151","0.68990149181131"
"Mehrmals im Jahr","2009","17-34","Staedtischer Raum","560","0.229694220303915","0.213503974418758","0.245884466189072"
"Mehrmals im Jahr","2009","17-34","Laendlicher Raum","330","0.209064736958447","0.187429132671433","0.230700341245462"
"Mehrmals im Jahr","2009","35-65","Staedtischer Raum","1250","","",""
"Mehrmals im Jahr","2009","35-65","Laendlicher Raum","737","0.207846531868138","0.194438154369613","0.221254909366663"
"Mehrmals im Jahr","2009","66 +","Staedtischer Raum","218","","",""
"Mehrmals im Jahr","2009","66 +","Laendlicher Raum","114","","",""
"Mindestens einmal im Monat","2009","17-34","Staedtischer Raum","317","0.118136139095367","0.105712781334889","0.130559496855846"
"Mindestens einmal im Monat","2009","17-34","Laendlicher Raum","165","","",""
"Mindestens einmal im Monat","2009","35-65","Staedtischer Raum","467","0.0754853459170512","0.0689739406785732","0.0819967511555291"
"Mindestens einmal im Monat","2009","35-65","Laendlicher Raum","248","","",""
"Mindestens einmal im Monat","2009","66 +","Staedtischer Raum","77","0.0308450589860039","0.0242967040015737","0.0373934139704341"
"Mindestens einmal im Monat","2009","66 +","Laendlicher Raum","56","0.0379782704561643","0.0281398784636772","0.0478166624486514"
"Mindestens einmal die Woche","2009","17-34","Staedtischer Raum","1219","","",""
"Mindestens einmal die Woche","2009","17-34","Laendlicher Raum","518","0.396461851515601","0.37043562335618","0.422488079675021"
"Mindestens einmal die Woche","2009","35-65","Staedtischer Raum","2553","","",""
"Mindestens einmal die Woche","2009","35-65","Laendlicher Raum","1124","","",""
"Mindestens einmal die Woche","2009","66 +","Staedtischer Raum","759","0.265278481902541","0.2485577533637","0.281999210441383"
"Mindestens einmal die Woche","2009","66 +","Laendlicher Raum","342","0.214109179947452","0.192995553094888","0.235222806800017"
"Fast nie oder nie","2010","17-34","Staedtischer Raum","","","",""
"Fast nie oder nie","2010","17-34","Laendlicher Raum","","","",""
"Fast nie oder nie","2010","35-65","Staedtischer Raum","","","",""
"Fast nie oder nie","2010","35-65","Laendlicher Raum","","","",""
"Fast nie oder nie","2010","66 +","Staedtischer Raum","","","",""
"Fast nie oder nie","2010","66 +","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2010","17-34","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2010","17-34","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2010","35-65","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2010","35-65","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2010","66 +","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2010","66 +","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2010","17-34","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2010","17-34","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2010","35-65","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2010","35-65","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2010","66 +","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2010","66 +","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2010","17-34","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2010","17-34","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2010","35-65","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2010","35-65","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2010","66 +","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2010","66 +","Laendlicher Raum","","","",""
"Fast nie oder nie","2011","17-34","Staedtischer Raum","1328","","",""
"Fast nie oder nie","2011","17-34","Laendlicher Raum","917","0.294662837493561","0.276423731941321","0.312901943045801"
"Fast nie oder nie","2011","35-65","Staedtischer Raum","3698","0.360761709013738","0.351532762022617","0.36999065600486"
"Fast nie oder nie","2011","35-65","Laendlicher Raum","2553","","",""
"Fast nie oder nie","2011","66 +","Staedtischer Raum","1894","","",""
"Fast nie oder nie","2011","66 +","Laendlicher Raum","1132","","",""
"Mehrmals im Jahr","2011","17-34","Staedtischer Raum","792","0.187618008940751","0.176053488782532","0.199182529098969"
"Mehrmals im Jahr","2011","17-34","Laendlicher Raum","505","0.229512089691329","0.212688131978604","0.246336047404055"
"Mehrmals im Jahr","2011","35-65","Staedtischer Raum","1834","","",""
"Mehrmals im Jahr","2011","35-65","Laendlicher Raum","1069","","",""
"Mehrmals im Jahr","2011","66 +","Staedtischer Raum","236","","",""
"Mehrmals im Jahr","2011","66 +","Laendlicher Raum","147","","",""
"Mindestens einmal im Monat","2011","17-34","Staedtischer Raum","385","0.102258497116664","0.0932834741861364","0.111233520047192"
"Mindestens einmal im Monat","2011","17-34","Laendlicher Raum","177","","",""
