"m11104","year","regtyp","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Mehrmals im Jahr","2003","Staedtischer Raum","Westdeutschland","2248","","",""
"Mehrmals im Jahr","2003","Staedtischer Raum","Ostdeutschland","414","0.226375344668681","0.206824232358589","0.245926456978774"
"Mehrmals im Jahr","2003","Laendlicher Raum","Westdeutschland","803","0.196705825307456","0.184183573725234","0.209228076889679"
"Mehrmals im Jahr","2003","Laendlicher Raum","Ostdeutschland","802","0.209199133946958","0.195843832683113","0.222554435210804"
"Mindestens einmal im Monat","2003","Staedtischer Raum","Westdeutschland","1023","","",""
"Mindestens einmal im Monat","2003","Staedtischer Raum","Ostdeutschland","148","","",""
"Mindestens einmal im Monat","2003","Laendlicher Raum","Westdeutschland","304","0.0736439455202458","0.065415950852971","0.0818719401875205"
"Mindestens einmal im Monat","2003","Laendlicher Raum","Ostdeutschland","250","","",""
"Mindestens einmal die Woche","2003","Staedtischer Raum","Westdeutschland","4862","0.347808773372807","0.339569139827252","0.356048406918362"
"Mindestens einmal die Woche","2003","Staedtischer Raum","Ostdeutschland","584","0.319541003537527","0.297756080264902","0.341325926810153"
"Mindestens einmal die Woche","2003","Laendlicher Raum","Westdeutschland","1404","","",""
"Mindestens einmal die Woche","2003","Laendlicher Raum","Ostdeutschland","978","0.261698238093726","0.247265207519032","0.27613126866842"
"Fast nie oder nie","2004","Staedtischer Raum","Westdeutschland","","","",""
"Fast nie oder nie","2004","Staedtischer Raum","Ostdeutschland","","","",""
"Fast nie oder nie","2004","Laendlicher Raum","Westdeutschland","","","",""
"Fast nie oder nie","2004","Laendlicher Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","2004","Staedtischer Raum","Westdeutschland","","","",""
"Mehrmals im Jahr","2004","Staedtischer Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","2004","Laendlicher Raum","Westdeutschland","","","",""
"Mehrmals im Jahr","2004","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","2004","Staedtischer Raum","Westdeutschland","","","",""
"Mindestens einmal im Monat","2004","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","2004","Laendlicher Raum","Westdeutschland","","","",""
"Mindestens einmal im Monat","2004","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","2004","Staedtischer Raum","Westdeutschland","","","",""
"Mindestens einmal die Woche","2004","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","2004","Laendlicher Raum","Westdeutschland","","","",""
"Mindestens einmal die Woche","2004","Laendlicher Raum","Ostdeutschland","","","",""
"Fast nie oder nie","2005","Staedtischer Raum","Westdeutschland","4666","0.419248332745046","0.410396165904041","0.42810049958605"
"Fast nie oder nie","2005","Staedtischer Raum","Ostdeutschland","704","0.440501218083782","0.416895102399337","0.464107333768227"
"Fast nie oder nie","2005","Laendlicher Raum","Westdeutschland","1367","","",""
"Fast nie oder nie","2005","Laendlicher Raum","Ostdeutschland","1587","","",""
"Mehrmals im Jahr","2005","Staedtischer Raum","Westdeutschland","2072","","",""
"Mehrmals im Jahr","2005","Staedtischer Raum","Ostdeutschland","374","0.213000832176856","0.193532480253444","0.232469184100268"
"Mehrmals im Jahr","2005","Laendlicher Raum","Westdeutschland","695","0.190194162235905","0.17740085048104","0.202987473990771"
"Mehrmals im Jahr","2005","Laendlicher Raum","Ostdeutschland","725","0.213564868068913","0.199601310932177","0.227528425205649"
"Mindestens einmal im Monat","2005","Staedtischer Raum","Westdeutschland","959","0.0818060283554362","0.0768892734619424","0.08672278324893"
"Mindestens einmal im Monat","2005","Staedtischer Raum","Ostdeutschland","155","","",""
"Mindestens einmal im Monat","2005","Laendlicher Raum","Westdeutschland","292","","",""
"Mindestens einmal im Monat","2005","Laendlicher Raum","Ostdeutschland","212","","",""
"Mindestens einmal die Woche","2005","Staedtischer Raum","Westdeutschland","4239","0.32625559369997","0.317844639745631","0.334666547654309"
"Mindestens einmal die Woche","2005","Staedtischer Raum","Ostdeutschland","466","0.260997674649451","0.240114687411554","0.281880661887349"
"Mindestens einmal die Woche","2005","Laendlicher Raum","Westdeutschland","1261","","",""
"Mindestens einmal die Woche","2005","Laendlicher Raum","Ostdeutschland","785","0.212151952562777","0.19822216620882","0.226081738916733"
"Fast nie oder nie","2006","Staedtischer Raum","Westdeutschland","","","",""
"Fast nie oder nie","2006","Staedtischer Raum","Ostdeutschland","","","",""
"Fast nie oder nie","2006","Laendlicher Raum","Westdeutschland","","","",""
"Fast nie oder nie","2006","Laendlicher Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","2006","Staedtischer Raum","Westdeutschland","","","",""
"Mehrmals im Jahr","2006","Staedtischer Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","2006","Laendlicher Raum","Westdeutschland","","","",""
"Mehrmals im Jahr","2006","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","2006","Staedtischer Raum","Westdeutschland","","","",""
"Mindestens einmal im Monat","2006","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","2006","Laendlicher Raum","Westdeutschland","","","",""
"Mindestens einmal im Monat","2006","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","2006","Staedtischer Raum","Westdeutschland","","","",""
"Mindestens einmal die Woche","2006","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","2006","Laendlicher Raum","Westdeutschland","","","",""
"Mindestens einmal die Woche","2006","Laendlicher Raum","Ostdeutschland","","","",""
"Fast nie oder nie","2007","Staedtischer Raum","Westdeutschland","4434","0.403438462899084","0.394534230876406","0.412342694921763"
"Fast nie oder nie","2007","Staedtischer Raum","Ostdeutschland","673","0.432003730992231","0.408231685200605","0.455775776783857"
"Fast nie oder nie","2007","Laendlicher Raum","Westdeutschland","1435","","",""
"Fast nie oder nie","2007","Laendlicher Raum","Ostdeutschland","1605","","",""
"Mehrmals im Jahr","2007","Staedtischer Raum","Westdeutschland","1925","","",""
"Mehrmals im Jahr","2007","Staedtischer Raum","Ostdeutschland","333","0.196122455668931","0.177067467753588","0.215177443584275"
"Mehrmals im Jahr","2007","Laendlicher Raum","Westdeutschland","667","0.17624439747642","0.164042677459872","0.188446117492967"
"Mehrmals im Jahr","2007","Laendlicher Raum","Ostdeutschland","704","0.20407881152682","0.190359247334322","0.217798375719318"
"Mindestens einmal im Monat","2007","Staedtischer Raum","Westdeutschland","877","0.0726105103959035","0.0679006175908578","0.0773204032009491"
"Mindestens einmal im Monat","2007","Staedtischer Raum","Ostdeutschland","129","","",""
"Mindestens einmal im Monat","2007","Laendlicher Raum","Westdeutschland","278","","",""
"Mindestens einmal im Monat","2007","Laendlicher Raum","Ostdeutschland","214","","",""
"Mindestens einmal die Woche","2007","Staedtischer Raum","Westdeutschland","4425","0.352654574387544","0.343982499973006","0.361326648802081"
"Mindestens einmal die Woche","2007","Staedtischer Raum","Ostdeutschland","533","0.298873801881134","0.276905722484299","0.320841881277968"
"Mindestens einmal die Woche","2007","Laendlicher Raum","Westdeutschland","1366","","",""
"Mindestens einmal die Woche","2007","Laendlicher Raum","Ostdeutschland","792","0.226794104799827","0.212539020704903","0.241049188894751"
"Fast nie oder nie","2008","Staedtischer Raum","Westdeutschland","3464","0.335372361917621","0.326530690310965","0.344214033524277"
"Fast nie oder nie","2008","Staedtischer Raum","Ostdeutschland","527","0.340108428635516","0.316974717473402","0.363242139797631"
"Fast nie oder nie","2008","Laendlicher Raum","Westdeutschland","1100","","",""
"Fast nie oder nie","2008","Laendlicher Raum","Ostdeutschland","1228","","",""
"Mehrmals im Jahr","2008","Staedtischer Raum","Westdeutschland","1920","","",""
"Mehrmals im Jahr","2008","Staedtischer Raum","Ostdeutschland","336","0.201214314110096","0.18163737031402","0.220791257906173"
"Mehrmals im Jahr","2008","Laendlicher Raum","Westdeutschland","669","0.193678877704242","0.180605443634195","0.206752311774289"
"Mehrmals im Jahr","2008","Laendlicher Raum","Ostdeutschland","720","0.225685427744717","0.211054544678363","0.24031631081107"
"Mindestens einmal im Monat","2008","Staedtischer Raum","Westdeutschland","862","0.0763133012715924","0.0713411536675009","0.0812854488756839"
"Mindestens einmal im Monat","2008","Staedtischer Raum","Ostdeutschland","136","","",""
"Mindestens einmal im Monat","2008","Laendlicher Raum","Westdeutschland","285","","",""
"Mindestens einmal im Monat","2008","Laendlicher Raum","Ostdeutschland","196","","",""
"Mindestens einmal die Woche","2008","Staedtischer Raum","Westdeutschland","4707","0.40818771040589","0.398983140520976","0.417392280290803"
"Mindestens einmal die Woche","2008","Staedtischer Raum","Ostdeutschland","612","0.370404565013163","0.346823182053374","0.393985947972953"
"Mindestens einmal die Woche","2008","Laendlicher Raum","Westdeutschland","1456","","",""
"Mindestens einmal die Woche","2008","Laendlicher Raum","Ostdeutschland","992","0.301662532872449","0.285598542975684","0.317726522769213"
"Fast nie oder nie","2009","Staedtischer Raum","Westdeutschland","3589","0.36475774797691","0.355356071403855","0.374159424549965"
"Fast nie oder nie","2009","Staedtischer Raum","Ostdeutschland","585","0.40844691629321","0.383768329886708","0.433125502699712"
"Fast nie oder nie","2009","Laendlicher Raum","Westdeutschland","1261","","",""
"Fast nie oder nie","2009","Laendlicher Raum","Ostdeutschland","1430","","",""
"Mehrmals im Jahr","2009","Staedtischer Raum","Westdeutschland","1724","","",""
"Mehrmals im Jahr","2009","Staedtischer Raum","Ostdeutschland","304","0.185949187186576","0.166415757353636","0.205482617019516"
"Mehrmals im Jahr","2009","Laendlicher Raum","Westdeutschland","586","0.173259924581079","0.160418785693002","0.186101063469156"
"Mehrmals im Jahr","2009","Laendlicher Raum","Ostdeutschland","595","0.187890720717951","0.173884605423514","0.201896836012388"
"Mindestens einmal im Monat","2009","Staedtischer Raum","Westdeutschland","734","0.0754344975302881","0.0702764279162883","0.0805925671442878"
"Mindestens einmal im Monat","2009","Staedtischer Raum","Ostdeutschland","127","","",""
"Mindestens einmal im Monat","2009","Laendlicher Raum","Westdeutschland","255","","",""
"Mindestens einmal im Monat","2009","Laendlicher Raum","Ostdeutschland","214","","",""
"Mindestens einmal die Woche","2009","Staedtischer Raum","Westdeutschland","4023","0.382190073131497","0.372699323905942","0.391680822357053"
"Mindestens einmal die Woche","2009","Staedtischer Raum","Ostdeutschland","508","0.332635821017055","0.308980896776722","0.356290745257388"
"Mindestens einmal die Woche","2009","Laendlicher Raum","Westdeutschland","1235","","",""
"Mindestens einmal die Woche","2009","Laendlicher Raum","Ostdeutschland","749","0.239701108593366","0.224394287916199","0.255007929270533"
"Fast nie oder nie","2010","Staedtischer Raum","Westdeutschland","","","",""
"Fast nie oder nie","2010","Staedtischer Raum","Ostdeutschland","","","",""
"Fast nie oder nie","2010","Laendlicher Raum","Westdeutschland","","","",""
"Fast nie oder nie","2010","Laendlicher Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","2010","Staedtischer Raum","Westdeutschland","","","",""
"Mehrmals im Jahr","2010","Staedtischer Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","2010","Laendlicher Raum","Westdeutschland","","","",""
"Mehrmals im Jahr","2010","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","2010","Staedtischer Raum","Westdeutschland","","","",""
"Mindestens einmal im Monat","2010","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","2010","Laendlicher Raum","Westdeutschland","","","",""
"Mindestens einmal im Monat","2010","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","2010","Staedtischer Raum","Westdeutschland","","","",""
"Mindestens einmal die Woche","2010","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","2010","Laendlicher Raum","Westdeutschland","","","",""
"Mindestens einmal die Woche","2010","Laendlicher Raum","Ostdeutschland","","","",""
"Fast nie oder nie","2011","Staedtischer Raum","Westdeutschland","6020","0.388989854181081","0.381410151670465","0.396569556691697"
"Fast nie oder nie","2011","Staedtischer Raum","Ostdeutschland","900","0.397971328933955","0.377395715067246","0.418546942800665"
"Fast nie oder nie","2011","Laendlicher Raum","Westdeutschland","2494","","",""
"Fast nie oder nie","2011","Laendlicher Raum","Ostdeutschland","2108","","",""
"Mehrmals im Jahr","2011","Staedtischer Raum","Westdeutschland","2486","","",""
"Mehrmals im Jahr","2011","Staedtischer Raum","Ostdeutschland","376","0.171412188291376","0.155570245482464","0.187254131100287"
"Mehrmals im Jahr","2011","Laendlicher Raum","Westdeutschland","1011","","",""
"Mehrmals im Jahr","2011","Laendlicher Raum","Ostdeutschland","710","0.174155349011673","0.162566680602768","0.185744017420578"
"Mindestens einmal im Monat","2011","Staedtischer Raum","Westdeutschland","1046","","",""
"Mindestens einmal im Monat","2011","Staedtischer Raum","Ostdeutschland","161","","",""
"Mindestens einmal im Monat","2011","Laendlicher Raum","Westdeutschland","356","0.057314949097698","0.0514712881672435","0.0631586100281524"
"Mindestens einmal im Monat","2011","Laendlicher Raum","Ostdeutschland","243","","",""
"Mindestens einmal die Woche","2011","Staedtischer Raum","Westdeutschland","6340","0.386084027362512","0.378514753883049","0.393653300841975"
"Mindestens einmal die Woche","2011","Staedtischer Raum","Ostdeutschland","737","0.357775241160256","0.337625615377175","0.377924866943337"
"Mindestens einmal die Woche","2011","Laendlicher Raum","Westdeutschland","2217","","",""
"Mindestens einmal die Woche","2011","Laendlicher Raum","Ostdeutschland","1053","","",""
"Fast nie oder nie","2012","Staedtischer Raum","Westdeutschland","","","",""
"Fast nie oder nie","2012","Staedtischer Raum","Ostdeutschland","","","",""
"Fast nie oder nie","2012","Laendlicher Raum","Westdeutschland","","","",""
"Fast nie oder nie","2012","Laendlicher Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","2012","Staedtischer Raum","Westdeutschland","","","",""
"Mehrmals im Jahr","2012","Staedtischer Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","2012","Laendlicher Raum","Westdeutschland","","","",""
"Mehrmals im Jahr","2012","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","2012","Staedtischer Raum","Westdeutschland","","","",""
"Mindestens einmal im Monat","2012","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","2012","Laendlicher Raum","Westdeutschland","","","",""
"Mindestens einmal im Monat","2012","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","2012","Staedtischer Raum","Westdeutschland","","","",""
"Mindestens einmal die Woche","2012","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","2012","Laendlicher Raum","Westdeutschland","","","",""
"Mindestens einmal die Woche","2012","Laendlicher Raum","Ostdeutschland","","","",""
"Fast nie oder nie","2013","Staedtischer Raum","Westdeutschland","4440","0.31207551498727","0.304439310460292","0.319711719514248"
"Fast nie oder nie","2013","Staedtischer Raum","Ostdeutschland","694","0.325352695854792","0.304520872216642","0.346184519492942"
"Fast nie oder nie","2013","Laendlicher Raum","Westdeutschland","1753","","",""
"Fast nie oder nie","2013","Laendlicher Raum","Ostdeutschland","1541","","",""
"Mehrmals im Jahr","2013","Staedtischer Raum","Westdeutschland","1869","","",""
"Mehrmals im Jahr","2013","Staedtischer Raum","Ostdeutschland","281","","",""
"Mehrmals im Jahr","2013","Laendlicher Raum","Westdeutschland","851","0.14935111605606","0.139978811840568","0.158723420271553"
"Mehrmals im Jahr","2013","Laendlicher Raum","Ostdeutschland","653","0.18433236542664","0.171908589425861","0.196756141427419"
"Mindestens einmal im Monat","2013","Staedtischer Raum","Westdeutschland","691","0.0517368002228173","0.0480863910138248","0.0553872094318098"
"Mindestens einmal im Monat","2013","Staedtischer Raum","Ostdeutschland","110","","",""
"Mindestens einmal im Monat","2013","Laendlicher Raum","Westdeutschland","277","","",""
"Mindestens einmal im Monat","2013","Laendlicher Raum","Ostdeutschland","170","","",""
"Mindestens einmal die Woche","2013","Staedtischer Raum","Westdeutschland","7143","0.504717654915197","0.496477640105331","0.512957669725063"
"Mindestens einmal die Woche","2013","Staedtischer Raum","Ostdeutschland","858","0.460368204644841","0.438205992043949","0.482530417245734"
"Mindestens einmal die Woche","2013","Laendlicher Raum","Westdeutschland","2675","","",""
"Mindestens einmal die Woche","2013","Laendlicher Raum","Ostdeutschland","1378","","",""
"Fast nie oder nie","2014","Staedtischer Raum","Westdeutschland","","","",""
"Fast nie oder nie","2014","Staedtischer Raum","Ostdeutschland","","","",""
"Fast nie oder nie","2014","Laendlicher Raum","Westdeutschland","","","",""
"Fast nie oder nie","2014","Laendlicher Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","2014","Staedtischer Raum","Westdeutschland","","","",""
"Mehrmals im Jahr","2014","Staedtischer Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","2014","Laendlicher Raum","Westdeutschland","","","",""
"Mehrmals im Jahr","2014","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","2014","Staedtischer Raum","Westdeutschland","","","",""
"Mindestens einmal im Monat","2014","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","2014","Laendlicher Raum","Westdeutschland","","","",""
"Mindestens einmal im Monat","2014","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","2014","Staedtischer Raum","Westdeutschland","","","",""
"Mindestens einmal die Woche","2014","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","2014","Laendlicher Raum","Westdeutschland","","","",""
"Mindestens einmal die Woche","2014","Laendlicher Raum","Ostdeutschland","","","",""
"Fast nie oder nie","2015","Staedtischer Raum","Westdeutschland","5620","0.359641074768484","0.352081785991448","0.36720036354552"
"Fast nie oder nie","2015","Staedtischer Raum","Ostdeutschland","763","0.372653528570919","0.350980954508128","0.394326102633709"
"Fast nie oder nie","2015","Laendlicher Raum","Westdeutschland","2232","","",""
"Fast nie oder nie","2015","Laendlicher Raum","Ostdeutschland","1731","","",""
"Mehrmals im Jahr","2015","Staedtischer Raum","Westdeutschland","2066","","",""
"Mehrmals im Jahr","2015","Staedtischer Raum","Ostdeutschland","260","","",""
"Mehrmals im Jahr","2015","Laendlicher Raum","Westdeutschland","868","0.156619199393571","0.147286716430724","0.165951682356418"
"Mehrmals im Jahr","2015","Laendlicher Raum","Ostdeutschland","479","0.146256438182533","0.134499220184197","0.158013656180868"
"Mindestens einmal im Monat","2015","Staedtischer Raum","Westdeutschland","818","0.0561312868879118","0.0525055786418325","0.059756995133991"
"Mindestens einmal im Monat","2015","Staedtischer Raum","Ostdeutschland","112","","",""
"Mindestens einmal im Monat","2015","Laendlicher Raum","Westdeutschland","308","0.0553278462970354","0.0494573436217037","0.0611983489723672"
"Mindestens einmal im Monat","2015","Laendlicher Raum","Ostdeutschland","201","","",""
"Mindestens einmal die Woche","2015","Staedtischer Raum","Westdeutschland","6978","0.458306503904044","0.450457954790517","0.46615505301757"
"Mindestens einmal die Woche","2015","Staedtischer Raum","Ostdeutschland","777","0.426887970308276","0.404717195664989","0.449058744951563"
"Mindestens einmal die Woche","2015","Laendlicher Raum","Westdeutschland","2418","","",""
"Mindestens einmal die Woche","2015","Laendlicher Raum","Ostdeutschland","1059","","",""
"Fast nie oder nie","2016","Staedtischer Raum","Westdeutschland","","","",""
"Fast nie oder nie","2016","Staedtischer Raum","Ostdeutschland","","","",""
"Fast nie oder nie","2016","Laendlicher Raum","Westdeutschland","","","",""
"Fast nie oder nie","2016","Laendlicher Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","2016","Staedtischer Raum","Westdeutschland","","","",""
"Mehrmals im Jahr","2016","Staedtischer Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","2016","Laendlicher Raum","Westdeutschland","","","",""
"Mehrmals im Jahr","2016","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","2016","Staedtischer Raum","Westdeutschland","","","",""
"Mindestens einmal im Monat","2016","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","2016","Laendlicher Raum","Westdeutschland","","","",""
"Mindestens einmal im Monat","2016","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","2016","Staedtischer Raum","Westdeutschland","","","",""
"Mindestens einmal die Woche","2016","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","2016","Laendlicher Raum","Westdeutschland","","","",""
"Mindestens einmal die Woche","2016","Laendlicher Raum","Ostdeutschland","","","",""
"Fast nie oder nie","2017","Staedtischer Raum","Westdeutschland","6362","0.34546313108134","0.338439710853565","0.352486551309115"
"Fast nie oder nie","2017","Staedtischer Raum","Ostdeutschland","838","0.333449304620561","0.313784933703761","0.353113675537362"
"Fast nie oder nie","2017","Laendlicher Raum","Westdeutschland","2600","","",""
"Fast nie oder nie","2017","Laendlicher Raum","Ostdeutschland","1882","","",""
"Mehrmals im Jahr","2017","Staedtischer Raum","Westdeutschland","2275","","",""
"Mehrmals im Jahr","2017","Staedtischer Raum","Ostdeutschland","294","","",""
"Mehrmals im Jahr","2017","Laendlicher Raum","Westdeutschland","942","0.13956027830423","0.131240932951221","0.14787962365724"
"Mehrmals im Jahr","2017","Laendlicher Raum","Ostdeutschland","572","0.145524476299672","0.134524864581126","0.156524088018217"
"Mindestens einmal im Monat","2017","Staedtischer Raum","Westdeutschland","904","0.0502686644764928","0.0470414353419897","0.053495893610996"
"Mindestens einmal im Monat","2017","Staedtischer Raum","Ostdeutschland","113","","",""
"Mindestens einmal im Monat","2017","Laendlicher Raum","Westdeutschland","346","0.0539625567537437","0.0485381976099657","0.0593869158975218"
"Mindestens einmal im Monat","2017","Laendlicher Raum","Ostdeutschland","200","","",""
"Mindestens einmal die Woche","2017","Staedtischer Raum","Westdeutschland","8068","0.479450515802326","0.472071751302949","0.486829280301704"
"Mindestens einmal die Woche","2017","Staedtischer Raum","Ostdeutschland","963","0.474554287362619","0.453725910188409","0.495382664536828"
"Mindestens einmal die Woche","2017","Laendlicher Raum","Westdeutschland","2777","","",""
"Mindestens einmal die Woche","2017","Laendlicher Raum","Ostdeutschland","1294","","",""
"Fast nie oder nie","2018","Staedtischer Raum","Westdeutschland","997","0.446930538566986","0.425543814247586","0.468317262886387"
"Fast nie oder nie","2018","Staedtischer Raum","Ostdeutschland","103","","",""
"Fast nie oder nie","2018","Laendlicher Raum","Westdeutschland","297","","",""
"Fast nie oder nie","2018","Laendlicher Raum","Ostdeutschland","131","","",""
"Mehrmals im Jahr","2018","Staedtischer Raum","Westdeutschland","353","0.159019538475277","0.143288673123051","0.174750403827502"
"Mehrmals im Jahr","2018","Staedtischer Raum","Ostdeutschland","39","0.131963962798819","0.0890552296278466","0.17487269596979"
"Mehrmals im Jahr","2018","Laendlicher Raum","Westdeutschland","107","","",""
"Mehrmals im Jahr","2018","Laendlicher Raum","Ostdeutschland","15","","",""
"Mindestens einmal im Monat","2018","Staedtischer Raum","Westdeutschland","135","","",""
"Mindestens einmal im Monat","2018","Staedtischer Raum","Ostdeutschland","8","0.0378539959091325","0.0136590031633161","0.062048988654949"
"Mindestens einmal im Monat","2018","Laendlicher Raum","Westdeutschland","33","0.0601783171781227","0.0414133305724736","0.0789433037837719"
"Mindestens einmal im Monat","2018","Laendlicher Raum","Ostdeutschland","3","","",""
"Mindestens einmal die Woche","2018","Staedtischer Raum","Westdeutschland","591","0.312878642073255","0.292933409745146","0.332823874401365"
"Mindestens einmal die Woche","2018","Staedtischer Raum","Ostdeutschland","89","0.426453557671557","0.363753302747286","0.489153812595827"
"Mindestens einmal die Woche","2018","Laendlicher Raum","Westdeutschland","180","","",""
"Mindestens einmal die Woche","2018","Laendlicher Raum","Ostdeutschland","86","0.452248485531224","0.388613710368068","0.515883260694381"
"Fast nie oder nie","2019","Staedtischer Raum","Westdeutschland","4599","0.274464386469264","0.267656081382798","0.28127269155573"
"Fast nie oder nie","2019","Staedtischer Raum","Ostdeutschland","642","0.266364730063061","0.247578362884771","0.285151097241352"
"Fast nie oder nie","2019","Laendlicher Raum","Westdeutschland","1739","","",""
"Fast nie oder nie","2019","Laendlicher Raum","Ostdeutschland","1301","","",""
"Mehrmals im Jahr","2019","Staedtischer Raum","Westdeutschland","2026","","",""
"Mehrmals im Jahr","2019","Staedtischer Raum","Ostdeutschland","298","","",""
"Mehrmals im Jahr","2019","Laendlicher Raum","Westdeutschland","787","0.138727966483018","0.129897367864969","0.147558565101066"
"Mehrmals im Jahr","2019","Laendlicher Raum","Ostdeutschland","601","0.16993694033132","0.157967143761318","0.181906736901322"
"Mindestens einmal im Monat","2019","Staedtischer Raum","Westdeutschland","721","0.0454830085062182","0.042304063134429","0.0486619538780073"
"Mindestens einmal im Monat","2019","Staedtischer Raum","Ostdeutschland","118","","",""
"Mindestens einmal im Monat","2019","Laendlicher Raum","Westdeutschland","285","","",""
"Mindestens einmal im Monat","2019","Laendlicher Raum","Ostdeutschland","193","","",""
"Mindestens einmal die Woche","2019","Staedtischer Raum","Westdeutschland","9157","0.556098500314205","0.548518210515828","0.563678790112582"
"Mindestens einmal die Woche","2019","Staedtischer Raum","Ostdeutschland","1069","","",""
"Mindestens einmal die Woche","2019","Laendlicher Raum","Westdeutschland","3075","0.543090907412053","0.530364989181882","0.555816825642225"
"Mindestens einmal die Woche","2019","Laendlicher Raum","Ostdeutschland","1687","","",""
