"m11104","year","regtyp","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","2005","Staedtischer Raum","maennlich","2437","","",""
"Fast nie oder nie","2005","Staedtischer Raum","weiblich","2933","","",""
"Fast nie oder nie","2005","Laendlicher Raum","maennlich","1395","","",""
"Fast nie oder nie","2005","Laendlicher Raum","weiblich","1559","","",""
"Mehrmals im Jahr","2005","Staedtischer Raum","maennlich","1239","","",""
"Mehrmals im Jahr","2005","Staedtischer Raum","weiblich","1207","","",""
"Mehrmals im Jahr","2005","Laendlicher Raum","maennlich","712","0.204987952123191","0.191289039566075","0.218686864680306"
"Mehrmals im Jahr","2005","Laendlicher Raum","weiblich","708","0.193628637589726","0.180699361286968","0.206557913892484"
"Mindestens einmal im Monat","2005","Staedtischer Raum","maennlich","573","0.0899735112097824","0.0830167167211645","0.0969303056984004"
"Mindestens einmal im Monat","2005","Staedtischer Raum","weiblich","541","0.0747844528748409","0.0686813907377794","0.0808875150119024"
"Mindestens einmal im Monat","2005","Laendlicher Raum","maennlich","262","","",""
"Mindestens einmal im Monat","2005","Laendlicher Raum","weiblich","242","","",""
"Mindestens einmal die Woche","2005","Staedtischer Raum","maennlich","2250","","",""
"Mindestens einmal die Woche","2005","Staedtischer Raum","weiblich","2455","","",""
"Mindestens einmal die Woche","2005","Laendlicher Raum","maennlich","967","0.271970310099335","0.256870539005712","0.287070081192959"
"Mindestens einmal die Woche","2005","Laendlicher Raum","weiblich","1079","","",""
"Fast nie oder nie","2006","Staedtischer Raum","maennlich","","","",""
"Fast nie oder nie","2006","Staedtischer Raum","weiblich","","","",""
"Fast nie oder nie","2006","Laendlicher Raum","maennlich","","","",""
"Fast nie oder nie","2006","Laendlicher Raum","weiblich","","","",""
"Mehrmals im Jahr","2006","Staedtischer Raum","maennlich","","","",""
"Mehrmals im Jahr","2006","Staedtischer Raum","weiblich","","","",""
"Mehrmals im Jahr","2006","Laendlicher Raum","maennlich","","","",""
"Mehrmals im Jahr","2006","Laendlicher Raum","weiblich","","","",""
"Mindestens einmal im Monat","2006","Staedtischer Raum","maennlich","","","",""
"Mindestens einmal im Monat","2006","Staedtischer Raum","weiblich","","","",""
"Mindestens einmal im Monat","2006","Laendlicher Raum","maennlich","","","",""
"Mindestens einmal im Monat","2006","Laendlicher Raum","weiblich","","","",""
"Mindestens einmal die Woche","2006","Staedtischer Raum","maennlich","","","",""
"Mindestens einmal die Woche","2006","Staedtischer Raum","weiblich","","","",""
"Mindestens einmal die Woche","2006","Laendlicher Raum","maennlich","","","",""
"Mindestens einmal die Woche","2006","Laendlicher Raum","weiblich","","","",""
"Fast nie oder nie","2007","Staedtischer Raum","maennlich","2352","","",""
"Fast nie oder nie","2007","Staedtischer Raum","weiblich","2755","","",""
"Fast nie oder nie","2007","Laendlicher Raum","maennlich","1455","","",""
"Fast nie oder nie","2007","Laendlicher Raum","weiblich","1585","","",""
"Mehrmals im Jahr","2007","Staedtischer Raum","maennlich","1151","","",""
"Mehrmals im Jahr","2007","Staedtischer Raum","weiblich","1107","","",""
"Mehrmals im Jahr","2007","Laendlicher Raum","maennlich","705","0.196504388281","0.183165720016429","0.20984305654557"
"Mehrmals im Jahr","2007","Laendlicher Raum","weiblich","666","0.177782384382289","0.165382419408144","0.190182349356434"
"Mindestens einmal im Monat","2007","Staedtischer Raum","maennlich","524","0.0834346885074599","0.0766125641958645","0.0902568128190552"
"Mindestens einmal im Monat","2007","Staedtischer Raum","weiblich","482","0.0625004938783237","0.0568368022253177","0.0681641855313297"
"Mindestens einmal im Monat","2007","Laendlicher Raum","maennlich","258","","",""
"Mindestens einmal im Monat","2007","Laendlicher Raum","weiblich","234","","",""
"Mindestens einmal die Woche","2007","Staedtischer Raum","maennlich","2285","","",""
"Mindestens einmal die Woche","2007","Staedtischer Raum","weiblich","2673","","",""
"Mindestens einmal die Woche","2007","Laendlicher Raum","maennlich","991","0.297457959002093","0.282112370568588","0.312803547435599"
"Mindestens einmal die Woche","2007","Laendlicher Raum","weiblich","1167","","",""
"Fast nie oder nie","2008","Staedtischer Raum","maennlich","1789","","",""
"Fast nie oder nie","2008","Staedtischer Raum","weiblich","2202","","",""
"Fast nie oder nie","2008","Laendlicher Raum","maennlich","1137","","",""
"Fast nie oder nie","2008","Laendlicher Raum","weiblich","1191","","",""
"Mehrmals im Jahr","2008","Staedtischer Raum","maennlich","1161","","",""
"Mehrmals im Jahr","2008","Staedtischer Raum","weiblich","1095","","",""
"Mehrmals im Jahr","2008","Laendlicher Raum","maennlich","707","0.213086065642737","0.198913784655789","0.227258346629685"
"Mehrmals im Jahr","2008","Laendlicher Raum","weiblich","682","0.198745214277969","0.185407983644955","0.212082444910983"
"Mindestens einmal im Monat","2008","Staedtischer Raum","maennlich","514","0.0872159437487968","0.0800467292695739","0.0943851582280198"
"Mindestens einmal im Monat","2008","Staedtischer Raum","weiblich","484","0.0682210371486005","0.0621448435192588","0.0742972307779421"
"Mindestens einmal im Monat","2008","Laendlicher Raum","maennlich","244","","",""
"Mindestens einmal im Monat","2008","Laendlicher Raum","weiblich","237","","",""
"Mindestens einmal die Woche","2008","Staedtischer Raum","maennlich","2486","","",""
"Mindestens einmal die Woche","2008","Staedtischer Raum","weiblich","2833","","",""
"Mindestens einmal die Woche","2008","Laendlicher Raum","maennlich","1119","","",""
"Mindestens einmal die Woche","2008","Laendlicher Raum","weiblich","1329","","",""
"Fast nie oder nie","2009","Staedtischer Raum","maennlich","1921","","",""
"Fast nie oder nie","2009","Staedtischer Raum","weiblich","2253","","",""
"Fast nie oder nie","2009","Laendlicher Raum","maennlich","1276","","",""
"Fast nie oder nie","2009","Laendlicher Raum","weiblich","1415","","",""
"Mehrmals im Jahr","2009","Staedtischer Raum","maennlich","1043","","",""
"Mehrmals im Jahr","2009","Staedtischer Raum","weiblich","985","0.157795310949021","0.148646289439061","0.16694433245898"
"Mehrmals im Jahr","2009","Laendlicher Raum","maennlich","632","0.202765313391209","0.188529127994254","0.217001498788163"
"Mehrmals im Jahr","2009","Laendlicher Raum","weiblich","549","0.155663806103923","0.143220831424098","0.168106780783747"
"Mindestens einmal im Monat","2009","Staedtischer Raum","maennlich","467","0.0892650825141747","0.0817263029975711","0.0968038620307783"
"Mindestens einmal im Monat","2009","Staedtischer Raum","weiblich","394","0.0618497657472945","0.0558043802535855","0.0678951512410036"
"Mindestens einmal im Monat","2009","Laendlicher Raum","maennlich","231","","",""
"Mindestens einmal im Monat","2009","Laendlicher Raum","weiblich","238","","",""
"Mindestens einmal die Woche","2009","Staedtischer Raum","maennlich","2064","","",""
"Mindestens einmal die Woche","2009","Staedtischer Raum","weiblich","2467","","",""
"Mindestens einmal die Woche","2009","Laendlicher Raum","maennlich","925","0.309730232080435","0.293358111448942","0.326102352711929"
"Mindestens einmal die Woche","2009","Laendlicher Raum","weiblich","1059","","",""
"Fast nie oder nie","2010","Staedtischer Raum","maennlich","","","",""
"Fast nie oder nie","2010","Staedtischer Raum","weiblich","","","",""
"Fast nie oder nie","2010","Laendlicher Raum","maennlich","","","",""
"Fast nie oder nie","2010","Laendlicher Raum","weiblich","","","",""
"Mehrmals im Jahr","2010","Staedtischer Raum","maennlich","","","",""
"Mehrmals im Jahr","2010","Staedtischer Raum","weiblich","","","",""
"Mehrmals im Jahr","2010","Laendlicher Raum","maennlich","","","",""
"Mehrmals im Jahr","2010","Laendlicher Raum","weiblich","","","",""
"Mindestens einmal im Monat","2010","Staedtischer Raum","maennlich","","","",""
"Mindestens einmal im Monat","2010","Staedtischer Raum","weiblich","","","",""
"Mindestens einmal im Monat","2010","Laendlicher Raum","maennlich","","","",""
"Mindestens einmal im Monat","2010","Laendlicher Raum","weiblich","","","",""
"Mindestens einmal die Woche","2010","Staedtischer Raum","maennlich","","","",""
"Mindestens einmal die Woche","2010","Staedtischer Raum","weiblich","","","",""
"Mindestens einmal die Woche","2010","Laendlicher Raum","maennlich","","","",""
"Mindestens einmal die Woche","2010","Laendlicher Raum","weiblich","","","",""
"Fast nie oder nie","2011","Staedtischer Raum","maennlich","2991","","",""
"Fast nie oder nie","2011","Staedtischer Raum","weiblich","3929","0.404611594275838","0.394964714158928","0.414258474392749"
"Fast nie oder nie","2011","Laendlicher Raum","maennlich","2103","","",""
"Fast nie oder nie","2011","Laendlicher Raum","weiblich","2499","","",""
"Mehrmals im Jahr","2011","Staedtischer Raum","maennlich","1385","","",""
"Mehrmals im Jahr","2011","Staedtischer Raum","weiblich","1477","","",""
"Mehrmals im Jahr","2011","Laendlicher Raum","maennlich","809","0.173723403822783","0.162865242320464","0.184581565325101"
"Mehrmals im Jahr","2011","Laendlicher Raum","weiblich","912","0.163146390915131","0.153394500445022","0.172898281385239"
"Mindestens einmal im Monat","2011","Staedtischer Raum","maennlich","593","0.0740568131612302","0.0683618452890495","0.0797517810334108"
"Mindestens einmal im Monat","2011","Staedtischer Raum","weiblich","614","0.06247949084777","0.0577225619213948","0.0672364197741452"
"Mindestens einmal im Monat","2011","Laendlicher Raum","maennlich","298","","",""
"Mindestens einmal im Monat","2011","Laendlicher Raum","weiblich","301","0.0514174075419696","0.0455887572958862","0.0572460577880531"
"Mindestens einmal die Woche","2011","Staedtischer Raum","maennlich","3153","0.376043441400772","0.365508969119456","0.386577913682088"
"Mindestens einmal die Woche","2011","Staedtischer Raum","weiblich","3924","0.39026707281411","0.380679287232025","0.399854858396196"
"Mindestens einmal die Woche","2011","Laendlicher Raum","maennlich","1467","","",""
"Mindestens einmal die Woche","2011","Laendlicher Raum","weiblich","1803","","",""
"Fast nie oder nie","2012","Staedtischer Raum","maennlich","","","",""
"Fast nie oder nie","2012","Staedtischer Raum","weiblich","","","",""
"Fast nie oder nie","2012","Laendlicher Raum","maennlich","","","",""
"Fast nie oder nie","2012","Laendlicher Raum","weiblich","","","",""
"Mehrmals im Jahr","2012","Staedtischer Raum","maennlich","","","",""
"Mehrmals im Jahr","2012","Staedtischer Raum","weiblich","","","",""
"Mehrmals im Jahr","2012","Laendlicher Raum","maennlich","","","",""
"Mehrmals im Jahr","2012","Laendlicher Raum","weiblich","","","",""
"Mindestens einmal im Monat","2012","Staedtischer Raum","maennlich","","","",""
"Mindestens einmal im Monat","2012","Staedtischer Raum","weiblich","","","",""
"Mindestens einmal im Monat","2012","Laendlicher Raum","maennlich","","","",""
"Mindestens einmal im Monat","2012","Laendlicher Raum","weiblich","","","",""
"Mindestens einmal die Woche","2012","Staedtischer Raum","maennlich","","","",""
"Mindestens einmal die Woche","2012","Staedtischer Raum","weiblich","","","",""
"Mindestens einmal die Woche","2012","Laendlicher Raum","maennlich","","","",""
"Mindestens einmal die Woche","2012","Laendlicher Raum","weiblich","","","",""
"Fast nie oder nie","2013","Staedtischer Raum","maennlich","2242","","",""
"Fast nie oder nie","2013","Staedtischer Raum","weiblich","2892","","",""
"Fast nie oder nie","2013","Laendlicher Raum","maennlich","1506","","",""
"Fast nie oder nie","2013","Laendlicher Raum","weiblich","1788","","",""
"Mehrmals im Jahr","2013","Staedtischer Raum","maennlich","1061","","",""
"Mehrmals im Jahr","2013","Staedtischer Raum","weiblich","1089","","",""
"Mehrmals im Jahr","2013","Laendlicher Raum","maennlich","759","0.176069169249764","0.164623626737254","0.187514711762273"
"Mehrmals im Jahr","2013","Laendlicher Raum","weiblich","745","0.149286049111379","0.139451330426439","0.15912076779632"
"Mindestens einmal im Monat","2013","Staedtischer Raum","maennlich","403","0.0581689571610719","0.052774086345889","0.0635638279762547"
"Mindestens einmal im Monat","2013","Staedtischer Raum","weiblich","398","0.0466381281058034","0.0422462199117386","0.0510300362998681"
"Mindestens einmal im Monat","2013","Laendlicher Raum","maennlich","210","","",""
"Mindestens einmal im Monat","2013","Laendlicher Raum","weiblich","237","","",""
"Mindestens einmal die Woche","2013","Staedtischer Raum","maennlich","3525","0.489567308145322","0.478045401400031","0.501089214890612"
"Mindestens einmal die Woche","2013","Staedtischer Raum","weiblich","4476","0.510425748789116","0.50001386338013","0.520837634198101"
"Mindestens einmal die Woche","2013","Laendlicher Raum","maennlich","1779","","",""
"Mindestens einmal die Woche","2013","Laendlicher Raum","weiblich","2274","","",""
"Fast nie oder nie","2014","Staedtischer Raum","maennlich","","","",""
"Fast nie oder nie","2014","Staedtischer Raum","weiblich","","","",""
"Fast nie oder nie","2014","Laendlicher Raum","maennlich","","","",""
"Fast nie oder nie","2014","Laendlicher Raum","weiblich","","","",""
"Mehrmals im Jahr","2014","Staedtischer Raum","maennlich","","","",""
"Mehrmals im Jahr","2014","Staedtischer Raum","weiblich","","","",""
"Mehrmals im Jahr","2014","Laendlicher Raum","maennlich","","","",""
"Mehrmals im Jahr","2014","Laendlicher Raum","weiblich","","","",""
"Mindestens einmal im Monat","2014","Staedtischer Raum","maennlich","","","",""
"Mindestens einmal im Monat","2014","Staedtischer Raum","weiblich","","","",""
"Mindestens einmal im Monat","2014","Laendlicher Raum","maennlich","","","",""
"Mindestens einmal im Monat","2014","Laendlicher Raum","weiblich","","","",""
"Mindestens einmal die Woche","2014","Staedtischer Raum","maennlich","","","",""
"Mindestens einmal die Woche","2014","Staedtischer Raum","weiblich","","","",""
"Mindestens einmal die Woche","2014","Laendlicher Raum","maennlich","","","",""
"Mindestens einmal die Woche","2014","Laendlicher Raum","weiblich","","","",""
"Fast nie oder nie","2015","Staedtischer Raum","maennlich","2804","","",""
"Fast nie oder nie","2015","Staedtischer Raum","weiblich","3579","0.376013445200623","0.366239059820127","0.385787830581119"
"Fast nie oder nie","2015","Laendlicher Raum","maennlich","1857","","",""
"Fast nie oder nie","2015","Laendlicher Raum","weiblich","2106","","",""
"Mehrmals im Jahr","2015","Staedtischer Raum","maennlich","1134","","",""
"Mehrmals im Jahr","2015","Staedtischer Raum","weiblich","1192","","",""
"Mehrmals im Jahr","2015","Laendlicher Raum","maennlich","678","0.162022282064389","0.151026866991732","0.173017697137045"
"Mehrmals im Jahr","2015","Laendlicher Raum","weiblich","669","0.144230031589917","0.134474462711185","0.153985600468648"
"Mindestens einmal im Monat","2015","Staedtischer Raum","maennlich","487","0.0609330327492051","0.0556781112062615","0.0661879542921488"
"Mindestens einmal im Monat","2015","Staedtischer Raum","weiblich","443","0.0540640074021616","0.0495006430309441","0.0586273717733791"
"Mindestens einmal im Monat","2015","Laendlicher Raum","maennlich","254","","",""
"Mindestens einmal im Monat","2015","Laendlicher Raum","weiblich","255","","",""
"Mindestens einmal die Woche","2015","Staedtischer Raum","maennlich","3535","0.452873894535129","0.441938765321989","0.463809023748268"
"Mindestens einmal die Woche","2015","Staedtischer Raum","weiblich","4220","0.457704361905818","0.447651013437035","0.467757710374601"
"Mindestens einmal die Woche","2015","Laendlicher Raum","maennlich","1525","","",""
"Mindestens einmal die Woche","2015","Laendlicher Raum","weiblich","1952","","",""
"Fast nie oder nie","2016","Staedtischer Raum","maennlich","","","",""
"Fast nie oder nie","2016","Staedtischer Raum","weiblich","","","",""
"Fast nie oder nie","2016","Laendlicher Raum","maennlich","","","",""
"Fast nie oder nie","2016","Laendlicher Raum","weiblich","","","",""
"Mehrmals im Jahr","2016","Staedtischer Raum","maennlich","","","",""
"Mehrmals im Jahr","2016","Staedtischer Raum","weiblich","","","",""
"Mehrmals im Jahr","2016","Laendlicher Raum","maennlich","","","",""
"Mehrmals im Jahr","2016","Laendlicher Raum","weiblich","","","",""
"Mindestens einmal im Monat","2016","Staedtischer Raum","maennlich","","","",""
"Mindestens einmal im Monat","2016","Staedtischer Raum","weiblich","","","",""
"Mindestens einmal im Monat","2016","Laendlicher Raum","maennlich","","","",""
"Mindestens einmal im Monat","2016","Laendlicher Raum","weiblich","","","",""
"Mindestens einmal die Woche","2016","Staedtischer Raum","maennlich","","","",""
"Mindestens einmal die Woche","2016","Staedtischer Raum","weiblich","","","",""
"Mindestens einmal die Woche","2016","Laendlicher Raum","maennlich","","","",""
"Mindestens einmal die Woche","2016","Laendlicher Raum","weiblich","","","",""
"Fast nie oder nie","2017","Staedtischer Raum","maennlich","3176","0.327275515334095","0.317781947311986","0.336769083356204"
"Fast nie oder nie","2017","Staedtischer Raum","weiblich","4024","0.360694215748324","0.351479808704894","0.369908622791754"
"Fast nie oder nie","2017","Laendlicher Raum","maennlich","2094","","",""
"Fast nie oder nie","2017","Laendlicher Raum","weiblich","2388","","",""
"Mehrmals im Jahr","2017","Staedtischer Raum","maennlich","1307","","",""
"Mehrmals im Jahr","2017","Staedtischer Raum","weiblich","1262","","",""
"Mehrmals im Jahr","2017","Laendlicher Raum","maennlich","795","0.153014530680411","0.143133325845724","0.162895735515098"
"Mehrmals im Jahr","2017","Laendlicher Raum","weiblich","719","0.130349277272026","0.121462558126395","0.139235996417658"
"Mindestens einmal im Monat","2017","Staedtischer Raum","maennlich","541","0.0563027426015684","0.0516389931261044","0.0609664920770325"
"Mindestens einmal im Monat","2017","Staedtischer Raum","weiblich","476","0.0460926633098085","0.0420690847674547","0.0501162418521622"
"Mindestens einmal im Monat","2017","Laendlicher Raum","maennlich","292","","",""
"Mindestens einmal im Monat","2017","Laendlicher Raum","weiblich","254","","",""
"Mindestens einmal die Woche","2017","Staedtischer Raum","maennlich","4360","0.471664608519416","0.461564510505161","0.481764706533672"
"Mindestens einmal die Woche","2017","Staedtischer Raum","weiblich","4671","0.486015327381113","0.476424776487657","0.49560587827457"
"Mindestens einmal die Woche","2017","Laendlicher Raum","maennlich","1918","","",""
"Mindestens einmal die Woche","2017","Laendlicher Raum","weiblich","2153","","",""
"Fast nie oder nie","2018","Staedtischer Raum","maennlich","540","0.362696534660587","0.337302835864025","0.388090233457149"
"Fast nie oder nie","2018","Staedtischer Raum","weiblich","560","0.595147122406103","0.563734264044438","0.626559980767767"
"Fast nie oder nie","2018","Laendlicher Raum","maennlich","215","","",""
"Fast nie oder nie","2018","Laendlicher Raum","weiblich","213","","",""
"Mehrmals im Jahr","2018","Staedtischer Raum","maennlich","246","","",""
"Mehrmals im Jahr","2018","Staedtischer Raum","weiblich","146","","",""
"Mehrmals im Jahr","2018","Laendlicher Raum","maennlich","59","0.136090993691303","0.106096265841771","0.166085721540836"
"Mehrmals im Jahr","2018","Laendlicher Raum","weiblich","63","0.211049958009729","0.168300417048147","0.253799498971311"
"Mindestens einmal im Monat","2018","Staedtischer Raum","maennlich","99","0.0929376986924062","0.0776022800325326","0.10827311735228"
"Mindestens einmal im Monat","2018","Staedtischer Raum","weiblich","44","0.0437530716134036","0.0306631823643858","0.0568429608624215"
"Mindestens einmal im Monat","2018","Laendlicher Raum","maennlich","29","","",""
"Mindestens einmal im Monat","2018","Laendlicher Raum","weiblich","7","0.00876261726330134","-0.0010012041305367","0.0185264386571394"
"Mindestens einmal die Woche","2018","Staedtischer Raum","maennlich","492","0.388898084281543","0.363149352377925","0.414646816185161"
"Mindestens einmal die Woche","2018","Staedtischer Raum","weiblich","188","","",""
"Mindestens einmal die Woche","2018","Laendlicher Raum","maennlich","199","","",""
"Mindestens einmal die Woche","2018","Laendlicher Raum","weiblich","67","0.170300090625979","0.130919517740501","0.209680663511458"
"Fast nie oder nie","2019","Staedtischer Raum","maennlich","2429","","",""
"Fast nie oder nie","2019","Staedtischer Raum","weiblich","2812","","",""
"Fast nie oder nie","2019","Laendlicher Raum","maennlich","1433","","",""
"Fast nie oder nie","2019","Laendlicher Raum","weiblich","1607","","",""
"Mehrmals im Jahr","2019","Staedtischer Raum","maennlich","1160","","",""
"Mehrmals im Jahr","2019","Staedtischer Raum","weiblich","1164","","",""
"Mehrmals im Jahr","2019","Laendlicher Raum","maennlich","742","0.159746461887943","0.149312168518861","0.170180755257025"
"Mehrmals im Jahr","2019","Laendlicher Raum","weiblich","646","0.139671092934296","0.129996736580109","0.149345449288484"
"Mindestens einmal im Monat","2019","Staedtischer Raum","maennlich","473","0.0511816198153385","0.0466536886467089","0.0557095509839681"
"Mindestens einmal im Monat","2019","Staedtischer Raum","weiblich","366","0.04150799528762","0.0375035811784517","0.0455124093967883"
"Mindestens einmal im Monat","2019","Laendlicher Raum","maennlich","269","","",""
"Mindestens einmal im Monat","2019","Laendlicher Raum","weiblich","209","","",""
"Mindestens einmal die Woche","2019","Staedtischer Raum","maennlich","5037","0.55682492820232","0.546617924900957","0.567031931503684"
"Mindestens einmal die Woche","2019","Staedtischer Raum","weiblich","5189","0.554646463559945","0.544668556990013","0.564624370129878"
"Mindestens einmal die Woche","2019","Laendlicher Raum","maennlich","2292","","",""
"Mindestens einmal die Woche","2019","Laendlicher Raum","weiblich","2470","","",""
