"pli0093_h","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Seltener","2007","Staedtischer Raum","weiblich","1832","0.252335119490234","0.242155592055279","0.262514646925189"
"Seltener","2007","Laendlicher Raum","maennlich","856","0.238336825698339","0.224013312144611","0.252660339252067"
"Seltener","2007","Laendlicher Raum","weiblich","993","0.250767766990729","0.236694238723462","0.264841295257996"
"Nie","2007","Staedtischer Raum","maennlich","3592","0.5904667552857","0.578304599116824","0.602628911454576"
"Nie","2007","Staedtischer Raum","weiblich","3654","0.55876149179604","0.547124647726899","0.570398335865181"
"Nie","2007","Laendlicher Raum","maennlich","2040","0.630107360286815","0.613877393545744","0.646337327027885"
"Nie","2007","Laendlicher Raum","weiblich","1952","0.567011930305324","0.550924266927747","0.583099593682901"
"Taeglich","2008","Staedtischer Raum","maennlich","187","0.0308413711779251","0.0264506584945508","0.0352320838612993"
"Taeglich","2008","Staedtischer Raum","weiblich","194","0.0256171930220856","0.0218125097798207","0.0294218762643505"
"Taeglich","2008","Laendlicher Raum","maennlich","69","0.0185303064337507","0.0138643252837258","0.0231962875837757"
"Taeglich","2008","Laendlicher Raum","weiblich","84","0.0226744446786275","0.0177013054809713","0.0276475838762836"
"Min 1x pro Woche","2008","Staedtischer Raum","maennlich","612","0.100876320504656","0.0932278414689673","0.108524799540344"
"Min 1x pro Woche","2008","Staedtischer Raum","weiblich","819","0.108909430642361","0.101407352272302","0.11641150901242"
"Min 1x pro Woche","2008","Laendlicher Raum","maennlich","294","0.084151762764903","0.0745465586492456","0.0937569668805603"
"Min 1x pro Woche","2008","Laendlicher Raum","weiblich","357","0.0982016355173267","0.0882600251062665","0.108143245928387"
"Min 1x pro Monat","2008","Staedtischer Raum","maennlich","460","0.0769101651835637","0.0701433455179197","0.0836769848492077"
"Min 1x pro Monat","2008","Staedtischer Raum","weiblich","743","0.103845427405727","0.0964990526195393","0.111191802191915"
"Min 1x pro Monat","2008","Laendlicher Raum","maennlich","213","0.0635626168914393","0.0551214305359495","0.0720038032469291"
"Min 1x pro Monat","2008","Laendlicher Raum","weiblich","327","0.0849534353171672","0.0756390386687036","0.0942678319656308"
"Seltener","2008","Staedtischer Raum","maennlich","1473","0.236280962406913","0.225492689593282","0.247069235220544"
"Seltener","2008","Staedtischer Raum","weiblich","1737","0.259933990205384","0.249371782709452","0.270496197701316"
"Seltener","2008","Laendlicher Raum","maennlich","781","0.232122967912648","0.217515729129752","0.246730206695544"
"Seltener","2008","Laendlicher Raum","weiblich","934","0.270905986709716","0.256058815199928","0.285753158219503"
"Nie","2008","Staedtischer Raum","maennlich","3224","0.555091180726942","0.542470336179898","0.567712025273987"
"Nie","2008","Staedtischer Raum","weiblich","3131","0.501693958724443","0.48965315599904","0.513734761449846"
"Nie","2008","Laendlicher Raum","maennlich","1852","0.601632345997259","0.584694005641333","0.618570686353184"
"Nie","2008","Laendlicher Raum","weiblich","1740","0.523264497777163","0.506578889622605","0.539950105931721"
"Taeglich","2009","Staedtischer Raum","maennlich","","","",""
"Taeglich","2009","Staedtischer Raum","weiblich","","","",""
"Taeglich","2009","Laendlicher Raum","maennlich","","","",""
"Taeglich","2009","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Woche","2009","Staedtischer Raum","maennlich","584","0.104713096532264","0.0966035235174861","0.112822669547043"
"Min 1x pro Woche","2009","Staedtischer Raum","weiblich","775","0.116177813654906","0.108116648948679","0.124238978361133"
"Min 1x pro Woche","2009","Laendlicher Raum","maennlich","276","0.0791778247952833","0.06960297098883","0.0887526786017366"
"Min 1x pro Woche","2009","Laendlicher Raum","weiblich","342","0.10032449457725","0.0899940342580001","0.110654954896499"
"Min 1x pro Monat","2009","Staedtischer Raum","maennlich","389","0.069899377420634","0.0631460470990626","0.0766527077422054"
"Min 1x pro Monat","2009","Staedtischer Raum","weiblich","574","0.0923395146453285","0.0850565323578594","0.0996224969327977"
"Min 1x pro Monat","2009","Laendlicher Raum","maennlich","185","0.0649201113460145","0.0561832293503676","0.0736569933416614"
"Min 1x pro Monat","2009","Laendlicher Raum","weiblich","232","0.0740334236019306","0.0650304742406178","0.0830363729632434"
"Seltener","2009","Staedtischer Raum","maennlich","1495","0.274839155364024","0.26301492595998","0.286663384768068"
"Seltener","2009","Staedtischer Raum","weiblich","1725","0.275968240553379","0.264723172028942","0.287213309077816"
"Seltener","2009","Laendlicher Raum","maennlich","795","0.252338586656037","0.236936243303829","0.267740930008246"
"Seltener","2009","Laendlicher Raum","weiblich","921","0.267001495125625","0.25178965941333","0.28221333083792"
"Nie","2009","Staedtischer Raum","maennlich","3008","0.550548370683078","0.537373219975481","0.563723521390675"
"Nie","2009","Staedtischer Raum","weiblich","2996","0.515514431146387","0.502942135597052","0.528086726695722"
"Nie","2009","Laendlicher Raum","maennlich","1799","0.603563477202665","0.586217818822159","0.62090913558317"
"Nie","2009","Laendlicher Raum","weiblich","1754","0.558640586695195","0.541566571061686","0.575714602328704"
"Taeglich","2010","Staedtischer Raum","maennlich","","","",""
"Taeglich","2010","Staedtischer Raum","weiblich","","","",""
"Taeglich","2010","Laendlicher Raum","maennlich","","","",""
"Taeglich","2010","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Woche","2010","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Woche","2010","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Woche","2010","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Woche","2010","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Monat","2010","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Monat","2010","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Monat","2010","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Monat","2010","Laendlicher Raum","weiblich","","","",""
"Seltener","2010","Staedtischer Raum","maennlich","","","",""
"Seltener","2010","Staedtischer Raum","weiblich","","","",""
"Seltener","2010","Laendlicher Raum","maennlich","","","",""
"Seltener","2010","Laendlicher Raum","weiblich","","","",""
"Nie","2010","Staedtischer Raum","maennlich","","","",""
"Nie","2010","Staedtischer Raum","weiblich","","","",""
"Nie","2010","Laendlicher Raum","maennlich","","","",""
"Nie","2010","Laendlicher Raum","weiblich","","","",""
"Taeglich","2011","Staedtischer Raum","maennlich","","","",""
"Taeglich","2011","Staedtischer Raum","weiblich","","","",""
"Taeglich","2011","Laendlicher Raum","maennlich","","","",""
"Taeglich","2011","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Woche","2011","Staedtischer Raum","maennlich","943","0.107667016061356","0.100919827984756","0.114414204137955"
"Min 1x pro Woche","2011","Staedtischer Raum","weiblich","1426","0.137851360364215","0.131071754057255","0.144630966671175"
"Min 1x pro Woche","2011","Laendlicher Raum","maennlich","431","0.088407404990735","0.0802653437133214","0.0965494662681487"
"Min 1x pro Woche","2011","Laendlicher Raum","weiblich","633","0.11195596941979","0.103635698340174","0.120276240499405"
"Min 1x pro Monat","2011","Staedtischer Raum","maennlich","524","0.0682164304127588","0.0627283555914219","0.0737045052340958"
"Min 1x pro Monat","2011","Staedtischer Raum","weiblich","835","0.081194105812833","0.0758227736343447","0.0865654379913212"
"Min 1x pro Monat","2011","Laendlicher Raum","maennlich","231","0.0511827779563289","0.0448624028039248","0.057503153108733"
"Min 1x pro Monat","2011","Laendlicher Raum","weiblich","387","0.0718898622689125","0.0650738528317096","0.0787058717061154"
"Seltener","2011","Staedtischer Raum","maennlich","1887","0.246526360958212","0.237144613929071","0.255908107987353"
"Seltener","2011","Staedtischer Raum","weiblich","2425","0.240648418556788","0.232241809909768","0.249055027203807"
"Seltener","2011","Laendlicher Raum","maennlich","1014","0.224613223096463","0.212643985009024","0.236582461183901"
"Seltener","2011","Laendlicher Raum","weiblich","1345","0.246669158104689","0.235294276136712","0.258044040072665"
"Nie","2011","Staedtischer Raum","maennlich","4753","0.577590192567674","0.566838052675653","0.588342332459694"
"Nie","2011","Staedtischer Raum","weiblich","5247","0.540306115266164","0.530505300572191","0.550106929960138"
"Nie","2011","Laendlicher Raum","maennlich","2994","0.635796593956473","0.621995269980129","0.649597917932818"
"Nie","2011","Laendlicher Raum","weiblich","3152","0.569485010206609","0.556419334148611","0.582550686264606"
"Taeglich","2012","Staedtischer Raum","maennlich","","","",""
"Taeglich","2012","Staedtischer Raum","weiblich","","","",""
"Taeglich","2012","Laendlicher Raum","maennlich","","","",""
"Taeglich","2012","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Woche","2012","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Woche","2012","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Woche","2012","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Woche","2012","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Monat","2012","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Monat","2012","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Monat","2012","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Monat","2012","Laendlicher Raum","weiblich","","","",""
"Seltener","2012","Staedtischer Raum","maennlich","","","",""
"Seltener","2012","Staedtischer Raum","weiblich","","","",""
"Seltener","2012","Laendlicher Raum","maennlich","","","",""
"Seltener","2012","Laendlicher Raum","weiblich","","","",""
"Nie","2012","Staedtischer Raum","maennlich","","","",""
"Nie","2012","Staedtischer Raum","weiblich","","","",""
"Nie","2012","Laendlicher Raum","maennlich","","","",""
"Nie","2012","Laendlicher Raum","weiblich","","","",""
"Taeglich","2013","Staedtischer Raum","maennlich","370","0.0467145113915758","0.0418522734459656","0.0515767493371859"
"Taeglich","2013","Staedtischer Raum","weiblich","419","0.0420947813841642","0.037912818562838","0.0462767442054904"
"Taeglich","2013","Laendlicher Raum","maennlich","138","0.0272185625118664","0.0223333709492802","0.0321037540744527"
"Taeglich","2013","Laendlicher Raum","weiblich","192","0.0360907791945074","0.0309475886216193","0.0412339697673955"
"Min 1x pro Woche","2013","Staedtischer Raum","maennlich","870","0.107157216116491","0.10003037594052","0.114284056292462"
"Min 1x pro Woche","2013","Staedtischer Raum","weiblich","1441","0.143367637532263","0.136069239045286","0.150666036019239"
"Min 1x pro Woche","2013","Laendlicher Raum","maennlich","410","0.0867125218623173","0.0782638969703752","0.0951611467542593"
"Min 1x pro Woche","2013","Laendlicher Raum","weiblich","655","0.113302791446742","0.104562530569087","0.122043052324398"
"Min 1x pro Monat","2013","Staedtischer Raum","maennlich","705","0.10271028348688","0.0957155347080282","0.109705032265732"
"Min 1x pro Monat","2013","Staedtischer Raum","weiblich","1057","0.113480864045078","0.106875296422828","0.120086431667327"
"Min 1x pro Monat","2013","Laendlicher Raum","maennlich","315","0.0665197010912272","0.0590385385413515","0.0740008636411029"
"Min 1x pro Monat","2013","Laendlicher Raum","weiblich","498","0.0936969974213518","0.0856614407853768","0.101732554057327"
"Seltener","2013","Staedtischer Raum","maennlich","1795","0.256814905085161","0.246748893628981","0.266880916541342"
"Seltener","2013","Staedtischer Raum","weiblich","2300","0.259876843861101","0.250743273965345","0.269010413756857"
"Seltener","2013","Laendlicher Raum","maennlich","1113","0.275784328878865","0.262367183684247","0.289201474073484"
"Seltener","2013","Laendlicher Raum","weiblich","1393","0.27169289184375","0.259426613014697","0.283959170672804"
"Nie","2013","Staedtischer Raum","maennlich","3496","0.486603083919892","0.475086786611829","0.498119381227954"
"Nie","2013","Staedtischer Raum","weiblich","3640","0.441179873177394","0.430839204238658","0.45152054211613"
"Nie","2013","Laendlicher Raum","maennlich","2286","0.543764885655724","0.528811439137282","0.558718332174165"
"Nie","2013","Laendlicher Raum","weiblich","2314","0.485216540093648","0.471435039419579","0.498998040767717"
"Taeglich","2014","Staedtischer Raum","maennlich","","","",""
"Taeglich","2014","Staedtischer Raum","weiblich","","","",""
"Taeglich","2014","Laendlicher Raum","maennlich","","","",""
"Taeglich","2014","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Woche","2014","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Woche","2014","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Woche","2014","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Woche","2014","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Monat","2014","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Monat","2014","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Monat","2014","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Monat","2014","Laendlicher Raum","weiblich","","","",""
"Seltener","2014","Staedtischer Raum","maennlich","","","",""
"Seltener","2014","Staedtischer Raum","weiblich","","","",""
"Seltener","2014","Laendlicher Raum","maennlich","","","",""
"Seltener","2014","Laendlicher Raum","weiblich","","","",""
"Nie","2014","Staedtischer Raum","maennlich","","","",""
"Nie","2014","Staedtischer Raum","weiblich","","","",""
"Nie","2014","Laendlicher Raum","maennlich","","","",""
"Nie","2014","Laendlicher Raum","weiblich","","","",""
"Taeglich","2015","Staedtischer Raum","maennlich","","","",""
"Taeglich","2015","Staedtischer Raum","weiblich","","","",""
"Taeglich","2015","Laendlicher Raum","maennlich","","","",""
"Taeglich","2015","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Woche","2015","Staedtischer Raum","maennlich","897","0.118972479228561","0.111856610977708","0.126088347479413"
"Min 1x pro Woche","2015","Staedtischer Raum","weiblich","1412","0.153392355052171","0.146122846623229","0.160661863481113"
"Min 1x pro Woche","2015","Laendlicher Raum","maennlich","388","0.0789928915801019","0.0709384443478207","0.087047338812383"
"Min 1x pro Woche","2015","Laendlicher Raum","weiblich","609","0.120750455997613","0.111706208892265","0.129794703102961"
"Min 1x pro Monat","2015","Staedtischer Raum","maennlich","545","0.0691297730159566","0.0635542316690781","0.0747053143628351"
"Min 1x pro Monat","2015","Staedtischer Raum","weiblich","844","0.0827644507630585","0.0772063751371881","0.0883225263889289"
"Min 1x pro Monat","2015","Laendlicher Raum","maennlich","232","0.0504052524095699","0.0438721826958607","0.0569383221232791"
"Min 1x pro Monat","2015","Laendlicher Raum","weiblich","374","0.078784478128438","0.0713066942570639","0.0862622619998122"
"Seltener","2015","Staedtischer Raum","maennlich","1812","0.234099524251313","0.224792810840786","0.243406237661839"
"Seltener","2015","Staedtischer Raum","weiblich","2268","0.236320948997777","0.227751189312554","0.244890708683"
"Seltener","2015","Laendlicher Raum","maennlich","964","0.222468431147481","0.210048949921894","0.234887912373069"
"Seltener","2015","Laendlicher Raum","weiblich","1165","0.229488636560394","0.21781672277928","0.241160550341507"
"Nie","2015","Staedtischer Raum","maennlich","4698","0.57779822350417","0.566942518464009","0.588653928544331"
"Nie","2015","Staedtischer Raum","weiblich","4916","0.527522245186994","0.517451231970295","0.537593258403693"
"Nie","2015","Laendlicher Raum","maennlich","2724","0.648133424862847","0.633873032985617","0.662393816740077"
"Nie","2015","Laendlicher Raum","weiblich","2838","0.570976429313555","0.557238489143118","0.584714369483993"
"Taeglich","2016","Staedtischer Raum","maennlich","","","",""
"Taeglich","2016","Staedtischer Raum","weiblich","","","",""
"Taeglich","2016","Laendlicher Raum","maennlich","","","",""
"Taeglich","2016","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Woche","2016","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Woche","2016","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Woche","2016","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Woche","2016","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Monat","2016","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Monat","2016","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Monat","2016","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Monat","2016","Laendlicher Raum","weiblich","","","",""
"Seltener","2016","Staedtischer Raum","maennlich","","","",""
"Seltener","2016","Staedtischer Raum","weiblich","","","",""
"Seltener","2016","Laendlicher Raum","maennlich","","","",""
"Seltener","2016","Laendlicher Raum","weiblich","","","",""
"Nie","2016","Staedtischer Raum","maennlich","","","",""
"Nie","2016","Staedtischer Raum","weiblich","","","",""
"Nie","2016","Laendlicher Raum","maennlich","","","",""
"Nie","2016","Laendlicher Raum","weiblich","","","",""
"Taeglich","2017","Staedtischer Raum","maennlich","36","0.000275579176095316","-6.01955714707596e-05","0.000611353923661392"
"Taeglich","2017","Staedtischer Raum","weiblich","30","0.000182845340614477","-7.65377649382202e-05","0.000442228446167175"
"Taeglich","2017","Laendlicher Raum","maennlich","20","","",""
"Taeglich","2017","Laendlicher Raum","weiblich","10","","",""
"Min 1x pro Woche","2017","Staedtischer Raum","maennlich","1089","0.124941498421355","0.11825256949408","0.131630427348629"
"Min 1x pro Woche","2017","Staedtischer Raum","weiblich","1612","0.158767757244636","0.151756780045172","0.1657787344441"
"Min 1x pro Woche","2017","Laendlicher Raum","maennlich","451","0.0979541060363328","0.0897912100917833","0.106117001980882"
"Min 1x pro Woche","2017","Laendlicher Raum","weiblich","748","0.129007954123597","0.120152227184306","0.137863681062887"
"Min 1x pro Monat","2017","Staedtischer Raum","maennlich","655","0.0699785358105905","0.0648177766316482","0.0751392949895328"
"Min 1x pro Monat","2017","Staedtischer Raum","weiblich","921","0.0920954666143925","0.0865482048048443","0.0976427284239407"
"Min 1x pro Monat","2017","Laendlicher Raum","maennlich","328","0.0634270145239937","0.0567339260006659","0.0701201030473214"
"Min 1x pro Monat","2017","Laendlicher Raum","weiblich","462","0.0989083852817857","0.0910214203736644","0.106795350189907"
"Seltener","2017","Staedtischer Raum","maennlich","2122","0.239938894734387","0.231299978489293","0.248577810979481"
"Seltener","2017","Staedtischer Raum","weiblich","2547","0.250025134614985","0.241717935235546","0.258332333994424"
"Seltener","2017","Laendlicher Raum","maennlich","1135","0.239033635989492","0.227321641486817","0.250745630492166"
"Seltener","2017","Laendlicher Raum","weiblich","1350","0.254801951302045","0.243290075176461","0.266313827427629"
"Nie","2017","Staedtischer Raum","maennlich","5485","0.564865491857573","0.554836230078019","0.574894753637126"
"Nie","2017","Staedtischer Raum","weiblich","5328","0.498928796185372","0.489336812036391","0.508520780334353"
"Nie","2017","Laendlicher Raum","maennlich","3160","0.59931748063414","0.585860510417625","0.612774450850655"
"Nie","2017","Laendlicher Raum","weiblich","2934","0.517206525603089","0.504005077524299","0.530407973681879"
"Taeglich","2018","Staedtischer Raum","maennlich","22","","",""
"Taeglich","2018","Staedtischer Raum","weiblich","15","","",""
"Taeglich","2018","Laendlicher Raum","maennlich","12","","",""
"Taeglich","2018","Laendlicher Raum","weiblich","5","","",""
"Min 1x pro Woche","2018","Staedtischer Raum","maennlich","70","0.0724754124129687","0.0587711771653444","0.0861796476605931"
"Min 1x pro Woche","2018","Staedtischer Raum","weiblich","52","0.0713304466781885","0.0548508578742971","0.0878100354820799"
"Min 1x pro Woche","2018","Laendlicher Raum","maennlich","29","","",""
"Min 1x pro Woche","2018","Laendlicher Raum","weiblich","20","","",""
"Min 1x pro Monat","2018","Staedtischer Raum","maennlich","94","0.0735382023903047","0.0597417634022663","0.0873346413783431"
"Min 1x pro Monat","2018","Staedtischer Raum","weiblich","65","0.0656285485363256","0.0497728830194322","0.081484214053219"
"Min 1x pro Monat","2018","Laendlicher Raum","maennlich","33","0.0722008413672915","0.0496272573127835","0.0947744254217994"
"Min 1x pro Monat","2018","Laendlicher Raum","weiblich","18","","",""
"Seltener","2018","Staedtischer Raum","maennlich","263","0.175174426200237","0.155082889609273","0.195265962791201"
"Seltener","2018","Staedtischer Raum","weiblich","155","0.169249318816177","0.145240150661417","0.193258486970937"
"Seltener","2018","Laendlicher Raum","maennlich","90","0.163527325832489","0.131270364889685","0.195784286775293"
"Seltener","2018","Laendlicher Raum","weiblich","49","0.170207491023336","0.130891554727187","0.209523427319485"
"Nie","2018","Staedtischer Raum","maennlich","926","0.649247669248849","0.62402435071992","0.674470987777779"
"Nie","2018","Staedtischer Raum","weiblich","650","0.664837242647056","0.634612414325701","0.69506207096841"
"Nie","2018","Laendlicher Raum","maennlich","341","0.624233545007112","0.581992470473967","0.666474619540258"
"Nie","2018","Laendlicher Raum","weiblich","259","0.732654279442535","0.686354310845138","0.778954248039933"
"Taeglich","2019","Staedtischer Raum","maennlich","401","0.043596821343584","0.039400249546058","0.04779339314111"
"Taeglich","2019","Staedtischer Raum","weiblich","505","0.052802893536172","0.0483128486452707","0.0572929384270734"
"Taeglich","2019","Laendlicher Raum","maennlich","156","0.0301499880251907","0.0252767976207418","0.0350231784296396"
"Taeglich","2019","Laendlicher Raum","weiblich","223","0.0414721338602548","0.0359077495235854","0.0470365181969242"
"Min 1x pro Woche","2019","Staedtischer Raum","maennlich","953","0.112274839518837","0.105786594748459","0.118763084289215"
"Min 1x pro Woche","2019","Staedtischer Raum","weiblich","1359","0.144354545695218","0.137298460812908","0.151410630577528"
"Min 1x pro Woche","2019","Laendlicher Raum","maennlich","422","0.0893265668124563","0.081198464239921","0.0974546693849915"
"Min 1x pro Woche","2019","Laendlicher Raum","weiblich","669","0.139413136851725","0.129746269422225","0.149080004281225"
"Min 1x pro Monat","2019","Staedtischer Raum","maennlich","781","0.0820771563311363","0.0764360929548758","0.0877182197073968"
"Min 1x pro Monat","2019","Staedtischer Raum","weiblich","1031","0.101189550456414","0.095134698479582","0.107244402433246"
"Min 1x pro Monat","2019","Laendlicher Raum","maennlich","355","0.0634948424522111","0.0565455301014344","0.0704441548029877"
"Min 1x pro Monat","2019","Laendlicher Raum","weiblich","490","0.097391982400619","0.0891173682133006","0.105666596587937"
"Seltener","2019","Staedtischer Raum","maennlich","1975","0.233433420509028","0.22473974959125","0.242127091426807"
"Seltener","2019","Staedtischer Raum","weiblich","2253","0.253396906660293","0.244664233869423","0.262129579451163"
"Seltener","2019","Laendlicher Raum","maennlich","1034","0.224559989772358","0.212667910013622","0.236452069531095"
"Seltener","2019","Laendlicher Raum","weiblich","1204","0.251267471181318","0.239162380635769","0.263372561726867"
"Nie","2019","Staedtischer Raum","maennlich","4985","0.528617762297414","0.518358781376273","0.538876743218555"
"Nie","2019","Staedtischer Raum","weiblich","4382","0.448256103651903","0.438271438258443","0.458240769045362"
"Nie","2019","Laendlicher Raum","maennlich","2763","0.592468612937784","0.578465302205761","0.606471923669806"
"Nie","2019","Laendlicher Raum","weiblich","2346","0.470455275706083","0.456525406090353","0.484385145321813"
