,Unnamed: 0,year,age_gr,bula_h,pli0093_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
151,151,1995,46-65 y.,North Rhine-Westphalia,Never,0.56338,464,11707,0.5262,0.60739
152,152,1995,46-65 y.,Hesse,Seldom,0.33812,65,11707,0.2936,0.38603
153,153,1995,46-65 y.,Hesse,Never,0.66188,190,11707,0.58862,0.73236
154,154,1995,46-65 y.,"Rhineland-Palatinate, Saarland",Seldom,0.28212,40,11707,0.2436,0.31567
155,155,1995,46-65 y.,"Rhineland-Palatinate, Saarland",Never,0.71788,108,11707,0.64626,0.78888
156,156,1995,46-65 y.,Baden-Wuerttemberg,At least once per week,0.11607,36,11707,0.09768,0.13684
157,157,1995,46-65 y.,Baden-Wuerttemberg,Seldom,0.37682,142,11707,0.3256,0.42621
158,158,1995,46-65 y.,Baden-Wuerttemberg,Never,0.50711,303,11707,0.4591,0.56861
159,159,1995,46-65 y.,Bavaria,At least once per week,0.14679,57,11707,0.12992,0.16617
160,160,1995,46-65 y.,Bavaria,At least once per month,0.09571,41,11707,0.07869,0.1176
161,161,1995,46-65 y.,Bavaria,Seldom,0.30666,132,11707,0.27845,0.33858
162,162,1995,46-65 y.,Bavaria,Never,0.45084,256,11707,0.40918,0.48898
163,163,1995,46-65 y.,Berlin,Seldom,0.40298,58,11707,0.35404,0.45265
164,164,1995,46-65 y.,Berlin,Never,0.59702,90,11707,0.5088,0.68197
165,165,1995,46-65 y.,Brandenburg,Seldom,0.37507,61,11707,0.33489,0.41134
166,166,1995,46-65 y.,Brandenburg,Never,0.62493,97,11707,0.5737,0.70107
167,167,1995,46-65 y.,Mecklenburg-Western Pomerania,Seldom,0.37504,53,11707,0.32163,0.43401
168,168,1995,46-65 y.,Mecklenburg-Western Pomerania,Never,0.62496,78,11707,0.55665,0.69097
169,169,1995,46-65 y.,Saxony,Seldom,0.33416,114,11707,0.30313,0.36371
170,170,1995,46-65 y.,Saxony,Never,0.66584,201,11707,0.62252,0.71636
171,171,1995,46-65 y.,Saxony-Anhalt,Seldom,0.28678,66,11707,0.2524,0.3291
172,172,1995,46-65 y.,Saxony-Anhalt,Never,0.71322,141,11707,0.65311,0.77667
173,173,1995,46-65 y.,Thuringa,Seldom,0.25408,52,11707,0.22464,0.29471
174,174,1995,46-65 y.,Thuringa,Never,0.74592,114,11707,0.6638,0.82797
175,175,1995,66 and older,Lower Saxony,Never,1.0,79,11707,0.88328,1.11823
176,176,1995,66 and older,North Rhine-Westphalia,Seldom,0.18969,46,11707,0.16599,0.21307
177,177,1995,66 and older,North Rhine-Westphalia,Never,0.81031,186,11707,0.75522,0.86823
178,178,1995,66 and older,Hesse,Never,1.0,79,11707,0.89705,1.11962
179,179,1995,66 and older,"Rhineland-Palatinate, Saarland",Never,1.0,82,11707,0.86963,1.11772
180,180,1995,66 and older,Baden-Wuerttemberg,Seldom,0.2158,32,11707,0.16738,0.2586
181,181,1995,66 and older,Baden-Wuerttemberg,Never,0.7842,132,11707,0.71492,0.87047
182,182,1995,66 and older,Bavaria,Seldom,0.2204,32,11707,0.18589,0.25773
183,183,1995,66 and older,Bavaria,Never,0.7796,118,11707,0.71877,0.85242
184,184,1995,66 and older,Berlin,Never,1.0,39,11707,0.83018,1.15759
185,185,1995,66 and older,Brandenburg,Never,1.0,51,11707,0.88937,1.1158
186,186,1995,66 and older,Saxony,Never,1.0,104,11707,0.91706,1.07209
187,187,1995,66 and older,Saxony-Anhalt,Never,1.0,63,11707,0.90634,1.12862
188,188,1995,66 and older,Thuringa,Never,1.0,57,11707,0.89258,1.10531
189,189,1998,17-29 y.,Lower Saxony,At least once per week,0.16778,37,12514,0.14081,0.19567
190,190,1998,17-29 y.,Lower Saxony,Seldom,0.28446,67,12514,0.24491,0.32768
191,191,1998,17-29 y.,Lower Saxony,Never,0.54776,140,12514,0.48509,0.6055
192,192,1998,17-29 y.,North Rhine-Westphalia,At least once per week,0.16885,93,12514,0.1493,0.19176
193,193,1998,17-29 y.,North Rhine-Westphalia,At least once per month,0.07487,53,12514,0.06387,0.08563
194,194,1998,17-29 y.,North Rhine-Westphalia,Seldom,0.27324,169,12514,0.24591,0.30629
195,195,1998,17-29 y.,North Rhine-Westphalia,Never,0.48304,307,12514,0.4408,0.52727
196,196,1998,17-29 y.,Hesse,At least once per week,0.20257,33,12514,0.14811,0.26805
197,197,1998,17-29 y.,Hesse,Seldom,0.32065,61,12514,0.27734,0.37737
198,198,1998,17-29 y.,Hesse,Never,0.47677,79,12514,0.39247,0.5658
199,199,1998,17-29 y.,"Rhineland-Palatinate, Saarland",Seldom,0.29042,35,12514,0.24396,0.33445
200,200,1998,17-29 y.,"Rhineland-Palatinate, Saarland",Never,0.70958,97,12514,0.6089,0.82899
201,201,1998,17-29 y.,Baden-Wuerttemberg,At least once per week,0.1972,60,12514,0.15868,0.24315
202,202,1998,17-29 y.,Baden-Wuerttemberg,At least once per month,0.07739,34,12514,0.05976,0.09655
203,203,1998,17-29 y.,Baden-Wuerttemberg,Seldom,0.28,95,12514,0.23213,0.32807
204,204,1998,17-29 y.,Baden-Wuerttemberg,Never,0.44541,248,12514,0.40066,0.51095
205,205,1998,17-29 y.,Bavaria,At least once per week,0.19266,72,12514,0.16463,0.22861
206,206,1998,17-29 y.,Bavaria,At least once per month,0.15473,52,12514,0.12626,0.1918
207,207,1998,17-29 y.,Bavaria,Seldom,0.25019,113,12514,0.22564,0.27986
208,208,1998,17-29 y.,Bavaria,Never,0.40242,172,12514,0.3626,0.44477
