year,quintil_oecd,sex,plb0240,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2002,5th Quintile,female,Either,0.10317460317460317,28961,0.09967120380633795,0.10667800254286838
2003,1st Quintile,male,Full-time,0.747072599531616,27727,0.7419559699849687,0.7521892290782632
2003,1st Quintile,male,Either,0.1451990632318501,27727,0.14105220649285313,0.1493459199708471
2003,1st Quintile,male,I'm not sure yet,0.06557377049180328,27727,0.06266008803809141,0.06848745294551516
2003,1st Quintile,male,Part-time,0.04215456674473068,27727,0.03978932975824269,0.044519803731218666
2003,1st Quintile,female,Full-time,0.3849129593810445,27727,0.37918560329536405,0.3906403154667249
2003,1st Quintile,female,Part-time,0.3365570599613153,27727,0.3309949986579707,0.3421191212646599
2003,1st Quintile,female,Either,0.218568665377176,27727,0.2137041005948316,0.2234332301595204
2003,1st Quintile,female,I'm not sure yet,0.059961315280464215,27727,0.0571667576605142,0.06275587290041423
2003,2nd Quintile,male,Full-time,0.7689075630252101,27727,0.7639458166316013,0.7738693094188189
2003,2nd Quintile,male,Either,0.1638655462184874,27727,0.15950855670356812,0.16822253573340668
2003,2nd Quintile,male,Part-time,0.03361344537815126,27727,0.03149197689310571,0.035734913863196806
2003,2nd Quintile,male,I'm not sure yet,0.03361344537815126,27727,0.03149197689310571,0.035734913863196806
2003,2nd Quintile,female,Part-time,0.42710997442455245,27727,0.421287466108502,0.4329324827406029
2003,2nd Quintile,female,Full-time,0.29923273657289,27727,0.2938426457259782,0.30462282741980184
2003,2nd Quintile,female,Either,0.17647058823529413,27727,0.17198333732880086,0.1809578391417874
2003,2nd Quintile,female,I'm not sure yet,0.09718670076726342,27727,0.09370006144550354,0.1006733400890233
2003,3rd Quintile,male,Full-time,0.8113207547169812,27727,0.8067154010395367,0.8159261083944257
2003,3rd Quintile,male,Either,0.08962264150943396,27727,0.0862604362420971,0.09298484677677081
2003,3rd Quintile,male,Part-time,0.05660377358490566,27727,0.05388373922544724,0.059323807944364086
2003,3rd Quintile,male,I'm not sure yet,0.04245283018867924,27727,0.04007960995231517,0.04482605042504331
2003,3rd Quintile,female,Part-time,0.4627831715210356,27727,0.4569141160603655,0.46865222698170567
2003,3rd Quintile,female,Full-time,0.27184466019417475,27727,0.26660772677060807,0.27708159361774143
2003,3rd Quintile,female,Either,0.1553398058252427,27727,0.15107610205959288,0.15960350959089253
2003,3rd Quintile,female,I'm not sure yet,0.11003236245954692,27727,0.10634893640142488,0.11371578851766896
2003,4th Quintile,male,Full-time,0.7277777777777777,27727,0.7225385676989623,0.7330169878565932
2003,4th Quintile,male,Part-time,0.1111111111111111,27727,0.1074119170581852,0.11481030516403701
2003,4th Quintile,male,Either,0.08333333333333333,27727,0.0800800661924917,0.08658660047417496
2003,4th Quintile,male,I'm not sure yet,0.07777777777777778,27727,0.07462531340673832,0.08093024214881724
