"plb0196_h","year","bildungsniveau","regtyp","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Ja","2005","Realschule","Laendlicher Raum","664","0.676767190005828","0.647588426677425","0.70594595333423"
"Ja","2005","(Fach-)Abitur","Staedtischer Raum","475","0.678899637129048","0.64297859489339","0.714820679364706"
"Ja","2005","(Fach-)Abitur","Laendlicher Raum","126","0.679488472690531","0.612601712363386","0.746375233017676"
"Ja","2005","AkademikerIn","Staedtischer Raum","1013","0.78954463550525","0.767291563352312","0.811797707658188"
"Ja","2005","AkademikerIn","Laendlicher Raum","385","0.724270353429192","0.686332166429149","0.762208540429234"
"Nein","2005","(noch) kein Abschluss","Staedtischer Raum","13","","",""
"Nein","2005","(noch) kein Abschluss","Laendlicher Raum","3","","",""
"Nein","2005","Hauptschule","Staedtischer Raum","335","0.312387967779653","0.28488658072009","0.339889354839217"
"Nein","2005","Hauptschule","Laendlicher Raum","221","0.394342091360622","0.353865461863617","0.434818720857627"
"Nein","2005","Realschule","Staedtischer Raum","369","0.271414078908157","0.247559924204184","0.295268233612129"
"Nein","2005","Realschule","Laendlicher Raum","323","0.323232809994172","0.29405404666577","0.352411573322575"
"Nein","2005","(Fach-)Abitur","Staedtischer Raum","174","0.321100362870952","0.285179320635294","0.357021405106609"
"Nein","2005","(Fach-)Abitur","Laendlicher Raum","61","0.320511527309469","0.253624766982324","0.387398287636614"
"Nein","2005","AkademikerIn","Staedtischer Raum","276","0.21045536449475","0.188202292341812","0.232708436647688"
"Nein","2005","AkademikerIn","Laendlicher Raum","148","0.275729646570809","0.237791459570766","0.313667833570851"
"Ja","2006","(noch) kein Abschluss","Staedtischer Raum","12","","",""
"Ja","2006","(noch) kein Abschluss","Laendlicher Raum","6","","",""
"Ja","2006","Hauptschule","Staedtischer Raum","848","0.696674834662753","0.670545614585089","0.722804054740417"
"Ja","2006","Hauptschule","Laendlicher Raum","372","0.61037577148263","0.571708003264651","0.649043539700609"
"Ja","2006","Realschule","Staedtischer Raum","1065","0.732915031506454","0.710181435807434","0.755648627205474"
"Ja","2006","Realschule","Laendlicher Raum","763","0.698087963193289","0.670746034168349","0.72542989221823"
"Ja","2006","(Fach-)Abitur","Staedtischer Raum","522","0.729087330926239","0.696373650500869","0.761801011351609"
"Ja","2006","(Fach-)Abitur","Laendlicher Raum","163","0.666350158162627","0.605676411650262","0.727023904674992"
"Ja","2006","AkademikerIn","Staedtischer Raum","1184","0.804464430562986","0.78408542898967","0.824843432136303"
"Ja","2006","AkademikerIn","Laendlicher Raum","431","0.759532148010134","0.72469153689221","0.794372759128059"
"Nein","2006","(noch) kein Abschluss","Staedtischer Raum","9","","",""
"Nein","2006","(noch) kein Abschluss","Laendlicher Raum","6","","",""
"Nein","2006","Hauptschule","Staedtischer Raum","341","0.303325165337247","0.277195945259583","0.329454385414911"
"Nein","2006","Hauptschule","Laendlicher Raum","239","0.38962422851737","0.350956460299391","0.428291996735349"
"Nein","2006","Realschule","Staedtischer Raum","390","0.267084968493546","0.244351372794526","0.289818564192566"
"Nein","2006","Realschule","Laendlicher Raum","320","0.301912036806711","0.27457010778177","0.329253965831651"
"Nein","2006","(Fach-)Abitur","Staedtischer Raum","187","0.270912669073761","0.238198988648391","0.303626349499131"
"Nein","2006","(Fach-)Abitur","Laendlicher Raum","69","0.333649841837373","0.272976095325008","0.394323588349738"
"Nein","2006","AkademikerIn","Staedtischer Raum","271","0.195535569437014","0.175156567863698","0.21591457101033"
"Nein","2006","AkademikerIn","Laendlicher Raum","147","0.240467851989866","0.205627240871941","0.27530846310779"
"Ja","2007","(noch) kein Abschluss","Staedtischer Raum","9","","",""
"Ja","2007","(noch) kein Abschluss","Laendlicher Raum","5","","",""
"Ja","2007","Hauptschule","Staedtischer Raum","756","0.722976485109013","0.695816699308774","0.750136270909251"
"Ja","2007","Hauptschule","Laendlicher Raum","376","0.658264371830614","0.619293756577857","0.69723498708337"
"Ja","2007","Realschule","Staedtischer Raum","1024","0.770894451891733","0.748384577803278","0.793404325980188"
"Ja","2007","Realschule","Laendlicher Raum","715","0.689224302358127","0.660960323802222","0.717488280914032"
"Ja","2007","(Fach-)Abitur","Staedtischer Raum","507","0.804776891500971","0.774281858814237","0.835271924187705"
"Ja","2007","(Fach-)Abitur","Laendlicher Raum","164","0.708124142612084","0.650121754224665","0.766126530999502"
"Ja","2007","AkademikerIn","Staedtischer Raum","1088","0.80551402308852","0.784532136618759","0.82649590955828"
"Ja","2007","AkademikerIn","Laendlicher Raum","425","0.736032069028633","0.699686805696121","0.772377332361144"
"Nein","2007","(noch) kein Abschluss","Staedtischer Raum","12","","",""
"Nein","2007","(noch) kein Abschluss","Laendlicher Raum","2","","",""
"Nein","2007","Hauptschule","Staedtischer Raum","287","0.277023514890987","0.249863729090749","0.304183300691226"
"Nein","2007","Hauptschule","Laendlicher Raum","193","0.341735628169386","0.30276501291663","0.380706243422143"
"Nein","2007","Realschule","Staedtischer Raum","315","0.229105548108267","0.206595674019812","0.251615422196722"
"Nein","2007","Realschule","Laendlicher Raum","315","0.310775697641873","0.282511719085968","0.339039676197778"
"Nein","2007","(Fach-)Abitur","Staedtischer Raum","142","0.195223108499029","0.164728075812295","0.225718141185763"
"Nein","2007","(Fach-)Abitur","Laendlicher Raum","72","0.291875857387916","0.233873469000498","0.349878245775335"
"Nein","2007","AkademikerIn","Staedtischer Raum","279","0.19448597691148","0.17350409044172","0.215467863381241"
"Nein","2007","AkademikerIn","Laendlicher Raum","140","0.263967930971367","0.227622667638856","0.300313194303879"
"Ja","2008","(noch) kein Abschluss","Staedtischer Raum","17","","",""
"Ja","2008","(noch) kein Abschluss","Laendlicher Raum","2","","",""
"Ja","2008","Hauptschule","Staedtischer Raum","708","0.708726324011027","0.68069185025238","0.736760797769674"
"Ja","2008","Hauptschule","Laendlicher Raum","350","0.623221547291952","0.583264984058139","0.663178110525766"
"Ja","2008","Realschule","Staedtischer Raum","1003","0.75364407285124","0.730650483658241","0.776637662044239"
"Ja","2008","Realschule","Laendlicher Raum","712","0.676987906220764","0.64838812467198","0.705587687769548"
"Ja","2008","(Fach-)Abitur","Staedtischer Raum","465","0.752741555081385","0.718999868902657","0.786483241260113"
"Ja","2008","(Fach-)Abitur","Laendlicher Raum","158","0.675867907867545","0.614980555251856","0.736755260483233"
"Ja","2008","AkademikerIn","Staedtischer Raum","1049","0.793840232718778","0.772049461104362","0.815631004333194"
"Ja","2008","AkademikerIn","Laendlicher Raum","403","0.725210209528941","0.687276568851421","0.76314385020646"
"Nein","2008","(noch) kein Abschluss","Staedtischer Raum","10","","",""
"Nein","2008","(noch) kein Abschluss","Laendlicher Raum","4","","",""
"Nein","2008","Hauptschule","Staedtischer Raum","301","0.291273675988973","0.263239202230326","0.319308149747621"
"Nein","2008","Hauptschule","Laendlicher Raum","215","0.376778452708047","0.336821889474234","0.416735015941861"
"Nein","2008","Realschule","Staedtischer Raum","346","0.24635592714876","0.223362337955761","0.269349516341759"
"Nein","2008","Realschule","Laendlicher Raum","315","0.323012093779236","0.294412312230452","0.35161187532802"
"Nein","2008","(Fach-)Abitur","Staedtischer Raum","163","0.247258444918615","0.213516758739887","0.281000131097343"
"Nein","2008","(Fach-)Abitur","Laendlicher Raum","69","0.324132092132455","0.263244739516767","0.385019444748144"
"Nein","2008","AkademikerIn","Staedtischer Raum","275","0.206159767281222","0.184368995666806","0.227950538895638"
"Nein","2008","AkademikerIn","Laendlicher Raum","129","0.274789790471059","0.23685614979354","0.312723431148579"
"Ja","2009","(noch) kein Abschluss","Staedtischer Raum","12","","",""
"Ja","2009","(noch) kein Abschluss","Laendlicher Raum","3","","",""
"Ja","2009","Hauptschule","Staedtischer Raum","561","0.673429295471893","0.641659093470967","0.705199497472819"
"Ja","2009","Hauptschule","Laendlicher Raum","281","0.601913223248641","0.557846096137272","0.645980350360011"
"Ja","2009","Realschule","Staedtischer Raum","829","0.728016655334755","0.702208506674942","0.753824803994568"
"Ja","2009","Realschule","Laendlicher Raum","619","0.644219429783244","0.613695516594988","0.6747433429715"
"Ja","2009","(Fach-)Abitur","Staedtischer Raum","417","0.765569508337695","0.730942614797155","0.800196401878235"
"Ja","2009","(Fach-)Abitur","Laendlicher Raum","141","0.705149100489804","0.642268871740662","0.768029329238945"
"Ja","2009","AkademikerIn","Staedtischer Raum","934","0.784350835657074","0.76102297034308","0.807678700971069"
"Ja","2009","AkademikerIn","Laendlicher Raum","399","0.761322949825057","0.724719752671638","0.797926146978476"
"Nein","2009","(noch) kein Abschluss","Staedtischer Raum","7","","",""
"Nein","2009","(noch) kein Abschluss","Laendlicher Raum","3","","",""
"Nein","2009","Hauptschule","Staedtischer Raum","276","0.326570704528107","0.294800502527181","0.358340906529033"
"Nein","2009","Hauptschule","Laendlicher Raum","193","0.398086776751359","0.354019649639989","0.442153903862728"
"Nein","2009","Realschule","Staedtischer Raum","313","0.271983344665245","0.246175196005433","0.297791493325058"
"Nein","2009","Realschule","Laendlicher Raum","326","0.355780570216756","0.3252566570285","0.386304483405012"
"Nein","2009","(Fach-)Abitur","Staedtischer Raum","158","0.234430491662305","0.199803598121765","0.269057385202845"
"Nein","2009","(Fach-)Abitur","Laendlicher Raum","61","0.294850899510196","0.231970670761055","0.357731128259338"
"Nein","2009","AkademikerIn","Staedtischer Raum","260","0.215649164342926","0.192321299028931","0.23897702965692"
"Nein","2009","AkademikerIn","Laendlicher Raum","122","0.238677050174943","0.202073853021524","0.275280247328362"
"Ja","2010","(noch) kein Abschluss","Staedtischer Raum","21","","",""
"Ja","2010","(noch) kein Abschluss","Laendlicher Raum","12","","",""
"Ja","2010","Hauptschule","Staedtischer Raum","710","0.615025744117931","0.586792046412248","0.643259441823614"
"Ja","2010","Hauptschule","Laendlicher Raum","412","0.615113184488022","0.578406915762296","0.651819453213747"
"Ja","2010","Realschule","Staedtischer Raum","1098","0.693609024277135","0.670921252134109","0.716296796420161"
"Ja","2010","Realschule","Laendlicher Raum","861","0.621061846369561","0.594761474472155","0.647362218266968"
"Ja","2010","(Fach-)Abitur","Staedtischer Raum","599","0.718110690297236","0.687538860932563","0.748682519661909"
"Ja","2010","(Fach-)Abitur","Laendlicher Raum","209","0.657255452893837","0.603989396155838","0.710521509631836"
"Ja","2010","AkademikerIn","Staedtischer Raum","1307","0.779366784248689","0.759637398524595","0.799096169972783"
"Ja","2010","AkademikerIn","Laendlicher Raum","459","0.712176041025893","0.676766082347088","0.747585999704699"
"Nein","2010","(noch) kein Abschluss","Staedtischer Raum","13","","",""
"Nein","2010","(noch) kein Abschluss","Laendlicher Raum","6","","",""
"Nein","2010","Hauptschule","Staedtischer Raum","431","0.384974255882069","0.356740558176386","0.413207953587752"
"Nein","2010","Hauptschule","Laendlicher Raum","263","0.384886815511978","0.348180546786253","0.421593084237704"
"Nein","2010","Realschule","Staedtischer Raum","488","0.306390975722865","0.283703203579839","0.329078747865891"
"Nein","2010","Realschule","Laendlicher Raum","446","0.378938153630439","0.352637781733032","0.405238525527845"
"Nein","2010","(Fach-)Abitur","Staedtischer Raum","233","0.281889309702764","0.251317480338091","0.312461139067437"
"Nein","2010","(Fach-)Abitur","Laendlicher Raum","96","0.342744547106163","0.289478490368164","0.396010603844162"
"Nein","2010","AkademikerIn","Staedtischer Raum","390","0.220633215751311","0.200903830027217","0.240362601475405"
"Nein","2010","AkademikerIn","Laendlicher Raum","169","0.287823958974106","0.252414000295301","0.323233917652912"
"Ja","2011","(noch) kein Abschluss","Staedtischer Raum","43","0.784325501279057","0.677553291833667","0.891097710724447"
"Ja","2011","(noch) kein Abschluss","Laendlicher Raum","19","","",""
"Ja","2011","Hauptschule","Staedtischer Raum","928","0.69290539971727","0.668030018493066","0.717780780941475"
"Ja","2011","Hauptschule","Laendlicher Raum","544","0.612336549381656","0.579407998936803","0.645265099826508"
"Ja","2011","Realschule","Staedtischer Raum","1435","0.785366035120612","0.766865989184194","0.803866081057031"
"Ja","2011","Realschule","Laendlicher Raum","1112","0.703937326437637","0.681512174983702","0.726362477891572"
"Ja","2011","(Fach-)Abitur","Staedtischer Raum","747","0.765815340629525","0.739233378476373","0.792397302782677"
"Ja","2011","(Fach-)Abitur","Laendlicher Raum","296","0.728897804824874","0.685497237538987","0.772298372110761"
"Ja","2011","AkademikerIn","Staedtischer Raum","1599","0.79993060780411","0.782411011285004","0.817450204323217"
"Ja","2011","AkademikerIn","Laendlicher Raum","586","0.75665733814839","0.726368706522066","0.786945969774714"
"Nein","2011","(noch) kein Abschluss","Staedtischer Raum","14","","",""
"Nein","2011","(noch) kein Abschluss","Laendlicher Raum","7","","",""
"Nein","2011","Hauptschule","Staedtischer Raum","393","0.30709460028273","0.282219219058525","0.331969981506934"
"Nein","2011","Hauptschule","Laendlicher Raum","297","0.387663450618344","0.354734900173492","0.420592001063197"
"Nein","2011","Realschule","Staedtischer Raum","457","0.214633964879388","0.196133918942969","0.233134010815806"
"Nein","2011","Realschule","Laendlicher Raum","480","0.296062673562363","0.273637522108428","0.318487825016298"
"Nein","2011","(Fach-)Abitur","Staedtischer Raum","228","0.234184659370475","0.207602697217323","0.260766621523627"
"Nein","2011","(Fach-)Abitur","Laendlicher Raum","107","0.271102195175126","0.227701627889239","0.314502762461014"
"Nein","2011","AkademikerIn","Staedtischer Raum","404","0.20006939219589","0.182549795676783","0.217588988714996"
"Nein","2011","AkademikerIn","Laendlicher Raum","185","0.24334266185161","0.213054030225286","0.273631293477934"
"Ja","2012","(noch) kein Abschluss","Staedtischer Raum","43","0.68993271485982","0.584551409519226","0.795314020200413"
"Ja","2012","(noch) kein Abschluss","Laendlicher Raum","19","","",""
"Ja","2012","Hauptschule","Staedtischer Raum","897","0.654560819946355","0.629195402914537","0.679926236978172"
"Ja","2012","Hauptschule","Laendlicher Raum","566","0.614702736450814","0.582493618643509","0.646911854258119"
"Ja","2012","Realschule","Staedtischer Raum","1384","0.724080488140281","0.704113279638711","0.744047696641851"
"Ja","2012","Realschule","Laendlicher Raum","1111","0.701026381987686","0.678719316254529","0.723333447720842"
"Ja","2012","(Fach-)Abitur","Staedtischer Raum","779","0.746965944770111","0.720492643484419","0.773439246055803"
"Ja","2012","(Fach-)Abitur","Laendlicher Raum","329","0.756983874034292","0.716770711139128","0.797197036929456"
"Ja","2012","AkademikerIn","Staedtischer Raum","1569","0.782301621883156","0.764340691573619","0.800262552192693"
"Ja","2012","AkademikerIn","Laendlicher Raum","589","0.769632287285521","0.739987408132749","0.799277166438293"
"Nein","2012","(noch) kein Abschluss","Staedtischer Raum","31","0.31006728514018","0.204685979799587","0.415448590480774"
"Nein","2012","(noch) kein Abschluss","Laendlicher Raum","10","","",""
"Nein","2012","Hauptschule","Staedtischer Raum","453","0.345439180053645","0.320073763021828","0.370804597085463"
"Nein","2012","Hauptschule","Laendlicher Raum","311","0.385297263549186","0.353088145741881","0.417506381356491"
"Nein","2012","Realschule","Staedtischer Raum","541","0.275919511859719","0.255952303358149","0.295886720361289"
"Nein","2012","Realschule","Laendlicher Raum","507","0.298973618012314","0.276666552279158","0.321280683745471"
"Nein","2012","(Fach-)Abitur","Staedtischer Raum","257","0.253034055229889","0.226560753944197","0.279507356515581"
"Nein","2012","(Fach-)Abitur","Laendlicher Raum","108","0.243016125965708","0.202802963070544","0.283229288860872"
"Nein","2012","AkademikerIn","Staedtischer Raum","459","0.217698378116844","0.199737447807307","0.235659308426381"
"Nein","2012","AkademikerIn","Laendlicher Raum","186","0.230367712714479","0.200722833561707","0.260012591867251"
"Ja","2013","(noch) kein Abschluss","Staedtischer Raum","66","0.81219866495834","0.733246391989969","0.891150937926711"
"Ja","2013","(noch) kein Abschluss","Laendlicher Raum","23","","",""
"Ja","2013","Hauptschule","Staedtischer Raum","1067","0.679133729497545","0.65582672526218","0.70244073373291"
"Ja","2013","Hauptschule","Laendlicher Raum","608","0.657622970084298","0.627093806912378","0.688152133256217"
"Ja","2013","Realschule","Staedtischer Raum","1414","0.743696560457796","0.724193272735391","0.763199848180202"
"Ja","2013","Realschule","Laendlicher Raum","1054","0.678102531440264","0.654474932622582","0.701730130257946"
"Ja","2013","(Fach-)Abitur","Staedtischer Raum","958","0.762385417957337","0.739275430049902","0.785495405864773"
"Ja","2013","(Fach-)Abitur","Laendlicher Raum","338","0.700993760618026","0.659064948977536","0.742922572258517"
"Ja","2013","AkademikerIn","Staedtischer Raum","1672","0.770013014353582","0.752298913401363","0.787727115305802"
"Ja","2013","AkademikerIn","Laendlicher Raum","618","0.760443424839116","0.731194564989008","0.789692284689223"
"Nein","2013","(noch) kein Abschluss","Staedtischer Raum","28","","",""
"Nein","2013","(noch) kein Abschluss","Laendlicher Raum","20","","",""
"Nein","2013","Hauptschule","Staedtischer Raum","474","0.320866270502455","0.29755926626709","0.34417327473782"
"Nein","2013","Hauptschule","Laendlicher Raum","320","0.342377029915702","0.311847866743783","0.372906193087622"
"Nein","2013","Realschule","Staedtischer Raum","511","0.256303439542204","0.236800151819798","0.275806727264609"
"Nein","2013","Realschule","Laendlicher Raum","448","0.321897468559736","0.298269869742054","0.345525067377418"
"Nein","2013","(Fach-)Abitur","Staedtischer Raum","345","0.237614582042663","0.214504594135227","0.260724569950098"
"Nein","2013","(Fach-)Abitur","Laendlicher Raum","120","0.299006239381974","0.257077427741483","0.340935051022464"
"Nein","2013","AkademikerIn","Staedtischer Raum","496","0.229986985646418","0.212272884694198","0.247701086598637"
"Nein","2013","AkademikerIn","Laendlicher Raum","200","0.239556575160884","0.210307715310777","0.268805435010992"
"Ja","2014","(noch) kein Abschluss","Staedtischer Raum","43","0.737659424046451","0.629884236952396","0.845434611140505"
"Ja","2014","(noch) kein Abschluss","Laendlicher Raum","23","","",""
"Ja","2014","Hauptschule","Staedtischer Raum","894","0.675101488837411","0.649564174179385","0.700638803495438"
"Ja","2014","Hauptschule","Laendlicher Raum","554","0.636604027025346","0.604288737082332","0.668919316968361"
"Ja","2014","Realschule","Staedtischer Raum","1252","0.749614173550512","0.729092159708614","0.77013618739241"
"Ja","2014","Realschule","Laendlicher Raum","961","0.681528026503102","0.656947792253215","0.706108260752988"
"Ja","2014","(Fach-)Abitur","Staedtischer Raum","887","0.760543725349796","0.736307364223367","0.784780086476225"
"Ja","2014","(Fach-)Abitur","Laendlicher Raum","308","0.713720367797487","0.671291238751062","0.756149496843912"
"Ja","2014","AkademikerIn","Staedtischer Raum","1521","0.78676661443868","0.768878320583748","0.804654908293612"
"Ja","2014","AkademikerIn","Laendlicher Raum","568","0.752779819381279","0.722028543682564","0.783531095079993"
"Nein","2014","(noch) kein Abschluss","Staedtischer Raum","21","","",""
"Nein","2014","(noch) kein Abschluss","Laendlicher Raum","9","","",""
"Nein","2014","Hauptschule","Staedtischer Raum","398","0.324898511162589","0.299361196504562","0.350435825820615"
"Nein","2014","Hauptschule","Laendlicher Raum","297","0.363395972974654","0.331080683031639","0.395711262917668"
"Nein","2014","Realschule","Staedtischer Raum","460","0.250385826449488","0.229863812607589","0.270907840291386"
"Nein","2014","Realschule","Laendlicher Raum","419","0.318471973496898","0.293891739247012","0.343052207746785"
"Nein","2014","(Fach-)Abitur","Staedtischer Raum","304","0.239456274650204","0.215219913523775","0.263692635776633"
"Nein","2014","(Fach-)Abitur","Laendlicher Raum","128","0.286279632202513","0.243850503156088","0.328708761248938"
"Nein","2014","AkademikerIn","Staedtischer Raum","493","0.21323338556132","0.195345091706388","0.231121679416252"
"Nein","2014","AkademikerIn","Laendlicher Raum","188","0.247220180618721","0.216468904920007","0.277971456317436"
"Ja","2015","(noch) kein Abschluss","Staedtischer Raum","47","0.811782728074853","0.720860816643035","0.90270463950667"
"Ja","2015","(noch) kein Abschluss","Laendlicher Raum","20","","",""
"Ja","2015","Hauptschule","Staedtischer Raum","848","0.714565575677725","0.688665508570362","0.740465642785089"
"Ja","2015","Hauptschule","Laendlicher Raum","569","0.713995859596091","0.682484397659384","0.745507321532799"
"Ja","2015","Realschule","Staedtischer Raum","1213","0.77954568284157","0.758987360765155","0.800104004917985"
"Ja","2015","Realschule","Laendlicher Raum","951","0.730196819488357","0.706216020578435","0.754177618398279"
"Ja","2015","(Fach-)Abitur","Staedtischer Raum","859","0.746867554503626","0.721459726910936","0.772275382096315"
"Ja","2015","(Fach-)Abitur","Laendlicher Raum","335","0.730272267563093","0.688943597245645","0.77160093788054"
"Ja","2015","AkademikerIn","Staedtischer Raum","1615","0.820033313903028","0.803133588683262","0.836933039122795"
"Ja","2015","AkademikerIn","Laendlicher Raum","607","0.824459749997662","0.797305644341149","0.851613855654176"
"Nein","2015","(noch) kein Abschluss","Staedtischer Raum","24","","",""
"Nein","2015","(noch) kein Abschluss","Laendlicher Raum","11","","",""
"Nein","2015","Hauptschule","Staedtischer Raum","320","0.285434424322275","0.259534357214911","0.311334491429638"
"Nein","2015","Hauptschule","Laendlicher Raum","221","0.286004140403909","0.254492678467201","0.317515602340616"
"Nein","2015","Realschule","Staedtischer Raum","349","0.22045431715843","0.199895995082015","0.241012639234846"
"Nein","2015","Realschule","Laendlicher Raum","365","0.269803180511643","0.245822381601721","0.293783979421565"
"Nein","2015","(Fach-)Abitur","Staedtischer Raum","266","0.253132445496374","0.227724617903685","0.278540273089064"
"Nein","2015","(Fach-)Abitur","Laendlicher Raum","108","0.269727732436907","0.22839906211946","0.311056402754355"
"Nein","2015","AkademikerIn","Staedtischer Raum","370","0.179966686096971","0.163066960877205","0.196866411316738"
"Nein","2015","AkademikerIn","Laendlicher Raum","147","0.175540250002338","0.148386144345824","0.202694355658851"
"Ja","2016","(noch) kein Abschluss","Staedtischer Raum","49","0.662830869863301","0.553634774581435","0.772026965145166"
"Ja","2016","(noch) kein Abschluss","Laendlicher Raum","18","","",""
"Ja","2016","Hauptschule","Staedtischer Raum","800","0.727271348241119","0.700697711703679","0.753844984778559"
"Ja","2016","Hauptschule","Laendlicher Raum","512","0.675625482542897","0.641548944795807","0.709702020289986"
"Ja","2016","Realschule","Staedtischer Raum","1153","0.785535923389768","0.764736916536298","0.806334930243237"
"Ja","2016","Realschule","Laendlicher Raum","879","0.705734785585665","0.680225806290183","0.731243764881148"
"Ja","2016","(Fach-)Abitur","Staedtischer Raum","854","0.773782542160292","0.749069457674609","0.798495626645974"
"Ja","2016","(Fach-)Abitur","Laendlicher Raum","343","0.782341812085649","0.744001657381429","0.820681966789869"
"Ja","2016","AkademikerIn","Staedtischer Raum","1497","0.816959385083435","0.799521007449163","0.834397762717707"
"Ja","2016","AkademikerIn","Laendlicher Raum","588","0.806007584924697","0.777342624812084","0.83467254503731"
"Nein","2016","(noch) kein Abschluss","Staedtischer Raum","23","","",""
"Nein","2016","(noch) kein Abschluss","Laendlicher Raum","7","","",""
"Nein","2016","Hauptschule","Staedtischer Raum","279","0.272728651758881","0.246155015221441","0.29930228829632"
"Nein","2016","Hauptschule","Laendlicher Raum","213","0.324374517457103","0.290297979710014","0.358451055204193"
"Nein","2016","Realschule","Staedtischer Raum","343","0.214464076610232","0.193665069756763","0.235263083463702"
"Nein","2016","Realschule","Laendlicher Raum","347","0.294265214414335","0.268756235118852","0.319774193709817"
"Nein","2016","(Fach-)Abitur","Staedtischer Raum","247","0.226217457839708","0.201504373354026","0.250930542325391"
"Nein","2016","(Fach-)Abitur","Laendlicher Raum","102","0.217658187914351","0.17931803321013","0.255998342618571"
"Nein","2016","AkademikerIn","Staedtischer Raum","392","0.183040614916565","0.165602237282293","0.200478992550837"
"Nein","2016","AkademikerIn","Laendlicher Raum","143","0.193992415075303","0.16532745496269","0.222657375187916"
"Ja","2017","(noch) kein Abschluss","Staedtischer Raum","52","0.640326892209847","0.535165106507667","0.745488677912028"
"Ja","2017","(noch) kein Abschluss","Laendlicher Raum","24","","",""
"Ja","2017","Hauptschule","Staedtischer Raum","776","0.694976217139382","0.667605565210418","0.722346869068345"
"Ja","2017","Hauptschule","Laendlicher Raum","539","0.697288221062016","0.665004832214457","0.729571609909576"
"Ja","2017","Realschule","Staedtischer Raum","1269","0.793686363328338","0.774053825619254","0.813318901037423"
"Ja","2017","Realschule","Laendlicher Raum","976","0.731016383549894","0.707362215594541","0.754670551505247"
"Ja","2017","(Fach-)Abitur","Staedtischer Raum","893","0.735435441573568","0.71046785240911","0.760403030738026"
"Ja","2017","(Fach-)Abitur","Laendlicher Raum","380","0.786396790456223","0.750364269339897","0.822429311572549"
"Ja","2017","AkademikerIn","Staedtischer Raum","1660","0.823224526375348","0.806686723899797","0.839762328850899"
"Ja","2017","AkademikerIn","Laendlicher Raum","632","0.787948847405551","0.759462997589522","0.81643469722158"
"Nein","2017","(noch) kein Abschluss","Staedtischer Raum","28","","",""
"Nein","2017","(noch) kein Abschluss","Laendlicher Raum","16","","",""
"Nein","2017","Hauptschule","Staedtischer Raum","311","0.305023782860618","0.277653130931655","0.332394434789582"
"Nein","2017","Hauptschule","Laendlicher Raum","239","0.302711778937984","0.270428390090424","0.334995167785543"
"Nein","2017","Realschule","Staedtischer Raum","363","0.206313636671661","0.186681098962577","0.225946174380746"
"Nein","2017","Realschule","Laendlicher Raum","374","0.268983616450106","0.245329448494754","0.292637784405459"
"Nein","2017","(Fach-)Abitur","Staedtischer Raum","306","0.264564558426432","0.239596969261974","0.28953214759089"
"Nein","2017","(Fach-)Abitur","Laendlicher Raum","117","0.213603209543777","0.177570688427451","0.249635730660103"
"Nein","2017","AkademikerIn","Staedtischer Raum","384","0.176775473624652","0.160237671149101","0.193313276100203"
"Nein","2017","AkademikerIn","Laendlicher Raum","159","0.212051152594449","0.18356530277842","0.240537002410478"
"Ja","2018","(noch) kein Abschluss","Staedtischer Raum","70","0.663116608454367","0.570939695957202","0.755293520951532"
"Ja","2018","(noch) kein Abschluss","Laendlicher Raum","29","","",""
"Ja","2018","Hauptschule","Staedtischer Raum","802","0.721470811103915","0.695573470476606","0.747368151731225"
"Ja","2018","Hauptschule","Laendlicher Raum","519","0.675106672116411","0.642155275479549","0.708058068753273"
"Ja","2018","Realschule","Staedtischer Raum","1250","0.76959162074583","0.749322489833916","0.789860751657745"
"Ja","2018","Realschule","Laendlicher Raum","966","0.734472019039429","0.710888583731459","0.758055454347398"
"Ja","2018","(Fach-)Abitur","Staedtischer Raum","928","0.771878714801776","0.748569864500376","0.795187565103176"
"Ja","2018","(Fach-)Abitur","Laendlicher Raum","382","0.750330420097465","0.713447156084699","0.787213684110232"
"Ja","2018","AkademikerIn","Staedtischer Raum","1663","0.786994636130835","0.769815478129028","0.804173794132642"
"Ja","2018","AkademikerIn","Laendlicher Raum","617","0.74193036198175","0.711852092460635","0.772008631502865"
"Nein","2018","(noch) kein Abschluss","Staedtischer Raum","31","0.336883391545633","0.244706479048468","0.429060304042798"
"Nein","2018","(noch) kein Abschluss","Laendlicher Raum","13","","",""
"Nein","2018","Hauptschule","Staedtischer Raum","349","0.278529188896085","0.252631848268775","0.304426529523394"
"Nein","2018","Hauptschule","Laendlicher Raum","257","0.324893327883589","0.291941931246727","0.357844724520451"
"Nein","2018","Realschule","Staedtischer Raum","408","0.23040837925417","0.210139248342255","0.250677510166084"
"Nein","2018","Realschule","Laendlicher Raum","381","0.265527980960571","0.241944545652602","0.28911141626854"
"Nein","2018","(Fach-)Abitur","Staedtischer Raum","317","0.228121285198224","0.204812434896823","0.251430135499624"
"Nein","2018","(Fach-)Abitur","Laendlicher Raum","147","0.249669579902535","0.212786315889768","0.286552843915301"
"Nein","2018","AkademikerIn","Staedtischer Raum","519","0.213005363869165","0.195826205867358","0.230184521870973"
"Nein","2018","AkademikerIn","Laendlicher Raum","196","0.25806963801825","0.227991368497135","0.288147907539365"
"Ja","2019","(noch) kein Abschluss","Staedtischer Raum","70","0.798212703538627","0.721448337084304","0.874977069992949"
