"plb0196_h","year","bildungsniveau","sex","n","percent","lower_confidence","upper_confidence"
"Nein","2003","(noch) kein Abschluss","maennlich","","","",""
"Nein","2003","(noch) kein Abschluss","weiblich","","","",""
"Nein","2003","Hauptschule","maennlich","475","0.36605462325013","0.33973633221192","0.39237291428834"
"Nein","2003","Hauptschule","weiblich","250","0.38931681528819","0.352340858405655","0.426292772170725"
"Nein","2003","Realschule","maennlich","358","0.264369606619678","0.240210620697288","0.288528592542067"
"Nein","2003","Realschule","weiblich","429","0.340284012451017","0.314327736467056","0.366240288434979"
"Nein","2003","(Fach-)Abitur","maennlich","114","0.296485903753731","0.254289031509135","0.338682775998327"
"Nein","2003","(Fach-)Abitur","weiblich","144","0.277408447632071","0.236714680491212","0.31810221477293"
"Nein","2003","AkademikerIn","maennlich","210","0.180044156777164","0.158112272957558","0.20197604059677"
"Nein","2003","AkademikerIn","weiblich","242","0.258072722027619","0.228586805605781","0.287558638449456"
"Ja","2004","(noch) kein Abschluss","maennlich","","","",""
"Ja","2004","(noch) kein Abschluss","weiblich","","","",""
"Ja","2004","Hauptschule","maennlich","798","0.651770865430097","0.624927594838239","0.678614136021954"
"Ja","2004","Hauptschule","weiblich","381","0.613732172046031","0.574998608095974","0.652465735996088"
"Ja","2004","Realschule","maennlich","916","0.730592334952682","0.706105476126224","0.75507919377914"
"Ja","2004","Realschule","weiblich","863","0.687363157038708","0.661446119792751","0.713280194284665"
"Ja","2004","(Fach-)Abitur","maennlich","322","0.773394670562466","0.734099380969408","0.812689960155524"
"Ja","2004","(Fach-)Abitur","weiblich","305","0.709544580439592","0.667365445224342","0.751723715654841"
"Ja","2004","AkademikerIn","maennlich","927","0.783220982278489","0.759457620616174","0.806984343940805"
"Ja","2004","AkademikerIn","weiblich","583","0.710626350580169","0.679813166937121","0.741439534223216"
"Nein","2004","(noch) kein Abschluss","maennlich","","","",""
"Nein","2004","(noch) kein Abschluss","weiblich","","","",""
"Nein","2004","Hauptschule","maennlich","412","0.348229134569903","0.321385863978046","0.375072405161761"
"Nein","2004","Hauptschule","weiblich","226","0.386267827953969","0.347534264003912","0.425001391904026"
"Nein","2004","Realschule","maennlich","345","0.269407665047318","0.24492080622086","0.293894523873776"
"Nein","2004","Realschule","weiblich","366","0.312636842961292","0.286719805715335","0.338553880207249"
"Nein","2004","(Fach-)Abitur","maennlich","114","0.226605329437534","0.187310039844476","0.265900619030592"
"Nein","2004","(Fach-)Abitur","weiblich","140","0.290455419560408","0.248276284345159","0.332634554775658"
