year,rentown,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,Tenant,2 rooms,0.30653,1827,8685,0.29683,0.31622
2012,Tenant,3 rooms,0.39852,3693,8685,0.38822,0.40881
2012,Tenant,4 rooms,0.14822,1796,8685,0.14075,0.15569
2012,Tenant,5 rooms,0.05281,609,8685,0.04811,0.05752
2012,Tenant,6 rooms,0.01781,257,8685,0.01503,0.02059
2012,Tenant,7 rooms,0.00820,107,8685,0.00631,0.01010
2012,Tenant,8 rooms,0.00305,43,8685,0.00189,0.00421
2013,Owner,2 rooms,0.05601,258,7696,0.05088,0.06115
2013,Owner,3 rooms,0.19793,1122,7696,0.18903,0.20683
2013,Owner,4 rooms,0.24001,1780,7696,0.23046,0.24955
2013,Owner,5 rooms,0.23031,1871,7696,0.22090,0.23972
2013,Owner,6 rooms,0.14268,1354,7696,0.13487,0.15050
2013,Owner,7 rooms,0.07120,693,7696,0.06545,0.07694
2013,Owner,8 rooms,0.03399,346,7696,0.02994,0.03804
2013,Owner,9 rooms,0.01370,156,7696,0.01110,0.01629
2013,Owner,10 or more rooms,0.00960,116,7696,0.00742,0.01178
2013,Tenant,1 room,0.06541,429,10140,0.06059,0.07022
2013,Tenant,2 rooms,0.31092,2172,10140,0.30191,0.31993
2013,Tenant,3 rooms,0.39397,4281,10140,0.38446,0.40348
2013,Tenant,4 rooms,0.14775,2133,10140,0.14085,0.15466
2013,Tenant,5 rooms,0.05444,721,10140,0.05002,0.05886
2013,Tenant,6 rooms,0.01688,247,10140,0.01437,0.01938
2013,Tenant,7 rooms,0.00681,110,10140,0.00521,0.00841
2013,Tenant,8 rooms,0.00302,47,10140,0.00195,0.00408
2014,Owner,2 rooms,0.05094,221,7040,0.04581,0.05608
2014,Owner,3 rooms,0.19980,1062,7040,0.19046,0.20914
2014,Owner,4 rooms,0.24126,1593,7040,0.23127,0.25126
2014,Owner,5 rooms,0.22664,1734,7040,0.21686,0.23642
2014,Owner,6 rooms,0.13934,1219,7040,0.13125,0.14743
2014,Owner,7 rooms,0.07612,647,7040,0.06992,0.08231
2014,Owner,8 rooms,0.03672,317,7040,0.03233,0.04111
2014,Owner,9 rooms,0.01369,140,7040,0.01097,0.01640
2014,Owner,10 or more rooms,0.01108,107,7040,0.00863,0.01352
2014,Tenant,1 room,0.06365,353,8749,0.05853,0.06876
2014,Tenant,2 rooms,0.31463,1905,8749,0.30489,0.32436
2014,Tenant,3 rooms,0.39056,3675,8749,0.38033,0.40078
2014,Tenant,4 rooms,0.15219,1823,8749,0.14466,0.15972
2014,Tenant,5 rooms,0.05026,605,8749,0.04568,0.05484
2014,Tenant,6 rooms,0.01806,237,8749,0.01527,0.02085
2014,Tenant,7 rooms,0.00636,105,8749,0.00469,0.00802
2014,Tenant,8 rooms,0.00281,46,8749,0.00170,0.00391
2015,Owner,2 rooms,0.05149,207,6724,0.04621,0.05678
2015,Owner,3 rooms,0.19703,1008,6724,0.18752,0.20654
2015,Owner,4 rooms,0.24395,1515,6724,0.23369,0.25422
2015,Owner,5 rooms,0.22269,1641,6724,0.21275,0.23264
2015,Owner,6 rooms,0.14736,1214,6724,0.13888,0.15583
2015,Owner,7 rooms,0.07444,597,6724,0.06817,0.08071
2015,Owner,8 rooms,0.03316,294,6724,0.02888,0.03743
2015,Owner,9 rooms,0.01572,149,6724,0.01275,0.01869
2015,Owner,10 or more rooms,0.00925,99,6724,0.00697,0.01154
2015,Tenant,1 room,0.06599,440,9000,0.06086,0.07112
2015,Tenant,2 rooms,0.31439,2070,9000,0.30480,0.32398
2015,Tenant,3 rooms,0.39217,3759,9000,0.38208,0.40226
2015,Tenant,4 rooms,0.14201,1700,9000,0.13480,0.14922
2015,Tenant,5 rooms,0.05565,635,9000,0.05091,0.06039
2015,Tenant,6 rooms,0.01815,239,9000,0.01539,0.02090
2015,Tenant,7 rooms,0.00676,114,9000,0.00506,0.00845
2015,Tenant,8 rooms,0.00346,43,9000,0.00225,0.00468
2016,Owner,2 rooms,0.05265,199,6292,0.04713,0.05817
2016,Owner,3 rooms,0.18746,883,6292,0.17782,0.19711
2016,Owner,4 rooms,0.24418,1430,6292,0.23356,0.25479
2016,Owner,5 rooms,0.22593,1542,6292,0.21559,0.23626
2016,Owner,6 rooms,0.14985,1154,6292,0.14103,0.15867
2016,Owner,7 rooms,0.07447,575,6292,0.06798,0.08096
2016,Owner,8 rooms,0.03712,287,6292,0.03245,0.04180
2016,Owner,9 rooms,0.01190,118,6292,0.00922,0.01458
2016,Owner,10 or more rooms,0.01214,104,6292,0.00943,0.01484
2016,Tenant,1 room,0.06739,387,7974,0.06189,0.07289
2016,Tenant,2 rooms,0.30821,1808,7974,0.29807,0.31834
2016,Tenant,3 rooms,0.39664,3333,7974,0.38590,0.40738
2016,Tenant,4 rooms,0.14059,1525,7974,0.13296,0.14822
2016,Tenant,5 rooms,0.05426,570,7974,0.04929,0.05923
2016,Tenant,6 rooms,0.01793,203,7974,0.01502,0.02084
2016,Tenant,7 rooms,0.00859,103,7974,0.00656,0.01062
2016,Tenant,8 rooms,0.00459,45,7974,0.00311,0.00607
2017,Owner,2 rooms,0.04904,216,7051,0.04400,0.05408
2017,Owner,3 rooms,0.18718,959,7051,0.17808,0.19629
2017,Owner,4 rooms,0.24019,1603,7051,0.23021,0.25016
2017,Owner,5 rooms,0.23508,1764,7051,0.22518,0.24498
2017,Owner,6 rooms,0.15123,1272,7051,0.14287,0.15959
2017,Owner,7 rooms,0.07469,662,7051,0.06855,0.08082
2017,Owner,8 rooms,0.03378,322,7051,0.02956,0.03800
2017,Owner,9 rooms,0.01139,135,7051,0.00891,0.01386
2017,Owner,10 or more rooms,0.01291,118,7051,0.01027,0.01554
2017,Tenant,1 room,0.07409,593,10390,0.06906,0.07913
2017,Tenant,2 rooms,0.31087,2325,10390,0.30197,0.31977
2017,Tenant,3 rooms,0.39174,4215,10390,0.38235,0.40112
2017,Tenant,4 rooms,0.14177,2095,10390,0.13506,0.14847
2017,Tenant,5 rooms,0.05241,730,10390,0.04812,0.05669
2017,Tenant,6 rooms,0.01726,272,10390,0.01475,0.01976
2017,Tenant,7 rooms,0.00661,110,10390,0.00505,0.00816
2017,Tenant,8 rooms,0.00369,50,10390,0.00252,0.00485
2018,Owner,2 rooms,0.05478,224,6744,0.04934,0.06021
2018,Owner,3 rooms,0.18380,913,6744,0.17456,0.19305
2018,Owner,4 rooms,0.23507,1559,6744,0.22495,0.24519
2018,Owner,5 rooms,0.23049,1661,6744,0.22044,0.24054
2018,Owner,6 rooms,0.15681,1207,6744,0.14813,0.16548
2018,Owner,7 rooms,0.07550,631,6744,0.06920,0.08181
2018,Owner,8 rooms,0.03119,293,6744,0.02704,0.03534
2018,Owner,9 rooms,0.01419,138,6744,0.01137,0.01702
2018,Owner,10 or more rooms,0.01323,118,6744,0.01051,0.01596
2018,Tenant,1 room,0.07617,734,11086,0.07123,0.08111
2018,Tenant,2 rooms,0.31297,2616,11086,0.30433,0.32160
2018,Tenant,3 rooms,0.37869,4374,11086,0.36966,0.38772
2018,Tenant,4 rooms,0.15366,2219,11086,0.14695,0.16037
2018,Tenant,5 rooms,0.04999,736,11086,0.04593,0.05404
2018,Tenant,6 rooms,0.01723,262,11086,0.01481,0.01965
2018,Tenant,7 rooms,0.00666,100,11086,0.00515,0.00818
2018,Tenant,8 rooms,0.00300,45,11086,0.00199,0.00402
2019,Owner,2 rooms,0.05599,249,7874,0.05092,0.06107
2019,Owner,3 rooms,0.18208,983,7874,0.17356,0.19061
2019,Owner,4 rooms,0.23389,1727,7874,0.22454,0.24324
2019,Owner,5 rooms,0.23322,1907,7874,0.22388,0.24256
2019,Owner,6 rooms,0.15232,1401,7874,0.14438,0.16025
2019,Owner,7 rooms,0.07911,792,7874,0.07315,0.08507
2019,Owner,8 rooms,0.03503,416,7874,0.03097,0.03909
2019,Owner,9 rooms,0.01440,198,7874,0.01177,0.01703
2019,Owner,10 or more rooms,0.01128,201,7874,0.00894,0.01361
2019,Tenant,1 room,0.06975,659,10508,0.06488,0.07463
2019,Tenant,2 rooms,0.31562,2476,10508,0.30674,0.32451
2019,Tenant,3 rooms,0.38080,4115,10508,0.37151,0.39008
2019,Tenant,4 rooms,0.14812,2087,10508,0.14133,0.15491
2019,Tenant,5 rooms,0.05438,742,10508,0.05004,0.05871
2019,Tenant,6 rooms,0.01838,276,10508,0.01581,0.02095
2019,Tenant,7 rooms,0.00705,104,10508,0.00545,0.00866
2019,Tenant,8 rooms,0.00338,49,10508,0.00227,0.00449
2020,Owner,2 rooms,0.05320,219,6986,0.04793,0.05846
2020,Owner,3 rooms,0.16449,872,6986,0.15579,0.17318
2020,Owner,4 rooms,0.23238,1525,6986,0.22248,0.24229
2020,Owner,5 rooms,0.22575,1654,6986,0.21594,0.23555
2020,Owner,6 rooms,0.16916,1286,6986,0.16037,0.17796
2020,Owner,7 rooms,0.07988,691,6986,0.07352,0.08623
2020,Owner,8 rooms,0.04172,407,6986,0.03703,0.04641
2020,Owner,9 rooms,0.01602,163,6986,0.01308,0.01897
2020,Owner,10 or more rooms,0.01438,169,6986,0.01159,0.01717
2020,Tenant,1 room,0.06507,1054,12297,0.06071,0.06943
2020,Tenant,2 rooms,0.31080,3183,12297,0.30262,0.31898
2020,Tenant,3 rooms,0.37875,4716,12297,0.37017,0.38732
2020,Tenant,4 rooms,0.15375,2200,12297,0.14737,0.16013
2020,Tenant,5 rooms,0.05841,721,12297,0.05427,0.06256
2020,Tenant,6 rooms,0.02018,270,12297,0.01769,0.02267
2020,Tenant,7 rooms,0.00686,95,12297,0.00541,0.00832
2020,Tenant,8 rooms,0.00392,58,12297,0.00281,0.00502
2021,Owner,2 rooms,0.06122,188,5085,0.05463,0.06781
2021,Owner,3 rooms,0.17722,656,5085,0.16672,0.18771
2021,Owner,4 rooms,0.22339,1088,5085,0.21194,0.23484
2021,Owner,5 rooms,0.22516,1184,5085,0.21368,0.23665
2021,Owner,6 rooms,0.16210,944,5085,0.15197,0.17223
2021,Owner,7 rooms,0.07164,478,5085,0.06456,0.07873
2021,Owner,8 rooms,0.04211,298,5085,0.03659,0.04763
2021,Owner,9 rooms,0.01811,131,5085,0.01445,0.02178
2021,Owner,10 or more rooms,0.01354,118,5085,0.01036,0.01672
2021,Tenant,1 room,0.06632,562,7441,0.06067,0.07198
2021,Tenant,2 rooms,0.30781,1847,7441,0.29733,0.31830
2021,Tenant,3 rooms,0.38020,2847,7441,0.36916,0.39123
2021,Tenant,4 rooms,0.15021,1401,7441,0.14209,0.15832
2021,Tenant,5 rooms,0.06023,492,7441,0.05482,0.06563
2021,Tenant,6 rooms,0.01942,174,7441,0.01628,0.02255
2021,Tenant,7 rooms,0.01071,86,7441,0.00837,0.01305
2021,Tenant,8 rooms,0.00372,32,7441,0.00233,0.00510
2022,Owner,2 rooms,0.05322,259,7844,0.04825,0.05819
2022,Owner,3 rooms,0.19172,1068,7844,0.18301,0.20044
2022,Owner,4 rooms,0.23514,1731,7844,0.22576,0.24453
2022,Owner,5 rooms,0.22064,1868,7844,0.21147,0.22982
2022,Owner,6 rooms,0.14934,1331,7844,0.14145,0.15723
2022,Owner,7 rooms,0.07755,780,7844,0.07163,0.08346
2022,Owner,8 rooms,0.03886,444,7844,0.03459,0.04314
2022,Owner,9 rooms,0.01387,178,7844,0.01128,0.01646
2022,Owner,10 or more rooms,0.01504,185,7844,0.01235,0.01774
2022,Tenant,1 room,0.07122,1164,12556,0.06672,0.07572
2022,Tenant,2 rooms,0.28985,3299,12556,0.28191,0.29779
2022,Tenant,3 rooms,0.37687,4507,12556,0.36839,0.38535
2022,Tenant,4 rooms,0.15934,2191,12556,0.15294,0.16574
2022,Tenant,5 rooms,0.06080,791,12556,0.05662,0.06499
2022,Tenant,6 rooms,0.02252,322,12556,0.01992,0.02511
2022,Tenant,7 rooms,0.00930,144,12556,0.00762,0.01098
2022,Tenant,8 rooms,0.00351,66,12556,0.00248,0.00455
2022,Tenant,9 rooms,0.00189,31,12556,0.00113,0.00264
2022,Tenant,10 or more rooms,0.00201,41,12556,0.00123,0.00279
