year,age_gr,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1999,17-29 y.,West,1381,6.468373151928364,6.350363133014915,6.586383170841812,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1999,17-29 y.,East,522,6.566182124163366,6.396763149197475,6.735601099129258,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1999,30-45 y.,West,2611,6.445838436676717,6.367785224771178,6.523891648582256,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1999,30-45 y.,East,852,6.412031635904011,6.281093383320075,6.5429698884879475,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1999,46-65 y.,West,2100,6.56337257517133,6.4727470839177474,6.653998066424913,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1999,46-65 y.,East,852,6.446817146423164,6.316615553006049,6.577018739840279,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1999,66 and older,West,986,6.574740220580216,6.4356043307657504,6.713876110394681,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1999,66 and older,East,383,6.515880593434121,6.310168994515056,6.721592192353185,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
2000,0-16 y.,West,,,,,,,,,,,,
2000,0-16 y.,East,,,,,,,,,,,,
2000,17-29 y.,West,2157,6.613085130973747,6.517673934061643,6.708496327885851,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2000,17-29 y.,East,727,6.472181020857415,6.310977119264187,6.633384922450643,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2000,30-45 y.,West,4821,6.434755885362443,6.3739509508653125,6.495560819859573,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2000,30-45 y.,East,1287,6.5156967143621936,6.40519970640998,6.626193722314407,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2000,46-65 y.,West,4203,6.801896586292026,6.738359954096753,6.865433218487299,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2000,46-65 y.,East,1361,6.5919978848178955,6.484762178474614,6.699233591161177,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2000,66 and older,West,2068,6.66550528426449,6.571963484321059,6.75904708420792,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2000,66 and older,East,666,6.506820763415948,6.3492716096249895,6.664369917206906,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2001,0-16 y.,West,,,,,,,,,,,,
2001,0-16 y.,East,,,,,,,,,,,,
2001,17-29 y.,West,1931,6.50180424934511,6.399842849776133,6.603765648914087,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2001,17-29 y.,East,713,6.383110592855182,6.22221949617504,6.544001689535325,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0
2001,30-45 y.,West,4320,6.548285270104037,6.48686849450087,6.609702045707204,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2001,30-45 y.,East,1217,6.528137892126059,6.414354856323827,6.641920927928291,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2001,46-65 y.,West,3862,6.771707796539211,6.70599980430769,6.837415788770731,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2001,46-65 y.,East,1344,6.627449104181254,6.524906499480783,6.729991708881726,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2001,66 and older,West,1962,6.743928843838088,6.647344404574281,6.840513283101894,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2001,66 and older,East,642,6.680868723390088,6.530814828887259,6.8309226178929165,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2002,0-16 y.,West,,,,,,,,,,,,
2002,0-16 y.,East,,,,,,,,,,,,
2002,17-29 y.,West,1844,6.489835366224822,6.390763553254192,6.588907179195452,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2002,17-29 y.,East,707,6.548231727408168,6.391592204358805,6.704871250457531,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
2002,30-45 y.,West,4444,6.438387078800372,6.37906256071895,6.4977115968817944,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2002,30-45 y.,East,1143,6.449041872634454,6.330954240523799,6.567129504745108,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2002,46-65 y.,West,4352,6.619152651998734,6.556852442489039,6.681452861508428,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2002,46-65 y.,East,1332,6.528614285219092,6.427005401675602,6.630223168762582,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2002,66 and older,West,2049,6.62717601356113,6.531255022773981,6.72309700434828,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2002,66 and older,East,689,6.283370810988786,6.131366801422558,6.435374820555014,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0
2003,0-16 y.,West,,,,,,,,,,,,
2003,0-16 y.,East,,,,,,,,,,,,
2003,17-29 y.,West,1891,6.482351384144349,6.383287180810184,6.581415587478514,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2003,17-29 y.,East,713,6.69481242236249,6.539706737011988,6.849918107712991,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2003,30-45 y.,West,4225,6.486263957852297,6.425743961080719,6.5467839546238755,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2003,30-45 y.,East,1111,6.6003789057459015,6.490026877442427,6.710730934049376,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2003,46-65 y.,West,4259,6.60384755654023,6.542402228895462,6.665292884184998,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2003,46-65 y.,East,1400,6.372067440212749,6.270223522963656,6.4739113574618425,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
2003,66 and older,West,2102,6.757092265966814,6.6648195070571035,6.8493650248765245,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2003,66 and older,East,716,6.430546855213552,6.276754845635374,6.5843388647917305,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
2004,0-16 y.,West,,,,,,,,,,,,
2004,0-16 y.,East,,,,,,,,,,,,
2004,17-29 y.,West,1839,6.564658844335835,6.462438149474187,6.666879539197482,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2004,17-29 y.,East,743,6.5495382840436145,6.3980158788698835,6.701060689217345,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
2004,30-45 y.,West,4076,6.485592032110272,6.425125266424563,6.546058797795982,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2004,30-45 y.,East,1059,6.377733598828812,6.2580258732443195,6.497441324413305,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
2004,46-65 y.,West,4159,6.622248733277969,6.561543084004131,6.682954382551807,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
