"plh0105","year","bildungsniveau","n","percent","lower_confidence","upper_confidence","NA"
"2 Wichtig","2010","AkademikerIn","734","0.481340811781069","0.456394051566065","0.506287571996074",""
"3 Weniger wichtig","2010","(noch) kein Abschluss","5","","","",""
"3 Weniger wichtig","2010","Hauptschule","44","0.0226581797044174","0.0159528015576262","0.0293635578512085",""
"3 Weniger wichtig","2010","Realschule","40","0.0157527953980022","0.0106946941987232","0.0208108965972812",""
"3 Weniger wichtig","2010","(Fach-)Abitur","27","","","",""
"3 Weniger wichtig","2010","AkademikerIn","35","0.0205128121775972","0.0134356564311366","0.0275899679240577",""
"4 Ganz unwichtig","2010","(noch) kein Abschluss","2","","","",""
"4 Ganz unwichtig","2010","Hauptschule","5","","","",""
"4 Ganz unwichtig","2010","Realschule","2","","","",""
"4 Ganz unwichtig","2010","(Fach-)Abitur","1","","","",""
"4 Ganz unwichtig","2010","AkademikerIn","2","","","",""
"1 Sehr wichtig","2011","(noch) kein Abschluss","","","","",""
"1 Sehr wichtig","2011","Hauptschule","","","","",""
"1 Sehr wichtig","2011","Realschule","","","","",""
"1 Sehr wichtig","2011","(Fach-)Abitur","","","","",""
"1 Sehr wichtig","2011","AkademikerIn","","","","",""
"2 Wichtig","2011","(noch) kein Abschluss","","","","",""
"2 Wichtig","2011","Hauptschule","","","","",""
"2 Wichtig","2011","Realschule","","","","",""
"2 Wichtig","2011","(Fach-)Abitur","","","","",""
"2 Wichtig","2011","AkademikerIn","","","","",""
"3 Weniger wichtig","2011","(noch) kein Abschluss","","","","",""
"3 Weniger wichtig","2011","Hauptschule","","","","",""
"3 Weniger wichtig","2011","Realschule","","","","",""
"3 Weniger wichtig","2011","(Fach-)Abitur","","","","",""
"3 Weniger wichtig","2011","AkademikerIn","","","","",""
"4 Ganz unwichtig","2011","(noch) kein Abschluss","","","","",""
"4 Ganz unwichtig","2011","Hauptschule","","","","",""
"4 Ganz unwichtig","2011","Realschule","","","","",""
"4 Ganz unwichtig","2011","(Fach-)Abitur","","","","",""
"4 Ganz unwichtig","2011","AkademikerIn","","","","",""
"1 Sehr wichtig","2012","(noch) kein Abschluss","393","0.384458191630993","0.352480246868581","0.416436136393405",""
"1 Sehr wichtig","2012","Hauptschule","2679","0.290118081193533","0.280547860638248","0.299688301748818",""
"1 Sehr wichtig","2012","Realschule","2758","0.318056917818905","0.307677511959332","0.328436323678478",""
"1 Sehr wichtig","2012","(Fach-)Abitur","1432","0.382476330618962","0.366489476910461","0.398463184327462",""
"1 Sehr wichtig","2012","AkademikerIn","2067","0.308586478238797","0.297027123665346","0.320145832812247",""
"2 Wichtig","2012","(noch) kein Abschluss","436","0.508963610978324","0.476101351860322","0.541825870096325",""
"2 Wichtig","2012","Hauptschule","5412","0.634540801775099","0.624385549507689","0.644696054042509",""
"2 Wichtig","2012","Realschule","4664","0.625151223125821","0.61436258567969","0.635939860571953",""
"2 Wichtig","2012","(Fach-)Abitur","1988","0.567579724089471","0.551282997646074","0.583876450532869",""
"2 Wichtig","2012","AkademikerIn","3765","0.633978342076996","0.621923353365697","0.646033330788295",""
"3 Weniger wichtig","2012","(noch) kein Abschluss","55","0.0983865339692384","0.0788082223868942","0.117964845551583",""
"3 Weniger wichtig","2012","Hauptschule","490","0.0674627579836448","0.0621733553205267","0.072752160646763",""
"3 Weniger wichtig","2012","Realschule","290","0.053175011276336","0.0481742668661697","0.0581757556865024",""
"3 Weniger wichtig","2012","(Fach-)Abitur","123","0.0473512521504063","0.0403646494253458","0.0543378548754668",""
"3 Weniger wichtig","2012","AkademikerIn","288","0.0524626815204854","0.0468831259238005","0.0580422371171703",""
"4 Ganz unwichtig","2012","(noch) kein Abschluss","5","","","",""
"4 Ganz unwichtig","2012","Hauptschule","57","0.00787835904772306","0.0060139472718288","0.00974277082361732",""
"4 Ganz unwichtig","2012","Realschule","22","","","",""
"4 Ganz unwichtig","2012","(Fach-)Abitur","7","","","",""
"4 Ganz unwichtig","2012","AkademikerIn","14","","","",""
"1 Sehr wichtig","2013","(noch) kein Abschluss","","","","",""
"1 Sehr wichtig","2013","Hauptschule","","","","",""
"1 Sehr wichtig","2013","Realschule","","","","",""
"1 Sehr wichtig","2013","(Fach-)Abitur","","","","",""
"1 Sehr wichtig","2013","AkademikerIn","","","","",""
"2 Wichtig","2013","(noch) kein Abschluss","","","","",""
"2 Wichtig","2013","Hauptschule","","","","",""
"2 Wichtig","2013","Realschule","","","","",""
"2 Wichtig","2013","(Fach-)Abitur","","","","",""
"2 Wichtig","2013","AkademikerIn","","","","",""
"3 Weniger wichtig","2013","(noch) kein Abschluss","","","","",""
"3 Weniger wichtig","2013","Hauptschule","","","","",""
"3 Weniger wichtig","2013","Realschule","","","","",""
"3 Weniger wichtig","2013","(Fach-)Abitur","","","","",""
"3 Weniger wichtig","2013","AkademikerIn","","","","",""
"4 Ganz unwichtig","2013","(noch) kein Abschluss","","","","",""
"4 Ganz unwichtig","2013","Hauptschule","","","","",""
"4 Ganz unwichtig","2013","Realschule","","","","",""
"4 Ganz unwichtig","2013","(Fach-)Abitur","","","","",""
"4 Ganz unwichtig","2013","AkademikerIn","","","","",""
"1 Sehr wichtig","2014","(noch) kein Abschluss","","","","",""
"1 Sehr wichtig","2014","Hauptschule","","","","",""
"1 Sehr wichtig","2014","Realschule","","","","",""
"1 Sehr wichtig","2014","(Fach-)Abitur","","","","",""
"1 Sehr wichtig","2014","AkademikerIn","","","","",""
"2 Wichtig","2014","(noch) kein Abschluss","","","","",""
"2 Wichtig","2014","Hauptschule","","","","",""
"2 Wichtig","2014","Realschule","","","","",""
"2 Wichtig","2014","(Fach-)Abitur","","","","",""
"2 Wichtig","2014","AkademikerIn","","","","",""
"3 Weniger wichtig","2014","(noch) kein Abschluss","","","","",""
"3 Weniger wichtig","2014","Hauptschule","","","","",""
"3 Weniger wichtig","2014","Realschule","","","","",""
"3 Weniger wichtig","2014","(Fach-)Abitur","","","","",""
"3 Weniger wichtig","2014","AkademikerIn","","","","",""
"4 Ganz unwichtig","2014","(noch) kein Abschluss","","","","",""
"4 Ganz unwichtig","2014","Hauptschule","","","","",""
"4 Ganz unwichtig","2014","Realschule","","","","",""
"4 Ganz unwichtig","2014","(Fach-)Abitur","","","","",""
"4 Ganz unwichtig","2014","AkademikerIn","","","","",""
"1 Sehr wichtig","2015","(noch) kein Abschluss","","","","",""
"1 Sehr wichtig","2015","Hauptschule","","","","",""
"1 Sehr wichtig","2015","Realschule","","","","",""
"1 Sehr wichtig","2015","(Fach-)Abitur","","","","",""
"1 Sehr wichtig","2015","AkademikerIn","","","","",""
"2 Wichtig","2015","(noch) kein Abschluss","","","","",""
"2 Wichtig","2015","Hauptschule","","","","",""
"2 Wichtig","2015","Realschule","","","","",""
"2 Wichtig","2015","(Fach-)Abitur","","","","",""
"2 Wichtig","2015","AkademikerIn","","","","",""
"3 Weniger wichtig","2015","(noch) kein Abschluss","","","","",""
"3 Weniger wichtig","2015","Hauptschule","","","","",""
"3 Weniger wichtig","2015","Realschule","","","","",""
"3 Weniger wichtig","2015","(Fach-)Abitur","","","","",""
"3 Weniger wichtig","2015","AkademikerIn","","","","",""
"4 Ganz unwichtig","2015","(noch) kein Abschluss","","","","",""
"4 Ganz unwichtig","2015","Hauptschule","","","","",""
"4 Ganz unwichtig","2015","Realschule","","","","",""
"4 Ganz unwichtig","2015","(Fach-)Abitur","","","","",""
"4 Ganz unwichtig","2015","AkademikerIn","","","","",""
"1 Sehr wichtig","2016","(noch) kein Abschluss","377","0.409987418726126","0.376446576133291","0.443528261318962",""
"1 Sehr wichtig","2016","Hauptschule","2183","0.290060197371124","0.279420568612392","0.300699826129855",""
"1 Sehr wichtig","2016","Realschule","2189","0.33452519334451","0.322608440283461","0.346441946405559",""
"1 Sehr wichtig","2016","(Fach-)Abitur","1604","0.411590862876617","0.395729620408184","0.427452105345049",""
"1 Sehr wichtig","2016","AkademikerIn","2122","0.343248346871598","0.33112811297969","0.355368580763505",""
"2 Wichtig","2016","(noch) kein Abschluss","401","0.516638150542298","0.482559099838688","0.550717201245908",""
"2 Wichtig","2016","Hauptschule","4387","0.640842509394544","0.629594134995074","0.652090883794014",""
"2 Wichtig","2016","Realschule","3572","0.61205816150062","0.599751014954166","0.624365308047074",""
"2 Wichtig","2016","(Fach-)Abitur","1947","0.540395285317556","0.524332803434529","0.556457767200583",""
"2 Wichtig","2016","AkademikerIn","3504","0.603750732515554","0.591264849607217","0.616236615423892",""
"3 Weniger wichtig","2016","(noch) kein Abschluss","41","0.064585992842432","0.0478238641038496","0.0813481215810144",""
"3 Weniger wichtig","2016","Hauptschule","383","0.0641778295241752","0.0584318930473793","0.069923766000971",""
"3 Weniger wichtig","2016","Realschule","236","0.0494353235338127","0.0439602842245934","0.0549103628430319",""
"3 Weniger wichtig","2016","(Fach-)Abitur","142","0.0438375835827378","0.0372389536069551","0.0504362135585205",""
"3 Weniger wichtig","2016","AkademikerIn","248","0.0504378530455874","0.0448512710274225","0.0560244350637523",""
"4 Ganz unwichtig","2016","(noch) kein Abschluss","7","","","",""
"4 Ganz unwichtig","2016","Hauptschule","35","0.00491946371015709","0.00327902639654413","0.00655990102377006",""
"4 Ganz unwichtig","2016","Realschule","25","","","",""
"4 Ganz unwichtig","2016","(Fach-)Abitur","5","","","",""
"4 Ganz unwichtig","2016","AkademikerIn","21","","","",""
