,Unnamed: 0,year,pgisced97,sex,pli0080,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
306,306,2019,Upper Secondary Level,male,Seldom,0.2648,1292,24810,0.24688,0.28722
307,307,2019,Upper Secondary Level,male,Never,0.05802,280,24810,0.0497,0.06454
308,308,2019,Upper Secondary Level,female,Daily,0.03806,252,24810,0.03252,0.04305
309,309,2019,Upper Secondary Level,female,At least once per week,0.36578,2222,24810,0.35016,0.3851
310,310,2019,Upper Secondary Level,female,At least once per month,0.33585,2016,24810,0.31959,0.35581
311,311,2019,Upper Secondary Level,female,Seldom,0.20912,1270,24810,0.1955,0.22291
312,312,2019,Upper Secondary Level,female,Never,0.05118,282,24810,0.04336,0.05721
313,313,2019,Post-secondary Non-tertiary Level,male,At least once per week,0.40909,304,24810,0.3538,0.47086
314,314,2019,Post-secondary Non-tertiary Level,male,At least once per month,0.37576,284,24810,0.30526,0.44403
315,315,2019,Post-secondary Non-tertiary Level,male,Seldom,0.21515,187,24810,0.17448,0.26531
316,316,2019,Post-secondary Non-tertiary Level,female,Daily,0.03,37,24810,0.01947,0.04231
317,317,2019,Post-secondary Non-tertiary Level,female,At least once per week,0.39856,545,24810,0.36106,0.44237
318,318,2019,Post-secondary Non-tertiary Level,female,At least once per month,0.37395,499,24810,0.33955,0.41184
319,319,2019,Post-secondary Non-tertiary Level,female,Seldom,0.16857,233,24810,0.14446,0.20138
320,320,2019,Post-secondary Non-tertiary Level,female,Never,0.02892,31,24810,0.01855,0.04031
321,321,2019,First Stage of Tertiary Education,male,At least once per week,0.37775,364,24810,0.33478,0.43679
322,322,2019,First Stage of Tertiary Education,male,At least once per month,0.31137,369,24810,0.2765,0.34944
323,323,2019,First Stage of Tertiary Education,male,Seldom,0.26737,278,24810,0.22861,0.30927
324,324,2019,First Stage of Tertiary Education,male,Never,0.04351,38,24810,0.02725,0.06402
325,325,2019,First Stage of Tertiary Education,female,At least once per week,0.4021,212,24810,0.34124,0.46812
326,326,2019,First Stage of Tertiary Education,female,At least once per month,0.35878,228,24810,0.29893,0.41343
327,327,2019,First Stage of Tertiary Education,female,Seldom,0.23912,118,24810,0.18844,0.28771
328,328,2019,Second Stage of Tertiary Education,male,Daily,0.01454,55,24810,0.01051,0.02007
329,329,2019,Second Stage of Tertiary Education,male,At least once per week,0.34918,1237,24810,0.32304,0.37657
330,330,2019,Second Stage of Tertiary Education,male,At least once per month,0.40265,1531,24810,0.36818,0.42851
331,331,2019,Second Stage of Tertiary Education,male,Seldom,0.20693,760,24810,0.18734,0.22508
332,332,2019,Second Stage of Tertiary Education,male,Never,0.0267,74,24810,0.02017,0.03416
333,333,2019,Second Stage of Tertiary Education,female,Daily,0.02741,89,24810,0.02116,0.03409
334,334,2019,Second Stage of Tertiary Education,female,At least once per week,0.40891,1337,24810,0.38542,0.43617
335,335,2019,Second Stage of Tertiary Education,female,At least once per month,0.38209,1279,24810,0.35203,0.41196
336,336,2019,Second Stage of Tertiary Education,female,Seldom,0.16179,574,24810,0.14502,0.17749
337,337,2019,Second Stage of Tertiary Education,female,Never,0.01979,64,24810,0.01483,0.02509
338,338,2021,Pre-primary Level,male,At least once per week,1.0,45,16192,0.66143,1.52598
339,339,2021,Pre-primary Level,female,At least once per week,1.0,54,16192,0.51598,1.69779
340,340,2021,Primary Level,male,At least once per week,1.0,43,16192,0.58932,1.52617
341,341,2021,Primary Level,female,At least once per week,1.0,40,16192,0.65076,1.37603
342,342,2021,Lower Secondary Level,male,Daily,0.11777,58,16192,0.0881,0.14969
343,343,2021,Lower Secondary Level,male,At least once per week,0.39991,225,16192,0.32681,0.48444
344,344,2021,Lower Secondary Level,male,At least once per month,0.22771,139,16192,0.17819,0.27684
345,345,2021,Lower Secondary Level,male,Seldom,0.19467,109,16192,0.14227,0.25695
346,346,2021,Lower Secondary Level,male,Never,0.05995,33,16192,0.03786,0.08493
347,347,2021,Lower Secondary Level,female,Daily,0.07612,68,16192,0.05251,0.10562
348,348,2021,Lower Secondary Level,female,At least once per week,0.36466,331,16192,0.31473,0.40421
349,349,2021,Lower Secondary Level,female,At least once per month,0.2443,185,16192,0.20178,0.28483
350,350,2021,Lower Secondary Level,female,Seldom,0.24478,178,16192,0.20749,0.29499
351,351,2021,Lower Secondary Level,female,Never,0.07013,47,16192,0.04957,0.09552
352,352,2021,Upper Secondary Level,male,Daily,0.0587,185,16192,0.05074,0.06909
353,353,2021,Upper Secondary Level,male,At least once per week,0.43964,1374,16192,0.41307,0.46978
354,354,2021,Upper Secondary Level,male,At least once per month,0.24784,792,16192,0.22823,0.27136
355,355,2021,Upper Secondary Level,male,Seldom,0.21773,648,16192,0.19946,0.23724
356,356,2021,Upper Secondary Level,male,Never,0.03609,119,16192,0.02918,0.04548
357,357,2021,Upper Secondary Level,female,Daily,0.06305,239,16192,0.05227,0.07173
358,358,2021,Upper Secondary Level,female,At least once per week,0.4248,1691,16192,0.40442,0.44913
359,359,2021,Upper Secondary Level,female,At least once per month,0.23358,950,16192,0.21537,0.24834
360,360,2021,Upper Secondary Level,female,Seldom,0.21068,770,16192,0.19066,0.23314
361,361,2021,Upper Secondary Level,female,Never,0.0679,185,16192,0.05768,0.07929
362,362,2021,Post-secondary Non-tertiary Level,male,At least once per week,0.50937,258,16192,0.438,0.59123
363,363,2021,Post-secondary Non-tertiary Level,male,At least once per month,0.31539,164,16192,0.25717,0.37836
364,364,2021,Post-secondary Non-tertiary Level,male,Seldom,0.17524,108,16192,0.14239,0.21921
365,365,2021,Post-secondary Non-tertiary Level,female,Daily,0.03881,41,16192,0.0274,0.05275
366,366,2021,Post-secondary Non-tertiary Level,female,At least once per week,0.46755,439,16192,0.41359,0.52998
367,367,2021,Post-secondary Non-tertiary Level,female,At least once per month,0.33847,292,16192,0.28209,0.39231
368,368,2021,Post-secondary Non-tertiary Level,female,Seldom,0.15517,155,16192,0.12738,0.18299
369,369,2021,First Stage of Tertiary Education,male,At least once per week,0.47003,267,16192,0.39748,0.56111
370,370,2021,First Stage of Tertiary Education,male,At least once per month,0.28745,181,16192,0.24087,0.34405
371,371,2021,First Stage of Tertiary Education,male,Seldom,0.24253,117,16192,0.19728,0.28738
372,372,2021,First Stage of Tertiary Education,female,At least once per week,0.44792,164,16192,0.35368,0.54439
373,373,2021,First Stage of Tertiary Education,female,At least once per month,0.35107,122,16192,0.28517,0.42464
374,374,2021,First Stage of Tertiary Education,female,Seldom,0.20102,69,16192,0.15003,0.26277
375,375,2021,Second Stage of Tertiary Education,male,Daily,0.03417,89,16192,0.0273,0.04357
376,376,2021,Second Stage of Tertiary Education,male,At least once per week,0.46335,1211,16192,0.42347,0.49009
377,377,2021,Second Stage of Tertiary Education,male,At least once per month,0.28084,839,16192,0.25768,0.30982
378,378,2021,Second Stage of Tertiary Education,male,Seldom,0.19121,487,16192,0.1706,0.21919
379,379,2021,Second Stage of Tertiary Education,male,Never,0.03043,66,16192,0.02167,0.03841
380,380,2021,Second Stage of Tertiary Education,female,Daily,0.04755,108,16192,0.03625,0.05689
381,381,2021,Second Stage of Tertiary Education,female,At least once per week,0.47814,1241,16192,0.44098,0.51625
382,382,2021,Second Stage of Tertiary Education,female,At least once per month,0.30628,800,16192,0.27292,0.33236
383,383,2021,Second Stage of Tertiary Education,female,Seldom,0.14277,394,16192,0.12367,0.16231
384,384,2021,Second Stage of Tertiary Education,female,Never,0.02526,72,16192,0.02088,0.03235
