year,age_gr,pgisced97,pli0080,proportion,n,lower_confidence,upper_confidence
1998,46-65 J.,inadequately,Min 1x pro Monat,0.0032995875515560557,18147,0.0024652038754425214,0.00413397122766959
1998,18-29 J.,higher education,Min 1x pro Monat,0.003224596925384327,18147,0.0023997183461750503,0.004049475504593603
1998,30-45 J.,general elemantary,Taeglich,0.0029996250468691415,18147,0.00220395172249117,0.003795298371247113
1998,46-65 J.,inadequately,Taeglich,0.002849643794525684,18147,0.002074059038696052,0.0036252285503553163
1998,66 und älter,middle vocational,Taeglich,0.002774653168353956,18147,0.0020093127348104712,0.0035399936018974407
1998,18-29 J.,vocational + Abi,Min 1x pro Monat,0.0026996625421822273,18147,0.0019447070044170196,0.003454618079947435
1998,46-65 J.,general elemantary,Taeglich,0.0026996625421822273,18147,0.0019447070044170196,0.003454618079947435
1998,66 und älter,general elemantary,Nie,0.0026996625421822273,18147,0.0019447070044170196,0.003454618079947435
1998,30-45 J.,vocational + Abi,Seltener,0.0024746906636670418,18147,0.001751794244650134,0.0031975870826839495
1998,30-45 J.,inadequately,Min 1x pro Monat,0.002399700037495313,18147,0.0016878140960751165,0.0031115859789155095
1998,46-65 J.,general elemantary,Nie,0.0022497187851518562,18147,0.0015603863742976723,0.00293905119600604
1998,30-45 J.,middle vocational,Nie,0.0021747281589801276,18147,0.0014969565228429163,0.002852499795117339
1998,66 und älter,higher vocational,Seltener,0.002099737532808399,18147,0.0014337291035112995,0.0027657459621054986
1998,46-65 J.,vocational + Abi,Min 1x pro Monat,0.0020247469066366703,18147,0.0013707150388488128,0.0026787787744245277
1998,18-29 J.,higher vocational,Min 1x pro Monat,0.0019497562804649418,18147,0.00130792627235223,0.002591586288577654
1998,66 und älter,general elemantary,Taeglich,0.0019497562804649418,18147,0.00130792627235223,0.002591586288577654
1998,46-65 J.,inadequately,Seltener,0.0018747656542932134,18147,0.0012453759073236107,0.002504155401262816
1998,46-65 J.,vocational + Abi,Min 1x pro Woche,0.0018747656542932134,18147,0.0012453759073236107,0.002504155401262816
