"year","hhtyp","regtyp","mean","median","n","lower_confidence","upper_confidence"
"2009","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","1838.69","1596.67","4612","1798.41","1878.97"
"2009","1-Pers.- Haushalt","Laendlicher Raum","1300.71","1177","889","1254.5","1346.92"
"2009","1-Pers.- Haushalt","Staedtischer Raum","1574.67","1398","1971","1523.36","1625.98"
"2009","Alleinerziehende","Laendlicher Raum","1034.38","928.21","618","985.29","1083.47"
"2009","Alleinerziehende","Staedtischer Raum","1103.08","993.44","971","1064.2","1141.96"
"2009","Paar mit Kind(ern)","Laendlicher Raum","1347.67","1245","3990","1327.68","1367.66"
"2009","Paar mit Kind(ern)","Staedtischer Raum","1493.45","1332.27","7238","1473.48","1513.42"
"2009","Sonstige","Laendlicher Raum","1265","1187.31","197","1178.69","1351.31"
"2009","Sonstige","Staedtischer Raum","1371.78","1240.38","247","1297.54","1446.02"
"2010","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1535.78","1330","2322","1501.88","1569.68"
"2010","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","1927.18","1661.67","4422","1888.4","1965.96"
"2010","1-Pers.- Haushalt","Laendlicher Raum","1374.84","1198.5","852","1324.07","1425.61"
"2010","1-Pers.- Haushalt","Staedtischer Raum","1638.77","1395","1859","1577.62","1699.92"
"2010","Alleinerziehende","Laendlicher Raum","1063.97","941.43","1676","1041.27","1086.67"
"2010","Alleinerziehende","Staedtischer Raum","1129.05","975.31","3071","1107.8","1150.3"
"2010","Paar mit Kind(ern)","Laendlicher Raum","1421.32","1309.93","8023","1407.02","1435.62"
"2010","Paar mit Kind(ern)","Staedtischer Raum","1544.94","1398.33","14644","1530.26","1559.62"
"2010","Sonstige","Laendlicher Raum","1188.73","1109.75","269","1113.94","1263.52"
"2010","Sonstige","Staedtischer Raum","1438.64","1419.41","330","1369.56","1507.72"
"2011","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1590.55","1446.67","3218","1561.46","1619.64"
"2011","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","1966.11","1664.67","5530","1927.85","2004.37"
"2011","1-Pers.- Haushalt","Laendlicher Raum","1352.17","1197.5","1140","1304.13","1400.21"
"2011","1-Pers.- Haushalt","Staedtischer Raum","1626.62","1398.5","2411","1579.67","1673.57"
"2011","Alleinerziehende","Laendlicher Raum","1100.94","974.04","2060","1079.93","1121.95"
"2011","Alleinerziehende","Staedtischer Raum","1152.22","997.81","3806","1134.48","1169.96"
"2011","Paar mit Kind(ern)","Laendlicher Raum","1451.56","1333.33","9063","1437.62","1465.5"
"2011","Paar mit Kind(ern)","Staedtischer Raum","1564.5","1428.57","15991","1550.86","1578.14"
"2011","Sonstige","Laendlicher Raum","1120.67","1094.23","340","1067.65","1173.69"
"2011","Sonstige","Staedtischer Raum","1274.93","1188.33","442","1218.97","1330.89"
"2012","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1646.54","1495.33","3360","1617.78","1675.3"
"2012","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","2026.28","1793.33","5540","1991.5","2061.06"
"2012","1-Pers.- Haushalt","Laendlicher Raum","1376.64","1242","1218","1332.03","1421.25"
"2012","1-Pers.- Haushalt","Staedtischer Raum","1627.41","1448","2464","1581.75","1673.07"
"2012","Alleinerziehende","Laendlicher Raum","1176.8","1000","2020","1154.08","1199.52"
"2012","Alleinerziehende","Staedtischer Raum","1222.28","1074.05","3573","1202.07","1242.49"
"2012","Paar mit Kind(ern)","Laendlicher Raum","1507.17","1384.92","8493","1485.09","1529.25"
"2012","Paar mit Kind(ern)","Staedtischer Raum","1618.59","1437.78","14971","1604.09","1633.09"
"2012","Sonstige","Laendlicher Raum","1207.01","1175.91","363","1150.2","1263.82"
"2012","Sonstige","Staedtischer Raum","1462.62","1175.58","403","1344.49","1580.75"
"2013","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1673.65","1557.67","3354","1644.24","1703.06"
"2013","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","2071.35","1795","5924","2032.74","2109.96"
"2013","1-Pers.- Haushalt","Laendlicher Raum","1431.66","1298","1219","1386.09","1477.23"
"2013","1-Pers.- Haushalt","Staedtischer Raum","1675.28","1497.5","2624","1625.72","1724.84"
"2013","Alleinerziehende","Laendlicher Raum","1190.92","1049.62","1970","1169.71","1212.13"
"2013","Alleinerziehende","Staedtischer Raum","1181.73","1051.53","3832","1163.62","1199.84"
"2013","Paar mit Kind(ern)","Laendlicher Raum","1498.93","1382.78","8993","1484.21","1513.65"
"2013","Paar mit Kind(ern)","Staedtischer Raum","1643.9","1475.6","17928","1630.72","1657.08"
"2013","Sonstige","Laendlicher Raum","1204.75","1055.07","615","1160","1249.5"
"2013","Sonstige","Staedtischer Raum","1251.45","1163.33","1205","1221.92","1280.98"
"2014","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1716.78","1594.67","3240","1686.7","1746.86"
"2014","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","2149.76","1865.33","5486","2106.8","2192.72"
"2014","1-Pers.- Haushalt","Laendlicher Raum","1437.97","1295","1144","1393.23","1482.71"
"2014","1-Pers.- Haushalt","Staedtischer Raum","1699.44","1499.5","2422","1649.09","1749.79"
"2014","Alleinerziehende","Laendlicher Raum","1211.45","1111.56","1647","1187.19","1235.71"
"2014","Alleinerziehende","Staedtischer Raum","1193.19","1061.15","3041","1170.35","1216.03"
"2014","Paar mit Kind(ern)","Laendlicher Raum","1558.31","1428.57","7847","1542.52","1574.1"
"2014","Paar mit Kind(ern)","Staedtischer Raum","1718.55","1536.85","15259","1703.71","1733.39"
"2014","Sonstige","Laendlicher Raum","1294.85","1236.11","486","1244.07","1345.63"
"2014","Sonstige","Staedtischer Raum","1260.93","1197.22","935","1226.12","1295.74"
"2015","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1789.47","1660","3198","1758.67","1820.27"
"2015","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","2184.87","1928.33","5552","2144.22","2225.52"
"2015","1-Pers.- Haushalt","Laendlicher Raum","1482.85","1376.5","1174","1435.13","1530.57"
"2015","1-Pers.- Haushalt","Staedtischer Raum","1727.81","1495","2453","1664.35","1791.27"
"2015","Alleinerziehende","Laendlicher Raum","1284.89","1123.83","1532","1255.89","1313.89"
"2015","Alleinerziehende","Staedtischer Raum","1237.6","1079.09","2896","1214.27","1260.93"
"2015","Paar mit Kind(ern)","Laendlicher Raum","1592.66","1442.22","7753","1576.46","1608.86"
"2015","Paar mit Kind(ern)","Staedtischer Raum","1780.35","1617.22","15030","1765.84","1794.86"
"2015","Sonstige","Laendlicher Raum","1379.2","1326.67","467","1320.85","1437.55"
"2015","Sonstige","Staedtischer Raum","1309.17","1203.45","995","1268.2","1350.14"
"2016","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1846.68","1663.33","3098","1813.53","1879.83"
"2016","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","2212.09","1998.33","5220","2174","2250.18"
"2016","1-Pers.- Haushalt","Laendlicher Raum","1585.66","1395","1200","1535.5","1635.82"
"2016","1-Pers.- Haushalt","Staedtischer Raum","1738.01","1499","2605","1687.39","1788.63"
"2016","Alleinerziehende","Laendlicher Raum","1268.22","1151.92","1573","1241.91","1294.53"
"2016","Alleinerziehende","Staedtischer Raum","1288.31","1148.75","3009","1259.34","1317.28"
"2016","Paar mit Kind(ern)","Laendlicher Raum","1640.92","1497.5","8844","1623.72","1658.12"
"2016","Paar mit Kind(ern)","Staedtischer Raum","1813.34","1661.9","17447","1797.91","1828.77"
"2016","Sonstige","Laendlicher Raum","1263.53","1216.67","646","1217.21","1309.85"
"2016","Sonstige","Staedtischer Raum","1336.95","1245","1446","1306.06","1367.84"
"2017","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1926.78","1726.67","3502","1895.33","1958.23"
"2017","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","2477.31","1996.67","5922","2164.42","2790.2"
"2017","1-Pers.- Haushalt","Laendlicher Raum","1560.41","1457","1400","1515.74","1605.08"
"2017","1-Pers.- Haushalt","Staedtischer Raum","1815.95","1599","2894","1766.01","1865.89"
"2017","Alleinerziehende","Laendlicher Raum","1351.88","1226.92","1610","1321.72","1382.04"
