year,bula_h,regtyp,hlf0186,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2005,Bavaria,Urban regions,Yes,0.75135,604,11023,0,0.69423,0,0.80211
2005,Bavaria,Urban regions,No,0.24865,173,11023,0,0.22167,0,0.27331
2005,Bavaria,Rural regions,Yes,0.70688,564,11023,0,0.66666,0,0.74921
2005,Bavaria,Rural regions,No,0.29312,202,11023,0,0.26603,0,0.31863
2005,Berlin,Urban regions,Yes,0.59898,288,11023,0,0.55041,0,0.64630
2005,Berlin,Urban regions,No,0.40102,170,11023,0,0.35911,0,0.44863
2005,Brandenburg,Urban regions,Yes,1.00000,36,11023,0,0.81645,0,1.17138
2005,Brandenburg,Rural regions,Yes,0.62759,271,11023,0,0.57476,0,0.68246
2005,Brandenburg,Rural regions,No,0.37241,154,11023,0,0.32669,0,0.41937
2005,Mecklenburg-Western Pomerania,Urban regions,Yes,1.00000,31,11023,0,0.71753,0,1.27866
2005,Mecklenburg-Western Pomerania,Rural regions,Yes,0.62645,156,11023,0,0.56330,0,0.69593
2005,Mecklenburg-Western Pomerania,Rural regions,No,0.37355,76,11023,0,0.30637,0,0.44963
2005,Saxony,Urban regions,Yes,0.66907,294,11023,0,0.60459,0,0.72273
2005,Saxony,Urban regions,No,0.33093,119,11023,0,0.29075,0,0.38043
2005,Saxony,Rural regions,Yes,0.72823,292,11023,0,0.67059,0,0.78286
2005,Saxony,Rural regions,No,0.27177,101,11023,0,0.23655,0,0.30588
2005,Saxony-Anhalt,Urban regions,Yes,0.63988,69,11023,0,0.54003,0,0.78078
2005,Saxony-Anhalt,Urban regions,No,0.36012,34,11023,0,0.27695,0,0.44164
2005,Saxony-Anhalt,Rural regions,Yes,0.64921,242,11023,0,0.58963,0,0.72218
2005,Saxony-Anhalt,Rural regions,No,0.35079,125,11023,0,0.29991,0,0.39997
2005,Thuringa,Urban regions,Yes,0.54672,83,11023,0,0.45161,0,0.64557
2005,Thuringa,Urban regions,No,0.45328,55,11023,0,0.35567,0,0.55542
2005,Thuringa,Rural regions,Yes,0.66625,217,11023,0,0.60418,0,0.73548
2005,Thuringa,Rural regions,No,0.33375,106,11023,0,0.28294,0,0.39160
2007,Schleswig-Holstein,Urban regions,Yes,0.70351,108,11255,0,0.60212,0,0.79901
2007,Schleswig-Holstein,Urban regions,No,0.29649,37,11255,0,0.23588,0,0.36050
2007,Schleswig-Holstein,Rural regions,Yes,0.58393,133,11255,0,0.52067,0,0.65106
