"e11103","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Teilzeit","2008","Realschule","1349","","",""
"Vollzeit","2008","(Fach-)Abitur","826","0.383215176712975","0.362778677128888","0.403651676297063"
"Vollzeit","2008","(noch) kein Abschluss","39","0.076536844697002","0.0574592446155644","0.0956144447784396"
"Vollzeit","2008","AkademikerIn","2146","","",""
"Vollzeit","2008","Hauptschule","1882","","",""
"Vollzeit","2008","Realschule","2423","","",""
"nicht erwerbstätig","2009","(Fach-)Abitur","597","0.289630175904765","0.269775854002464","0.309484497807066"
"nicht erwerbstätig","2009","(noch) kein Abschluss","546","0.767070843375918","0.735230083653789","0.798911603098048"
"nicht erwerbstätig","2009","AkademikerIn","1097","","",""
"nicht erwerbstätig","2009","Hauptschule","3379","0.524458609967141","0.512062665175059","0.536854554759222"
"nicht erwerbstätig","2009","Realschule","1247","","",""
"Teilzeit","2009","(Fach-)Abitur","624","0.312784852358355","0.292491204469019","0.33307850024769"
"Teilzeit","2009","(noch) kein Abschluss","95","0.148611286494506","0.121816913552245","0.175405659436767"
"Teilzeit","2009","AkademikerIn","888","0.224644338943873","0.211767046995052","0.237521630892693"
"Teilzeit","2009","Hauptschule","1186","","",""
"Teilzeit","2009","Realschule","1286","","",""
"Vollzeit","2009","(Fach-)Abitur","784","0.39758497173688","0.376163279211405","0.419006664262356"
"Vollzeit","2009","(noch) kein Abschluss","36","0.0843178701295761","0.0633870647317993","0.105248675527353"
"Vollzeit","2009","AkademikerIn","2050","","",""
"Vollzeit","2009","Hauptschule","1670","","",""
"Vollzeit","2009","Realschule","2298","","",""
"nicht erwerbstätig","2010","(Fach-)Abitur","900","0.283982316561439","0.268010547548049","0.299954085574829"
"nicht erwerbstätig","2010","(noch) kein Abschluss","851","0.781939749817001","0.757163202856832","0.806716296777169"
"nicht erwerbstätig","2010","AkademikerIn","1317","","",""
"nicht erwerbstätig","2010","Hauptschule","3751","0.531381647977368","0.52011136841146","0.542651927543275"
"nicht erwerbstätig","2010","Realschule","1770","","",""
"Teilzeit","2010","(Fach-)Abitur","1024","","",""
"Teilzeit","2010","(noch) kein Abschluss","144","","",""
"Teilzeit","2010","AkademikerIn","1344","","",""
"Teilzeit","2010","Hauptschule","1581","","",""
"Teilzeit","2010","Realschule","2108","","",""
"Vollzeit","2010","(Fach-)Abitur","1138","","",""
"Vollzeit","2010","(noch) kein Abschluss","72","0.0780807093465162","0.0619822539885251","0.0941791647045073"
"Vollzeit","2010","AkademikerIn","2715","","",""
"Vollzeit","2010","Hauptschule","2199","","",""
"Vollzeit","2010","Realschule","2948","","",""
"nicht erwerbstätig","2011","(Fach-)Abitur","1056","","",""
"nicht erwerbstätig","2011","(noch) kein Abschluss","1050","","",""
"nicht erwerbstätig","2011","AkademikerIn","1571","","",""
"nicht erwerbstätig","2011","Hauptschule","4598","0.537997939724399","0.527692168259534","0.548303711189265"
"nicht erwerbstätig","2011","Realschule","2073","","",""
"Teilzeit","2011","(Fach-)Abitur","1304","","",""
"Teilzeit","2011","(noch) kein Abschluss","177","","",""
"Teilzeit","2011","AkademikerIn","1546","","",""
"Teilzeit","2011","Hauptschule","1872","","",""
"Teilzeit","2011","Realschule","2560","","",""
"Vollzeit","2011","(Fach-)Abitur","1275","","",""
"Vollzeit","2011","(noch) kein Abschluss","93","0.0892707185252219","0.0738888076509287","0.104652629399515"
"Vollzeit","2011","AkademikerIn","3095","0.515367907132826","0.502940024648875","0.527795789616776"
"Vollzeit","2011","Hauptschule","2520","","",""
"Vollzeit","2011","Realschule","3331","0.484034069609709","0.473058402059768","0.49500973715965"
"nicht erwerbstätig","2012","(Fach-)Abitur","980","0.271287044693852","0.256675405789415","0.285898683598289"
"nicht erwerbstätig","2012","(noch) kein Abschluss","1041","","",""
"nicht erwerbstätig","2012","AkademikerIn","1564","","",""
"nicht erwerbstätig","2012","Hauptschule","4412","0.533502661069779","0.523023376355683","0.543981945783874"
"nicht erwerbstätig","2012","Realschule","2066","","",""
"Teilzeit","2012","(Fach-)Abitur","1240","","",""
"Teilzeit","2012","(noch) kein Abschluss","196","","",""
"Teilzeit","2012","AkademikerIn","1570","","",""
"Teilzeit","2012","Hauptschule","1847","","",""
"Teilzeit","2012","Realschule","2419","","",""
"Vollzeit","2012","(Fach-)Abitur","1337","","",""
"Vollzeit","2012","(noch) kein Abschluss","93","0.0897237169843655","0.074364732111088","0.105082701857643"
"Vollzeit","2012","AkademikerIn","3012","0.500934749355955","0.488434431438264","0.513435067273647"
"Vollzeit","2012","Hauptschule","2447","","",""
"Vollzeit","2012","Realschule","3320","0.483018624674091","0.471932467676435","0.494104781671748"
"nicht erwerbstätig","2013","(Fach-)Abitur","2007","","",""
"nicht erwerbstätig","2013","(noch) kein Abschluss","1484","","",""
"nicht erwerbstätig","2013","AkademikerIn","2475","","",""
"nicht erwerbstätig","2013","Hauptschule","5556","0.585730135292334","0.575806854132753","0.595653416451914"
"nicht erwerbstätig","2013","Realschule","2446","","",""
"Teilzeit","2013","(Fach-)Abitur","1198","","",""
"Teilzeit","2013","(noch) kein Abschluss","191","","",""
"Teilzeit","2013","AkademikerIn","1521","","",""
"Teilzeit","2013","Hauptschule","1718","","",""
"Teilzeit","2013","Realschule","2329","","",""
"Vollzeit","2013","(Fach-)Abitur","1260","","",""
"Vollzeit","2013","(noch) kein Abschluss","85","0.0620304937614317","0.0507614066526364","0.073299580870227"
"Vollzeit","2013","AkademikerIn","2866","","",""
"Vollzeit","2013","Hauptschule","2192","","",""
"Vollzeit","2013","Realschule","3077","0.45181108643926","0.440803261573348","0.462818911305173"
"nicht erwerbstätig","2014","(Fach-)Abitur","1041","","",""
"nicht erwerbstätig","2014","(noch) kein Abschluss","1094","","",""
"nicht erwerbstätig","2014","AkademikerIn","1572","","",""
"nicht erwerbstätig","2014","Hauptschule","3999","0.536421747279662","0.525668330083664","0.54717516447566"
"nicht erwerbstätig","2014","Realschule","1876","","",""
"Teilzeit","2014","(Fach-)Abitur","1408","","",""
"Teilzeit","2014","(noch) kein Abschluss","233","","",""
"Teilzeit","2014","AkademikerIn","1687","","",""
"Teilzeit","2014","Hauptschule","1859","","",""
"Teilzeit","2014","Realschule","2117","","",""
"Vollzeit","2014","(Fach-)Abitur","1505","","",""
"Vollzeit","2014","(noch) kein Abschluss","111","","",""
"Vollzeit","2014","AkademikerIn","2968","","",""
"Vollzeit","2014","Hauptschule","2403","","",""
"Vollzeit","2014","Realschule","2956","","",""
"nicht erwerbstätig","2015","(Fach-)Abitur","1420","","",""
"nicht erwerbstätig","2015","(noch) kein Abschluss","1078","","",""
"nicht erwerbstätig","2015","AkademikerIn","2017","","",""
"nicht erwerbstätig","2015","Hauptschule","4068","0.545926716722416","0.534926762598506","0.556926670846326"
"nicht erwerbstätig","2015","Realschule","1799","","",""
"Teilzeit","2015","(Fach-)Abitur","1338","","",""
"Teilzeit","2015","(noch) kein Abschluss","184","","",""
"Teilzeit","2015","AkademikerIn","1617","","",""
"Teilzeit","2015","Hauptschule","1659","","",""
"Teilzeit","2015","Realschule","2051","","",""
"Vollzeit","2015","(Fach-)Abitur","1413","","",""
"Vollzeit","2015","(noch) kein Abschluss","103","","",""
"Vollzeit","2015","AkademikerIn","2788","","",""
"Vollzeit","2015","Hauptschule","2143","","",""
"Vollzeit","2015","Realschule","2798","","",""
"nicht erwerbstätig","2016","(Fach-)Abitur","1430","","",""
"nicht erwerbstätig","2016","(noch) kein Abschluss","1962","","",""
"nicht erwerbstätig","2016","AkademikerIn","2092","","",""
"nicht erwerbstätig","2016","Hauptschule","4012","0.512802578906561","0.501615767596626","0.523989390216495"
"nicht erwerbstätig","2016","Realschule","1686","","",""
"Teilzeit","2016","(Fach-)Abitur","1323","","",""
"Teilzeit","2016","(noch) kein Abschluss","202","","",""
"Teilzeit","2016","AkademikerIn","1683","","",""
"Teilzeit","2016","Hauptschule","1632","","",""
"Teilzeit","2016","Realschule","1848","","",""
"Vollzeit","2016","(Fach-)Abitur","1469","","",""
"Vollzeit","2016","(noch) kein Abschluss","105","","",""
"Vollzeit","2016","AkademikerIn","2713","","",""
"Vollzeit","2016","Hauptschule","2025","","",""
"Vollzeit","2016","Realschule","2593","","",""
"nicht erwerbstätig","2017","(Fach-)Abitur","1641","","",""
"nicht erwerbstätig","2017","(noch) kein Abschluss","2459","","",""
"nicht erwerbstätig","2017","AkademikerIn","2250","","",""
"nicht erwerbstätig","2017","Hauptschule","4203","0.5168159392298","0.505940792138593","0.527691086321008"
"nicht erwerbstätig","2017","Realschule","1851","","",""
"Teilzeit","2017","(Fach-)Abitur","1553","","",""
"Teilzeit","2017","(noch) kein Abschluss","257","","",""
"Teilzeit","2017","AkademikerIn","1891","","",""
"Teilzeit","2017","Hauptschule","1752","","",""
"Teilzeit","2017","Realschule","2068","","",""
"Vollzeit","2017","(Fach-)Abitur","1647","","",""
"Vollzeit","2017","(noch) kein Abschluss","126","","",""
"Vollzeit","2017","AkademikerIn","3110","0.477869732081086","0.466372499015941","0.489366965146231"
"Vollzeit","2017","Hauptschule","2156","","",""
"Vollzeit","2017","Realschule","3102","0.469585168664631","0.457911331800466","0.481259005528797"
"nicht erwerbstätig","2018","(Fach-)Abitur","1478","","",""
"nicht erwerbstätig","2018","(noch) kein Abschluss","2184","","",""
"nicht erwerbstätig","2018","AkademikerIn","2064","","",""
"nicht erwerbstätig","2018","Hauptschule","3912","0.514198356066669","0.502986775420936","0.525409936712402"
"nicht erwerbstätig","2018","Realschule","1787","","",""
"Teilzeit","2018","(Fach-)Abitur","1557","","",""
"Teilzeit","2018","(noch) kein Abschluss","294","","",""
"Teilzeit","2018","AkademikerIn","1852","","",""
"Teilzeit","2018","Hauptschule","1713","","",""
"Teilzeit","2018","Realschule","2066","","",""
"Vollzeit","2018","(Fach-)Abitur","1613","","",""
"Vollzeit","2018","(noch) kein Abschluss","141","","",""
"Vollzeit","2018","AkademikerIn","3062","0.494521921442865","0.482791150751498","0.506252692134232"
"Vollzeit","2018","Hauptschule","2009","","",""
"Vollzeit","2018","Realschule","2905","","",""
"nicht erwerbstätig","2019","(Fach-)Abitur","1369","","",""
"nicht erwerbstätig","2019","(noch) kein Abschluss","1905","","",""
"nicht erwerbstätig","2019","AkademikerIn","2006","","",""
"nicht erwerbstätig","2019","Hauptschule","3555","0.517353205320272","0.505628798114626","0.529077612525917"
"nicht erwerbstätig","2019","Realschule","1857","","",""
"Teilzeit","2019","(Fach-)Abitur","1569","","",""
"Teilzeit","2019","(noch) kein Abschluss","330","0.187351210222517","0.171785850709993","0.20291656973504"
"Teilzeit","2019","AkademikerIn","2021","","",""
"Teilzeit","2019","Hauptschule","1512","","",""
"Teilzeit","2019","Realschule","1957","","",""
"Vollzeit","2019","(Fach-)Abitur","1760","","",""
"Vollzeit","2019","(noch) kein Abschluss","179","","",""
"Vollzeit","2019","AkademikerIn","3582","0.480297165205244","0.469071376759151","0.491522953651336"
"Vollzeit","2019","Hauptschule","1911","","",""
"Vollzeit","2019","Realschule","3045","0.458832138785381","0.447039510667899","0.470624766902863"
"nicht erwerbstätig","2020","(Fach-)Abitur","1389","","",""
"nicht erwerbstätig","2020","(noch) kein Abschluss","1926","","",""
"nicht erwerbstätig","2020","AkademikerIn","1966","","",""
"nicht erwerbstätig","2020","Hauptschule","3428","0.533104255181785","0.521235826985718","0.544972683377852"
"nicht erwerbstätig","2020","Realschule","1815","","",""
"Teilzeit","2020","(Fach-)Abitur","1721","","",""
"Teilzeit","2020","(noch) kein Abschluss","408","0.183565636343439","0.168758977837146","0.198372294849731"
"Teilzeit","2020","AkademikerIn","2136","","",""
"Teilzeit","2020","Hauptschule","1470","","",""
"Teilzeit","2020","Realschule","1791","","",""
"Vollzeit","2020","(Fach-)Abitur","1973","","",""
"Vollzeit","2020","(noch) kein Abschluss","292","","",""
"Vollzeit","2020","AkademikerIn","3695","0.477816329576561","0.466729012668248","0.488903646484874"
"Vollzeit","2020","Hauptschule","1890","","",""
"Vollzeit","2020","Realschule","2724","","",""
