"plb0218","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Ja, alle 3-4 Wochen","2016","17-34","maennlich","","","",""
"Ja, alle 3-4 Wochen","2016","17-34","weiblich","","","",""
"Ja, alle 3-4 Wochen","2016","35-65","maennlich","","","",""
"Ja, alle 3-4 Wochen","2016","35-65","weiblich","","","",""
"Ja, alle 3-4 Wochen","2016","66 +","maennlich","","","",""
"Ja, alle 3-4 Wochen","2016","66 +","weiblich","","","",""
"Seltener","2016","17-34","maennlich","","","",""
"Seltener","2016","17-34","weiblich","","","",""
"Seltener","2016","35-65","maennlich","","","",""
"Seltener","2016","35-65","weiblich","","","",""
"Seltener","2016","66 +","maennlich","","","",""
"Seltener","2016","66 +","weiblich","","","",""
"Nein, nie","2017","17-34","maennlich","827","0.422363829484778","0.400855884346815","0.44387177462274"
"Nein, nie","2017","17-34","weiblich","933","0.485886959277454","0.464042616269868","0.507731302285039"
"Nein, nie","2017","35-65","maennlich","2074","0.344419125220543","0.332265332229811","0.356572918211275"
"Nein, nie","2017","35-65","weiblich","3108","0.468153218311954","0.455972959111419","0.480333477512488"
"Nein, nie","2017","66 +","maennlich","110","0.451112132280735","0.388675819552408","0.513548445009062"
"Nein, nie","2017","66 +","weiblich","86","0.575758511601087","0.498203021933569","0.653314001268606"
"Ja, jede Woche","2017","17-34","maennlich","270","0.128189673931444","0.113632874564369","0.142746473298518"
"Ja, jede Woche","2017","17-34","weiblich","317","0.153449567421014","0.137697001419153","0.169202133422875"
"Ja, jede Woche","2017","35-65","maennlich","803","0.13595287135171","0.127186538117922","0.144719204585498"
"Ja, jede Woche","2017","35-65","weiblich","795","0.120117882909477","0.112182181181554","0.1280535846374"
"Ja, jede Woche","2017","66 +","maennlich","46","0.183162905439904","0.134629622896062","0.231696187983747"
"Ja, jede Woche","2017","66 +","weiblich","","","",""
"Ja, alle 2 Wochen","2017","17-34","maennlich","322","0.142381132521685","0.127165088520562","0.157597176522808"
"Ja, alle 2 Wochen","2017","17-34","weiblich","346","0.158277184682001","0.142324427175613","0.174229942188389"
"Ja, alle 2 Wochen","2017","35-65","maennlich","788","0.134882359747112","0.126145200950743","0.14361951854348"
"Ja, alle 2 Wochen","2017","35-65","weiblich","1014","0.169155170337396","0.160004100807737","0.178306239867055"
"Ja, alle 2 Wochen","2017","66 +","maennlich","","","",""
"Ja, alle 2 Wochen","2017","66 +","weiblich","","","",""
"Ja, alle 3-4 Wochen","2017","17-34","maennlich","208","0.100570346874006","0.0874740972228851","0.113666596525126"
"Ja, alle 3-4 Wochen","2017","17-34","weiblich","161","0.0746111529209668","0.0631268123878428","0.0860954934540908"
"Ja, alle 3-4 Wochen","2017","35-65","maennlich","653","0.106596599819042","0.0987034464039875","0.114489753234097"
"Ja, alle 3-4 Wochen","2017","35-65","weiblich","568","0.0775866802493728","0.0710564931649816","0.084116867333764"
"Ja, alle 3-4 Wochen","2017","66 +","maennlich","","","",""
"Ja, alle 3-4 Wochen","2017","66 +","weiblich","","","",""
"Seltener","2017","17-34","maennlich","399","0.206495017188088","0.18886884583374","0.224121188542436"
"Seltener","2017","17-34","weiblich","254","0.127775135698564","0.113184323668989","0.14236594772814"
"Seltener","2017","35-65","maennlich","1554","0.278149043861593","0.266688172940268","0.289609914782918"
"Seltener","2017","35-65","weiblich","962","0.1649870481918","0.155926785533393","0.174047310850208"
"Seltener","2017","66 +","maennlich","54","0.233235019721368","0.180173315760376","0.28629672368236"
"Seltener","2017","66 +","weiblich","32","0.190825735244709","0.129162643669272","0.252488826820146"
"Nein, nie","2018","17-34","maennlich","","","",""
"Nein, nie","2018","17-34","weiblich","","","",""
"Nein, nie","2018","35-65","maennlich","","","",""
"Nein, nie","2018","35-65","weiblich","","","",""
"Nein, nie","2018","66 +","maennlich","","","",""
"Nein, nie","2018","66 +","weiblich","","","",""
"Ja, jede Woche","2018","17-34","maennlich","","","",""
"Ja, jede Woche","2018","17-34","weiblich","","","",""
"Ja, jede Woche","2018","35-65","maennlich","","","",""
"Ja, jede Woche","2018","35-65","weiblich","","","",""
"Ja, jede Woche","2018","66 +","maennlich","","","",""
"Ja, jede Woche","2018","66 +","weiblich","","","",""
"Ja, alle 2 Wochen","2018","17-34","maennlich","","","",""
"Ja, alle 2 Wochen","2018","17-34","weiblich","","","",""
"Ja, alle 2 Wochen","2018","35-65","maennlich","","","",""
"Ja, alle 2 Wochen","2018","35-65","weiblich","","","",""
"Ja, alle 2 Wochen","2018","66 +","maennlich","","","",""
"Ja, alle 2 Wochen","2018","66 +","weiblich","","","",""
"Ja, alle 3-4 Wochen","2018","17-34","maennlich","","","",""
"Ja, alle 3-4 Wochen","2018","17-34","weiblich","","","",""
"Ja, alle 3-4 Wochen","2018","35-65","maennlich","","","",""
"Ja, alle 3-4 Wochen","2018","35-65","weiblich","","","",""
"Ja, alle 3-4 Wochen","2018","66 +","maennlich","","","",""
"Ja, alle 3-4 Wochen","2018","66 +","weiblich","","","",""
"Seltener","2018","17-34","maennlich","","","",""
"Seltener","2018","17-34","weiblich","","","",""
"Seltener","2018","35-65","maennlich","","","",""
"Seltener","2018","35-65","weiblich","","","",""
"Seltener","2018","66 +","maennlich","","","",""
"Seltener","2018","66 +","weiblich","","","",""
"Nein, nie","2019","17-34","maennlich","790","0.433993005350042","0.411565346667739","0.456420664032346"
"Nein, nie","2019","17-34","weiblich","850","0.468041971871675","0.445086254967876","0.490997688775474"
"Nein, nie","2019","35-65","maennlich","2012","0.351995994719087","0.340097403191603","0.363894586246571"
"Nein, nie","2019","35-65","weiblich","3051","0.482247081083067","0.46996659336751","0.494527568798624"
"Nein, nie","2019","66 +","maennlich","150","0.41429102623821","0.367180587590796","0.461401464885624"
"Nein, nie","2019","66 +","weiblich","122","0.578237155409313","0.514690711149636","0.641783599668989"
"Ja, jede Woche","2019","17-34","maennlich","267","0.116915165872442","0.102375035109505","0.131455296635378"
"Ja, jede Woche","2019","17-34","weiblich","260","0.148272726885337","0.131923745825561","0.164621707945113"
"Ja, jede Woche","2019","35-65","maennlich","1017","0.133152548294782","0.124688387028573","0.141616709560991"
"Ja, jede Woche","2019","35-65","weiblich","771","0.115515311818472","0.107659619412358","0.123371004224587"
"Ja, jede Woche","2019","66 +","maennlich","87","0.179065073175431","0.14239740819638","0.215732738154483"
"Ja, jede Woche","2019","66 +","weiblich","30","0.0693168864130084","0.036633688862144","0.102000083963873"
"Ja, alle 2 Wochen","2019","17-34","maennlich","272","0.153413645109654","0.137105697761882","0.169721592457425"
"Ja, alle 2 Wochen","2019","17-34","weiblich","318","0.166288892785676","0.149159215116366","0.183418570454987"
"Ja, alle 2 Wochen","2019","35-65","maennlich","874","0.128064047310969","0.119738864978738","0.1363892296432"
"Ja, alle 2 Wochen","2019","35-65","weiblich","968","0.160649700641799","0.15162503504583","0.169674366237767"
"Ja, alle 2 Wochen","2019","66 +","maennlich","40","0.0878126627496149","0.0607454187050599","0.11487990679417"
"Ja, alle 2 Wochen","2019","66 +","weiblich","","","",""
"Ja, alle 3-4 Wochen","2019","17-34","maennlich","200","0.103898783607778","0.0900912713015336","0.117706295914023"
"Ja, alle 3-4 Wochen","2019","17-34","weiblich","140","0.0681102837423743","0.0565198849065085","0.0797006825782401"
"Ja, alle 3-4 Wochen","2019","35-65","maennlich","614","0.0964130565856649","0.0890596132721172","0.103766499899213"
"Ja, alle 3-4 Wochen","2019","35-65","weiblich","511","0.0778527134710934","0.0712677016861659","0.084437725256021"
"Ja, alle 3-4 Wochen","2019","66 +","maennlich","33","0.0660023406999792","0.0422571310417453","0.089747550358213"
"Ja, alle 3-4 Wochen","2019","66 +","weiblich","","","",""
"Seltener","2019","17-34","maennlich","347","0.191779400060084","0.173963916710924","0.209594883409243"
"Seltener","2019","17-34","weiblich","247","0.149286124714937","0.132891130918036","0.165681118511838"
"Seltener","2019","35-65","maennlich","1672","0.290374353089497","0.279065159746258","0.301683546432735"
"Seltener","2019","35-65","weiblich","1059","0.163735192985568","0.154641035693567","0.17282935027757"
"Seltener","2019","66 +","maennlich","110","0.252828897136765","0.211262073915866","0.294395720357663"
"Seltener","2019","66 +","weiblich","47","0.229690526770257","0.175564236797835","0.28381681674268"
