year,quintil_oecd,pli0096_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1997,4th Quintile,At least once per week,0.01852471486059404,224,12726,0.0184921969549669,0.018557232766221184
1997,4th Quintile,At least once per month,0.017617298696541626,208,12726,0.017585572564420813,0.01764902482866244
1997,4th Quintile,Seldom,0.029200460588138775,373,12726,0.029159856781765473,0.029241064394512076
1997,4th Quintile,Never,0.14551417459121885,1844,12726,0.14542913675561697,0.14559921242682072
1997,5th Quintile,At least once per week,0.020743309329396265,226,12726,0.020708938151785296,0.020777680507007235
1997,5th Quintile,At least once per month,0.02169274940945603,220,12726,0.021657617475939157,0.0217278813429729
1997,5th Quintile,Seldom,0.035761002410997285,383,12726,0.035716220326568175,0.035805784495426395
1997,5th Quintile,Never,0.13994352092813384,1599,12726,0.13985985531452486,0.14002718654174282
1998,1st Quintile,At least once per week,0.008713892389116936,95,12245,0.008689472396244438,0.008738312381989433
1998,1st Quintile,At least once per month,0.006470176257379493,73,12245,0.0064491099490284675,0.006491242565730518
1998,1st Quintile,Seldom,0.012485417624703406,144,12245,0.012456242466324407,0.012514592783082404
1998,1st Quintile,Never,0.16074993398484957,2009,12245,0.16065342649486347,0.16084644147483568
1998,2nd Quintile,At least once per week,0.012256631751023081,158,12245,0.012227721786615312,0.01228554171543085
1998,2nd Quintile,At least once per month,0.008928040676672236,114,12245,0.008903325108353014,0.008952756244991457
1998,2nd Quintile,Seldom,0.017728017390524813,221,12245,0.01769334483201419,0.017762689949035435
1998,2nd Quintile,Never,0.15166299736162847,2054,12245,0.15156875113973825,0.1517572435835187
1998,3rd Quintile,At least once per week,0.015433237195321458,192,12245,0.015400848680967057,0.015465625709675858
1998,3rd Quintile,At least once per month,0.013603701206129512,175,12245,0.01357326474284784,0.013634137669411184
1998,3rd Quintile,Seldom,0.02154757555264783,257,12245,0.02150942428351499,0.02158572682178067
1998,3rd Quintile,Never,0.14962625862416995,1899,12245,0.14953253506866682,0.14971998217967308
1998,4th Quintile,At least once per week,0.017844169759754076,222,12245,0.017809385857708707,0.017878953661799445
1998,4th Quintile,At least once per month,0.018148886089741568,213,12245,0.018113811893078733,0.018183960286404403
1998,4th Quintile,Seldom,0.021924087614422962,266,12245,0.021885611875164433,0.02196256335368149
1998,4th Quintile,Never,0.15223717398327488,1882,12245,0.15214278148775065,0.1523315664787991
1998,5th Quintile,At least once per week,0.019576472152482458,206,12245,0.019540071094652892,0.019612873210312024
1998,5th Quintile,At least once per month,0.017892310870581338,192,12245,0.017857480932692266,0.01792714080847041
1998,5th Quintile,Seldom,0.02913185124719977,295,12245,0.02908766327263731,0.029176039221762234
1998,5th Quintile,Never,0.14403916826837612,1578,12245,0.14394690960140644,0.1441314269353458
1999,1st Quintile,At least once per week,0.01141318798568254,136,13576,0.011387669728928252,0.01143870624243683
1999,1st Quintile,At least once per month,0.007996534492229514,101,13576,0.007975137752036112,0.008017931232422915
1999,1st Quintile,Seldom,0.0184795264547121,234,13576,0.01844717191604252,0.01851188099338168
1999,1st Quintile,Never,0.14669260047941193,2099,13576,0.14660760477630078,0.1467775961825231
1999,2nd Quintile,At least once per week,0.01097289525144588,164,13576,0.010947868480152041,0.010997922022739718
1999,2nd Quintile,At least once per month,0.012549782767901049,173,13576,0.012523039417152246,0.012576526118649851
1999,2nd Quintile,Seldom,0.02479017073892268,372,13576,0.02475281744500127,0.024827524032844092
1999,2nd Quintile,Never,0.14455251834300314,2142,13576,0.14446803917687287,0.14463699750913342
1999,3rd Quintile,At least once per week,0.01637407249211283,217,13576,0.016343584175237017,0.016404560808988642
1999,3rd Quintile,At least once per month,0.014283689848927831,203,13576,0.014255183848433361,0.014312195849422301
1999,3rd Quintile,Seldom,0.024179125705175466,367,13576,0.024142224082836033,0.024216027327514898
1999,3rd Quintile,Never,0.1418309980774177,2014,13576,0.14174718493917035,0.14191481121566504
1999,4th Quintile,At least once per week,0.020496729691197955,265,13576,0.020462690021030006,0.020530769361365903
1999,4th Quintile,At least once per month,0.016823885100922847,227,13576,0.016792987915602912,0.01685478228624278
1999,4th Quintile,Seldom,0.030459395840043858,412,13576,0.03041811165132151,0.030500680028766207
1999,4th Quintile,Never,0.14056529434369294,1857,13576,0.1404817945104596,0.14064879417692627
1999,5th Quintile,At least once per week,0.020042676428742,235,13576,0.020009008100675928,0.02007634475680807
1999,5th Quintile,At least once per month,0.01956617325675711,240,13576,0.01953289947206397,0.019599447041450252
1999,5th Quintile,Seldom,0.04070546811559866,459,13576,0.04065799557522899,0.04075294065596832
1999,5th Quintile,Never,0.13722527458610195,1659,13576,0.1371426125929964,0.1373079365792075
2001,1st Quintile,At least once per week,0.008354567116316677,167,21680,0.008332703011005731,0.008376431221627623
2001,1st Quintile,At least once per month,0.007239201635871654,154,21680,0.00721883781946868,0.007259565452274627
2001,1st Quintile,Seldom,0.014703587673903645,317,21680,0.014674675108059277,0.014732500239748014
2001,1st Quintile,Never,0.1563430022328132,3190,21680,0.15625576262457758,0.1564302418410488
2001,2nd Quintile,At least once per week,0.01276058693912855,295,21680,0.012733625808889853,0.012787548069367247
2001,2nd Quintile,At least once per month,0.011417195266127956,248,21680,0.011391675436726903,0.01144271509552901
2001,2nd Quintile,Seldom,0.02050300867265869,476,21680,0.020468967706547422,0.020537049638769955
2001,2nd Quintile,Never,0.14572659045598746,3312,21680,0.14564183661825322,0.1458113442937217
2001,3rd Quintile,At least once per week,0.016699793874413588,360,21680,0.016669012348374874,0.0167305754004523
2001,3rd Quintile,At least once per month,0.015531923162209544,368,21680,0.015502219844397125,0.015561626480021963
2001,3rd Quintile,Seldom,0.024350083321407038,567,21680,0.0243130588592756,0.024387107783538475
2001,3rd Quintile,Never,0.142540295308473,3193,21680,0.14245631698243363,0.14262427363451238
2001,4th Quintile,At least once per week,0.019818235568628998,457,21680,0.019784756194639482,0.019851714942618514
2001,4th Quintile,At least once per month,0.019309814033265073,432,21680,0.019276758323505908,0.019342869743024238
2001,4th Quintile,Seldom,0.02759822601150465,591,21680,0.027558875083285625,0.027637576939723678
2001,4th Quintile,Never,0.14183136773708555,3085,21680,0.1417475638833986,0.1419151715907725
2001,5th Quintile,At least once per week,0.022883158178803785,462,21680,0.022847239301214173,0.022919077056393396
2001,5th Quintile,At least once per month,0.02131373482353611,437,21680,0.021279041727988623,0.0213484279190836
2001,5th Quintile,Seldom,0.03297639994867528,690,21680,0.03293350445367799,0.03301929544367257
2001,5th Quintile,Never,0.13809922803918953,2879,21680,0.1380163545189887,0.13818210155939037
2003,1st Quintile,At least once per week,0.009872094408981064,168,22037,0.009848521223186137,0.009895667594775991
2003,1st Quintile,At least once per month,0.007435087493817334,134,22037,0.007414604639321941,0.0074555703483127275
2003,1st Quintile,Seldom,0.012270993761905004,220,22037,0.01224474391648282,0.012297243607327186
2003,1st Quintile,Never,0.1596301422070688,2854,22037,0.15954281276963747,0.15971747164450015
2003,2nd Quintile,At least once per week,0.01299155353251232,261,22037,0.012964553831370382,0.013018553233654258
2003,2nd Quintile,At least once per month,0.009468180383758478,199,22037,0.009445089771100958,0.009491270996415998
2003,2nd Quintile,Seldom,0.016812578580300313,329,22037,0.016781923440626456,0.01684323371997417
2003,2nd Quintile,Never,0.15208579377677814,3057,22037,0.1520001712068211,0.15217141634673517
2003,3rd Quintile,At least once per week,0.01774308644411357,380,22037,0.01771160931538588,0.01777456357284126
2003,3rd Quintile,At least once per month,0.013639077237194172,272,22037,0.013611421935391287,0.013666732538997056
2003,3rd Quintile,Seldom,0.01934079629922612,417,22037,0.019307959243607644,0.019373633354844596
2003,3rd Quintile,Never,0.146531037432873,3035,22037,0.14644671819799615,0.14661535666774983
2003,4th Quintile,At least once per week,0.021553867973883825,486,22037,0.021519242235106165,0.021588493712661486
2003,4th Quintile,At least once per month,0.017719103065214323,383,22037,0.017687646833521194,0.017750559296907453
2003,4th Quintile,Seldom,0.024614890845320474,542,22037,0.024577945902693972,0.024651835787946975
2003,4th Quintile,Never,0.14274174703150808,2992,22037,0.1426583406423371,0.14282515342067906
2003,5th Quintile,At least once per week,0.023057330034281523,718,22037,0.02302154453951295,0.023093115529050096
2003,5th Quintile,At least once per month,0.02068910722012487,633,22037,0.02065516821194398,0.02072304622830576
2003,5th Quintile,Seldom,0.02917392866854018,848,22037,0.029133801718380904,0.029214055618699455
2003,5th Quintile,Never,0.1426296036025984,4109,22037,0.1425462245303657,0.14271298267483112
2005,1st Quintile,At least once per week,0.011684677770818216,178,20559,0.011659149256642427,0.011710206284994005
2005,1st Quintile,At least once per month,0.009926383015950783,162,20559,0.009902832595647448,0.009949933436254117
2005,1st Quintile,Seldom,0.02057054378616529,334,20559,0.02053682446126384,0.02060426311106674
2005,1st Quintile,Never,0.14671096004000345,2463,20559,0.14662690790153335,0.14679501217847354
2005,2nd Quintile,At least once per week,0.013297200845963692,235,20559,0.01326998995898264,0.013324411732944744
2005,2nd Quintile,At least once per month,0.01425043270724865,269,20559,0.01422227698142171,0.014278588433075591
2005,2nd Quintile,Seldom,0.022401278681296117,426,20559,0.022366123760728843,0.02243643360186339
2005,2nd Quintile,Never,0.14468639943902611,2726,20559,0.14460283029618384,0.14476996858186839
2005,3rd Quintile,At least once per week,0.017328878799429133,322,20559,0.017297879010787106,0.01735987858807116
2005,3rd Quintile,At least once per month,0.016953770731783255,342,20559,0.016923102444143898,0.016984439019422613
2005,3rd Quintile,Seldom,0.026430230433992966,522,20559,0.02639212355166102,0.026468337316324912
2005,3rd Quintile,Never,0.13668711542002632,2531,20559,0.13660551031939794,0.1367687205206547
2005,4th Quintile,At least once per week,0.02018927157850158,437,20559,0.020155859705317487,0.020222683451685677
2005,4th Quintile,At least once per month,0.021104527307364306,419,20559,0.02107038244402979,0.02113867217069882
2005,4th Quintile,Seldom,0.03489432654248004,705,20559,0.03485073178671728,0.03493792129824281
2005,4th Quintile,Never,0.12864693927090756,2618,20559,0.12856740281894374,0.12872647572287138
2005,5th Quintile,At least once per week,0.025435899898873057,727,20559,0.025398497611531366,0.025473302186214748
2005,5th Quintile,At least once per month,0.02141500599532799,659,20559,0.021380616343398218,0.021449395647257764
2005,5th Quintile,Seldom,0.03316265873947772,952,20559,0.03312012135499233,0.03320519612396311
2005,5th Quintile,Never,0.13422349899536387,3532,20559,0.13414251735322655,0.1343044806375012
2007,1st Quintile,At least once per week,0.010281796557609512,189,20337,0.010257675098407843,0.01030591801681118
2007,1st Quintile,At least once per month,0.009167062048680473,151,20337,0.009144272874000516,0.00918985122336043
2007,1st Quintile,Seldom,0.01596728961409153,257,20337,0.0159373163760325,0.01599726285215056
2007,1st Quintile,Never,0.15665490668265733,2548,20337,0.15656799303911295,0.1567418203262017
2007,2nd Quintile,At least once per week,0.0137609205844911,251,20337,0.013733063982309621,0.01378877718667258
2007,2nd Quintile,At least once per month,0.011955206608891013,241,20337,0.011929218172295076,0.011981195045486951
