"plj0589","year","age_gr","bildungsniveau","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Oft","2018","17-34","AkademikerIn","2","","",""
"Oft","2018","35-65","(noch) kein Abschluss","6","","",""
"Oft","2018","35-65","Hauptschule","2","","",""
"Oft","2018","35-65","Realschule","","","",""
"Oft","2018","35-65","(Fach-)Abitur","3","","",""
"Oft","2018","35-65","AkademikerIn","4","","",""
"Oft","2018","66 +","(noch) kein Abschluss","","","",""
"Oft","2018","66 +","Hauptschule","","","",""
"Oft","2018","66 +","Realschule","","","",""
"Oft","2018","66 +","(Fach-)Abitur","","","",""
"Oft","2018","66 +","AkademikerIn","","","",""
"Manchmal","2018","17-34","(noch) kein Abschluss","24","","",""
"Manchmal","2018","17-34","Hauptschule","13","","",""
"Manchmal","2018","17-34","Realschule","","","",""
"Manchmal","2018","17-34","(Fach-)Abitur","7","","",""
"Manchmal","2018","17-34","AkademikerIn","6","","",""
"Manchmal","2018","35-65","(noch) kein Abschluss","18","","",""
"Manchmal","2018","35-65","Hauptschule","2","","",""
"Manchmal","2018","35-65","Realschule","","","",""
"Manchmal","2018","35-65","(Fach-)Abitur","7","","",""
"Manchmal","2018","35-65","AkademikerIn","1","","",""
"Manchmal","2018","66 +","(noch) kein Abschluss","","","",""
"Manchmal","2018","66 +","Hauptschule","","","",""
"Manchmal","2018","66 +","Realschule","","","",""
"Manchmal","2018","66 +","(Fach-)Abitur","","","",""
"Manchmal","2018","66 +","AkademikerIn","","","",""
"Selten","2018","17-34","(noch) kein Abschluss","13","","",""
"Selten","2018","17-34","Hauptschule","12","","",""
"Selten","2018","17-34","Realschule","","","",""
"Selten","2018","17-34","(Fach-)Abitur","7","","",""
"Selten","2018","17-34","AkademikerIn","7","","",""
"Selten","2018","35-65","(noch) kein Abschluss","12","","",""
"Selten","2018","35-65","Hauptschule","3","","",""
"Selten","2018","35-65","Realschule","","","",""
"Selten","2018","35-65","(Fach-)Abitur","5","","",""
"Selten","2018","35-65","AkademikerIn","1","","",""
"Selten","2018","66 +","(noch) kein Abschluss","1","","",""
"Selten","2018","66 +","Hauptschule","","","",""
"Selten","2018","66 +","Realschule","","","",""
"Selten","2018","66 +","(Fach-)Abitur","","","",""
"Selten","2018","66 +","AkademikerIn","","","",""
"Nie","2018","17-34","(noch) kein Abschluss","36","0.485948894402838","0.377770728790512","0.594127060015163"
"Nie","2018","17-34","Hauptschule","32","0.386614640524535","0.269129761445233","0.504099519603837"
"Nie","2018","17-34","Realschule","4","","",""
"Nie","2018","17-34","(Fach-)Abitur","15","","",""
"Nie","2018","17-34","AkademikerIn","9","","",""
"Nie","2018","35-65","(noch) kein Abschluss","21","","",""
"Nie","2018","35-65","Hauptschule","11","","",""
"Nie","2018","35-65","Realschule","","","",""
"Nie","2018","35-65","(Fach-)Abitur","8","","",""
"Nie","2018","35-65","AkademikerIn","13","","",""
"Nie","2018","66 +","(noch) kein Abschluss","1","","",""
"Nie","2018","66 +","Hauptschule","","","",""
"Nie","2018","66 +","Realschule","","","",""
"Nie","2018","66 +","(Fach-)Abitur","","","",""
"Nie","2018","66 +","AkademikerIn","","","",""
"Sehr oft","2019","17-34","(noch) kein Abschluss","2","","",""
"Sehr oft","2019","17-34","Hauptschule","1","","",""
"Sehr oft","2019","17-34","Realschule","","","",""
"Sehr oft","2019","17-34","(Fach-)Abitur","","","",""
"Sehr oft","2019","17-34","AkademikerIn","","","",""
"Sehr oft","2019","35-65","(noch) kein Abschluss","2","","",""
"Sehr oft","2019","35-65","Hauptschule","","","",""
"Sehr oft","2019","35-65","Realschule","","","",""
"Sehr oft","2019","35-65","(Fach-)Abitur","1","","",""
"Sehr oft","2019","35-65","AkademikerIn","","","",""
"Sehr oft","2019","66 +","(noch) kein Abschluss","1","","",""
"Sehr oft","2019","66 +","Hauptschule","","","",""
"Sehr oft","2019","66 +","Realschule","","","",""
"Sehr oft","2019","66 +","(Fach-)Abitur","","","",""
"Sehr oft","2019","66 +","AkademikerIn","","","",""
"Oft","2019","17-34","(noch) kein Abschluss","5","","",""
"Oft","2019","17-34","Hauptschule","2","","",""
"Oft","2019","17-34","Realschule","1","","",""
"Oft","2019","17-34","(Fach-)Abitur","","","",""
"Oft","2019","17-34","AkademikerIn","","","",""
"Oft","2019","35-65","(noch) kein Abschluss","6","","",""
"Oft","2019","35-65","Hauptschule","1","","",""
"Oft","2019","35-65","Realschule","","","",""
"Oft","2019","35-65","(Fach-)Abitur","1","","",""
"Oft","2019","35-65","AkademikerIn","","","",""
"Oft","2019","66 +","(noch) kein Abschluss","","","",""
"Oft","2019","66 +","Hauptschule","","","",""
"Oft","2019","66 +","Realschule","","","",""
"Oft","2019","66 +","(Fach-)Abitur","","","",""
"Oft","2019","66 +","AkademikerIn","","","",""
"Manchmal","2019","17-34","(noch) kein Abschluss","8","","",""
"Manchmal","2019","17-34","Hauptschule","4","","",""
"Manchmal","2019","17-34","Realschule","","","",""
"Manchmal","2019","17-34","(Fach-)Abitur","4","","",""
"Manchmal","2019","17-34","AkademikerIn","3","","",""
"Manchmal","2019","35-65","(noch) kein Abschluss","22","","",""
"Manchmal","2019","35-65","Hauptschule","4","","",""
"Manchmal","2019","35-65","Realschule","","","",""
"Manchmal","2019","35-65","(Fach-)Abitur","1","","",""
"Manchmal","2019","35-65","AkademikerIn","3","","",""
"Manchmal","2019","66 +","(noch) kein Abschluss","","","",""
"Manchmal","2019","66 +","Hauptschule","","","",""
"Manchmal","2019","66 +","Realschule","","","",""
"Manchmal","2019","66 +","(Fach-)Abitur","","","",""
"Manchmal","2019","66 +","AkademikerIn","","","",""
"Selten","2019","17-34","(noch) kein Abschluss","9","","",""
"Selten","2019","17-34","Hauptschule","3","","",""
"Selten","2019","17-34","Realschule","2","","",""
"Selten","2019","17-34","(Fach-)Abitur","2","","",""
"Selten","2019","17-34","AkademikerIn","1","","",""
"Selten","2019","35-65","(noch) kein Abschluss","16","","",""
"Selten","2019","35-65","Hauptschule","2","","",""
"Selten","2019","35-65","Realschule","","","",""
"Selten","2019","35-65","(Fach-)Abitur","3","","",""
"Selten","2019","35-65","AkademikerIn","6","","",""
"Selten","2019","66 +","(noch) kein Abschluss","1","","",""
"Selten","2019","66 +","Hauptschule","","","",""
"Selten","2019","66 +","Realschule","","","",""
"Selten","2019","66 +","(Fach-)Abitur","","","",""
"Selten","2019","66 +","AkademikerIn","1","","",""
"Nie","2019","17-34","(noch) kein Abschluss","30","0.57269989871927","0.440758445804419","0.704641351634122"
"Nie","2019","17-34","Hauptschule","21","","",""
"Nie","2019","17-34","Realschule","2","","",""
"Nie","2019","17-34","(Fach-)Abitur","7","","",""
"Nie","2019","17-34","AkademikerIn","8","","",""
"Nie","2019","35-65","(noch) kein Abschluss","24","","",""
"Nie","2019","35-65","Hauptschule","6","","",""
"Nie","2019","35-65","Realschule","","","",""
"Nie","2019","35-65","(Fach-)Abitur","6","","",""
"Nie","2019","35-65","AkademikerIn","","","",""
"Nie","2019","66 +","(noch) kein Abschluss","2","","",""
"Nie","2019","66 +","Hauptschule","","","",""
"Nie","2019","66 +","Realschule","","","",""
"Nie","2019","66 +","(Fach-)Abitur","1","","",""
"Nie","2019","66 +","AkademikerIn","","","",""
"Sehr oft","2020","17-34","(noch) kein Abschluss","2","","",""
"Sehr oft","2020","17-34","Hauptschule","5","","",""
"Sehr oft","2020","17-34","Realschule","1","","",""
"Sehr oft","2020","17-34","(Fach-)Abitur","4","","",""
"Sehr oft","2020","17-34","AkademikerIn","2","","",""
"Sehr oft","2020","35-65","(noch) kein Abschluss","4","","",""
"Sehr oft","2020","35-65","Hauptschule","3","","",""
"Sehr oft","2020","35-65","Realschule","","","",""
"Sehr oft","2020","35-65","(Fach-)Abitur","5","","",""
"Sehr oft","2020","35-65","AkademikerIn","","","",""
"Sehr oft","2020","66 +","(noch) kein Abschluss","","","",""
"Sehr oft","2020","66 +","Hauptschule","1","","",""
"Sehr oft","2020","66 +","Realschule","","","",""
"Sehr oft","2020","66 +","(Fach-)Abitur","","","",""
"Sehr oft","2020","66 +","AkademikerIn","","","",""
"Oft","2020","17-34","(noch) kein Abschluss","9","","",""
"Oft","2020","17-34","Hauptschule","16","","",""
"Oft","2020","17-34","Realschule","","","",""
"Oft","2020","17-34","(Fach-)Abitur","6","","",""
"Oft","2020","17-34","AkademikerIn","4","","",""
"Oft","2020","35-65","(noch) kein Abschluss","17","","",""
"Oft","2020","35-65","Hauptschule","5","","",""
"Oft","2020","35-65","Realschule","","","",""
"Oft","2020","35-65","(Fach-)Abitur","10","","",""
"Oft","2020","35-65","AkademikerIn","6","","",""
"Oft","2020","66 +","(noch) kein Abschluss","2","","",""
"Oft","2020","66 +","Hauptschule","1","","",""
"Oft","2020","66 +","Realschule","","","",""
"Oft","2020","66 +","(Fach-)Abitur","1","","",""
"Oft","2020","66 +","AkademikerIn","","","",""
"Manchmal","2020","17-34","(noch) kein Abschluss","41","0.248121158816313","0.186543521545452","0.309698796087174"
"Manchmal","2020","17-34","Hauptschule","29","","",""
"Manchmal","2020","17-34","Realschule","5","","",""
"Manchmal","2020","17-34","(Fach-)Abitur","17","","",""
"Manchmal","2020","17-34","AkademikerIn","11","","",""
"Manchmal","2020","35-65","(noch) kein Abschluss","45","0.342858771172985","0.267399381723784","0.418318160622185"
"Manchmal","2020","35-65","Hauptschule","20","","",""
"Manchmal","2020","35-65","Realschule","","","",""
"Manchmal","2020","35-65","(Fach-)Abitur","16","","",""
"Manchmal","2020","35-65","AkademikerIn","9","","",""
"Manchmal","2020","66 +","(noch) kein Abschluss","1","","",""
"Manchmal","2020","66 +","Hauptschule","","","",""
"Manchmal","2020","66 +","Realschule","","","",""
"Manchmal","2020","66 +","(Fach-)Abitur","","","",""
"Manchmal","2020","66 +","AkademikerIn","2","","",""
"Selten","2020","17-34","(noch) kein Abschluss","58","0.255446647206801","0.193271731639684","0.317621562773918"
"Selten","2020","17-34","Hauptschule","32","0.207702932566222","0.139018070525861","0.276387794606584"
"Selten","2020","17-34","Realschule","2","","",""
"Selten","2020","17-34","(Fach-)Abitur","27","","",""
"Selten","2020","17-34","AkademikerIn","17","","",""
"Selten","2020","35-65","(noch) kein Abschluss","32","0.127815071666251","0.0747362076256467","0.180893935706855"
"Selten","2020","35-65","Hauptschule","16","","",""
"Selten","2020","35-65","Realschule","","","",""
"Selten","2020","35-65","(Fach-)Abitur","10","","",""
"Selten","2020","35-65","AkademikerIn","7","","",""
"Selten","2020","66 +","(noch) kein Abschluss","1","","",""
"Selten","2020","66 +","Hauptschule","","","",""
"Selten","2020","66 +","Realschule","","","",""
"Selten","2020","66 +","(Fach-)Abitur","1","","",""
"Selten","2020","66 +","AkademikerIn","","","",""
"Nie","2020","17-34","(noch) kein Abschluss","79","0.418788756172211","0.348452103051641","0.489125409292781"
"Nie","2020","17-34","Hauptschule","52","0.505848116834434","0.421196357612541","0.590499876056327"
"Nie","2020","17-34","Realschule","9","","",""
"Nie","2020","17-34","(Fach-)Abitur","30","0.288369544114058","0.191494836074054","0.385244252154063"
"Nie","2020","17-34","AkademikerIn","19","","",""
"Nie","2020","35-65","(noch) kein Abschluss","54","0.344172796877125","0.268644571421892","0.419701022332359"
"Nie","2020","35-65","Hauptschule","21","","",""
"Nie","2020","35-65","Realschule","","","",""
"Nie","2020","35-65","(Fach-)Abitur","18","","",""
"Nie","2020","35-65","AkademikerIn","11","","",""
"Nie","2020","66 +","(noch) kein Abschluss","1","","",""
"Nie","2020","66 +","Hauptschule","2","","",""
"Nie","2020","66 +","Realschule","","","",""
"Nie","2020","66 +","(Fach-)Abitur","1","","",""
"Nie","2020","66 +","AkademikerIn","","","",""
