year,bula_h,regtyp,ple0015,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2017,Saxony-Anhalt,Urban regions,No,1.0,171,26354,1.0,1.0
2017,Saxony-Anhalt,Rural regions,Yes,0.0793506986673202,35,26354,0.07892499246134481,0.07977640487329558
2017,Saxony-Anhalt,Rural regions,No,0.9206493013326797,708,26354,0.9202235951267044,0.9210750075386551
2017,Thuringa,Urban regions,No,1.0,276,26354,1.0,1.0
2017,Thuringa,Rural regions,Yes,0.05360215283000419,34,26354,0.05320439337629277,0.05399991228371561
2017,Thuringa,Rural regions,No,0.9463978471699958,654,26354,0.9460000877162843,0.9467956066237072
2019,Schleswig-Holstein,Urban regions,No,1.0,311,24980,1.0,1.0
2019,Schleswig-Holstein,Rural regions,Yes,0.052537273027496244,34,24980,0.052192380932635944,0.05288216512235654
2019,Schleswig-Holstein,Rural regions,No,0.9474627269725037,567,24980,0.9471178348776433,0.947807619067364
2019,Hamburg,Urban regions,No,1.0,480,24980,1.0,1.0
2019,Lower Saxony,Urban regions,Yes,0.07105043865876236,62,24980,0.07074874019741942,0.0713521371201053
2019,Lower Saxony,Urban regions,No,0.9289495613412376,963,24980,0.9286478628798946,0.9292512598025806
2019,Lower Saxony,Rural regions,Yes,0.04603088508180484,69,24980,0.045819363790394765,0.04624240637321492
2019,Lower Saxony,Rural regions,No,0.9539691149181951,1363,24980,0.953757593626785,0.9541806362096052
2019,Bremen,Urban regions,No,1.0,205,24980,1.0,1.0
2019,North Rhine-Westphalia,Urban regions,Yes,0.06083296116607771,271,24980,0.060709266491017315,0.06095665584113811
2019,North Rhine-Westphalia,Urban regions,No,0.9391670388339223,4918,24980,0.9390433441588619,0.9392907335089826
2019,North Rhine-Westphalia,Rural regions,No,1.0,96,24980,1.0,1.0
2019,Hesse,Urban regions,Yes,0.04277310038816093,54,24980,0.042578851254947855,0.042967349521374
2019,Hesse,Urban regions,No,0.957226899611839,1269,24980,0.957032650478626,0.9574211487450521
2019,Hesse,Rural regions,No,1.0,324,24980,1.0,1.0
2019,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.06187342281566939,54,24980,0.061596656370367826,0.062150189260970955
2019,"Rhineland-Palatinate, Saarland",Urban regions,No,0.9381265771843306,1027,24980,0.937849810739029,0.9384033436296322
2019,"Rhineland-Palatinate, Saarland",Rural regions,No,1.0,340,24980,1.0,1.0
2019,Baden-Wuerttemberg,Urban regions,Yes,0.06456104160699662,143,24980,0.06439148452103535,0.06473059869295789
2019,Baden-Wuerttemberg,Urban regions,No,0.9354389583930034,2328,24980,0.9352694013070422,0.9356085154789646
2019,Baden-Wuerttemberg,Rural regions,No,1.0,256,24980,1.0,1.0
2019,Bavaria,Urban regions,Yes,0.05290211864510003,89,24980,0.052700107693186254,0.0531041295970138
2019,Bavaria,Urban regions,No,0.9470978813548999,1654,24980,0.9468958704029862,0.9472998923068137
