year,bula_h,sampreg,hlf0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,West,Yes,0.72753,343,627,0.69265,0.76241
2016,Schleswig-Holstein,West,No,0.27167,284,627,0.23682,0.30651
2016,Hamburg,West,Yes,0.77836,196,285,0.73005,0.82666
2016,Hamburg,West,No,0.20964,89,285,0.16230,0.25698
2016,Lower Saxony,West,Yes,0.72459,946,1558,0.70241,0.74678
2016,Lower Saxony,West,No,0.26921,612,1558,0.24718,0.29124
2016,Bremen,West,Yes,0.65709,64,129,0.57486,0.73933
2016,Bremen,West,No,0.34291,65,129,0.26067,0.42514
2016,North Rhine-Westphalia,West,Yes,0.74086,2098,3354,0.72603,0.75569
2016,North Rhine-Westphalia,West,No,0.25265,1256,3354,0.23794,0.26735
2016,Hesse,West,Yes,0.73898,711,1119,0.71324,0.76473
2016,Hesse,West,No,0.25885,408,1119,0.23317,0.28452
2016,"Rhineland-Palatinate, Saarland",West,Yes,0.74583,621,1030,0.71922,0.77243
2016,"Rhineland-Palatinate, Saarland",West,No,0.24198,409,1030,0.21581,0.26815
2016,Baden-Wuerttemberg,West,Yes,0.78410,1259,1856,0.76538,0.80283
2016,Baden-Wuerttemberg,West,No,0.20519,597,1856,0.18682,0.22357
2016,Bavaria,West,Yes,0.79063,1779,2510,0.77471,0.80655
2016,Bavaria,West,No,0.20175,731,2510,0.18604,0.21745
2016,Berlin,West,Yes,0.69686,247,387,0.65101,0.74271
2016,Berlin,West,No,0.30314,140,387,0.25729,0.34899
2016,Berlin,East,Yes,0.64075,179,280,0.58445,0.69705
2016,Berlin,East,No,0.35315,101,280,0.29706,0.40923
2016,Brandenburg,East,Yes,0.77079,421,645,0.73832,0.80325
2016,Brandenburg,East,No,0.22501,224,645,0.19276,0.25727
2016,Mecklenburg-Western Pomerania,East,Yes,0.68510,225,376,0.63809,0.73211
2016,Mecklenburg-Western Pomerania,East,No,0.31437,151,376,0.26738,0.36137
2016,Saxony,East,Yes,0.74912,659,966,0.72177,0.77647
2016,Saxony,East,No,0.23786,307,966,0.21100,0.26473
2016,Saxony-Anhalt,East,Yes,0.71854,344,567,0.68149,0.75559
2016,Saxony-Anhalt,East,No,0.27531,223,567,0.23851,0.31211
2016,Thuringa,East,Yes,0.69541,383,603,0.65864,0.73217
2016,Thuringa,East,No,0.29527,220,603,0.25883,0.33171
2017,Schleswig-Holstein,West,Yes,0.78312,448,721,0.75302,0.81323
2017,Schleswig-Holstein,West,No,0.21688,273,721,0.18677,0.24698
2017,Hamburg,West,Yes,0.75490,219,332,0.70856,0.80124
2017,Hamburg,West,No,0.24026,113,332,0.19424,0.28629
2017,Lower Saxony,West,Yes,0.77130,1215,1888,0.75235,0.79025
2017,Lower Saxony,West,No,0.21826,673,1888,0.19962,0.23690
2017,Bremen,West,Yes,0.76199,92,181,0.69978,0.82421
2017,Bremen,West,No,0.23779,89,181,0.17560,0.29999
2017,North Rhine-Westphalia,West,Yes,0.75549,2402,3810,0.74184,0.76914
2017,North Rhine-Westphalia,West,No,0.24144,1408,3810,0.22785,0.25503
2017,Hesse,West,Yes,0.73394,799,1270,0.70963,0.75825
2017,Hesse,West,No,0.26119,471,1270,0.23702,0.28536
2017,"Rhineland-Palatinate, Saarland",West,Yes,0.72496,638,1060,0.69807,0.75186
2017,"Rhineland-Palatinate, Saarland",West,No,0.25656,422,1060,0.23026,0.28286
2017,Baden-Wuerttemberg,West,Yes,0.80870,1377,2003,0.79147,0.82593
2017,Baden-Wuerttemberg,West,No,0.18878,626,2003,0.17163,0.20592
2017,Bavaria,West,Yes,0.80822,2007,2741,0.79348,0.82296
2017,Bavaria,West,No,0.18774,734,2741,0.17312,0.20236
2017,Berlin,West,Yes,0.66695,258,404,0.62094,0.71297
2017,Berlin,West,No,0.33035,146,404,0.28442,0.37627
2017,Berlin,East,Yes,0.62785,203,315,0.57438,0.68132
2017,Berlin,East,No,0.35516,112,315,0.30222,0.40809
2017,Brandenburg,East,Yes,0.74927,458,700,0.71714,0.78141
2017,Brandenburg,East,No,0.24152,242,700,0.20979,0.27325
2017,Mecklenburg-Western Pomerania,East,Yes,0.67800,250,404,0.63239,0.72362
2017,Mecklenburg-Western Pomerania,East,No,0.32083,154,404,0.27526,0.36641
2017,Saxony,East,Yes,0.73128,759,1077,0.70479,0.75777
2017,Saxony,East,No,0.25386,318,1077,0.22786,0.27987
2017,Saxony-Anhalt,East,Yes,0.72661,393,626,0.69167,0.76156
2017,Saxony-Anhalt,East,No,0.26141,233,626,0.22696,0.29586
2017,Thuringa,East,Yes,0.73769,425,645,0.70372,0.77167
2017,Thuringa,East,No,0.25108,220,645,0.21759,0.28457
2018,Schleswig-Holstein,West,Yes,0.76442,396,677,0.73243,0.79641
2018,Schleswig-Holstein,West,No,0.23552,281,677,0.20353,0.26750
2018,Hamburg,West,Yes,0.82099,241,362,0.78145,0.86054
2018,Hamburg,West,No,0.17397,121,362,0.13486,0.21308
2018,Lower Saxony,West,Yes,0.75930,1105,1791,0.73950,0.77911
2018,Lower Saxony,West,No,0.23038,686,1791,0.21088,0.24989
2018,Bremen,West,Yes,0.80489,101,183,0.74731,0.86246
2018,Bremen,West,No,0.19511,82,183,0.13754,0.25269
2018,North Rhine-Westphalia,West,Yes,0.74683,2334,3752,0.73291,0.76074
2018,North Rhine-Westphalia,West,No,0.24800,1418,3752,0.23418,0.26182
2018,Hesse,West,Yes,0.74714,767,1226,0.72280,0.77148
2018,Hesse,West,No,0.24768,459,1226,0.22351,0.27185
2018,"Rhineland-Palatinate, Saarland",West,Yes,0.74505,634,1062,0.71883,0.77128
2018,"Rhineland-Palatinate, Saarland",West,No,0.25059,428,1062,0.22451,0.27667
2018,Baden-Wuerttemberg,West,Yes,0.79367,1318,1875,0.77535,0.81200
2018,Baden-Wuerttemberg,West,No,0.19897,557,1875,0.18090,0.21705
2018,Bavaria,West,Yes,0.79958,1917,2633,0.78429,0.81488
2018,Bavaria,West,No,0.19461,716,2633,0.17948,0.20973
2018,Berlin,West,Yes,0.67865,289,475,0.63661,0.72069
2018,Berlin,West,No,0.31479,186,475,0.27298,0.35660
2018,Berlin,East,Yes,0.61438,191,305,0.55966,0.66910
2018,Berlin,East,No,0.37321,114,305,0.31884,0.42758
2018,Brandenburg,East,Yes,0.73940,463,718,0.70727,0.77153
2018,Brandenburg,East,No,0.25292,255,718,0.22110,0.28474
2018,Mecklenburg-Western Pomerania,East,Yes,0.66689,248,418,0.62165,0.71213
2018,Mecklenburg-Western Pomerania,East,No,0.33193,170,418,0.28673,0.37713
2018,Saxony,East,Yes,0.74788,758,1058,0.72170,0.77405
2018,Saxony,East,No,0.24486,300,1058,0.21894,0.27079
2018,Saxony-Anhalt,East,Yes,0.72705,382,620,0.69195,0.76214
2018,Saxony-Anhalt,East,No,0.27092,238,620,0.23591,0.30594
2018,Thuringa,East,Yes,0.72765,430,647,0.69332,0.76198
2018,Thuringa,East,No,0.27235,217,647,0.23802,0.30668
2019,Schleswig-Holstein,West,Yes,0.79109,458,593,0.75834,0.82383
2019,Schleswig-Holstein,West,No,0.19752,135,593,0.16545,0.22959
2019,Hamburg,West,Yes,0.85384,303,359,0.81724,0.89043
2019,Hamburg,West,No,0.13947,56,359,0.10358,0.17536
2019,Lower Saxony,West,Yes,0.77824,1171,1491,0.75714,0.79933
2019,Lower Saxony,West,No,0.20630,320,1491,0.18575,0.22685
2019,Bremen,West,Yes,0.78641,94,129,0.71541,0.85741
2019,Bremen,West,No,0.17015,35,129,0.10506,0.23525
2019,North Rhine-Westphalia,West,Yes,0.78265,2597,3267,0.76851,0.79680
2019,North Rhine-Westphalia,West,No,0.20192,670,3267,0.18815,0.21568
2019,Hesse,West,Yes,0.79080,892,1089,0.76664,0.81497
2019,Hesse,West,No,0.19973,197,1089,0.17597,0.22348
2019,"Rhineland-Palatinate, Saarland",West,Yes,0.78495,716,903,0.75814,0.81177
2019,"Rhineland-Palatinate, Saarland",West,No,0.20257,187,903,0.17634,0.22880
2019,Baden-Wuerttemberg,West,Yes,0.82876,1422,1687,0.81078,0.84675
2019,Baden-Wuerttemberg,West,No,0.15713,265,1687,0.13976,0.17450
2019,Bavaria,West,Yes,0.82368,2119,2525,0.80881,0.83854
2019,Bavaria,West,No,0.16905,406,2525,0.15442,0.18367
2019,Berlin,West,Yes,0.70491,296,404,0.66038,0.74944
2019,Berlin,West,No,0.28605,108,404,0.24193,0.33017
2019,Berlin,East,Yes,0.62674,199,273,0.56926,0.68422
2019,Berlin,East,No,0.36283,74,273,0.30569,0.41997
2019,Brandenburg,East,Yes,0.79321,561,718,0.76357,0.82286
2019,Brandenburg,East,No,0.19581,157,718,0.16676,0.22486
2019,Mecklenburg-Western Pomerania,East,Yes,0.69929,304,402,0.65441,0.74418
2019,Mecklenburg-Western Pomerania,East,No,0.28664,98,402,0.24238,0.33090
2019,Saxony,East,Yes,0.80102,859,1036,0.77669,0.82534
2019,Saxony,East,No,0.19324,177,1036,0.16919,0.21730
2019,Saxony-Anhalt,East,Yes,0.70224,416,568,0.66461,0.73988
2019,Saxony-Anhalt,East,No,0.28195,152,568,0.24491,0.31898
2019,Thuringa,East,Yes,0.72276,447,584,0.68642,0.75910
2019,Thuringa,East,No,0.26159,137,584,0.22592,0.29727
2021,Schleswig-Holstein,West,Yes,0.85569,365,512,0.82523,0.88616
2021,Schleswig-Holstein,West,No,0.14408,147,512,0.11364,0.17453
2021,Hamburg,West,Yes,0.84429,223,308,0.80373,0.88485
2021,Hamburg,West,No,0.15571,85,308,0.11515,0.19627
2021,Lower Saxony,West,Yes,0.79538,872,1197,0.77251,0.81824
2021,Lower Saxony,West,No,0.19695,325,1197,0.17441,0.21949
2021,Bremen,West,Yes,0.92280,69,104,0.87126,0.97435
2021,Bremen,West,No,0.07542,35,104,0.02442,0.12641
2021,North Rhine-Westphalia,West,Yes,0.82571,1938,2669,0.81132,0.84011
2021,North Rhine-Westphalia,West,No,0.16918,731,2669,0.15495,0.18340
2021,Hesse,West,Yes,0.78454,603,855,0.75697,0.81212
2021,Hesse,West,No,0.20472,252,855,0.17766,0.23179
2021,"Rhineland-Palatinate, Saarland",West,Yes,0.76789,447,635,0.73502,0.80075
2021,"Rhineland-Palatinate, Saarland",West,No,0.21463,188,635,0.18267,0.24658
2021,Baden-Wuerttemberg,West,Yes,0.85889,1056,1347,0.84029,0.87749
2021,Baden-Wuerttemberg,West,No,0.13455,291,1347,0.11632,0.15278
2021,Bavaria,West,Yes,0.83978,1521,1865,0.82312,0.85643
2021,Bavaria,West,No,0.14701,344,1865,0.13094,0.16309
2021,Berlin,West,Yes,0.77846,306,410,0.73822,0.81871
2021,Berlin,West,No,0.22085,104,410,0.18065,0.26105
2021,Berlin,East,Yes,0.81885,175,242,0.77022,0.86747
2021,Berlin,East,No,0.16364,67,242,0.11693,0.21034
2021,Brandenburg,East,Yes,0.83259,360,481,0.79919,0.86599
2021,Brandenburg,East,No,0.16710,121,481,0.13373,0.20048
2021,Mecklenburg-Western Pomerania,East,Yes,0.80262,211,271,0.75515,0.85010
2021,Mecklenburg-Western Pomerania,East,No,0.16452,60,271,0.12029,0.20874
2021,Saxony,East,Yes,0.80247,614,770,0.77432,0.83061
2021,Saxony,East,No,0.18659,156,770,0.15905,0.21412
2021,Saxony-Anhalt,East,Yes,0.79546,300,399,0.75583,0.83509
2021,Saxony-Anhalt,East,No,0.20454,99,399,0.16491,0.24416
2021,Thuringa,East,Yes,0.80101,320,412,0.76241,0.83961
2021,Thuringa,East,No,0.19644,92,412,0.15802,0.23485
