year,bula_h,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1986,Berlin,maennlich,0.9890939110797266,0.7896353776251916,1.1885524445342615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0
1986,Berlin,weiblich,0.4544122148506746,0.3204384004409287,0.5883860292604206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0
1987,Schleswig-Holstein,maennlich,0.7418150790678377,0.566257133498877,0.9173730246367985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0
1987,Schleswig-Holstein,weiblich,0.5761432554329297,0.4229863770559752,0.7293001338098841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0
1987,Hamburg,maennlich,0.5793957200431972,0.4065375023685539,0.7522539377178404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0
1987,Hamburg,weiblich,0.07176145799865885,0.013554489472832644,0.12996842652448506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
1987,Niedersachsen,maennlich,0.866809788688118,0.7569918000710567,0.9766277773051792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530.0
1987,Niedersachsen,weiblich,0.3811192211192226,0.31009907596330644,0.45213936627513873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0
1987,Bremen,maennlich,0.20019809077500703,0.07189290022313594,0.3285032813268781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
1987,Bremen,weiblich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0
1987,Nordrhein-Westfalen,maennlich,0.8073168180359473,0.7463831647228084,0.8682504713490863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1383.0
1987,Nordrhein-Westfalen,weiblich,0.2922425944845974,0.2551468773358909,0.32933831163330385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1374.0
1987,Hessen,maennlich,0.590112513036057,0.5109889503193487,0.6692360757527654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0
1987,Hessen,weiblich,0.5053486275459983,0.4214266651213628,0.5892705899706339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0
1987,"Rheinland-Pfalz,Saarland",maennlich,0.5045758133679146,0.422114572906949,0.5870370538288802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.0
1987,"Rheinland-Pfalz,Saarland",weiblich,0.21515761685698748,0.15810264775405428,0.2722125859599207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.0
1987,Baden-Wuerttemberg,maennlich,0.5354995730124984,0.47739639083510355,0.5936027551898932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.0
1987,Baden-Wuerttemberg,weiblich,0.28158868213481186,0.23740861102542463,0.3257687532441991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.0
1987,Bayern,maennlich,0.7906292843498367,0.711462995373958,0.8697955733257154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,802.0
1987,Bayern,weiblich,0.36380209177513917,0.3115192283440977,0.41608495520618066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,869.0
1987,Berlin,maennlich,0.8068767334592596,0.6189165218852302,0.994836945033289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0
1987,Berlin,weiblich,0.5591890246836749,0.41542243939478457,0.7029556099725653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0
1988,Schleswig-Holstein,maennlich,0.7387159154538022,0.5706150063599309,0.9068168245476735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0
1988,Schleswig-Holstein,weiblich,0.5357066944517224,0.383292862676948,0.6881205262264967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0
1988,Hamburg,maennlich,0.47818365290821574,0.32542367073222106,0.6309436350842104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
1988,Hamburg,weiblich,0.15336607235823754,0.03894681568910345,0.2677853290273716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1988,Niedersachsen,maennlich,0.8025845258642181,0.6994843159609119,0.9056847357675244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0
1988,Niedersachsen,weiblich,0.459060593799585,0.374552573397306,0.543568614201864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0
1988,Bremen,maennlich,0.2690002145098885,0.06050623073767819,0.47749419828209877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
1988,Bremen,weiblich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0
1988,Nordrhein-Westfalen,maennlich,0.6776328880452884,0.6226733493183719,0.7325924267722049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1294.0
1988,Nordrhein-Westfalen,weiblich,0.28504603227789316,0.25099302019359465,0.31909904436219166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.0
1988,Hessen,maennlich,0.5626629317174855,0.477555093730859,0.647770769704112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0
1988,Hessen,weiblich,0.3330238035742684,0.263552696643882,0.40249491050465486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.0
1988,"Rheinland-Pfalz,Saarland",maennlich,0.5621612543505519,0.46024365255843547,0.6640788561426683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0
1988,"Rheinland-Pfalz,Saarland",weiblich,0.3023419011524012,0.22361734851152892,0.38106645379327353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0
1988,Baden-Wuerttemberg,maennlich,0.6209560907011099,0.554305431897671,0.6876067495045488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,915.0
1988,Baden-Wuerttemberg,weiblich,0.22630013924677908,0.18592178126633474,0.2666784972272234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,908.0
1988,Bayern,maennlich,0.9464862930427433,0.8515882894531911,1.0413842966322957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770.0
1988,Bayern,weiblich,0.409196361072033,0.35002554593190977,0.46836717621215623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,827.0
1988,Berlin,maennlich,0.9834573013265594,0.7767589664457781,1.1901556362073407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0
1988,Berlin,weiblich,0.5739734797553964,0.41858520759519713,0.7293617519155956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0
1989,Schleswig-Holstein,maennlich,0.659704771921956,0.5033716617733655,0.8160378820705465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0
1989,Schleswig-Holstein,weiblich,0.4395632620114379,0.3007406952412819,0.578385828781594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0
1989,Hamburg,maennlich,0.39861321349492074,0.23869119289577617,0.5585352340940652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0
