year,migback,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1989,Direct migration background,5th Quintile,210,2.441809384219058,2.2820917391281634,2.6015270293099526,1.0,2.0,3.0,0.0,6.0,2.0,2.0,3.0
1989,Indirect migration background,1st Quintile,66,1.0443604924798748,0.8668580635000764,1.2218629214596732,0.0,0.30311127543246513,2.0,0.0,5.0,0.0,-1.0,0.0
1989,Indirect migration background,2nd Quintile,77,1.7777937572572,1.5900832807827525,1.9655042337316475,0.7477536137517927,1.0,3.0,0.0,6.378369579372311,1.0,0.0,1.0
1989,Indirect migration background,3rd Quintile,44,2.7205826813266505,2.373969007972662,3.067196354680639,1.0,2.0,4.556944721511241,0.0,9.892361803778101,2.0,-0.025000000000005684,3.0
1989,Indirect migration background,4th Quintile,44,2.036779697569733,1.6740029642224963,2.39955643091697,0.0,1.273287025915458,3.0,0.0,7.5,2.0,1.0,4.0
1989,Indirect migration background,5th Quintile,,,,,,,,,,,,
1990,No migration background,1st Quintile,1010,3.300688747347505,3.201344547628648,3.4000329470663617,1.0,3.0,5.0,0.0,11.0,3.0,3.0,4.0
1990,No migration background,2nd Quintile,1216,2.9809356018923814,2.8961313039864143,3.0657398997983485,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1990,No migration background,3rd Quintile,1301,2.747702415747008,2.670885907144938,2.8245189243490776,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1990,No migration background,4th Quintile,1504,2.5396678252230074,2.468287656819875,2.6110479936261397,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1990,No migration background,5th Quintile,1574,2.2693970490396937,2.2035234653572258,2.3352706327221617,1.0,1.0,3.0,0.0,6.0,1.0,0.0,1.0
1990,Direct migration background,1st Quintile,784,3.33767602763341,3.2223136921844318,3.453038363082388,1.0,2.0,5.0,0.0,11.0,2.0,1.0,2.0
1990,Direct migration background,2nd Quintile,593,2.7849074309458786,2.6850537275559097,2.8847611343358475,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1990,Direct migration background,3rd Quintile,545,2.561145538610612,2.4312930966656934,2.6909979805555304,1.0,2.0,3.0,0.0,6.0,2.0,2.0,3.0
1990,Direct migration background,4th Quintile,368,2.629058352774017,2.486724616844171,2.7713920887038626,1.0,2.0,4.0,0.0,8.5,2.0,2.0,3.0
1990,Direct migration background,5th Quintile,231,2.2873793069662516,2.140344967641446,2.4344136462910573,1.0,2.0,3.0,0.0,6.0,2.0,2.0,3.0
1990,Indirect migration background,1st Quintile,81,1.3884003129356184,1.2210654795051077,1.555735146366129,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1990,Indirect migration background,2nd Quintile,74,2.0512446095756984,1.8296757729582624,2.2728134461931346,1.0,2.0,3.0,0.0,6.0,2.0,2.0,3.0
1990,Indirect migration background,3rd Quintile,63,1.775793546762219,1.5426037636189716,2.0089833299054662,0.0,1.0,2.0,0.0,5.0,1.0,0.0,1.0
1990,Indirect migration background,4th Quintile,55,1.972656770974319,1.722888500471784,2.2224250414768543,0.5307948794590854,1.0,3.0,0.0,6.0,1.0,0.0,1.0
1990,Indirect migration background,5th Quintile,,,,,,,,,,,,
1991,No migration background,1st Quintile,1006,2.379190184979468,2.315474161721686,2.4429062082372504,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1991,No migration background,2nd Quintile,1190,2.0823365128175624,2.025916973965294,2.138756051669831,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1991,No migration background,3rd Quintile,1318,1.9321771070221678,1.878297556681459,1.9860566573628766,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1991,No migration background,4th Quintile,1485,1.7573332935525328,1.7105747511698168,1.8040918359352487,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1991,No migration background,5th Quintile,1571,1.5466324624638295,1.5046582412864289,1.58860668364123,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1991,Direct migration background,1st Quintile,737,2.388293842263025,2.3031821060728954,2.473405578453155,0.0,2.0,4.0,0.0,10.0,2.0,2.0,3.0
