year,migback,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2000,Indirect migration background,male,276,3.47820,3.00157,3.95483,0.91700,1.91700,4.41700,0.0,9.66700,1.917,1.58300,2.58925
2000,Indirect migration background,female,214,4.46730,3.81719,5.11741,1.00000,2.69017,6.03995,0.0,13.59989,2.667,1.91700,3.42115
2001,No migration background,male,5701,11.30448,11.02655,11.58241,2.41700,8.16700,17.75000,0.0,40.74950,8.167,7.83300,8.66907
2001,No migration background,female,4783,8.91085,8.65344,9.16826,1.75000,5.75000,12.75566,0.0,29.26416,5.75,5.49792,6.08510
2001,Direct migration background,male,932,8.36920,7.82489,8.91352,1.75000,5.34460,11.75000,0.0,26.75000,5.333,4.58300,6.00417
2001,Direct migration background,female,683,6.91075,6.33330,7.48820,1.25000,4.16700,9.75000,0.0,22.50000,4.167,3.58092,5.00208
2001,Indirect migration background,male,260,3.45807,2.95389,3.96225,0.75000,2.08300,4.41700,0.0,9.91750,2.083,1.58300,2.66700
2001,Indirect migration background,female,199,4.43569,3.73734,5.13403,0.58300,2.33300,6.75000,0.0,16.00050,2.333,1.50000,3.75207
2002,No migration background,male,6122,11.47120,11.20321,11.73919,2.50000,8.33300,18.00000,0.0,41.25000,8.333,7.75000,8.75000
2002,No migration background,female,5240,8.90640,8.66059,9.15221,1.66700,5.83300,12.66700,0.0,29.16700,5.833,5.41700,6.33300
2002,Direct migration background,male,871,8.17314,7.60811,8.73816,1.66700,4.91700,11.66700,0.0,26.66700,4.917,4.08300,5.91700
2002,Direct migration background,female,651,6.90756,6.33525,7.47987,1.66700,4.20689,9.69614,0.0,21.73986,4.167,3.33300,4.91700
2002,Indirect migration background,male,253,3.97550,3.41091,4.54008,1.16700,2.58300,5.16700,0.0,11.16700,2.583,1.83300,3.00000
2002,Indirect migration background,female,215,4.72416,3.96118,5.48714,0.64536,2.50000,6.90916,0.0,16.30487,2.5,1.41490,3.25000
2003,No migration background,male,5762,11.67160,11.39349,11.94971,2.66700,8.41700,18.41700,0.0,42.04200,8.417,7.83300,9.00000
2003,No migration background,female,4983,9.24329,8.98323,9.50335,1.91700,5.91700,13.33300,0.0,30.45700,5.917,5.50000,6.41700
2003,Direct migration background,male,766,8.76404,8.15690,9.37118,2.33300,5.58300,12.66700,0.0,28.16800,5.583,4.75000,6.41700
2003,Direct migration background,female,621,7.35501,6.74217,7.96785,1.83300,4.58300,10.68415,0.0,23.96088,4.583,3.50000,5.66907
2003,Indirect migration background,male,248,4.14752,3.56315,4.73188,0.99222,2.33300,5.66700,0.0,12.67916,2.333,1.75000,3.50000
2003,Indirect migration background,female,225,4.76779,4.00085,5.53472,0.75000,2.16453,7.41700,0.0,17.41750,2.25,1.50000,3.50207
2004,No migration background,male,5548,11.90972,11.62370,12.19573,2.83300,8.75000,18.66700,0.0,42.41800,8.75,8.08300,9.33300
2004,No migration background,female,4885,9.28686,9.02760,9.54612,2.16700,5.91700,13.75000,0.0,31.12450,5.917,5.58300,6.33300
2004,Direct migration background,male,730,8.71014,8.09098,9.32931,2.58300,5.75000,12.58300,0.0,27.58300,5.75,5.08300,6.58300
2004,Direct migration background,female,579,7.60597,6.98782,8.22413,1.91700,4.84362,10.91700,0.0,24.41700,4.833,4.25000,6.08925
2004,Indirect migration background,male,250,4.30323,3.70207,4.90439,1.21309,2.50000,5.50000,0.0,11.93037,2.5,2.08300,3.33510
2004,Indirect migration background,female,219,5.06729,4.26387,5.87071,1.00000,2.33300,7.76714,0.0,17.91784,2.333,1.50000,3.75000
2005,No migration background,male,5223,11.86179,11.57011,12.15346,2.91700,8.58300,18.56302,0.0,42.03206,8.583,8.00000,9.16700
2005,No migration background,female,4643,9.41748,9.15243,9.68252,2.41700,6.08300,13.97661,0.0,31.31603,6.083,5.74792,6.58300
2005,Direct migration background,male,649,8.91117,8.24790,9.57444,2.08300,5.99701,13.25000,0.0,30.00050,6.0,5.16700,6.91700
2005,Direct migration background,female,564,7.56652,6.92506,8.20799,1.82961,4.86516,11.00000,0.0,24.75558,4.833,4.41490,5.75000
2005,Indirect migration background,male,255,4.37070,3.75069,4.99072,1.11861,2.75000,5.58300,0.0,12.27959,2.75,2.07885,3.58300
2005,Indirect migration background,female,218,4.99382,4.26968,5.71796,1.37683,2.58300,7.04670,0.0,15.55151,2.583,2.16075,3.33510
2006,No migration background,male,5504,11.76708,11.48185,12.05230,2.75000,8.33300,18.00000,0.0,40.87500,8.333,7.66700,8.75208
2006,No migration background,female,4969,9.70635,9.44447,9.96824,2.41700,6.41700,14.66700,0.0,33.04200,6.417,5.91700,6.83510
2006,Direct migration background,male,664,9.26858,8.58985,9.94730,2.41700,6.33300,13.66700,0.0,30.54200,6.333,5.58300,7.00000
2006,Direct migration background,female,573,8.19308,7.51265,8.87351,1.66700,5.58300,11.58560,0.0,26.46349,5.583,5.00000,6.33925
2006,Indirect migration background,male,251,5.01131,4.34213,5.68049,0.99817,3.49979,7.54791,0.0,17.37252,3.5,2.33300,4.50208
2006,Indirect migration background,female,231,4.87946,4.17141,5.58751,1.16700,2.91700,7.08300,0.0,15.95700,2.917,2.16700,3.58300
2007,No migration background,male,5252,11.83972,11.54670,12.13274,2.75000,8.41700,18.08300,0.0,41.08250,8.417,7.83300,8.91700
2007,No migration background,female,4757,9.76999,9.49864,10.04135,2.08300,6.58300,15.08300,0.0,34.58300,6.583,6.25000,6.83510
2007,Direct migration background,male,580,9.48593,8.76560,10.20625,2.50000,6.97666,14.10704,0.0,31.51761,6.917,6.25000,7.75000
2007,Direct migration background,female,509,8.31026,7.59769,9.02283,1.91700,6.09580,11.89017,0.083,26.84992,6.083,5.08300,6.66700
2007,Indirect migration background,male,260,4.69099,4.01889,5.36309,0.75000,2.52979,6.50000,0.083,15.12500,2.583,1.66700,3.58300
2007,Indirect migration background,female,241,5.19097,4.47743,5.90451,0.95829,3.25211,7.55971,0.0,17.46183,3.25,2.58300,4.41700
2008,No migration background,male,4948,11.97328,11.66683,12.27973,2.58300,8.50000,18.50000,0.0,42.37550,8.5,8.00000,9.08300
2008,No migration background,female,4569,9.84558,9.56241,10.12875,1.91700,6.66700,15.50000,0.0,35.87450,6.667,6.33300,7.00000
2008,Direct migration background,male,529,9.22703,8.46230,9.99175,1.83300,7.04185,13.75000,0.0,31.62550,7.083,5.66282,7.83718
2008,Direct migration background,female,497,8.20671,7.47261,8.94081,1.66700,5.83300,12.07696,0.0,27.69191,5.833,4.66700,7.08510
2008,Indirect migration background,male,267,4.88624,4.20101,5.57148,1.00000,2.41700,7.09908,0.0,16.24770,2.417,1.91490,3.33300
2008,Indirect migration background,female,238,5.13064,4.37139,5.88988,0.83300,2.75000,7.38630,0.0,17.21625,2.75,1.83300,3.91700
2009,No migration background,male,4603,12.20712,11.88379,12.53045,2.58300,8.91700,18.97057,0.0,43.55193,8.917,8.16700,9.50208
2009,No migration background,female,4335,9.88991,9.59796,10.18186,1.83300,6.83300,15.58300,0.0,36.20800,6.833,6.33300,7.33300
2009,Direct migration background,male,441,9.70320,8.86451,10.54188,2.09182,7.69677,14.30873,0.0,32.63409,7.667,5.50000,9.16700
2009,Direct migration background,female,445,8.07315,7.24738,8.89892,1.41396,5.08300,11.41700,0.0,26.42155,5.083,3.58092,6.42115
2009,Indirect migration background,male,241,4.72561,3.97827,5.47294,0.83300,2.32107,6.16700,0.0,14.16800,2.333,1.66490,3.00418
2009,Indirect migration background,female,223,5.62027,4.81840,6.42214,1.20258,3.25000,7.00000,0.0,15.69613,3.25,1.91700,4.66700
2010,No migration background,male,6056,12.45050,12.16828,12.73272,2.75000,9.08300,19.69328,0.0,45.10821,9.083,8.41700,9.66700
2010,No migration background,female,5737,9.97605,9.72183,10.23026,1.91700,6.83300,15.41700,0.0,35.66700,6.833,6.41490,7.50000
2010,Direct migration background,male,893,9.83936,9.26476,10.41396,2.58300,7.85771,15.08300,0.0,33.83300,7.917,6.40657,9.25000
2010,Direct migration background,female,642,7.79030,7.13655,8.44405,1.58300,4.83300,10.52052,0.0,23.92680,4.833,3.50000,6.67532
2010,Indirect migration background,male,359,5.61060,4.98763,6.23356,1.41700,3.08001,9.57114,0.0,21.80234,3.083,2.50000,4.42115
2010,Indirect migration background,female,278,6.09162,5.32216,6.86108,1.16700,3.36345,9.40803,0.0,21.76958,3.417,2.50000,5.08300
