"plb0219","year","regtyp","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Seltener","2017","Laendlicher Raum","Westdeutschland","495","0.148896797384301","0.137490886078593","0.160302708690009"
"Seltener","2017","Laendlicher Raum","Ostdeutschland","286","0.150149087748476","0.13490717101317","0.165391004483783"
"Nein, nie","2018","Staedtischer Raum","Westdeutschland","","","",""
"Nein, nie","2018","Staedtischer Raum","Ostdeutschland","","","",""
"Nein, nie","2018","Laendlicher Raum","Westdeutschland","","","",""
"Nein, nie","2018","Laendlicher Raum","Ostdeutschland","","","",""
"Ja, jede Woche","2018","Staedtischer Raum","Westdeutschland","","","",""
"Ja, jede Woche","2018","Staedtischer Raum","Ostdeutschland","","","",""
"Ja, jede Woche","2018","Laendlicher Raum","Westdeutschland","","","",""
"Ja, jede Woche","2018","Laendlicher Raum","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2018","Staedtischer Raum","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2018","Staedtischer Raum","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2018","Laendlicher Raum","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2018","Laendlicher Raum","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2018","Staedtischer Raum","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2018","Staedtischer Raum","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2018","Laendlicher Raum","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2018","Laendlicher Raum","Ostdeutschland","","","",""
"Seltener","2018","Staedtischer Raum","Westdeutschland","","","",""
"Seltener","2018","Staedtischer Raum","Ostdeutschland","","","",""
"Seltener","2018","Laendlicher Raum","Westdeutschland","","","",""
"Seltener","2018","Laendlicher Raum","Ostdeutschland","","","",""
"Nein, nie","2019","Staedtischer Raum","Westdeutschland","5809","0.631217761190373","0.621523420051939","0.640912102328806"
"Nein, nie","2019","Staedtischer Raum","Ostdeutschland","723","0.635253323662777","0.607858097439747","0.662648549885807"
"Nein, nie","2019","Laendlicher Raum","Westdeutschland","2183","0.637737936957664","0.621763856907078","0.653712017008249"
"Nein, nie","2019","Laendlicher Raum","Ostdeutschland","1304","0.603226506440444","0.582503570169602","0.623949442711286"
"Ja, jede Woche","2019","Staedtischer Raum","Westdeutschland","689","0.0662357378348497","0.0612387475156472","0.0712327281540523"
"Ja, jede Woche","2019","Staedtischer Raum","Ostdeutschland","73","0.0509652525127887","0.038448723985179","0.0634817810403984"
"Ja, jede Woche","2019","Laendlicher Raum","Westdeutschland","253","0.0617069637090975","0.0537101010473692","0.0697038263708258"
"Ja, jede Woche","2019","Laendlicher Raum","Ostdeutschland","147","0.0696288484263683","0.058847763145254","0.0804099337074827"
"Ja, alle 2 Wochen","2019","Staedtischer Raum","Westdeutschland","873","0.0933178997620916","0.0874733145669237","0.0991624849572595"
"Ja, alle 2 Wochen","2019","Staedtischer Raum","Ostdeutschland","122","0.104818592769519","0.0873852593771914","0.122251926161846"
"Ja, alle 2 Wochen","2019","Laendlicher Raum","Westdeutschland","345","0.0947212500928884","0.0849893380358926","0.104453162149884"
"Ja, alle 2 Wochen","2019","Laendlicher Raum","Ostdeutschland","242","0.117254069293779","0.10362640014114","0.130881738446418"
"Ja, alle 3-4 Wochen","2019","Staedtischer Raum","Westdeutschland","585","0.0547631457044203","0.0501916511026167","0.059334640306224"
"Ja, alle 3-4 Wochen","2019","Staedtischer Raum","Ostdeutschland","70","0.0564380966778358","0.0433046980894338","0.0695714952662378"
"Ja, alle 3-4 Wochen","2019","Laendlicher Raum","Westdeutschland","211","0.0596794211536733","0.0518065422100048","0.0675523000973418"
"Ja, alle 3-4 Wochen","2019","Laendlicher Raum","Ostdeutschland","126","0.0526741730885302","0.0432120561843755","0.0621362899926849"
"Seltener","2019","Staedtischer Raum","Westdeutschland","1559","0.154465455508266","0.147203976985592","0.161726934030939"
"Seltener","2019","Staedtischer Raum","Ostdeutschland","198","0.15252473437708","0.132063143301337","0.172986325452822"
"Seltener","2019","Laendlicher Raum","Westdeutschland","486","0.146154428086677","0.134414134526713","0.157894721646642"
"Seltener","2019","Laendlicher Raum","Ostdeutschland","322","0.157216402750879","0.141797739544489","0.172635065957269"
