"plb0219","year","age_gr","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja, alle 2 Wochen","2009","35-65","Westdeutschland","429","0.0775461907296512","0.0704493761409339","0.0846430053183684"
"Ja, alle 2 Wochen","2009","35-65","Ostdeutschland","159","0.101479591293082","0.0868919020435537","0.116067280542611"
"Ja, alle 2 Wochen","2009","66 +","Westdeutschland","11","","",""
"Ja, alle 2 Wochen","2009","66 +","Ostdeutschland","1","","",""
"Ja, alle 3-4 Wochen","2009","17-34","Westdeutschland","103","0.0583745388011908","0.0477963096988327","0.0689527679035488"
"Ja, alle 3-4 Wochen","2009","17-34","Ostdeutschland","33","0.0588360986196906","0.0402983353946521","0.077373861844729"
"Ja, alle 3-4 Wochen","2009","35-65","Westdeutschland","292","0.0545136260538049","0.0484895411707396","0.0605377109368703"
"Ja, alle 3-4 Wochen","2009","35-65","Ostdeutschland","113","0.0878315565783786","0.0741575436180772","0.10150556953868"
"Ja, alle 3-4 Wochen","2009","66 +","Westdeutschland","7","","",""
"Ja, alle 3-4 Wochen","2009","66 +","Ostdeutschland","1","","",""
"Seltener","2009","17-34","Westdeutschland","305","0.170706144334379","0.153729926420419","0.18768236224834"
"Seltener","2009","17-34","Ostdeutschland","111","0.167918954276511","0.138472334978037","0.197365573574985"
"Seltener","2009","35-65","Westdeutschland","1067","0.198847452392969","0.188256658048667","0.209438246737271"
"Seltener","2009","35-65","Ostdeutschland","332","0.208640133809139","0.189010187465831","0.228270080152448"
"Seltener","2009","66 +","Westdeutschland","40","0.209057395208595","0.14981753078153","0.268297259635661"
"Seltener","2009","66 +","Ostdeutschland","7","","",""
"Nein, nie","2010","17-34","Westdeutschland","639","0.581809415306208","0.552739214921578","0.610879615690838"
"Nein, nie","2010","17-34","Ostdeutschland","166","0.544206502291507","0.489031565011084","0.599381439571929"
"Nein, nie","2010","35-65","Westdeutschland","1470","0.580145195238248","0.561160061508618","0.599130328967879"
"Nein, nie","2010","35-65","Ostdeutschland","271","0.553657784852341","0.510258006609787","0.597057563094895"
"Nein, nie","2010","66 +","Westdeutschland","1","","",""
"Nein, nie","2010","66 +","Ostdeutschland","","","",""
"Ja, jede Woche","2010","17-34","Westdeutschland","86","0.0697605458270415","0.0547473606910498","0.0847737309630331"
"Ja, jede Woche","2010","17-34","Ostdeutschland","22","","",""
"Ja, jede Woche","2010","35-65","Westdeutschland","180","0.0633405098466644","0.0539707730103496","0.0727102466829791"
"Ja, jede Woche","2010","35-65","Ostdeutschland","31","0.0603140293736656","0.0395298268360723","0.0810982319112588"
"Ja, jede Woche","2010","66 +","Westdeutschland","","","",""
"Ja, jede Woche","2010","66 +","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2010","17-34","Westdeutschland","147","0.140049738868729","0.119597147306647","0.16050233043081"
"Ja, alle 2 Wochen","2010","17-34","Ostdeutschland","40","0.131978160134555","0.0944815261703128","0.169474794098798"
"Ja, alle 2 Wochen","2010","35-65","Westdeutschland","269","0.097849935693911","0.086420746774925","0.109279124612897"
"Ja, alle 2 Wochen","2010","35-65","Ostdeutschland","55","0.102656997546842","0.0761594096103479","0.129154585483336"
"Ja, alle 2 Wochen","2010","66 +","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2010","66 +","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2010","17-34","Westdeutschland","55","0.0510579772731233","0.0380855223581538","0.0640304321880927"
"Ja, alle 3-4 Wochen","2010","17-34","Ostdeutschland","21","","",""
"Ja, alle 3-4 Wochen","2010","35-65","Westdeutschland","174","0.0679856275151446","0.0583025009814835","0.0776687540488056"
"Ja, alle 3-4 Wochen","2010","35-65","Ostdeutschland","45","0.0968144257585039","0.0709982828847066","0.122630568632301"
"Ja, alle 3-4 Wochen","2010","66 +","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2010","66 +","Ostdeutschland","","","",""
"Seltener","2010","17-34","Westdeutschland","179","0.157322322724899","0.135863966670915","0.178780678778882"
"Seltener","2010","17-34","Ostdeutschland","64","0.193368070449722","0.149615254608724","0.237120886290721"
"Seltener","2010","35-65","Westdeutschland","503","0.190678731706032","0.175567239518397","0.205790223893667"
"Seltener","2010","35-65","Ostdeutschland","102","0.186556762468647","0.152547129309618","0.220566395627676"
"Seltener","2010","66 +","Westdeutschland","1","","",""
"Seltener","2010","66 +","Ostdeutschland","","","",""
