"hlf0001_h","year","regtyp","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Hauptmieter","1992","Staedtischer Raum","Westdeutschland","5838","0.527041480429816","0.517126256253038","0.536956704606594"
"Hauptmieter","1992","Staedtischer Raum","Ostdeutschland","1495","","",""
"Hauptmieter","1992","Laendlicher Raum","Westdeutschland","1140","","",""
"Hauptmieter","1992","Laendlicher Raum","Ostdeutschland","1871","","",""
"Untermieter","1992","Staedtischer Raum","Westdeutschland","220","","",""
"Untermieter","1992","Staedtischer Raum","Ostdeutschland","30","0.0162652274819973","0.0103888840133727","0.0221415709506218"
"Untermieter","1992","Laendlicher Raum","Westdeutschland","63","0.0291383389289961","0.022771692163677","0.0355049856943153"
"Untermieter","1992","Laendlicher Raum","Ostdeutschland","118","","",""
"Eigentuemer","1992","Staedtischer Raum","Westdeutschland","3678","0.446218050359531","0.436345904173993","0.456090196545069"
"Eigentuemer","1992","Staedtischer Raum","Ostdeutschland","254","","",""
"Eigentuemer","1992","Laendlicher Raum","Westdeutschland","1476","","",""
"Eigentuemer","1992","Laendlicher Raum","Ostdeutschland","1469","","",""
"Altersheim/Seniorenwohnheim","1992","Staedtischer Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1992","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1992","Laendlicher Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1992","Laendlicher Raum","Ostdeutschland","","","",""
"Mieter","1992","Staedtischer Raum","Westdeutschland","4","0.000476594495166705","4.31438959964267e-05","0.000910045094336984"
"Mieter","1992","Staedtischer Raum","Ostdeutschland","1","","",""
"Mieter","1992","Laendlicher Raum","Westdeutschland","2","","",""
"Mieter","1992","Laendlicher Raum","Ostdeutschland","2","","",""
"Hauptmieter","1993","Staedtischer Raum","Westdeutschland","5780","0.520480446608271","0.510515962191166","0.530444931025376"
"Hauptmieter","1993","Staedtischer Raum","Ostdeutschland","1486","","",""
"Hauptmieter","1993","Laendlicher Raum","Westdeutschland","1118","","",""
"Hauptmieter","1993","Laendlicher Raum","Ostdeutschland","1857","","",""
"Untermieter","1993","Staedtischer Raum","Westdeutschland","235","","",""
"Untermieter","1993","Staedtischer Raum","Ostdeutschland","27","","",""
"Untermieter","1993","Laendlicher Raum","Westdeutschland","104","","",""
"Untermieter","1993","Laendlicher Raum","Ostdeutschland","98","0.0301139140514325","0.0243820391310032","0.0358457889718617"
"Eigentuemer","1993","Staedtischer Raum","Westdeutschland","3641","0.452929302637183","0.44300073957809","0.462857865696275"
"Eigentuemer","1993","Staedtischer Raum","Ostdeutschland","239","","",""
"Eigentuemer","1993","Laendlicher Raum","Westdeutschland","1481","","",""
"Eigentuemer","1993","Laendlicher Raum","Ostdeutschland","1460","","",""
"Altersheim/Seniorenwohnheim","1993","Staedtischer Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1993","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1993","Laendlicher Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1993","Laendlicher Raum","Ostdeutschland","","","",""
"Mieter","1993","Staedtischer Raum","Westdeutschland","","","",""
"Mieter","1993","Staedtischer Raum","Ostdeutschland","","","",""
"Mieter","1993","Laendlicher Raum","Westdeutschland","","","",""
"Mieter","1993","Laendlicher Raum","Ostdeutschland","","","",""
"Hauptmieter","1994","Staedtischer Raum","Westdeutschland","5651","0.520819340733431","0.510728948273628","0.530909733193233"
"Hauptmieter","1994","Staedtischer Raum","Ostdeutschland","1419","","",""
"Hauptmieter","1994","Laendlicher Raum","Westdeutschland","1076","","",""
"Hauptmieter","1994","Laendlicher Raum","Ostdeutschland","1738","","",""
"Untermieter","1994","Staedtischer Raum","Westdeutschland","216","","",""
"Untermieter","1994","Staedtischer Raum","Ostdeutschland","32","0.0226286984837225","0.0156005092428592","0.0296568877245858"
"Untermieter","1994","Laendlicher Raum","Westdeutschland","81","0.0293934876295262","0.0230046315315538","0.0357823437274986"
"Untermieter","1994","Laendlicher Raum","Ostdeutschland","115","","",""
"Eigentuemer","1994","Staedtischer Raum","Westdeutschland","3549","0.4521807387483","0.44212788082836","0.462233596668241"
"Eigentuemer","1994","Staedtischer Raum","Ostdeutschland","269","","",""
"Eigentuemer","1994","Laendlicher Raum","Westdeutschland","1528","","",""
"Eigentuemer","1994","Laendlicher Raum","Ostdeutschland","1459","","",""
"Altersheim/Seniorenwohnheim","1994","Staedtischer Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1994","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1994","Laendlicher Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1994","Laendlicher Raum","Ostdeutschland","","","",""
"Mieter","1994","Staedtischer Raum","Westdeutschland","","","",""
"Mieter","1994","Staedtischer Raum","Ostdeutschland","","","",""
"Mieter","1994","Laendlicher Raum","Westdeutschland","","","",""
"Mieter","1994","Laendlicher Raum","Ostdeutschland","","","",""
"Hauptmieter","1995","Staedtischer Raum","Westdeutschland","6053","0.519310224721245","0.509483261158929","0.529137188283561"
"Hauptmieter","1995","Staedtischer Raum","Ostdeutschland","1252","","",""
"Hauptmieter","1995","Laendlicher Raum","Westdeutschland","1305","","",""
"Hauptmieter","1995","Laendlicher Raum","Ostdeutschland","1731","","",""
"Untermieter","1995","Staedtischer Raum","Westdeutschland","229","","",""
"Untermieter","1995","Staedtischer Raum","Ostdeutschland","28","","",""
"Untermieter","1995","Laendlicher Raum","Westdeutschland","85","0.0360420118077277","0.0292824914842492","0.0428015321312062"
"Untermieter","1995","Laendlicher Raum","Ostdeutschland","139","","",""
"Eigentuemer","1995","Staedtischer Raum","Westdeutschland","3648","0.453278369899779","0.443487098412634","0.463069641386924"
"Eigentuemer","1995","Staedtischer Raum","Ostdeutschland","298","","",""
"Eigentuemer","1995","Laendlicher Raum","Westdeutschland","1531","","",""
"Eigentuemer","1995","Laendlicher Raum","Ostdeutschland","1413","","",""
"Altersheim/Seniorenwohnheim","1995","Staedtischer Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1995","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1995","Laendlicher Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1995","Laendlicher Raum","Ostdeutschland","","","",""
"Mieter","1995","Staedtischer Raum","Westdeutschland","","","",""
"Mieter","1995","Staedtischer Raum","Ostdeutschland","","","",""
"Mieter","1995","Laendlicher Raum","Westdeutschland","","","",""
"Mieter","1995","Laendlicher Raum","Ostdeutschland","","","",""
"Hauptmieter","1996","Staedtischer Raum","Westdeutschland","5748","0.514718844009143","0.504753923260362","0.524683764757924"
"Hauptmieter","1996","Staedtischer Raum","Ostdeutschland","1253","","",""
"Hauptmieter","1996","Laendlicher Raum","Westdeutschland","1240","","",""
"Hauptmieter","1996","Laendlicher Raum","Ostdeutschland","1639","","",""
"Untermieter","1996","Staedtischer Raum","Westdeutschland","277","","",""
"Untermieter","1996","Staedtischer Raum","Ostdeutschland","37","0.0263390840167128","0.0184971887532294","0.0341809792801962"
"Untermieter","1996","Laendlicher Raum","Westdeutschland","84","0.0287410367630299","0.022637999894669","0.0348440736313908"
"Untermieter","1996","Laendlicher Raum","Ostdeutschland","99","0.0357875951194508","0.029346417508339","0.0422287727305625"
"Eigentuemer","1996","Staedtischer Raum","Westdeutschland","3638","0.459042487810551","0.449106750022219","0.468978225598883"
"Eigentuemer","1996","Staedtischer Raum","Ostdeutschland","312","0.164259308214719","0.14611595297375","0.182402663455687"
"Eigentuemer","1996","Laendlicher Raum","Westdeutschland","1555","","",""
"Eigentuemer","1996","Laendlicher Raum","Ostdeutschland","1457","","",""
"Altersheim/Seniorenwohnheim","1996","Staedtischer Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1996","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1996","Laendlicher Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1996","Laendlicher Raum","Ostdeutschland","","","",""
"Mieter","1996","Staedtischer Raum","Westdeutschland","","","",""
"Mieter","1996","Staedtischer Raum","Ostdeutschland","","","",""
"Mieter","1996","Laendlicher Raum","Westdeutschland","","","",""
"Mieter","1996","Laendlicher Raum","Ostdeutschland","","","",""
"Hauptmieter","1997","Staedtischer Raum","Westdeutschland","5567","0.513886011133835","0.503828602452345","0.523943419815325"
"Hauptmieter","1997","Staedtischer Raum","Ostdeutschland","1183","","",""
"Hauptmieter","1997","Laendlicher Raum","Westdeutschland","1187","","",""
"Hauptmieter","1997","Laendlicher Raum","Ostdeutschland","1541","","",""
"Untermieter","1997","Staedtischer Raum","Westdeutschland","203","","",""
"Untermieter","1997","Staedtischer Raum","Ostdeutschland","45","0.0376939206965723","0.0282002182205551","0.0471876231725895"
"Untermieter","1997","Laendlicher Raum","Westdeutschland","69","0.0286194556291623","0.0224829609418759","0.0347559503164488"
"Untermieter","1997","Laendlicher Raum","Ostdeutschland","120","","",""
"Eigentuemer","1997","Staedtischer Raum","Westdeutschland","3717","0.463949131730588","0.453914028930672","0.473984234530504"
"Eigentuemer","1997","Staedtischer Raum","Ostdeutschland","318","0.172141826575828","0.153324214118243","0.190959439033412"
"Eigentuemer","1997","Laendlicher Raum","Westdeutschland","1580","","",""
