year,train,pgisced97,quintil_oecd,proportion,n,lower_confidence,upper_confidence
2014,Yes,middle vocational,4th Quintile,0.08858267716535433,38694,0.08575149836415102,0.09141385596655763
2014,Yes,middle vocational,5th Quintile,0.07559055118110236,38694,0.07295664560499218,0.07822445675721254
2014,Yes,middle vocational,2nd Quintile,0.07519685039370079,38694,0.07256925354048809,0.0778244472469135
2014,Yes,middle vocational,1st Quintile,0.06968503937007874,38694,0.0671480477361878,0.07222203100396968
2014,Yes,middle vocational,3rd Quintile,0.06653543307086614,38694,0.06405224467339178,0.0690186214683405
2014,Yes,general elementary,2nd Quintile,0.049606299212598425,38694,0.047442811432629725,0.051769786992567124
2014,Yes,higher education,5th Quintile,0.047244094488188976,38694,0.045130124355392105,0.049358064620985846
2014,Yes,general elementary,4th Quintile,0.046850393700787404,38694,0.04474481530209291,0.048955972099481895
2014,Yes,general elementary,3rd Quintile,0.046062992125984255,38694,0.04397432044225483,0.04815166380971368
2014,Yes,general elementary,1st Quintile,0.04133858267716536,38694,0.039355025730146945,0.04332213962418377
2014,Yes,in school,5th Quintile,0.03858267716535433,38694,0.036663626641760386,0.040501727688948275
2014,Yes,in school,2nd Quintile,0.03779527559055118,38694,0.03589513052419344,0.03969542065690892
2014,Yes,in school,1st Quintile,0.03267716535433071,38694,0.030905661239258513,0.03444866946940291
2014,Yes,higher education,4th Quintile,0.03267716535433071,38694,0.030905661239258513,0.03444866946940291
2014,Yes,in school,3rd Quintile,0.03188976377952756,38694,0.030139021116934166,0.03364050644212096
2014,Yes,in school,4th Quintile,0.03110236220472441,38694,0.02937266575673917,0.03283205865270965
2014,Yes,higher education,3rd Quintile,0.025590551181102362,38694,0.024017130620360594,0.02716397174184413
2014,Yes,general elementary,5th Quintile,0.024015748031496063,38694,0.022490277853169857,0.025541218209822268
2014,Yes,higher education,1st Quintile,0.02283464566929134,38694,0.021346260182969288,0.02432303115561339
2014,Yes,higher education,2nd Quintile,0.020866141732283464,38694,0.019441924066105648,0.02229035939846128
2014,Yes,vocational + Abi,4th Quintile,0.017716535433070866,38694,0.01640209147968088,0.019030979386460853
2014,Yes,vocational + Abi,5th Quintile,0.01732283464566929,38694,0.016022817231624877,0.018622852059713705
2014,Yes,vocational + Abi,3rd Quintile,0.014566929133858268,38694,0.013373128437420988,0.015760729830295545
2014,Yes,vocational + Abi,1st Quintile,0.01062992125984252,38694,0.009608091216486134,0.011651751303198905
2014,Yes,vocational + Abi,2nd Quintile,0.01062992125984252,38694,0.009608091216486134,0.011651751303198905
2014,Yes,inadequately,1st Quintile,0.0066929133858267716,38694,0.005880487734933885,0.007505339036719658
2014,Yes,higher vocational,5th Quintile,0.003937007874015748,38694,0.003313042052016221,0.004560973696015275
2014,Yes,higher vocational,4th Quintile,0.0031496062992125984,38694,0.0025912937556168796,0.003707918842808317
2014,Yes,higher vocational,3rd Quintile,0.0027559055118110236,38694,0.002233548828132925,0.003278262195489122
2014,Yes,inadequately,2nd Quintile,0.0027559055118110236,38694,0.002233548828132925,0.003278262195489122
2014,Yes,inadequately,3rd Quintile,0.002362204724409449,38694,0.0018785009552589956,0.002845908493559902
2014,Yes,higher vocational,2nd Quintile,0.0011811023622047244,38694,0.0008388697422314627,0.001523334982177986
2014,Yes,inadequately,5th Quintile,0.0011811023622047244,38694,0.0008388697422314627,0.001523334982177986
2014,Yes,inadequately,4th Quintile,0.0003937007874015748,38694,0.00019603482490185666,0.0005913667499012929
2014,No,higher education,5th Quintile,0.13739341247283063,38694,0.13396317965130494,0.14082364529435631
2014,No,middle vocational,4th Quintile,0.12506269854539376,38694,0.12176670295811876,0.12835869413266876
2014,No,middle vocational,3rd Quintile,0.11565791673633172,38694,0.11247128346279053,0.1188445500098729
