year,age_gr,sex,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,46-65 y.,male,No,0.99389,4259,4259,0.99155,0.99623
2015,46-65 y.,female,Yes,0.01109,60,4850,0.00814,0.01403
2015,46-65 y.,female,No,0.98891,4790,4850,0.98597,0.99186
2015,66 and older,male,No,0.99736,2391,2391,0.99530,0.99941
2015,66 and older,female,No,0.99788,2506,2506,0.99607,0.99968
2016,17-29 y.,male,Yes,0.46481,1035,2425,0.44495,0.48467
2016,17-29 y.,male,No,0.46683,1390,2425,0.44696,0.48669
2016,17-29 y.,female,Yes,0.44240,1022,2439,0.42269,0.46212
2016,17-29 y.,female,No,0.48378,1417,2439,0.46394,0.50362
2016,30-45 y.,male,Yes,0.06490,182,3870,0.05714,0.07266
2016,30-45 y.,male,No,0.93496,3688,3870,0.92719,0.94273
2016,30-45 y.,female,Yes,0.06251,234,4752,0.05562,0.06939
2016,30-45 y.,female,No,0.93747,4518,4752,0.93058,0.94435
2016,46-65 y.,male,Yes,0.00398,39,4253,0.00208,0.00587
2016,46-65 y.,male,No,0.99601,4214,4253,0.99412,0.99791
2016,46-65 y.,female,Yes,0.01137,66,4778,0.00836,0.01437
2016,46-65 y.,female,No,0.98862,4712,4778,0.98561,0.99163
2016,66 and older,male,No,0.99927,2318,2318,0.99816,1.00037
2016,66 and older,female,No,0.99822,2416,2416,0.99653,0.99990
2017,17-29 y.,male,Yes,0.47567,1303,2963,0.45768,0.49365
2017,17-29 y.,male,No,0.45383,1660,2963,0.43590,0.47176
2017,17-29 y.,female,Yes,0.45809,1189,2851,0.43980,0.47639
2017,17-29 y.,female,No,0.47546,1662,2851,0.45712,0.49379
2017,30-45 y.,male,Yes,0.07299,230,4089,0.06502,0.08096
2017,30-45 y.,male,No,0.92700,3859,4089,0.91902,0.93497
2017,30-45 y.,female,Yes,0.05408,249,5040,0.04783,0.06032
2017,30-45 y.,female,No,0.94591,4791,5040,0.93966,0.95216
2017,46-65 y.,male,Yes,0.00516,40,5003,0.00318,0.00715
2017,46-65 y.,male,No,0.99482,4963,5003,0.99283,0.99681
2017,46-65 y.,female,Yes,0.01360,97,5574,0.01056,0.01664
2017,46-65 y.,female,No,0.98640,5477,5574,0.98336,0.98944
2017,66 and older,male,No,0.99928,2463,2463,0.99822,1.00034
2017,66 and older,female,No,0.99950,2528,2528,0.99863,1.00037
2018,17-29 y.,male,Yes,0.45055,1257,2787,0.43207,0.46902
2018,17-29 y.,male,No,0.48788,1530,2787,0.46932,0.50644
2018,17-29 y.,female,Yes,0.43245,1149,2700,0.41376,0.45114
2018,17-29 y.,female,No,0.50517,1551,2700,0.48630,0.52403
2018,30-45 y.,male,Yes,0.06319,235,3783,0.05544,0.07095
2018,30-45 y.,male,No,0.93680,3548,3783,0.92904,0.94455
2018,30-45 y.,female,Yes,0.06161,245,4659,0.05471,0.06852
2018,30-45 y.,female,No,0.93796,4414,4659,0.93103,0.94489
2018,46-65 y.,male,Yes,0.00305,37,4846,0.00150,0.00461
2018,46-65 y.,male,No,0.99695,4809,4846,0.99539,0.99850
2018,46-65 y.,female,Yes,0.00901,73,5411,0.00649,0.01153
2018,46-65 y.,female,No,0.99099,5338,5411,0.98847,0.99351
2018,66 and older,male,No,0.99686,2452,2452,0.99465,0.99908
2018,66 and older,female,No,0.99759,2558,2558,0.99568,0.99949
2019,17-29 y.,male,Yes,0.44498,1138,2448,0.42529,0.46467
2019,17-29 y.,male,No,0.47659,1310,2448,0.45680,0.49638
2019,17-29 y.,female,Yes,0.41249,1067,2393,0.39276,0.43222
2019,17-29 y.,female,No,0.51589,1326,2393,0.49586,0.53592
2019,30-45 y.,male,Yes,0.06348,217,3664,0.05558,0.07138
2019,30-45 y.,male,No,0.93652,3447,3664,0.92862,0.94442
2019,30-45 y.,female,Yes,0.06576,226,4299,0.05835,0.07317
2019,30-45 y.,female,No,0.93424,4073,4299,0.92683,0.94165
2019,46-65 y.,male,Yes,0.00553,57,5489,0.00357,0.00749
2019,46-65 y.,male,No,0.99446,5432,5489,0.99250,0.99643
2019,46-65 y.,female,Yes,0.01173,79,5567,0.00890,0.01456
2019,46-65 y.,female,No,0.98826,5488,5567,0.98543,0.99109
2019,66 and older,male,No,0.99760,2633,2633,0.99573,0.99947
2019,66 and older,female,No,0.99849,2564,2564,0.99699,1.00000
2020,17-29 y.,male,Yes,0.45492,1185,2826,0.43655,0.47328
2020,17-29 y.,male,No,0.47369,1641,2826,0.45528,0.49211
2020,17-29 y.,female,Yes,0.43419,1144,2633,0.41526,0.45313
2020,17-29 y.,female,No,0.48910,1489,2633,0.47000,0.50820
2020,30-45 y.,male,Yes,0.06861,265,4172,0.06094,0.07628
2020,30-45 y.,male,No,0.93117,3907,4172,0.92348,0.93885
2020,30-45 y.,female,Yes,0.05776,231,4319,0.05080,0.06472
2020,30-45 y.,female,No,0.94213,4088,4319,0.93517,0.94910
2020,46-65 y.,male,Yes,0.00734,48,5156,0.00501,0.00966
2020,46-65 y.,male,No,0.99266,5108,5156,0.99034,0.99499
2020,46-65 y.,female,Yes,0.01123,86,5364,0.00841,0.01405
2020,46-65 y.,female,No,0.98877,5278,5364,0.98595,0.99159
2020,66 and older,male,No,0.99847,2451,2451,0.99692,1.00002
2020,66 and older,female,No,0.99765,2467,2467,0.99574,0.99956
2021,17-29 y.,male,Yes,0.44934,802,1671,0.42549,0.47320
2021,17-29 y.,male,No,0.49224,869,1671,0.46826,0.51621
2021,17-29 y.,female,Yes,0.43718,751,1604,0.41290,0.46146
2021,17-29 y.,female,No,0.49038,853,1604,0.46590,0.51485
2021,30-45 y.,male,Yes,0.06015,187,2497,0.05083,0.06948
2021,30-45 y.,male,No,0.93954,2310,2497,0.93019,0.94889
2021,30-45 y.,female,Yes,0.08283,183,2845,0.07270,0.09296
2021,30-45 y.,female,No,0.91554,2662,2845,0.90532,0.92576
2021,46-65 y.,male,Yes,0.00460,47,3491,0.00236,0.00685
2021,46-65 y.,male,No,0.99371,3444,3491,0.99109,0.99633
2021,46-65 y.,female,Yes,0.01077,76,3825,0.00750,0.01405
2021,46-65 y.,female,No,0.98740,3749,3825,0.98386,0.99093
2021,66 and older,male,No,0.98750,1790,1790,0.98235,0.99265
2021,66 and older,female,No,0.98839,1774,1774,0.98341,0.99338
2022,17-29 y.,male,Yes,0.46175,1210,2760,0.44314,0.48035
2022,17-29 y.,male,No,0.48372,1550,2760,0.46507,0.50237
2022,17-29 y.,female,Yes,0.43776,1224,2869,0.41960,0.45591
2022,17-29 y.,female,No,0.51248,1645,2869,0.49418,0.53077
2022,30-45 y.,male,Yes,0.08298,366,4397,0.07482,0.09113
2022,30-45 y.,male,No,0.91480,4031,4397,0.90655,0.92306
2022,30-45 y.,female,Yes,0.07781,389,4537,0.07001,0.08560
2022,30-45 y.,female,No,0.91859,4148,4537,0.91063,0.92654
2022,46-65 y.,male,Yes,0.01460,65,4379,0.01104,0.01815
2022,46-65 y.,male,No,0.97884,4314,4379,0.97457,0.98310
2022,46-65 y.,female,Yes,0.01665,114,4778,0.01302,0.02028
2022,46-65 y.,female,No,0.97788,4664,4778,0.97371,0.98205
2022,66 and older,male,No,0.98215,2027,2027,0.97638,0.98791
2022,66 and older,female,No,0.97789,2060,2060,0.97154,0.98424
