year,migback,sex,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,Indirect migration background,male,No,0.21282,297,740,0.18331,0.24233
2019,Indirect migration background,female,Yes,0.39139,580,823,0.35803,0.42476
2019,Indirect migration background,female,No,0.12924,243,823,0.10631,0.15218
2020,No migration background,male,Yes,0.55222,5771,8741,0.54179,0.56264
2020,No migration background,male,No,0.29413,2970,8741,0.28458,0.30369
2020,No migration background,female,Yes,0.64047,7097,9680,0.63091,0.65003
2020,No migration background,female,No,0.21412,2583,9680,0.20595,0.22229
2020,Direct migration background,male,Yes,0.50183,2159,4442,0.48713,0.51654
2020,Direct migration background,male,No,0.42140,2283,4442,0.40688,0.43592
2020,Direct migration background,female,Yes,0.61994,2419,3898,0.60470,0.63518
2020,Direct migration background,female,No,0.30826,1479,3898,0.29376,0.32276
2020,Indirect migration background,male,Yes,0.25033,382,724,0.21876,0.28191
2020,Indirect migration background,male,No,0.24784,342,724,0.21637,0.27931
2020,Indirect migration background,female,Yes,0.33008,523,803,0.29754,0.36263
2020,Indirect migration background,female,No,0.17477,280,803,0.14848,0.20105
2021,No migration background,male,Yes,0.60342,4480,6213,0.59126,0.61559
2021,No migration background,male,No,0.25350,1733,6213,0.24268,0.26431
2021,No migration background,female,Yes,0.65774,5284,6933,0.64657,0.66891
2021,No migration background,female,No,0.19918,1649,6933,0.18978,0.20858
2021,Direct migration background,male,Yes,0.53307,837,1412,0.50703,0.55910
2021,Direct migration background,male,No,0.31410,575,1412,0.28988,0.33831
2021,Direct migration background,female,Yes,0.62087,1131,1653,0.59747,0.64427
2021,Direct migration background,female,No,0.26934,522,1653,0.24794,0.29073
2021,Indirect migration background,male,Yes,0.27601,266,442,0.23429,0.31773
2021,Indirect migration background,male,No,0.16883,176,442,0.13387,0.20379
2021,Indirect migration background,female,Yes,0.34410,347,485,0.30177,0.38642
2021,Indirect migration background,female,No,0.15655,138,485,0.12418,0.18892
2022,No migration background,male,Yes,0.48442,5261,7907,0.47340,0.49543
2022,No migration background,male,No,0.24068,2646,7907,0.23126,0.25011
2022,No migration background,female,Yes,0.54141,6256,8432,0.53077,0.55205
2022,No migration background,female,No,0.18008,2176,8432,0.17188,0.18828
2022,Direct migration background,male,Yes,0.49264,2228,3986,0.47711,0.50816
2022,Direct migration background,male,No,0.36656,1758,3986,0.35160,0.38153
2022,Direct migration background,female,Yes,0.58377,2604,3813,0.56812,0.59942
2022,Direct migration background,female,No,0.25481,1209,3813,0.24097,0.26864
2022,Indirect migration background,male,Yes,0.26363,394,640,0.22947,0.29779
2022,Indirect migration background,male,No,0.21136,246,640,0.17970,0.24301
2022,Indirect migration background,female,Yes,0.34491,521,717,0.31009,0.37972
2022,Indirect migration background,female,No,0.16239,196,717,0.13537,0.18940
