year,quintil_oecd,sampreg,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,3rd Quintile,East,Yes,0.72813,938,1300,0.70393,0.75232
2001,3rd Quintile,East,No,0.27187,362,1300,0.24768,0.29607
2001,4th Quintile,West,Yes,0.67502,2456,3634,0.65979,0.69025
2001,4th Quintile,West,No,0.32498,1178,3634,0.30975,0.34021
2001,4th Quintile,East,Yes,0.76432,722,961,0.73747,0.79117
2001,4th Quintile,East,No,0.23568,239,961,0.20883,0.26253
2001,5th Quintile,West,Yes,0.69848,2698,3932,0.68413,0.71283
2001,5th Quintile,West,No,0.30152,1234,3932,0.28717,0.31587
2001,5th Quintile,East,Yes,0.69295,406,586,0.65557,0.73033
2001,5th Quintile,East,No,0.30705,180,586,0.26967,0.34443
2002,1st Quintile,West,Yes,0.66892,1572,2388,0.65004,0.68780
2002,1st Quintile,West,No,0.33108,816,2388,0.31220,0.34996
2002,1st Quintile,East,Yes,0.69808,725,1064,0.67048,0.72568
2002,1st Quintile,East,No,0.30192,339,1064,0.27432,0.32952
2002,2nd Quintile,West,Yes,0.67086,1785,2692,0.65310,0.68861
2002,2nd Quintile,West,No,0.32914,907,2692,0.31139,0.34690
2002,2nd Quintile,East,Yes,0.74102,892,1221,0.71644,0.76561
2002,2nd Quintile,East,No,0.25898,329,1221,0.23439,0.28356
2002,3rd Quintile,West,Yes,0.65502,1880,2855,0.63758,0.67246
2002,3rd Quintile,West,No,0.34498,975,2855,0.32754,0.36242
2002,3rd Quintile,East,Yes,0.72262,831,1173,0.69699,0.74825
2002,3rd Quintile,East,No,0.27738,342,1173,0.25175,0.30301
2002,4th Quintile,West,Yes,0.68968,2259,3325,0.67395,0.70540
2002,4th Quintile,West,No,0.31032,1066,3325,0.29460,0.32605
2002,4th Quintile,East,Yes,0.71524,742,1032,0.68770,0.74279
2002,4th Quintile,East,No,0.28476,290,1032,0.25721,0.31230
2002,5th Quintile,West,Yes,0.67582,2891,4294,0.66182,0.68983
2002,5th Quintile,West,No,0.32418,1403,4294,0.31017,0.33818
2002,5th Quintile,East,Yes,0.67992,454,691,0.64511,0.71472
2002,5th Quintile,East,No,0.32008,237,691,0.28528,0.35489
2003,1st Quintile,West,Yes,0.69988,1607,2359,0.68138,0.71838
2003,1st Quintile,West,No,0.30012,752,2359,0.28162,0.31862
2003,1st Quintile,East,Yes,0.70144,714,1026,0.67342,0.72946
2003,1st Quintile,East,No,0.29856,312,1026,0.27054,0.32658
2003,2nd Quintile,West,Yes,0.68503,1733,2538,0.66696,0.70311
2003,2nd Quintile,West,No,0.31497,805,2538,0.29689,0.33304
