year,bula_h,sex,doctoryn,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2015,Thuringa,male,Yes,0.665871121718377,38036,0.66113076800884,0.6706114754279141
2015,Thuringa,male,No,0.3341288782816229,38036,0.32938852457208584,0.33886923199116
2015,Thuringa,female,Yes,0.7600806451612904,38036,0.755789026438418,0.7643722638841627
2015,Thuringa,female,No,0.2399193548387097,38036,0.23562773611583734,0.24421097356158203
2016,Schleswig-Holstein,male,Yes,0.6361185983827493,41132,0.6314690032937436,0.6407681934717551
2016,Schleswig-Holstein,male,No,0.3638814016172507,41132,0.359231806528245,0.3685309967062564
2016,Schleswig-Holstein,female,Yes,0.7085201793721974,41132,0.7041283393046506,0.7129120194397441
2016,Schleswig-Holstein,female,No,0.2914798206278027,41132,0.287087980560256,0.2958716606953494
2016,Hamburg,male,Yes,0.5894736842105263,41132,0.5847195781145912,0.5942277903064613
2016,Hamburg,male,No,0.4105263157894737,41132,0.4057722096935386,0.41528042188540876
2016,Hamburg,female,Yes,0.7639484978540773,41132,0.7598445523738032,0.7680524433343513
2016,Hamburg,female,No,0.23605150214592274,41132,0.23194755666564876,0.24015544762619673
2016,Lower Saxony,male,Yes,0.657483930211203,41132,0.6528977701800162,0.6620700902423898
2016,Lower Saxony,male,No,0.34251606978879706,41132,0.3379299097576102,0.3471022298199839
2016,Lower Saxony,female,Yes,0.7549251379038613,41132,0.7507682579307637,0.7590820178769588
2016,Lower Saxony,female,No,0.24507486209613868,41132,0.2409179821230411,0.24923174206923626
2016,Bremen,male,Yes,0.6585365853658537,41132,0.6539538138931533,0.663119356838554
2016,Bremen,male,No,0.34146341463414637,41132,0.336880643161446,0.34604618610684673
2016,Bremen,female,Yes,0.7553191489361702,41132,0.7511645280835706,0.7594737697887699
2016,Bremen,female,No,0.24468085106382978,41132,0.24052623021123015,0.2488354719164294
2016,North Rhine-Westphalia,male,Yes,0.6444636678200693,41132,0.6398376492584552,0.6490896863816833
2016,North Rhine-Westphalia,male,No,0.3555363321799308,41132,0.35091031361831676,0.36016235074154485
2016,North Rhine-Westphalia,female,Yes,0.7458441078684891,41132,0.741636451344575,0.7500517643924032
2016,North Rhine-Westphalia,female,No,0.2541558921315109,41132,0.24994823560759682,0.258363548655425
2016,Hesse,male,Yes,0.6639344262295082,41132,0.6593694264077339,0.6684994260512824
2016,Hesse,male,No,0.3360655737704918,41132,0.33150057394871757,0.340630573592266
2016,Hesse,female,Yes,0.7641618497109827,41132,0.7600591865308657,0.7682645128910996
2016,Hesse,female,No,0.23583815028901733,41132,0.23173548710890032,0.23994081346913435
2016,"Rhineland-Palatinate, Saarland",male,Yes,0.6231671554252199,41132,0.6184839542958152,0.6278503565546247
2016,"Rhineland-Palatinate, Saarland",male,No,0.37683284457478006,41132,0.3721496434453752,0.3815160457041849
2016,"Rhineland-Palatinate, Saarland",female,Yes,0.6890012642225032,41132,0.6845276814325754,0.693474847012431
2016,"Rhineland-Palatinate, Saarland",female,No,0.3109987357774968,41132,0.306525152987569,0.31547231856742464
2016,Baden-Wuerttemberg,male,Yes,0.6205287713841369,41132,0.6158391633417969,0.6252183794264768
2016,Baden-Wuerttemberg,male,No,0.37947122861586313,41132,0.3747816205735231,0.38416083665820316
2016,Baden-Wuerttemberg,female,Yes,0.7072538860103627,41132,0.7028564513175712,0.7116513207031541
2016,Baden-Wuerttemberg,female,No,0.2927461139896373,41132,0.2883486792968458,0.29714354868242876
2016,Bavaria,male,Yes,0.6310403638430927,41132,0.6263771626210147,0.6357035650651707
2016,Bavaria,male,No,0.36895963615690736,41132,0.3642964349348294,0.37362283737898533
2016,Bavaria,female,Yes,0.7161968466316292,41132,0.7118398124368818,0.7205538808263766
2016,Bavaria,female,No,0.28380315336837075,41132,0.27944611917362333,0.2881601875631182
2016,Berlin,male,Yes,0.6617283950617284,41132,0.6571560519239996,0.6663007381994572
2016,Berlin,male,No,0.33827160493827163,41132,0.3336992618005429,0.3428439480760004
2016,Berlin,female,Yes,0.779559118236473,41132,0.7755528801497724,0.7835653563231735
2016,Berlin,female,No,0.22044088176352705,41132,0.2164346436768265,0.2244471198502276
2016,Brandenburg,male,Yes,0.6997635933806147,41132,0.6953339016255127,0.7041932851357167
2016,Brandenburg,male,No,0.30023640661938533,41132,0.29580671486428334,0.3046660983744873
2016,Brandenburg,female,Yes,0.791015625,41132,0.7870863212992788,0.7949449287007212
2016,Brandenburg,female,No,0.208984375,41132,0.20505507129927886,0.21291367870072114
2016,Mecklenburg-Western Pomerania,male,Yes,0.6767241379310345,41132,0.672203927732669,0.6812443481293999
2016,Mecklenburg-Western Pomerania,male,No,0.3232758620689655,41132,0.3187556518706,0.32779607226733104
2016,Mecklenburg-Western Pomerania,female,Yes,0.7670250896057348,41132,0.7629397748795929,0.7711104043318767
2016,Mecklenburg-Western Pomerania,female,No,0.23297491039426524,41132,0.22888959566812328,0.2370602251204072
