year,bula_h,regtyp,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,Brandenburg,Rural regions,No,0.20782,149,561,0.17421,0.24142
1995,Mecklenburg-Western Pomerania,Urban regions,Yes,0.74583,49,49,0.62265,0.86900
1995,Mecklenburg-Western Pomerania,Rural regions,Yes,0.55290,241,358,0.50133,0.60448
1995,Mecklenburg-Western Pomerania,Rural regions,No,0.25300,117,358,0.20790,0.29810
1995,Saxony,Urban regions,Yes,0.63397,421,573,0.59449,0.67345
1995,Saxony,Urban regions,No,0.19680,152,573,0.16422,0.22938
1995,Saxony,Rural regions,Yes,0.59333,369,521,0.55111,0.63555
1995,Saxony,Rural regions,No,0.21434,152,521,0.17907,0.24961
1995,Saxony-Anhalt,Urban regions,Yes,0.70771,103,103,0.61945,0.79598
1995,Saxony-Anhalt,Rural regions,Yes,0.61279,386,554,0.57219,0.65339
1995,Saxony-Anhalt,Rural regions,No,0.22250,168,554,0.18784,0.25717
1995,Thuringa,Urban regions,Yes,0.62204,139,187,0.55236,0.69173
1995,Thuringa,Urban regions,No,0.18234,48,187,0.12685,0.23783
1995,Thuringa,Rural regions,Yes,0.56646,314,459,0.52108,0.61185
1995,Thuringa,Rural regions,No,0.23152,145,459,0.19289,0.27015
1996,Schleswig-Holstein,Urban regions,Yes,0.48755,82,137,0.40354,0.57156
1996,Schleswig-Holstein,Urban regions,No,0.30008,55,137,0.22305,0.37710
1996,Schleswig-Holstein,Rural regions,Yes,0.55560,96,136,0.47178,0.63942
1996,Schleswig-Holstein,Rural regions,No,0.18250,40,136,0.11734,0.24766
1996,Hamburg,Urban regions,Yes,0.52052,73,124,0.43223,0.60881
1996,Hamburg,Urban regions,No,0.32316,51,124,0.24051,0.40582
1996,Lower Saxony,Urban regions,Yes,0.59019,353,508,0.54738,0.63300
1996,Lower Saxony,Urban regions,No,0.23633,155,508,0.19935,0.27331
1996,Lower Saxony,Rural regions,Yes,0.58174,383,518,0.53922,0.62426
1996,Lower Saxony,Rural regions,No,0.18638,135,518,0.15282,0.21995
1996,Bremen,Urban regions,Yes,0.68147,66,66,0.56821,0.79474
1996,North Rhine-Westphalia,Urban regions,Yes,0.57368,1654,2473,0.55419,0.59318
1996,North Rhine-Westphalia,Urban regions,No,0.24522,819,2473,0.22826,0.26218
1996,North Rhine-Westphalia,Rural regions,Yes,0.48964,43,43,0.33846,0.64083
1996,Hesse,Urban regions,Yes,0.58206,494,762,0.54702,0.61711
1996,Hesse,Urban regions,No,0.24527,268,762,0.21470,0.27584
1996,Hesse,Rural regions,Yes,0.60299,94,138,0.52106,0.68493
1996,Hesse,Rural regions,No,0.24985,44,138,0.17736,0.32235
1996,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.54197,379,553,0.50040,0.58353
1996,"Rhineland-Palatinate, Saarland",Urban regions,No,0.24057,174,553,0.20491,0.27622
1996,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.50426,82,134,0.41928,0.58923
1996,"Rhineland-Palatinate, Saarland",Rural regions,No,0.30451,52,134,0.22629,0.38272
1996,Baden-Wuerttemberg,Urban regions,Yes,0.59045,1057,1465,0.56526,0.61564
1996,Baden-Wuerttemberg,Urban regions,No,0.19797,408,1465,0.17756,0.21838
1996,Baden-Wuerttemberg,Rural regions,Yes,0.56083,153,206,0.49289,0.62877
1996,Baden-Wuerttemberg,Rural regions,No,0.22327,53,206,0.16627,0.28028
1996,Bavaria,Urban regions,Yes,0.62307,605,819,0.58986,0.65628
1996,Bavaria,Urban regions,No,0.20108,214,819,0.17361,0.22855
1996,Bavaria,Rural regions,Yes,0.58389,580,814,0.55001,0.61777
1996,Bavaria,Rural regions,No,0.21787,234,814,0.18949,0.24625
1996,Berlin,Urban regions,Yes,0.64934,417,540,0.60906,0.68963
1996,Berlin,Urban regions,No,0.17895,123,540,0.14659,0.21131
1996,Brandenburg,Rural regions,Yes,0.59667,390,558,0.55593,0.63741
1996,Brandenburg,Rural regions,No,0.23092,168,558,0.19592,0.26592
1996,Mecklenburg-Western Pomerania,Urban regions,Yes,0.64454,42,42,0.49802,0.79105
1996,Mecklenburg-Western Pomerania,Rural regions,Yes,0.58924,249,344,0.53717,0.64130
1996,Mecklenburg-Western Pomerania,Rural regions,No,0.22838,95,344,0.18395,0.27280
1996,Saxony,Urban regions,Yes,0.59275,396,563,0.55213,0.63337
1996,Saxony,Urban regions,No,0.22226,167,563,0.18788,0.25663
1996,Saxony,Rural regions,Yes,0.58550,359,538,0.54383,0.62716
1996,Saxony,Rural regions,No,0.23944,179,538,0.20335,0.27554
1996,Saxony-Anhalt,Urban regions,Yes,0.67382,116,148,0.59803,0.74961
1996,Saxony-Anhalt,Urban regions,No,0.18503,32,148,0.12225,0.24780
1996,Saxony-Anhalt,Rural regions,Yes,0.59822,356,521,0.55608,0.64035
1996,Saxony-Anhalt,Rural regions,No,0.23947,165,521,0.20279,0.27616
1996,Thuringa,Urban regions,Yes,0.63738,144,191,0.56902,0.70574
1996,Thuringa,Urban regions,No,0.17749,47,191,0.12316,0.23182
1996,Thuringa,Rural regions,Yes,0.54619,312,464,0.50084,0.59154
1996,Thuringa,Rural regions,No,0.25733,152,464,0.21751,0.29715
1997,Schleswig-Holstein,Urban regions,Yes,0.55135,88,129,0.46518,0.63751
1997,Schleswig-Holstein,Urban regions,No,0.22621,41,129,0.15373,0.29869
1997,Schleswig-Holstein,Rural regions,Yes,0.52120,88,140,0.43815,0.60424
1997,Schleswig-Holstein,Rural regions,No,0.28580,52,140,0.21069,0.36091
1997,Hamburg,Urban regions,Yes,0.57938,78,125,0.49249,0.66627
1997,Hamburg,Urban regions,No,0.31681,47,125,0.23492,0.39870
1997,Lower Saxony,Urban regions,Yes,0.56357,332,513,0.52061,0.60653
1997,Lower Saxony,Urban regions,No,0.27228,181,513,0.23372,0.31084
1997,Lower Saxony,Rural regions,Yes,0.53152,341,518,0.48850,0.57453
1997,Lower Saxony,Rural regions,No,0.25883,177,518,0.22107,0.29659
1997,Bremen,Urban regions,Yes,0.67317,61,93,0.57732,0.76902
1997,Bremen,Urban regions,No,0.23455,32,93,0.14796,0.32113
1997,North Rhine-Westphalia,Urban regions,Yes,0.56088,1564,2426,0.54113,0.58063
1997,North Rhine-Westphalia,Urban regions,No,0.26540,862,2426,0.24782,0.28297
1997,North Rhine-Westphalia,Rural regions,Yes,0.45943,42,42,0.30689,0.61198
1997,Hesse,Urban regions,Yes,0.56854,471,712,0.53213,0.60494
1997,Hesse,Urban regions,No,0.25451,241,712,0.22249,0.28653
1997,Hesse,Rural regions,Yes,0.64603,96,130,0.56350,0.72855
1997,Hesse,Rural regions,No,0.20620,34,130,0.13639,0.27602
1997,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.55454,380,568,0.51363,0.59545
1997,"Rhineland-Palatinate, Saarland",Urban regions,No,0.25760,188,568,0.22160,0.29359
1997,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.57515,89,141,0.49326,0.65703
1997,"Rhineland-Palatinate, Saarland",Rural regions,No,0.25545,52,141,0.18321,0.32769
1997,Baden-Wuerttemberg,Urban regions,Yes,0.59046,1068,1490,0.56548,0.61544
1997,Baden-Wuerttemberg,Urban regions,No,0.20322,422,1490,0.18278,0.22366
1997,Baden-Wuerttemberg,Rural regions,Yes,0.59289,147,207,0.52580,0.65998
1997,Baden-Wuerttemberg,Rural regions,No,0.22786,60,207,0.17058,0.28514
1997,Bavaria,Urban regions,Yes,0.60542,576,814,0.57182,0.63902
1997,Bavaria,Urban regions,No,0.23467,238,814,0.20554,0.26380
1997,Bavaria,Rural regions,Yes,0.58100,569,805,0.54689,0.61510
1997,Bavaria,Rural regions,No,0.21687,236,805,0.18838,0.24535
1997,Berlin,Urban regions,Yes,0.61603,368,510,0.57377,0.65828
1997,Berlin,Urban regions,No,0.20951,142,510,0.17416,0.24487
1997,Brandenburg,Rural regions,Yes,0.62172,404,565,0.58169,0.66174
1997,Brandenburg,Rural regions,No,0.22353,161,565,0.18915,0.25791
1997,Mecklenburg-Western Pomerania,Urban regions,Yes,0.66903,45,45,0.52999,0.80808
1997,Mecklenburg-Western Pomerania,Rural regions,Yes,0.59930,231,333,0.54659,0.65202
1997,Mecklenburg-Western Pomerania,Rural regions,No,0.23829,102,333,0.19246,0.28411
1997,Saxony,Urban regions,Yes,0.63730,401,555,0.59726,0.67733
1997,Saxony,Urban regions,No,0.19301,154,555,0.16014,0.22587
1997,Saxony,Rural regions,Yes,0.62109,374,528,0.57967,0.66251
1997,Saxony,Rural regions,No,0.20869,154,528,0.17399,0.24338
1997,Saxony-Anhalt,Urban regions,Yes,0.68803,107,138,0.61045,0.76561
1997,Saxony-Anhalt,Urban regions,No,0.18685,31,138,0.12158,0.25212
1997,Saxony-Anhalt,Rural regions,Yes,0.61711,362,524,0.57545,0.65877
1997,Saxony-Anhalt,Rural regions,No,0.23758,162,524,0.20110,0.27406
1997,Thuringa,Urban regions,Yes,0.63103,137,194,0.56295,0.69910
1997,Thuringa,Urban regions,No,0.17283,57,194,0.11948,0.22617
1997,Thuringa,Rural regions,Yes,0.54953,312,466,0.50430,0.59475
1997,Thuringa,Rural regions,No,0.25152,154,466,0.21208,0.29096
1998,Schleswig-Holstein,Urban regions,Yes,0.48144,110,182,0.40865,0.55423
1998,Schleswig-Holstein,Urban regions,No,0.31613,72,182,0.24839,0.38387
1998,Schleswig-Holstein,Rural regions,Yes,0.55903,113,163,0.48257,0.63549
1998,Schleswig-Holstein,Rural regions,No,0.24379,50,163,0.17767,0.30990
1998,Hamburg,Urban regions,Yes,0.57031,98,149,0.49055,0.65006
1998,Hamburg,Urban regions,No,0.27142,51,149,0.19978,0.34307
1998,Lower Saxony,Urban regions,Yes,0.55442,376,576,0.51379,0.59505
1998,Lower Saxony,Urban regions,No,0.27379,200,576,0.23734,0.31024
1998,Lower Saxony,Rural regions,Yes,0.51408,406,612,0.47445,0.55371
1998,Lower Saxony,Rural regions,No,0.27009,206,612,0.23488,0.30530
1998,Bremen,Urban regions,Yes,0.66398,71,71,0.55333,0.77464
1998,North Rhine-Westphalia,Urban regions,Yes,0.54752,1753,2753,0.52893,0.56612
1998,North Rhine-Westphalia,Urban regions,No,0.27230,1000,2753,0.25567,0.28893
1998,North Rhine-Westphalia,Rural regions,Yes,0.43418,41,41,0.28058,0.58779
1998,Hesse,Urban regions,Yes,0.54405,501,790,0.50930,0.57880
1998,Hesse,Urban regions,No,0.27878,289,790,0.24749,0.31007
1998,Hesse,Rural regions,Yes,0.57631,105,148,0.49643,0.65619
1998,Hesse,Rural regions,No,0.22705,43,148,0.15932,0.29477
1998,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.53810,406,614,0.49863,0.57757
1998,"Rhineland-Palatinate, Saarland",Urban regions,No,0.27865,208,614,0.24316,0.31414
1998,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.49544,114,184,0.42300,0.56788
1998,"Rhineland-Palatinate, Saarland",Rural regions,No,0.31042,70,184,0.24339,0.37746
1998,Baden-Wuerttemberg,Urban regions,Yes,0.57998,1119,1593,0.55574,0.60423
1998,Baden-Wuerttemberg,Urban regions,No,0.22706,474,1593,0.20648,0.24763
1998,Baden-Wuerttemberg,Rural regions,Yes,0.53248,136,206,0.46418,0.60078
1998,Baden-Wuerttemberg,Rural regions,No,0.26599,70,206,0.20551,0.32648
1998,Bavaria,Urban regions,Yes,0.57833,618,905,0.54613,0.61052
1998,Bavaria,Urban regions,No,0.25075,287,905,0.22249,0.27900
1998,Bavaria,Rural regions,Yes,0.57150,642,951,0.54003,0.60297
1998,Bavaria,Rural regions,No,0.23597,309,951,0.20897,0.26297
1998,Berlin,Urban regions,Yes,0.57854,353,523,0.53618,0.62090
1998,Berlin,Urban regions,No,0.24194,170,523,0.20520,0.27868
1998,Brandenburg,Rural regions,Yes,0.60085,419,588,0.56123,0.64047
1998,Brandenburg,Rural regions,No,0.25246,169,588,0.21732,0.28760
1998,Mecklenburg-Western Pomerania,Urban regions,Yes,0.61172,40,40,0.45876,0.76467
1998,Mecklenburg-Western Pomerania,Rural regions,Yes,0.56306,240,354,0.51132,0.61481
1998,Mecklenburg-Western Pomerania,Rural regions,No,0.25560,114,354,0.21009,0.30110
1998,Saxony,Urban regions,Yes,0.60582,401,579,0.56598,0.64566
1998,Saxony,Urban regions,No,0.22815,178,579,0.19394,0.26236
1998,Saxony,Rural regions,Yes,0.56977,397,595,0.52995,0.60959
1998,Saxony,Rural regions,No,0.25577,198,595,0.22069,0.29086
1998,Saxony-Anhalt,Urban regions,Yes,0.61426,98,136,0.53215,0.69637
1998,Saxony-Anhalt,Urban regions,No,0.25800,38,136,0.18419,0.33181
1998,Saxony-Anhalt,Rural regions,Yes,0.58505,356,551,0.54387,0.62623
1998,Saxony-Anhalt,Rural regions,No,0.27415,195,551,0.23687,0.31143
1998,Thuringa,Urban regions,Yes,0.60363,161,219,0.53870,0.66856
1998,Thuringa,Urban regions,No,0.21057,58,219,0.15645,0.26470
1998,Thuringa,Rural regions,Yes,0.55948,332,511,0.51639,0.60257
1998,Thuringa,Rural regions,No,0.25204,179,511,0.21435,0.28972
1999,Schleswig-Holstein,Urban regions,Yes,0.50679,101,160,0.42908,0.58450
1999,Schleswig-Holstein,Urban regions,No,0.27610,59,160,0.20661,0.34560
1999,Schleswig-Holstein,Rural regions,Yes,0.51719,106,160,0.43951,0.59486
1999,Schleswig-Holstein,Rural regions,No,0.28352,54,160,0.21347,0.35358
1999,Hamburg,Urban regions,Yes,0.61352,94,137,0.53168,0.69536
1999,Hamburg,Urban regions,No,0.25031,43,137,0.17751,0.32312
1999,Lower Saxony,Urban regions,Yes,0.55602,355,574,0.51534,0.59670
1999,Lower Saxony,Urban regions,No,0.29476,219,574,0.25743,0.33209
1999,Lower Saxony,Rural regions,Yes,0.59431,433,590,0.55466,0.63397
1999,Lower Saxony,Rural regions,No,0.18714,157,590,0.15564,0.21864
1999,Bremen,Urban regions,Yes,0.65959,66,66,0.54439,0.77478
1999,North Rhine-Westphalia,Urban regions,Yes,0.55979,1739,2612,0.54075,0.57883
1999,North Rhine-Westphalia,Urban regions,No,0.26301,873,2612,0.24612,0.27989
1999,North Rhine-Westphalia,Rural regions,Yes,0.45391,44,44,0.30510,0.60272
1999,Hesse,Urban regions,Yes,0.58483,518,748,0.54949,0.62016
1999,Hesse,Urban regions,No,0.23936,230,748,0.20876,0.26995
1999,Hesse,Rural regions,Yes,0.58198,98,141,0.50028,0.66369
1999,Hesse,Rural regions,No,0.26812,43,141,0.19474,0.34150
1999,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.60803,424,593,0.56870,0.64735
1999,"Rhineland-Palatinate, Saarland",Urban regions,No,0.22341,169,593,0.18985,0.25696
1999,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.54661,115,177,0.47306,0.62016
1999,"Rhineland-Palatinate, Saarland",Rural regions,No,0.26267,62,177,0.19765,0.32769
1999,Baden-Wuerttemberg,Urban regions,Yes,0.59061,1085,1523,0.56591,0.61532
1999,Baden-Wuerttemberg,Urban regions,No,0.21477,438,1523,0.19414,0.23541
1999,Baden-Wuerttemberg,Rural regions,Yes,0.53940,130,199,0.46998,0.60883
1999,Baden-Wuerttemberg,Rural regions,No,0.27795,69,199,0.21555,0.34035
1999,Bavaria,Urban regions,Yes,0.62631,632,891,0.59452,0.65809
1999,Bavaria,Urban regions,No,0.21957,259,891,0.19237,0.24676
1999,Bavaria,Rural regions,Yes,0.59154,649,896,0.55933,0.62374
1999,Bavaria,Rural regions,No,0.21549,247,896,0.18855,0.24243
1999,Berlin,Urban regions,Yes,0.58983,361,506,0.54693,0.63273
1999,Berlin,Urban regions,No,0.22467,145,506,0.18826,0.26107
1999,Brandenburg,Rural regions,Yes,0.63834,418,559,0.59847,0.67820
1999,Brandenburg,Rural regions,No,0.20829,141,559,0.17460,0.24199
1999,Mecklenburg-Western Pomerania,Urban regions,Yes,0.56139,36,36,0.39700,0.72579
1999,Mecklenburg-Western Pomerania,Rural regions,Yes,0.55094,236,347,0.49853,0.60335
1999,Mecklenburg-Western Pomerania,Rural regions,No,0.28259,111,347,0.23514,0.33003
1999,Saxony,Urban regions,Yes,0.62094,402,560,0.58072,0.66116
1999,Saxony,Urban regions,No,0.23062,158,560,0.19570,0.26554
1999,Saxony,Rural regions,Yes,0.57761,406,589,0.53768,0.61753
1999,Saxony,Rural regions,No,0.26013,183,589,0.22467,0.29559
1999,Saxony-Anhalt,Urban regions,Yes,0.74185,112,112,0.66044,0.82326
1999,Saxony-Anhalt,Rural regions,Yes,0.62621,389,553,0.58585,0.66657
1999,Saxony-Anhalt,Rural regions,No,0.24732,164,553,0.21133,0.28331
1999,Thuringa,Urban regions,Yes,0.58687,158,225,0.52238,0.65135
1999,Thuringa,Urban regions,No,0.22138,67,225,0.16701,0.27575
1999,Thuringa,Rural regions,Yes,0.63461,369,493,0.59206,0.67716
1999,Thuringa,Rural regions,No,0.18614,124,493,0.15174,0.22053
2000,Schleswig-Holstein,Urban regions,Yes,0.46682,154,289,0.40920,0.52444
2000,Schleswig-Holstein,Urban regions,No,0.36949,135,289,0.31374,0.42523
2000,Schleswig-Holstein,Rural regions,Yes,0.56140,273,415,0.51360,0.60920
2000,Schleswig-Holstein,Rural regions,No,0.25280,142,415,0.21093,0.29466
2000,Hamburg,Urban regions,Yes,0.60634,209,298,0.55077,0.66190
2000,Hamburg,Urban regions,No,0.25556,89,298,0.20595,0.30516
2000,Lower Saxony,Urban regions,Yes,0.53746,641,962,0.50594,0.56899
2000,Lower Saxony,Urban regions,No,0.27910,321,962,0.25074,0.30746
2000,Lower Saxony,Rural regions,Yes,0.55218,721,1055,0.52216,0.58220
2000,Lower Saxony,Rural regions,No,0.24029,334,1055,0.21450,0.26609
2000,Bremen,Urban regions,Yes,0.63291,138,186,0.56345,0.70237
2000,Bremen,Urban regions,No,0.21784,48,186,0.15836,0.27732
2000,North Rhine-Westphalia,Urban regions,Yes,0.56407,3316,4979,0.55030,0.57785
2000,North Rhine-Westphalia,Urban regions,No,0.26699,1663,4979,0.25470,0.27928
2000,North Rhine-Westphalia,Rural regions,Yes,0.41453,82,142,0.33321,0.49584
2000,North Rhine-Westphalia,Rural regions,No,0.32696,60,142,0.24952,0.40439
2000,Hesse,Urban regions,Yes,0.56280,897,1334,0.53617,0.58943
2000,Hesse,Urban regions,No,0.25674,437,1334,0.23329,0.28019
2000,Hesse,Rural regions,Yes,0.59871,243,331,0.54583,0.65160
2000,Hesse,Rural regions,No,0.21551,88,331,0.17115,0.25988
2000,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.56208,745,1099,0.53273,0.59142
2000,"Rhineland-Palatinate, Saarland",Urban regions,No,0.24828,354,1099,0.22273,0.27384
2000,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.53592,243,360,0.48434,0.58751
2000,"Rhineland-Palatinate, Saarland",Rural regions,No,0.24037,117,360,0.19617,0.28457
2000,Baden-Wuerttemberg,Urban regions,Yes,0.54782,1789,2645,0.52885,0.56679
2000,Baden-Wuerttemberg,Urban regions,No,0.25455,856,2645,0.23794,0.27115
2000,Baden-Wuerttemberg,Rural regions,Yes,0.52558,202,303,0.46926,0.58189
2000,Baden-Wuerttemberg,Rural regions,No,0.26731,101,303,0.21740,0.31723
2000,Bavaria,Urban regions,Yes,0.57326,1081,1616,0.54914,0.59738
2000,Bavaria,Urban regions,No,0.27458,535,1616,0.25281,0.29635
2000,Bavaria,Rural regions,Yes,0.56142,1178,1746,0.53814,0.58471
2000,Bavaria,Rural regions,No,0.25751,568,1746,0.23700,0.27803
2000,Berlin,Urban regions,Yes,0.54579,538,802,0.51131,0.58027
2000,Berlin,Urban regions,No,0.25842,264,802,0.22811,0.28874
2000,Brandenburg,Urban regions,Yes,0.64799,56,56,0.52177,0.77421
2000,Brandenburg,Rural regions,Yes,0.61702,683,947,0.58604,0.64800
2000,Brandenburg,Rural regions,No,0.24408,264,947,0.21670,0.27145
2000,Mecklenburg-Western Pomerania,Urban regions,Yes,0.62498,60,60,0.50145,0.74852
2000,Mecklenburg-Western Pomerania,Rural regions,Yes,0.62199,351,486,0.57883,0.66514
2000,Mecklenburg-Western Pomerania,Rural regions,No,0.22071,135,486,0.18380,0.25762
2000,Saxony,Urban regions,Yes,0.59886,583,829,0.56547,0.63224
2000,Saxony,Urban regions,No,0.23949,246,829,0.21042,0.26856
2000,Saxony,Rural regions,Yes,0.60224,658,934,0.57083,0.63364
2000,Saxony,Rural regions,No,0.22692,276,934,0.20004,0.25380
2000,Saxony-Anhalt,Urban regions,Yes,0.72827,166,206,0.66737,0.78917
2000,Saxony-Anhalt,Urban regions,No,0.18710,40,206,0.13372,0.24049
2000,Saxony-Anhalt,Rural regions,Yes,0.56397,556,854,0.53069,0.59725
2000,Saxony-Anhalt,Rural regions,No,0.30015,298,854,0.26940,0.33091
2000,Thuringa,Urban regions,Yes,0.59544,206,284,0.53825,0.65262
2000,Thuringa,Urban regions,No,0.22558,78,284,0.17688,0.27428
2000,Thuringa,Rural regions,Yes,0.60375,519,764,0.56904,0.63846
2000,Thuringa,Rural regions,No,0.25170,245,764,0.22091,0.28250
2001,Schleswig-Holstein,Urban regions,Yes,0.46970,144,273,0.41039,0.52902
2001,Schleswig-Holstein,Urban regions,No,0.34237,129,273,0.28598,0.39877
2001,Schleswig-Holstein,Rural regions,Yes,0.48993,214,370,0.43893,0.54094
2001,Schleswig-Holstein,Rural regions,No,0.33743,156,370,0.28919,0.38568
2001,Hamburg,Urban regions,Yes,0.59428,187,272,0.53582,0.65275
2001,Hamburg,Urban regions,No,0.26655,85,272,0.21391,0.31920
2001,Lower Saxony,Urban regions,Yes,0.57585,607,886,0.54329,0.60841
2001,Lower Saxony,Urban regions,No,0.24350,279,886,0.21523,0.27178
2001,Lower Saxony,Rural regions,Yes,0.56358,679,962,0.53222,0.59493
2001,Lower Saxony,Rural regions,No,0.23540,283,962,0.20857,0.26222
2001,Bremen,Urban regions,Yes,0.61101,111,157,0.53450,0.68751
2001,Bremen,Urban regions,No,0.25332,46,157,0.18507,0.32157
2001,North Rhine-Westphalia,Urban regions,Yes,0.57389,3044,4504,0.55944,0.58833
2001,North Rhine-Westphalia,Urban regions,No,0.25356,1460,4504,0.24085,0.26626
2001,North Rhine-Westphalia,Rural regions,Yes,0.41348,71,119,0.32463,0.50234
2001,North Rhine-Westphalia,Rural regions,No,0.30844,48,119,0.22511,0.39177
2001,Hesse,Urban regions,Yes,0.58083,827,1179,0.55266,0.60901
2001,Hesse,Urban regions,No,0.23915,352,1179,0.21479,0.26351
2001,Hesse,Rural regions,Yes,0.59871,221,301,0.54324,0.65417
2001,Hesse,Rural regions,No,0.21704,80,301,0.17039,0.26368
2001,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.54342,696,1022,0.51286,0.57397
2001,"Rhineland-Palatinate, Saarland",Urban regions,No,0.26070,326,1022,0.23377,0.28763
2001,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.54047,228,327,0.48637,0.59457
2001,"Rhineland-Palatinate, Saarland",Rural regions,No,0.21811,99,327,0.17328,0.26294
2001,Baden-Wuerttemberg,Urban regions,Yes,0.55133,1582,2338,0.53117,0.57150
2001,Baden-Wuerttemberg,Urban regions,No,0.24999,756,2338,0.23244,0.26755
2001,Baden-Wuerttemberg,Rural regions,Yes,0.53027,166,256,0.46901,0.59152
2001,Baden-Wuerttemberg,Rural regions,No,0.26280,90,256,0.20878,0.31683
2001,Bavaria,Urban regions,Yes,0.58367,1022,1473,0.55849,0.60885
2001,Bavaria,Urban regions,No,0.26097,451,1473,0.23853,0.28340
2001,Bavaria,Rural regions,Yes,0.58094,1074,1554,0.55640,0.60548
2001,Bavaria,Rural regions,No,0.24896,480,1554,0.22745,0.27046
2001,Berlin,Urban regions,Yes,0.54919,519,788,0.51442,0.58395
2001,Berlin,Urban regions,No,0.26372,269,788,0.23293,0.29450
2001,Brandenburg,Urban regions,Yes,0.67827,53,53,0.55130,0.80524
2001,Brandenburg,Rural regions,Yes,0.62662,655,884,0.59472,0.65853
2001,Brandenburg,Rural regions,No,0.23296,229,884,0.20508,0.26084
2001,Mecklenburg-Western Pomerania,Urban regions,Yes,0.62692,51,51,0.49287,0.76097
2001,Mecklenburg-Western Pomerania,Rural regions,Yes,0.63979,328,443,0.59503,0.68454
2001,Mecklenburg-Western Pomerania,Rural regions,No,0.20672,115,443,0.16897,0.24447
2001,Saxony,Urban regions,Yes,0.63331,578,785,0.59958,0.66704
2001,Saxony,Urban regions,No,0.21255,207,785,0.18391,0.24119
2001,Saxony,Rural regions,Yes,0.61362,598,848,0.58082,0.64641
2001,Saxony,Rural regions,No,0.23141,250,848,0.20300,0.25981
2001,Saxony-Anhalt,Urban regions,Yes,0.70671,145,187,0.64128,0.77214
2001,Saxony-Anhalt,Urban regions,No,0.22024,42,187,0.16069,0.27980
2001,Saxony-Anhalt,Rural regions,Yes,0.60346,570,813,0.56981,0.63711
2001,Saxony-Anhalt,Rural regions,No,0.25823,243,813,0.22813,0.28833
2001,Thuringa,Urban regions,Yes,0.62065,201,278,0.56351,0.67779
2001,Thuringa,Urban regions,No,0.22883,77,278,0.17936,0.27830
2001,Thuringa,Rural regions,Yes,0.61139,468,684,0.57484,0.64795
2001,Thuringa,Rural regions,No,0.25578,216,684,0.22306,0.28850
2002,Schleswig-Holstein,Urban regions,Yes,0.50822,177,306,0.45211,0.56432
2002,Schleswig-Holstein,Urban regions,No,0.32284,129,306,0.27036,0.37531
2002,Schleswig-Holstein,Rural regions,Yes,0.53378,268,406,0.48519,0.58236
2002,Schleswig-Holstein,Rural regions,No,0.28027,138,406,0.23653,0.32401
2002,Hamburg,Urban regions,Yes,0.56847,228,325,0.51454,0.62240
2002,Hamburg,Urban regions,No,0.30874,97,325,0.25844,0.35904
2002,Lower Saxony,Urban regions,Yes,0.59074,673,961,0.55964,0.62184
2002,Lower Saxony,Urban regions,No,0.24218,288,961,0.21508,0.26929
2002,Lower Saxony,Rural regions,Yes,0.52111,684,1013,0.49033,0.55189
2002,Lower Saxony,Rural regions,No,0.27276,329,1013,0.24532,0.30020
2002,Bremen,Urban regions,Yes,0.65102,127,172,0.57957,0.72246
2002,Bremen,Urban regions,No,0.21604,45,172,0.15435,0.27772
2002,North Rhine-Westphalia,Urban regions,Yes,0.56225,3126,4719,0.54810,0.57641
2002,North Rhine-Westphalia,Urban regions,No,0.26878,1593,4719,0.25613,0.28143
2002,North Rhine-Westphalia,Rural regions,Yes,0.34741,55,118,0.26113,0.43369
2002,North Rhine-Westphalia,Rural regions,No,0.38191,63,118,0.29387,0.46995
2002,Hesse,Urban regions,Yes,0.53150,896,1337,0.50474,0.55825
2002,Hesse,Urban regions,No,0.27968,441,1337,0.25562,0.30375
2002,Hesse,Rural regions,Yes,0.54375,212,302,0.48748,0.60002
2002,Hesse,Rural regions,No,0.27143,90,302,0.22119,0.32167
2002,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.51951,672,1036,0.48907,0.54995
2002,"Rhineland-Palatinate, Saarland",Urban regions,No,0.27992,364,1036,0.25257,0.30728
2002,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.52057,216,339,0.46731,0.57383
2002,"Rhineland-Palatinate, Saarland",Rural regions,No,0.27456,123,339,0.22698,0.32214
2002,Baden-Wuerttemberg,Urban regions,Yes,0.54565,1720,2536,0.52626,0.56503
2002,Baden-Wuerttemberg,Urban regions,No,0.26428,816,2536,0.24711,0.28144
2002,Baden-Wuerttemberg,Rural regions,Yes,0.50811,159,257,0.44687,0.56935
2002,Baden-Wuerttemberg,Rural regions,No,0.26132,98,257,0.20750,0.31515
