year,bula_h,regtyp,chronill,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2017,Saxony,Rural regions,No,0.34758,276,26349,0.34687,0.34828
2017,Saxony-Anhalt,Urban regions,Yes,0.69792,117,26349,0.69636,0.69948
2017,Saxony-Anhalt,Urban regions,No,0.30208,62,26349,0.30052,0.30364
2017,Saxony-Anhalt,Rural regions,Yes,0.70104,491,26349,0.70032,0.70176
2017,Saxony-Anhalt,Rural regions,No,0.29896,251,26349,0.29824,0.29968
2017,Thuringa,Urban regions,Yes,0.58284,185,26349,0.58151,0.58416
2017,Thuringa,Urban regions,No,0.41716,105,26349,0.41584,0.41849
2017,Thuringa,Rural regions,Yes,0.65439,437,26349,0.65355,0.65523
2017,Thuringa,Rural regions,No,0.34561,249,26349,0.34477,0.34645
2019,Schleswig-Holstein,Urban regions,Yes,0.54953,209,24934,0.54847,0.55058
2019,Schleswig-Holstein,Urban regions,No,0.45047,125,24934,0.44942,0.45153
2019,Schleswig-Holstein,Rural regions,Yes,0.69603,374,24934,0.69530,0.69675
2019,Schleswig-Holstein,Rural regions,No,0.30397,221,24934,0.30325,0.30470
2019,Hamburg,Urban regions,Yes,0.63803,301,24934,0.63727,0.63879
2019,Hamburg,Urban regions,No,0.36197,203,24934,0.36121,0.36273
2019,Lower Saxony,Urban regions,Yes,0.70991,650,24934,0.70937,0.71044
2019,Lower Saxony,Urban regions,No,0.29009,367,24934,0.28956,0.29063
2019,Lower Saxony,Rural regions,Yes,0.67688,912,24934,0.67641,0.67736
2019,Lower Saxony,Rural regions,No,0.32312,508,24934,0.32264,0.32359
2019,Bremen,Urban regions,Yes,0.61301,120,24934,0.61179,0.61424
2019,Bremen,Urban regions,No,0.38699,93,24934,0.38576,0.38821
2019,North Rhine-Westphalia,Urban regions,Yes,0.66510,3316,24934,0.66485,0.66535
2019,North Rhine-Westphalia,Urban regions,No,0.33490,1831,24934,0.33465,0.33515
2019,North Rhine-Westphalia,Rural regions,Yes,0.57255,62,24934,0.57073,0.57437
2019,North Rhine-Westphalia,Rural regions,No,0.42745,37,24934,0.42563,0.42927
2019,Hesse,Urban regions,Yes,0.65275,856,24934,0.65229,0.65321
2019,Hesse,Urban regions,No,0.34725,456,24934,0.34679,0.34771
2019,Hesse,Rural regions,Yes,0.78027,239,24934,0.77944,0.78110
2019,Hesse,Rural regions,No,0.21973,95,24934,0.21890,0.22056
2019,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.67646,673,24934,0.67592,0.67700
2019,"Rhineland-Palatinate, Saarland",Urban regions,No,0.32354,401,24934,0.32300,0.32408
2019,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.73295,220,24934,0.73203,0.73386
2019,"Rhineland-Palatinate, Saarland",Rural regions,No,0.26705,143,24934,0.26614,0.26797
2019,Baden-Wuerttemberg,Urban regions,Yes,0.65165,1558,24934,0.65132,0.65198
2019,Baden-Wuerttemberg,Urban regions,No,0.34835,888,24934,0.34802,0.34868
2019,Baden-Wuerttemberg,Rural regions,Yes,0.63295,175,24934,0.63190,0.63400
2019,Baden-Wuerttemberg,Rural regions,No,0.36705,100,24934,0.36600,0.36810
2019,Bavaria,Urban regions,Yes,0.66374,1084,24934,0.66331,0.66417
2019,Bavaria,Urban regions,No,0.33626,633,24934,0.33583,0.33669
2019,Bavaria,Rural regions,Yes,0.68656,1329,24934,0.68616,0.68696
2019,Bavaria,Rural regions,No,0.31344,788,24934,0.31304,0.31384
2019,Berlin,Urban regions,Yes,0.70909,644,24934,0.70856,0.70962
2019,Berlin,Urban regions,No,0.29091,299,24934,0.29038,0.29144
2019,Brandenburg,Urban regions,Yes,1.00000,65,24934,1.00000,1.00000
2019,Brandenburg,Rural regions,Yes,0.71787,692,24934,0.71722,0.71852
2019,Brandenburg,Rural regions,No,0.28213,306,24934,0.28148,0.28278
2019,Mecklenburg-Western Pomerania,Urban regions,Yes,0.59475,56,24934,0.59217,0.59734
2019,Mecklenburg-Western Pomerania,Urban regions,No,0.40525,38,24934,0.40266,0.40783
2019,Mecklenburg-Western Pomerania,Rural regions,Yes,0.76944,358,24934,0.76866,0.77021
2019,Mecklenburg-Western Pomerania,Rural regions,No,0.23056,139,24934,0.22979,0.23134
2019,Saxony,Urban regions,Yes,0.69519,570,24934,0.69452,0.69587
2019,Saxony,Urban regions,No,0.30481,277,24934,0.30413,0.30548
2019,Saxony,Rural regions,Yes,0.68141,512,24934,0.68071,0.68211
2019,Saxony,Rural regions,No,0.31859,239,24934,0.31789,0.31929
2019,Saxony-Anhalt,Urban regions,Yes,0.66950,126,24934,0.66788,0.67113
2019,Saxony-Anhalt,Urban regions,No,0.33050,60,24934,0.32887,0.33212
2019,Saxony-Anhalt,Rural regions,Yes,0.78086,496,24934,0.78019,0.78153
2019,Saxony-Anhalt,Rural regions,No,0.21914,182,24934,0.21847,0.21981
2019,Thuringa,Urban regions,Yes,0.56969,188,24934,0.56839,0.57099
2019,Thuringa,Urban regions,No,0.43031,97,24934,0.42901,0.43161
2019,Thuringa,Rural regions,Yes,0.68058,428,24934,0.67974,0.68142
2019,Thuringa,Rural regions,No,0.31942,195,24934,0.31858,0.32026
2021,Schleswig-Holstein,Urban regions,Yes,0.64908,196,19117,0.64803,0.65014
2021,Schleswig-Holstein,Urban regions,No,0.35092,133,19117,0.34986,0.35197
2021,Schleswig-Holstein,Rural regions,Yes,0.65138,289,19117,0.65068,0.65209
2021,Schleswig-Holstein,Rural regions,No,0.34862,207,19117,0.34791,0.34932
2021,Hamburg,Urban regions,Yes,0.73267,275,19117,0.73198,0.73336
2021,Hamburg,Urban regions,No,0.26733,175,19117,0.26664,0.26802
2021,Lower Saxony,Urban regions,Yes,0.65331,482,19117,0.65275,0.65388
2021,Lower Saxony,Urban regions,No,0.34669,360,19117,0.34612,0.34725
2021,Lower Saxony,Rural regions,Yes,0.68737,658,19117,0.68690,0.68784
2021,Lower Saxony,Rural regions,No,0.31263,381,19117,0.31216,0.31310
2021,Bremen,Urban regions,Yes,0.57329,83,19117,0.57203,0.57454
2021,Bremen,Urban regions,No,0.42671,68,19117,0.42546,0.42797
2021,North Rhine-Westphalia,Urban regions,Yes,0.69499,2513,19117,0.69476,0.69523
2021,North Rhine-Westphalia,Urban regions,No,0.30501,1504,19117,0.30477,0.30524
2021,North Rhine-Westphalia,Rural regions,Yes,0.59712,62,19117,0.59566,0.59858
2021,North Rhine-Westphalia,Rural regions,No,0.40288,33,19117,0.40142,0.40434
2021,Hesse,Urban regions,Yes,0.68721,673,19117,0.68677,0.68764
2021,Hesse,Urban regions,No,0.31279,416,19117,0.31236,0.31323
2021,Hesse,Rural regions,Yes,0.70482,145,19117,0.70392,0.70571
2021,Hesse,Rural regions,No,0.29518,89,19117,0.29429,0.29608
2021,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.68742,465,19117,0.68690,0.68794
2021,"Rhineland-Palatinate, Saarland",Urban regions,No,0.31258,303,19117,0.31206,0.31310
