year,quintil_oecd_hh,sampreg,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1998,3rd Quintile,West,Yes,0.76876,784,1036,0.74307,0.79445
1998,3rd Quintile,West,No,0.23124,252,1036,0.20555,0.25693
1998,3rd Quintile,East,Yes,0.50868,259,481,0.46395,0.55340
1998,3rd Quintile,East,No,0.49132,222,481,0.44660,0.53605
1998,4th Quintile,West,Yes,0.80343,892,1133,0.78028,0.82659
1998,4th Quintile,West,No,0.19657,241,1133,0.17341,0.21972
1998,4th Quintile,East,Yes,0.55269,207,361,0.50133,0.60405
1998,4th Quintile,East,No,0.44731,154,361,0.39595,0.49867
1998,5th Quintile,West,Yes,0.87321,986,1122,0.85373,0.89269
1998,5th Quintile,West,No,0.12679,136,1122,0.10731,0.14627
1998,5th Quintile,East,Yes,0.69616,118,177,0.62821,0.76410
1998,5th Quintile,East,No,0.30384,59,177,0.23590,0.37179
1999,1st Quintile,West,Yes,0.60286,610,1017,0.57277,0.63295
1999,1st Quintile,West,No,0.39714,407,1017,0.36705,0.42723
1999,1st Quintile,East,Yes,0.48832,238,468,0.44299,0.53366
1999,1st Quintile,East,No,0.51168,230,468,0.46634,0.55701
1999,2nd Quintile,West,Yes,0.72140,693,979,0.69330,0.74949
1999,2nd Quintile,West,No,0.27860,286,979,0.25051,0.30670
1999,2nd Quintile,East,Yes,0.49392,264,519,0.45087,0.53698
1999,2nd Quintile,East,No,0.50608,255,519,0.46302,0.54913
1999,3rd Quintile,West,Yes,0.81317,801,1011,0.78913,0.83720
1999,3rd Quintile,West,No,0.18683,210,1011,0.16280,0.21087
1999,3rd Quintile,East,Yes,0.50447,242,459,0.45868,0.55026
1999,3rd Quintile,East,No,0.49553,217,459,0.44974,0.54132
1999,4th Quintile,West,Yes,0.79773,860,1082,0.77378,0.82167
1999,4th Quintile,West,No,0.20227,222,1082,0.17833,0.22622
1999,4th Quintile,East,Yes,0.59751,177,293,0.54126,0.65376
1999,4th Quintile,East,No,0.40249,116,293,0.34624,0.45874
1999,5th Quintile,West,Yes,0.87035,941,1075,0.85026,0.89044
1999,5th Quintile,West,No,0.12965,134,1075,0.10956,0.14974
1999,5th Quintile,East,Yes,0.77219,115,154,0.70573,0.83865
1999,5th Quintile,East,No,0.22781,39,154,0.16135,0.29427
2000,1st Quintile,West,Yes,0.62142,1103,1779,0.59887,0.64396
2000,1st Quintile,West,No,0.37858,676,1779,0.35604,0.40113
2000,1st Quintile,East,Yes,0.44222,332,728,0.40612,0.47832
2000,1st Quintile,East,No,0.55778,396,728,0.52168,0.59388
2000,2nd Quintile,West,Yes,0.70928,1307,1845,0.68856,0.73001
2000,2nd Quintile,West,No,0.29072,538,1845,0.26999,0.31144
2000,2nd Quintile,East,Yes,0.50558,423,821,0.47136,0.53980
2000,2nd Quintile,East,No,0.49442,398,821,0.46020,0.52864
2000,3rd Quintile,West,Yes,0.76453,1483,1879,0.74534,0.78372
2000,3rd Quintile,West,No,0.23547,396,1879,0.21628,0.25466
2000,3rd Quintile,East,Yes,0.50560,399,740,0.46956,0.54165
2000,3rd Quintile,East,No,0.49440,341,740,0.45835,0.53044
2000,4th Quintile,West,Yes,0.82578,1764,2112,0.80960,0.84196
2000,4th Quintile,West,No,0.17422,348,2112,0.15804,0.19040
2000,4th Quintile,East,Yes,0.57239,279,468,0.52751,0.61726
2000,4th Quintile,East,No,0.42761,189,468,0.38274,0.47249
2000,5th Quintile,West,Yes,0.89744,1942,2144,0.88459,0.91028
2000,5th Quintile,West,No,0.10256,202,2144,0.08972,0.11541
2000,5th Quintile,East,Yes,0.73143,184,258,0.67724,0.78562
2000,5th Quintile,East,No,0.26857,74,258,0.21438,0.32276
2001,1st Quintile,West,Yes,0.60685,931,1513,0.58223,0.63147
2001,1st Quintile,West,No,0.39315,582,1513,0.36853,0.41777
2001,1st Quintile,East,Yes,0.44795,304,659,0.40995,0.48595
2001,1st Quintile,East,No,0.55205,355,659,0.51405,0.59005
2001,2nd Quintile,West,Yes,0.73589,1226,1653,0.71463,0.75715
2001,2nd Quintile,West,No,0.26411,427,1653,0.24285,0.28537
2001,2nd Quintile,East,Yes,0.49421,389,767,0.45881,0.52962
2001,2nd Quintile,East,No,0.50579,378,767,0.47038,0.54119
2001,3rd Quintile,West,Yes,0.79176,1388,1735,0.77265,0.81087
2001,3rd Quintile,West,No,0.20824,347,1735,0.18913,0.22735
2001,3rd Quintile,East,Yes,0.55704,383,661,0.51914,0.59494
2001,3rd Quintile,East,No,0.44296,278,661,0.40506,0.48086
2001,4th Quintile,West,Yes,0.83520,1609,1900,0.81851,0.85188
2001,4th Quintile,West,No,0.16480,291,1900,0.14812,0.18149
2001,4th Quintile,East,Yes,0.58870,268,448,0.54308,0.63432
2001,4th Quintile,East,No,0.41130,180,448,0.36568,0.45692
2001,5th Quintile,West,Yes,0.89100,1727,1910,0.87702,0.90498
2001,5th Quintile,West,No,0.10900,183,1910,0.09502,0.12298
2001,5th Quintile,East,Yes,0.67780,170,244,0.61904,0.73656
2001,5th Quintile,East,No,0.32220,74,244,0.26344,0.38096
2002,1st Quintile,West,Yes,0.62055,856,1390,0.59503,0.64607
2002,1st Quintile,West,No,0.37945,534,1390,0.35393,0.40497
2002,1st Quintile,East,Yes,0.44769,288,636,0.40902,0.48637
2002,1st Quintile,East,No,0.55231,348,636,0.51363,0.59098
2002,2nd Quintile,West,Yes,0.73952,1126,1508,0.71736,0.76168
2002,2nd Quintile,West,No,0.26048,382,1508,0.23832,0.28264
2002,2nd Quintile,East,Yes,0.54279,379,683,0.50540,0.58018
2002,2nd Quintile,East,No,0.45721,304,683,0.41982,0.49460
2002,3rd Quintile,West,Yes,0.80397,1317,1626,0.78466,0.82327
2002,3rd Quintile,West,No,0.19603,309,1626,0.17673,0.21534
2002,3rd Quintile,East,Yes,0.58317,345,597,0.54358,0.62275
2002,3rd Quintile,East,No,0.41683,252,597,0.37725,0.45642
2002,4th Quintile,West,Yes,0.82192,1546,1836,0.80441,0.83942
2002,4th Quintile,West,No,0.17808,290,1836,0.16058,0.19559
2002,4th Quintile,East,Yes,0.53564,292,500,0.49188,0.57940
2002,4th Quintile,East,No,0.46436,208,500,0.42060,0.50812
2002,5th Quintile,West,Yes,0.89947,2610,2841,0.88841,0.91053
2002,5th Quintile,West,No,0.10053,231,2841,0.08947,0.11159
2002,5th Quintile,East,Yes,0.68372,260,345,0.63458,0.73287
2002,5th Quintile,East,No,0.31628,85,345,0.26713,0.36542
2003,1st Quintile,West,Yes,0.62488,878,1391,0.59943,0.65033
2003,1st Quintile,West,No,0.37512,513,1391,0.34967,0.40057
2003,1st Quintile,East,Yes,0.46265,279,596,0.42259,0.50272
2003,1st Quintile,East,No,0.53735,317,596,0.49728,0.57741
2003,2nd Quintile,West,Yes,0.74996,1090,1449,0.72765,0.77226
2003,2nd Quintile,West,No,0.25004,359,1449,0.22774,0.27235
2003,2nd Quintile,East,Yes,0.49763,362,704,0.46067,0.53459
2003,2nd Quintile,East,No,0.50237,342,704,0.46541,0.53933
2003,3rd Quintile,West,Yes,0.79294,1263,1564,0.77285,0.81303
2003,3rd Quintile,West,No,0.20706,301,1564,0.18697,0.22715
2003,3rd Quintile,East,Yes,0.60900,368,613,0.57033,0.64766
2003,3rd Quintile,East,No,0.39100,245,613,0.35234,0.42967
2003,4th Quintile,West,Yes,0.83138,1507,1771,0.81394,0.84883
2003,4th Quintile,West,No,0.16862,264,1771,0.15117,0.18606
2003,4th Quintile,East,Yes,0.58756,288,461,0.54258,0.63255
2003,4th Quintile,East,No,0.41244,173,461,0.36745,0.45742
2003,5th Quintile,West,Yes,0.89650,2440,2647,0.88490,0.90811
2003,5th Quintile,West,No,0.10350,207,2647,0.09189,0.11510
2003,5th Quintile,East,Yes,0.75462,272,348,0.70934,0.79989
2003,5th Quintile,East,No,0.24538,76,348,0.20011,0.29066
2004,1st Quintile,West,Yes,0.62553,827,1300,0.59921,0.65185
2004,1st Quintile,West,No,0.37447,473,1300,0.34815,0.40079
2004,1st Quintile,East,Yes,0.47160,283,590,0.43128,0.51191
