year,age_gr,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2005,0-16 y.,male,,,,,,,,,,,,
2005,0-16 y.,female,,,,,,,,,,,,
2005,17-29 y.,male,845,37.68650,36.94073,38.29318,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,41.00000
2005,17-29 y.,female,862,34.96761,34.10660,35.87070,35.00000,38.50000,40.00000,27.50000,47.50000,38.5,38.50000,38.50000
2005,30-45 y.,male,2059,38.60100,38.37164,38.89762,37.50000,39.00000,40.00000,33.75000,43.75000,39.0,38.50000,39.00000
2005,30-45 y.,female,1889,29.40024,28.81770,30.00443,20.00000,30.80000,38.50000,1.5,60.0,30.8,26.60000,31.60000
2005,46-65 y.,male,1771,38.14376,37.81755,38.46753,37.50000,39.00000,40.00000,33.75000,43.75000,39.0,38.48750,39.50000
2005,46-65 y.,female,1614,29.61882,28.96561,30.26367,20.00000,32.00000,38.50000,1.0,56.0,32.0,29.00000,34.00000
2005,66 and older,male,,,,,,,,,,,,
2005,66 and older,female,,,,,,,,,,,,
2006,0-16 y.,male,,,,,,,,,,,,
2006,0-16 y.,female,,,,,,,,,,,,
2006,17-29 y.,male,852,37.68932,37.21660,38.22865,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
2006,17-29 y.,female,876,34.93808,34.12331,35.63757,35.00000,38.50000,40.00000,27.50000,47.50000,38.5,38.50000,38.50000
2006,30-45 y.,male,2093,38.57757,38.36521,38.86339,38.00000,39.00000,40.00000,35.00000,43.00000,39.0,38.00000,39.00000
2006,30-45 y.,female,1924,28.78657,28.23015,29.41565,20.00000,30.00000,38.50000,2.0,66.25000,30.0,28.00000,30.00000
2006,46-65 y.,male,1860,38.11382,37.82873,38.43053,37.50000,39.00000,40.00000,33.75000,43.75000,39.0,38.00000,39.50000
2006,46-65 y.,female,1820,29.47545,28.80439,30.07116,20.00000,32.00000,38.50000,1.0,60.0,32.0,29.00000,34.00000
2006,66 and older,male,,,,,,,,,,,,
2006,66 and older,female,,,,,,,,,,,,
2007,0-16 y.,male,,,,,,,,,,,,
2007,0-16 y.,female,,,,,,,,,,,,
2007,17-29 y.,male,842,37.46647,36.83337,38.19475,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
2007,17-29 y.,female,810,34.42672,33.52860,35.33573,35.00000,39.00000,40.00000,27.50000,47.50000,39.0,39.00000,39.50000
2007,30-45 y.,male,1966,38.75255,38.46359,39.01850,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
2007,30-45 y.,female,1859,29.02517,28.38823,29.65095,20.00000,30.00000,39.00000,2.0,58.0,30.0,25.97500,30.00000
2007,46-65 y.,male,1815,38.54491,38.24066,38.85913,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.51250
2007,46-65 y.,female,1795,29.45916,28.77098,30.29343,20.00000,32.00000,38.50000,2.5,60.0,32.0,30.98750,34.00000
2007,66 and older,male,,,,,,,,,,,,
2007,66 and older,female,,,,,,,,,,,,
2008,0-16 y.,male,,,,,,,,,,,,
2008,0-16 y.,female,,,,,,,,,,,,
2008,17-29 y.,male,786,37.36695,36.57565,38.19656,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
2008,17-29 y.,female,742,34.66981,33.88332,35.38096,35.00000,38.69850,40.00000,27.50000,47.50000,38.7,38.40000,38.90000
