year,age_gr,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,30-45 y.,"In the distant future, in more than five years",0.00694,161,2572,0.00373,0.01014
2017,46-65 y.,As soon as possible,0.02923,515,1074,0.01915,0.03930
2017,46-65 y.,Next year,0.02104,333,1074,0.01246,0.02963
2017,46-65 y.,In the next 2 to 5 years,0.01116,170,1074,0.00487,0.01744
2017,46-65 y.,"In the distant future, in more than five years",0.00480,56,1074,0.00067,0.00894
2018,17-29 y.,As soon as possible,0.06443,538,2214,0.05421,0.07466
2018,17-29 y.,Next year,0.07887,606,2214,0.06764,0.09010
2018,17-29 y.,In the next 2 to 5 years,0.10806,859,2214,0.09512,0.12099
2018,17-29 y.,"In the distant future, in more than five years",0.02422,211,2214,0.01781,0.03062
2018,30-45 y.,As soon as possible,0.04545,821,2260,0.03686,0.05404
2018,30-45 y.,Next year,0.05300,727,2260,0.04376,0.06224
2018,30-45 y.,In the next 2 to 5 years,0.03307,584,2260,0.02569,0.04044
2018,30-45 y.,"In the distant future, in more than five years",0.00640,128,2260,0.00311,0.00968
2018,46-65 y.,As soon as possible,0.02898,494,1044,0.01880,0.03916
2018,46-65 y.,Next year,0.01877,305,1044,0.01054,0.02701
2018,46-65 y.,In the next 2 to 5 years,0.01029,187,1044,0.00416,0.01641
2018,46-65 y.,"In the distant future, in more than five years",0.00364,58,1044,-0.00002,0.00729
2019,17-29 y.,As soon as possible,0.06135,440,1774,0.05018,0.07252
2019,17-29 y.,Next year,0.06643,448,1774,0.05484,0.07802
2019,17-29 y.,In the next 2 to 5 years,0.10936,700,1774,0.09483,0.12389
2019,17-29 y.,"In the distant future, in more than five years",0.02781,186,1774,0.02015,0.03546
2019,30-45 y.,As soon as possible,0.03897,658,1902,0.03027,0.04767
2019,30-45 y.,Next year,0.05549,654,1902,0.04520,0.06578
2019,30-45 y.,In the next 2 to 5 years,0.03037,491,1902,0.02266,0.03809
2019,30-45 y.,"In the distant future, in more than five years",0.00590,99,1902,0.00246,0.00934
2019,46-65 y.,As soon as possible,0.02512,443,942,0.01512,0.03512
2019,46-65 y.,Next year,0.01666,296,942,0.00848,0.02484
2019,46-65 y.,In the next 2 to 5 years,0.01045,150,942,0.00395,0.01695
2019,46-65 y.,"In the distant future, in more than five years",0.00339,53,942,-0.00032,0.00711
2020,17-29 y.,As soon as possible,0.06020,519,1926,0.04957,0.07082
2020,17-29 y.,Next year,0.08421,492,1926,0.07181,0.09662
2020,17-29 y.,In the next 2 to 5 years,0.10963,729,1926,0.09567,0.12359
2020,17-29 y.,"In the distant future, in more than five years",0.01920,186,1926,0.01307,0.02532
2020,30-45 y.,As soon as possible,0.04415,787,1980,0.03510,0.05320
2020,30-45 y.,Next year,0.04433,564,1980,0.03527,0.05340
2020,30-45 y.,In the next 2 to 5 years,0.03119,527,1980,0.02353,0.03885
2020,30-45 y.,"In the distant future, in more than five years",0.00839,102,1980,0.00437,0.01241
2020,46-65 y.,As soon as possible,0.02603,496,997,0.01614,0.03592
2020,46-65 y.,Next year,0.02009,289,997,0.01138,0.02881
2020,46-65 y.,In the next 2 to 5 years,0.00947,160,997,0.00345,0.01548
2020,46-65 y.,"In the distant future, in more than five years",0.00443,52,997,0.00031,0.00855
2021,17-29 y.,As soon as possible,0.05680,269,1169,0.04353,0.07008
2021,17-29 y.,Next year,0.08605,334,1169,0.06997,0.10213
2021,17-29 y.,In the next 2 to 5 years,0.10435,423,1169,0.08682,0.12189
2021,17-29 y.,"In the distant future, in more than five years",0.02450,143,1169,0.01564,0.03337
2021,30-45 y.,As soon as possible,0.03882,393,1139,0.02760,0.05004
2021,30-45 y.,Next year,0.05187,374,1139,0.03899,0.06476
2021,30-45 y.,In the next 2 to 5 years,0.03105,296,1139,0.02098,0.04113
2021,30-45 y.,"In the distant future, in more than five years",0.00473,76,1139,0.00074,0.00871
2021,46-65 y.,As soon as possible,0.02183,279,660,0.01067,0.03298
2021,46-65 y.,Next year,0.02576,222,660,0.01367,0.03786
2021,46-65 y.,In the next 2 to 5 years,0.00724,106,660,0.00077,0.01371
2021,46-65 y.,"In the distant future, in more than five years",0.00476,53,660,-0.00049,0.01002
