year,sampreg,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,East,Technical School Degree,0.03120,167,5468,0.02659,0.03581
2016,East,Upper Secondary Degree,0.17018,1106,5468,0.16022,0.18014
2016,East,Other Degree,0.03841,584,5468,0.03332,0.04351
2016,East,"Dropout, No School Degree",0.00971,172,5468,0.00711,0.01230
2016,East,No School Degree Yet,0.01015,137,5468,0.00749,0.01280
2016,East,No School Attended,0.00053,69,5468,-0.00008,0.00114
2017,West,Secondary School Degree,0.23922,5104,23918,0.23381,0.24463
2017,West,Intermediate School Degree,0.20173,5133,23918,0.19664,0.20681
2017,West,Technical School Degree,0.05890,1508,23918,0.05592,0.06189
2017,West,Upper Secondary Degree,0.18321,4957,23918,0.17831,0.18812
2017,West,Other Degree,0.09311,4711,23918,0.08943,0.09679
2017,West,"Dropout, No School Degree",0.01898,1317,23918,0.01725,0.02071
2017,West,No School Degree Yet,0.01786,865,23918,0.01618,0.01953
2017,West,No School Attended,0.00046,323,23918,0.00019,0.00073
2017,East,Secondary School Degree,0.17689,1023,6079,0.16730,0.18649
2017,East,Intermediate School Degree,0.38262,2537,6079,0.37040,0.39484
2017,East,Technical School Degree,0.02995,185,6079,0.02566,0.03423
2017,East,Upper Secondary Degree,0.17691,1267,6079,0.16732,0.18651
2017,East,Other Degree,0.03559,628,6079,0.03093,0.04025
2017,East,"Dropout, No School Degree",0.01163,206,6079,0.00894,0.01433
2017,East,No School Degree Yet,0.01324,161,6079,0.01037,0.01612
2017,East,No School Attended,0.00070,72,6079,0.00003,0.00136
2018,West,Secondary School Degree,0.23470,4851,22587,0.22917,0.24023
2018,West,Intermediate School Degree,0.20028,4891,22587,0.19506,0.20549
2018,West,Technical School Degree,0.06087,1475,22587,0.05776,0.06399
2018,West,Upper Secondary Degree,0.18814,4836,22587,0.18304,0.19324
2018,West,Other Degree,0.09391,4272,22587,0.09010,0.09771
2018,West,"Dropout, No School Degree",0.01922,1296,22587,0.01743,0.02101
2018,West,No School Degree Yet,0.01419,707,22587,0.01265,0.01573
2018,West,No School Attended,0.00044,259,22587,0.00017,0.00072
2018,East,Secondary School Degree,0.16580,986,5916,0.15632,0.17527
2018,East,Intermediate School Degree,0.38635,2512,5916,0.37394,0.39876
2018,East,Technical School Degree,0.03151,181,5916,0.02706,0.03596
2018,East,Upper Secondary Degree,0.18240,1245,5916,0.17256,0.19224
2018,East,Other Degree,0.03760,593,5916,0.03275,0.04245
2018,East,"Dropout, No School Degree",0.01033,189,5916,0.00776,0.01291
2018,East,No School Degree Yet,0.01755,150,5916,0.01420,0.02089
2018,East,No School Attended,0.00063,60,5916,-0.00001,0.00127
2019,West,Secondary School Degree,0.22429,4561,22309,0.21881,0.22976
2019,West,Intermediate School Degree,0.20197,5020,22309,0.19670,0.20724
2019,West,Technical School Degree,0.06021,1584,22309,0.05709,0.06333
2019,West,Upper Secondary Degree,0.19372,5346,22309,0.18854,0.19891
2019,West,Other Degree,0.09348,3736,22309,0.08966,0.09730
2019,West,"Dropout, No School Degree",0.01971,1170,22309,0.01788,0.02153
2019,West,No School Degree Yet,0.01321,581,22309,0.01171,0.01471
2019,West,No School Attended,0.00066,311,22309,0.00032,0.00100
2019,East,Secondary School Degree,0.15966,872,5850,0.15027,0.16904
2019,East,Intermediate School Degree,0.38676,2529,5850,0.37428,0.39924
2019,East,Technical School Degree,0.03210,180,5850,0.02759,0.03662
2019,East,Upper Secondary Degree,0.18531,1446,5850,0.17535,0.19526
2019,East,Other Degree,0.03759,499,5850,0.03271,0.04246
2019,East,"Dropout, No School Degree",0.00941,153,5850,0.00694,0.01188
2019,East,No School Degree Yet,0.01407,116,5850,0.01105,0.01709
2019,East,No School Attended,0.00053,55,5850,-0.00006,0.00113
2020,West,Secondary School Degree,0.22130,4140,22611,0.21589,0.22671
2020,West,Intermediate School Degree,0.20272,4655,22611,0.19748,0.20796
2020,West,Technical School Degree,0.06086,1495,22611,0.05774,0.06398
2020,West,Upper Secondary Degree,0.20022,5115,22611,0.19500,0.20543
2020,West,Other Degree,0.08535,4930,22611,0.08171,0.08899
2020,West,"Dropout, No School Degree",0.01755,1238,22611,0.01584,0.01926
2020,West,No School Degree Yet,0.01442,662,22611,0.01287,0.01598
2020,West,No School Attended,0.00093,376,22611,0.00053,0.00133
2020,East,Secondary School Degree,0.15181,788,5692,0.14249,0.16113
2020,East,Intermediate School Degree,0.38266,2321,5692,0.37003,0.39529
2020,East,Technical School Degree,0.03215,168,5692,0.02757,0.03674
2020,East,Upper Secondary Degree,0.19424,1363,5692,0.18396,0.20452
2020,East,Other Degree,0.03628,662,5692,0.03142,0.04114
2020,East,"Dropout, No School Degree",0.00750,137,5692,0.00526,0.00974
2020,East,No School Degree Yet,0.01866,153,5692,0.01514,0.02217
2020,East,No School Attended,0.00134,100,5692,0.00039,0.00229
2021,West,Secondary School Degree,0.20874,2636,14961,0.20223,0.21525
2021,West,Intermediate School Degree,0.19196,3162,14961,0.18565,0.19828
2021,West,Technical School Degree,0.06500,1107,14961,0.06105,0.06895
2021,West,Upper Secondary Degree,0.21611,4009,14961,0.20951,0.22271
2021,West,Other Degree,0.08234,2711,14961,0.07793,0.08674
2021,West,"Dropout, No School Degree",0.01586,706,14961,0.01385,0.01786
2021,West,No School Degree Yet,0.01274,392,14961,0.01094,0.01453
2021,West,No School Attended,0.00131,238,14961,0.00073,0.00189
2021,East,Secondary School Degree,0.13796,492,3813,0.12701,0.14891
2021,East,Intermediate School Degree,0.36252,1570,3813,0.34726,0.37778
2021,East,Technical School Degree,0.03848,130,3813,0.03237,0.04459
2021,East,Upper Secondary Degree,0.21605,1040,3813,0.20298,0.22911
2021,East,Other Degree,0.03441,350,3813,0.02862,0.04019
2021,East,"Dropout, No School Degree",0.00710,87,3813,0.00444,0.00977
2021,East,No School Degree Yet,0.01515,102,3813,0.01127,0.01902
2021,East,No School Attended,0.00154,42,3813,0.00029,0.00278
