"year","bildungsniveau","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2018","(Fach-)Abitur","Laendlicher Raum","6.87","6.5","1086","6.75","6.99"
"2018","(Fach-)Abitur","Staedtischer Raum","6.9","6.5","2852","6.82","6.98"
"2018","(noch) kein Abschluss","Laendlicher Raum","6.25","5.5","225","5.92","6.58"
"2018","(noch) kein Abschluss","Staedtischer Raum","6.2","5.5","613","5.99","6.41"
"2018","AkademikerIn","Laendlicher Raum","7.28","7.5","1750","7.19","7.37"
"2018","AkademikerIn","Staedtischer Raum","7.46","7.5","4564","7.4","7.52"
"2018","Hauptschule","Laendlicher Raum","6.51","6.5","2599","6.42","6.6"
"2018","Hauptschule","Staedtischer Raum","6.6","6.5","4133","6.53","6.67"
"2018","Realschule","Laendlicher Raum","6.61","6.5","2939","6.53","6.69"
"2018","Realschule","Staedtischer Raum","6.88","6.5","3675","6.81","6.95"
"2019","(Fach-)Abitur","Laendlicher Raum","7.13","7.5","1087","7.01","7.25"
"2019","(Fach-)Abitur","Staedtischer Raum","7.11","6.5","2864","7.03","7.19"
"2019","(noch) kein Abschluss","Laendlicher Raum","6.19","6.5","194","5.84","6.54"
"2019","(noch) kein Abschluss","Staedtischer Raum","6.16","5.5","529","5.94","6.38"
"2019","AkademikerIn","Laendlicher Raum","7.54","7.5","1903","7.46","7.62"
"2019","AkademikerIn","Staedtischer Raum","7.68","7.5","4932","7.63","7.73"
"2019","Hauptschule","Laendlicher Raum","6.63","6.5","2382","6.54","6.72"
"2019","Hauptschule","Staedtischer Raum","6.8","6.5","3714","6.73","6.87"
"2019","Realschule","Laendlicher Raum","6.87","6.5","2934","6.79","6.95"
"2019","Realschule","Staedtischer Raum","7.05","6.5","3636","6.98","7.12"
"2020","(Fach-)Abitur","Laendlicher Raum","7","6.5","1161","6.88","7.12"
"2020","(Fach-)Abitur","Staedtischer Raum","7.07","6.5","3215","7","7.14"
"2020","(noch) kein Abschluss","Laendlicher Raum","6.21","5.5","246","5.89","6.53"
"2020","(noch) kein Abschluss","Staedtischer Raum","6.25","6.5","611","6.05","6.45"
"2020","AkademikerIn","Laendlicher Raum","7.64","7.5","1911","7.56","7.72"
"2020","AkademikerIn","Staedtischer Raum","7.6","7.5","5229","7.55","7.65"
"2020","Hauptschule","Laendlicher Raum","6.62","6.5","2287","6.53","6.71"
"2020","Hauptschule","Staedtischer Raum","6.68","6.5","3589","6.61","6.75"
"2020","Realschule","Laendlicher Raum","6.92","6.5","2729","6.84","7"
"2020","Realschule","Staedtischer Raum","6.99","6.5","3425","6.92","7.06"
