"year","alter_gr","sampreg","mean","median","n","lower_confidence","upper_confidence"
"2009","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","5.21","5","2380","5.11","5.31"
"2009","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.24","7","7456","6.19","6.29"
"2009","66 und älter","Ostdeutschland, neue Bundeslaender","6.08","6","1112","5.96","6.2"
"2009","66 und älter","Westdeutschland, alte Bundeslaender","6.56","7","3049","6.48","6.64"
"2010","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","5.8","6","1521","5.68","5.92"
"2010","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.29","7","4892","6.22","6.36"
"2010","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","5.46","6","2851","5.37","5.55"
"2010","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.24","7","10457","6.19","6.29"
"2010","66 und älter","Ostdeutschland, neue Bundeslaender","6.12","7","1061","6","6.24"
"2010","66 und älter","Westdeutschland, alte Bundeslaender","6.73","7","2971","6.66","6.8"
"2011","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","5.85","6","1438","5.72","5.98"
"2011","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.57","7","4711","6.5","6.64"
"2011","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","5.64","6","3188","5.55","5.73"
"2011","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.48","7","11776","6.44","6.52"
"2011","66 und älter","Ostdeutschland, neue Bundeslaender","6.19","6","1129","6.08","6.3"
"2011","66 und älter","Westdeutschland, alte Bundeslaender","6.69","7","3348","6.62","6.76"
"2012","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","6.03","6","1336","5.9","6.16"
"2012","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.6","7","4561","6.54","6.66"
"2012","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","5.73","6","3341","5.65","5.81"
"2012","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.58","7","12054","6.54","6.62"
"2012","66 und älter","Ostdeutschland, neue Bundeslaender","6.29","6","1246","6.18","6.4"
"2012","66 und älter","Westdeutschland, alte Bundeslaender","6.83","7","3663","6.76","6.9"
"2013","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","6.07","7","1322","5.94","6.2"
"2013","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.67","7","6348","6.61","6.73"
"2013","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","5.94","6","3520","5.86","6.02"
"2013","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.67","7","14181","6.63","6.71"
"2013","66 und älter","Ostdeutschland, neue Bundeslaender","6.45","7","1242","6.34","6.56"
"2013","66 und älter","Westdeutschland, alte Bundeslaender","6.94","7","3808","6.87","7.01"
"2014","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","6.12","7","1148","5.98","6.26"
"2014","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.69","7","5170","6.63","6.75"
"2014","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","6.02","7","3181","5.94","6.1"
"2014","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.64","7","12360","6.6","6.68"
"2014","66 und älter","Ostdeutschland, neue Bundeslaender","6.49","7","1224","6.38","6.6"
"2014","66 und älter","Westdeutschland, alte Bundeslaender","6.99","7","3727","6.92","7.06"
"2015","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","6.18","7","1009","6.04","6.32"
"2015","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.83","7","4486","6.77","6.89"
"2015","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","6.16","7","2985","6.08","6.24"
"2015","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.76","7","11400","6.72","6.8"
"2015","66 und älter","Ostdeutschland, neue Bundeslaender","6.73","7","1234","6.63","6.83"
"2015","66 und älter","Westdeutschland, alte Bundeslaender","7.13","8","3680","7.06","7.2"
"2016","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","6.17","6.46","939","6.02","6.32"
"2016","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","6.86","7","4425","6.79","6.93"
"2016","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","6.36","7","2885","6.28","6.44"
"2016","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.83","7","10974","6.79","6.87"
"2016","66 und älter","Ostdeutschland, neue Bundeslaender","6.77","7","1177","6.67","6.87"
"2016","66 und älter","Westdeutschland, alte Bundeslaender","7.19","8","3547","7.12","7.26"
"2017","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","6.22","7","1071","6.08","6.36"
