"hlf0071_h","year","quintil","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Viel zu klein","2001","3","Laendlicher Raum","13","","",""
"Viel zu klein","2001","4","Staedtischer Raum","53","0.0137817127850294","0.0098034354427865","0.0177599901272724"
"Viel zu klein","2001","4","Laendlicher Raum","3","","",""
"Viel zu klein","2001","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Viel zu klein","2001","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Etwas zu klein","2001","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Etwas zu klein","2001","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Etwas zu klein","2001","2","Staedtischer Raum","889","0.187237981333292","0.176026742704382","0.198449219962203"
"Etwas zu klein","2001","2","Laendlicher Raum","421","0.133552308643733","0.121297709497368","0.145806907790097"
"Etwas zu klein","2001","3","Staedtischer Raum","639","0.153153516283388","0.142228107407806","0.164078925158969"
"Etwas zu klein","2001","3","Laendlicher Raum","222","0.100308388675485","0.087450657590183","0.113166119760788"
"Etwas zu klein","2001","4","Staedtischer Raum","496","0.151787614079206","0.139543498925296","0.164031729233117"
"Etwas zu klein","2001","4","Laendlicher Raum","157","0.143768573805708","0.124761912671365","0.162775234940051"
"Etwas zu klein","2001","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Etwas zu klein","2001","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Gerade richtig","2001","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Gerade richtig","2001","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Gerade richtig","2001","2","Staedtischer Raum","3327","0.710578186823958","0.697545124051787","0.723611249596129"
"Gerade richtig","2001","2","Laendlicher Raum","2280","0.768550079207972","0.753356264017681","0.783743894398263"
"Gerade richtig","2001","3","Staedtischer Raum","3155","0.742732775712556","0.729471649952905","0.755993901472207"
"Gerade richtig","2001","3","Laendlicher Raum","1626","0.765725407556265","0.747597486546481","0.783853328566049"
"Gerade richtig","2001","4","Staedtischer Raum","2455","0.735613848425265","0.720565070507527","0.750662626343003"
"Gerade richtig","2001","4","Laendlicher Raum","971","0.711461464493466","0.686916869496751","0.73600605949018"
"Gerade richtig","2001","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Gerade richtig","2001","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Etwas zu gross","2001","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Etwas zu gross","2001","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Etwas zu gross","2001","2","Staedtischer Raum","249","0.0638336120891971","0.0568081296362672","0.0708590945421271"
"Etwas zu gross","2001","2","Laendlicher Raum","203","0.0776364153570359","0.0679962152885671","0.0872766154255047"
"Etwas zu gross","2001","3","Staedtischer Raum","272","0.0749036094689872","0.0669178406256397","0.0828893783123347"
"Etwas zu gross","2001","3","Laendlicher Raum","214","0.117462093534304","0.103681610893007","0.131242576175601"
"Etwas zu gross","2001","4","Staedtischer Raum","277","0.0914557227848303","0.0816193399102094","0.101292105659451"
"Etwas zu gross","2001","4","Laendlicher Raum","167","0.127021519787505","0.108982260991699","0.145060778583312"
"Etwas zu gross","2001","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Etwas zu gross","2001","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Viel zu gross","2001","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Viel zu gross","2001","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Viel zu gross","2001","2","Staedtischer Raum","15","","",""
"Viel zu gross","2001","2","Laendlicher Raum","18","","",""
"Viel zu gross","2001","3","Staedtischer Raum","32","0.00962299823730114","0.00666139180164044","0.0125846046729618"
"Viel zu gross","2001","3","Laendlicher Raum","22","","",""
"Viel zu gross","2001","4","Staedtischer Raum","18","","",""
"Viel zu gross","2001","4","Laendlicher Raum","11","","",""
"Viel zu gross","2001","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Viel zu gross","2001","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Viel zu klein","2002","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Viel zu klein","2002","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Viel zu klein","2002","2","Staedtischer Raum","141","0.0284395896282929","0.0233296663028331","0.0335495129537527"
"Viel zu klein","2002","2","Laendlicher Raum","44","0.0208925181810375","0.0152781934207083","0.0265068429413667"
"Viel zu klein","2002","3","Staedtischer Raum","58","0.0112010394644306","0.00788490684629311","0.0145171720825682"
"Viel zu klein","2002","3","Laendlicher Raum","38","0.0155917076868155","0.0102739378650859","0.0209094775085452"
"Viel zu klein","2002","4","Staedtischer Raum","83","0.0231985944452894","0.0185341729334741","0.0278630159571046"
"Viel zu klein","2002","4","Laendlicher Raum","23","","",""
"Viel zu klein","2002","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Viel zu klein","2002","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Etwas zu klein","2002","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Etwas zu klein","2002","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Etwas zu klein","2002","2","Staedtischer Raum","781","0.185080912651014","0.173142244591798","0.197019580710229"
"Etwas zu klein","2002","2","Laendlicher Raum","352","0.14027216178308","0.126640362225511","0.153903961340649"
"Etwas zu klein","2002","3","Staedtischer Raum","671","0.172158231013272","0.160262632733221","0.184053829293323"
"Etwas zu klein","2002","3","Laendlicher Raum","271","0.091843453798743","0.0794469412655912","0.104239966331895"
"Etwas zu klein","2002","4","Staedtischer Raum","623","0.149276780359195","0.138234619020474","0.160318941697916"
"Etwas zu klein","2002","4","Laendlicher Raum","215","0.119245172522979","0.104453558968861","0.134036786077097"
"Etwas zu klein","2002","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Etwas zu klein","2002","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Gerade richtig","2002","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Gerade richtig","2002","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Gerade richtig","2002","2","Staedtischer Raum","2849","0.702350829363617","0.68829530008227","0.716406358644963"
"Gerade richtig","2002","2","Laendlicher Raum","1901","0.759441825691846","0.742663668177692","0.776219983206"
"Gerade richtig","2002","3","Staedtischer Raum","2856","0.733526273350403","0.719595226237832","0.747457320462974"
"Gerade richtig","2002","3","Laendlicher Raum","1516","0.766112893140843","0.74794332571605","0.784282460565636"
"Gerade richtig","2002","4","Staedtischer Raum","2885","0.693370618988875","0.679083212008259","0.707658025969492"
"Gerade richtig","2002","4","Laendlicher Raum","1327","0.685333295577283","0.664137781992552","0.706528809162013"
"Gerade richtig","2002","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Gerade richtig","2002","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Etwas zu gross","2002","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Etwas zu gross","2002","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Etwas zu gross","2002","2","Staedtischer Raum","274","0.0767280137734137","0.0685460109832983","0.0849100165635291"
"Etwas zu gross","2002","2","Laendlicher Raum","184","0.0762074284249052","0.0657921031418602","0.0866227537079503"
"Etwas zu gross","2002","3","Staedtischer Raum","257","0.0734359293594699","0.0652165173304261","0.0816553413885137"
"Etwas zu gross","2002","3","Laendlicher Raum","240","0.114197398661147","0.100545544424715","0.127849252897579"
"Etwas zu gross","2002","4","Staedtischer Raum","377","0.121855829159553","0.111719752620451","0.131991905698655"
"Etwas zu gross","2002","4","Laendlicher Raum","261","0.163208159675359","0.146340793045898","0.18007552630482"
"Etwas zu gross","2002","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Etwas zu gross","2002","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Viel zu gross","2002","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Viel zu gross","2002","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Viel zu gross","2002","2","Staedtischer Raum","20","","",""
"Viel zu gross","2002","2","Laendlicher Raum","12","","",""
"Viel zu gross","2002","3","Staedtischer Raum","27","","",""
"Viel zu gross","2002","3","Laendlicher Raum","20","","",""
"Viel zu gross","2002","4","Staedtischer Raum","33","0.0122981770470865","0.00888312667856832","0.0157132274156047"
"Viel zu gross","2002","4","Laendlicher Raum","18","","",""
"Viel zu gross","2002","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Viel zu gross","2002","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Viel zu klein","2003","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Viel zu klein","2003","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Viel zu klein","2003","2","Staedtischer Raum","147","0.0337097053448166","0.0279668124769668","0.0394525982126665"
"Viel zu klein","2003","2","Laendlicher Raum","28","","",""
"Viel zu klein","2003","3","Staedtischer Raum","65","0.0196150191198865","0.0152893608027717","0.0239406774370012"
"Viel zu klein","2003","3","Laendlicher Raum","33","0.0137509895208043","0.00884779750497615","0.0186541815366324"
"Viel zu klein","2003","4","Staedtischer Raum","53","0.0127085843378309","0.00926728734836295","0.0161498813272989"
"Viel zu klein","2003","4","Laendlicher Raum","14","","",""
"Viel zu klein","2003","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Viel zu klein","2003","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Etwas zu klein","2003","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Etwas zu klein","2003","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Etwas zu klein","2003","2","Staedtischer Raum","799","0.205993067060471","0.193124272227966","0.218861861892976"
"Etwas zu klein","2003","2","Laendlicher Raum","308","0.13340984285425","0.119547107560209","0.147272578148291"
"Etwas zu klein","2003","3","Staedtischer Raum","643","0.158112542589505","0.146731823599218","0.169493261579792"
"Etwas zu klein","2003","3","Laendlicher Raum","292","0.139391028577709","0.124808293661483","0.153973763493934"
"Etwas zu klein","2003","4","Staedtischer Raum","655","0.165951666351693","0.154521901260209","0.177381431443177"
"Etwas zu klein","2003","4","Laendlicher Raum","221","0.124471071061221","0.109057097755443","0.139885044366998"
"Etwas zu klein","2003","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Etwas zu klein","2003","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Gerade richtig","2003","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Gerade richtig","2003","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Gerade richtig","2003","2","Staedtischer Raum","2606","0.681411189205477","0.666585348912849","0.696237029498104"
"Gerade richtig","2003","2","Laendlicher Raum","1745","0.753516252083631","0.735945571869303","0.771086932297959"
"Gerade richtig","2003","3","Staedtischer Raum","2894","0.728922880005775","0.715057022216316","0.742788737795233"
"Gerade richtig","2003","3","Laendlicher Raum","1625","0.743931418448885","0.72555490005706","0.762307936840711"
"Gerade richtig","2003","4","Staedtischer Raum","2919","0.683699015003698","0.669412258736866","0.697985771270529"
"Gerade richtig","2003","4","Laendlicher Raum","1255","0.705342283870099","0.684055796177199","0.726628771562999"
"Gerade richtig","2003","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Gerade richtig","2003","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Etwas zu gross","2003","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Etwas zu gross","2003","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Etwas zu gross","2003","2","Staedtischer Raum","227","0.0738601414033601","0.0655378525982966","0.0821824302084236"
"Etwas zu gross","2003","2","Laendlicher Raum","214","0.0939640252393565","0.0820680063343258","0.105860044144387"
"Etwas zu gross","2003","3","Staedtischer Raum","308","0.084740905737052","0.0760537402200855","0.0934280712540185"
"Etwas zu gross","2003","3","Laendlicher Raum","212","0.100699164194539","0.0880289467911452","0.113369381597932"
"Etwas zu gross","2003","4","Staedtischer Raum","384","0.117864722129776","0.107958446671703","0.127770997587849"
"Etwas zu gross","2003","4","Laendlicher Raum","249","0.139031846717202","0.122877260875391","0.155186432559014"
"Etwas zu gross","2003","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Etwas zu gross","2003","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Viel zu gross","2003","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Viel zu gross","2003","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Viel zu gross","2003","2","Staedtischer Raum","15","","",""
"Viel zu gross","2003","2","Laendlicher Raum","16","","",""
"Viel zu gross","2003","3","Staedtischer Raum","38","0.00860865254778205","0.00572694654637006","0.011490358549194"
"Viel zu gross","2003","3","Laendlicher Raum","5","","",""
"Viel zu gross","2003","4","Staedtischer Raum","59","0.0197760121770024","0.0154985821878837","0.0240534421661211"
"Viel zu gross","2003","4","Laendlicher Raum","23","","",""
"Viel zu gross","2003","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Viel zu gross","2003","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Viel zu klein","2004","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Viel zu klein","2004","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Viel zu klein","2004","2","Staedtischer Raum","90","0.0240077597834708","0.0190688179800782","0.0289467015868635"
"Viel zu klein","2004","2","Laendlicher Raum","28","","",""
"Viel zu klein","2004","3","Staedtischer Raum","67","0.0210188273534785","0.0164361983970011","0.0256014563099558"
"Viel zu klein","2004","3","Laendlicher Raum","49","0.020379449224687","0.0143334162141901","0.026425482235184"
"Viel zu klein","2004","4","Staedtischer Raum","35","0.0124190183183434","0.00897189763726233","0.0158661389994244"
"Viel zu klein","2004","4","Laendlicher Raum","8","","",""
"Viel zu klein","2004","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Viel zu klein","2004","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Etwas zu klein","2004","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Etwas zu klein","2004","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Etwas zu klein","2004","2","Staedtischer Raum","689","0.183752135441352","0.171256391004745","0.19624787987796"
"Etwas zu klein","2004","2","Laendlicher Raum","300","0.131618952637477","0.117501536196896","0.145736369078058"
"Etwas zu klein","2004","3","Staedtischer Raum","648","0.161811797437904","0.150046601978743","0.173576992897066"
"Etwas zu klein","2004","3","Laendlicher Raum","223","0.0977602075190494","0.0850519093723852","0.110468505665714"
"Etwas zu klein","2004","4","Staedtischer Raum","560","0.138956629250249","0.128190027620304","0.149723230880193"
"Etwas zu klein","2004","4","Laendlicher Raum","183","0.0988257178665735","0.0847223364569375","0.11292909927621"
"Etwas zu klein","2004","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Etwas zu klein","2004","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Gerade richtig","2004","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Gerade richtig","2004","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Gerade richtig","2004","2","Staedtischer Raum","2682","0.723947974710578","0.7095240297821","0.738371919639055"
"Gerade richtig","2004","2","Laendlicher Raum","1696","0.759784078911549","0.741944408316318","0.777623749506779"
"Gerade richtig","2004","3","Staedtischer Raum","2730","0.724879434524189","0.710612925985157","0.739145943063222"
"Gerade richtig","2004","3","Laendlicher Raum","1605","0.768868198031582","0.750829667714043","0.786906728349121"
"Gerade richtig","2004","4","Staedtischer Raum","2919","0.711879850297959","0.697783176137712","0.725976524458206"
"Gerade richtig","2004","4","Laendlicher Raum","1225","0.689523025927147","0.667656844212518","0.711389207641777"
"Gerade richtig","2004","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Gerade richtig","2004","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Etwas zu gross","2004","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Etwas zu gross","2004","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Etwas zu gross","2004","2","Staedtischer Raum","212","0.0629662942331471","0.055128992239719","0.0708035962265752"
"Etwas zu gross","2004","2","Laendlicher Raum","168","0.0891913945130338","0.0772895058812467","0.101093283144821"
"Etwas zu gross","2004","3","Staedtischer Raum","289","0.0835038139890777","0.074666062798766","0.0923415651793895"
"Etwas zu gross","2004","3","Laendlicher Raum","208","0.102729946496307","0.0897385610941011","0.115721331898513"
"Etwas zu gross","2004","4","Staedtischer Raum","416","0.126098200904536","0.115765538095152","0.13643086371392"
"Etwas zu gross","2004","4","Laendlicher Raum","280","0.196917583922315","0.17812414852955","0.21571101931508"
"Etwas zu gross","2004","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Etwas zu gross","2004","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Viel zu gross","2004","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Viel zu gross","2004","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Viel zu gross","2004","2","Staedtischer Raum","17","","",""
"Viel zu gross","2004","2","Laendlicher Raum","11","","",""
"Viel zu gross","2004","3","Staedtischer Raum","30","0.00878612669534998","0.00580482655634967","0.0117674268343503"
"Viel zu gross","2004","3","Laendlicher Raum","13","","",""
"Viel zu gross","2004","4","Staedtischer Raum","35","0.0106463012289123","0.00745181028644214","0.0138407921713826"
"Viel zu gross","2004","4","Laendlicher Raum","24","","",""
"Viel zu gross","2004","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Viel zu gross","2004","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Viel zu klein","2005","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Viel zu klein","2005","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Viel zu klein","2005","2","Staedtischer Raum","72","0.024464813904259","0.0192834372439725","0.0296461905645455"
"Viel zu klein","2005","2","Laendlicher Raum","23","","",""
"Viel zu klein","2005","3","Staedtischer Raum","70","0.0133290539053854","0.00957771156463933","0.0170803962461314"
"Viel zu klein","2005","3","Laendlicher Raum","29","","",""
"Viel zu klein","2005","4","Staedtischer Raum","34","0.00706533891740775","0.00439628863447305","0.00973438920034245"
"Viel zu klein","2005","4","Laendlicher Raum","12","","",""
"Viel zu klein","2005","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Viel zu klein","2005","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Etwas zu klein","2005","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Etwas zu klein","2005","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Etwas zu klein","2005","2","Staedtischer Raum","641","0.166662601846066","0.154163400848338","0.179161802843794"
"Etwas zu klein","2005","2","Laendlicher Raum","266","0.143155234523483","0.128064077566498","0.158246391480468"
"Etwas zu klein","2005","3","Staedtischer Raum","674","0.202293112739915","0.189152576566593","0.215433648913238"
"Etwas zu klein","2005","3","Laendlicher Raum","227","0.110984347760578","0.0970103427692102","0.124958352751946"
"Etwas zu klein","2005","4","Staedtischer Raum","580","0.14138131407804","0.13027867824463","0.15248394991145"
"Etwas zu klein","2005","4","Laendlicher Raum","201","0.105125202048748","0.0904103980008141","0.119840006096682"
"Etwas zu klein","2005","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Etwas zu klein","2005","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Gerade richtig","2005","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Gerade richtig","2005","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Gerade richtig","2005","2","Staedtischer Raum","2473","0.731895397978285","0.717038457632078","0.746752338324493"
"Gerade richtig","2005","2","Laendlicher Raum","1592","0.741083621008712","0.722208870685682","0.759958371331741"
"Gerade richtig","2005","3","Staedtischer Raum","2553","0.692277296801058","0.677179253007803","0.707375340594313"
"Gerade richtig","2005","3","Laendlicher Raum","1448","0.74495106537209","0.72555958553474","0.76434254520944"
"Gerade richtig","2005","4","Staedtischer Raum","2812","0.74024728777837","0.726274007243244","0.754220568313497"
"Gerade richtig","2005","4","Laendlicher Raum","1224","0.721696794818396","0.70019590592413","0.743197683712662"
"Gerade richtig","2005","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Gerade richtig","2005","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Etwas zu gross","2005","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Etwas zu gross","2005","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Etwas zu gross","2005","2","Staedtischer Raum","213","0.0717951077286223","0.0631370178607862","0.0804531975964584"
"Etwas zu gross","2005","2","Laendlicher Raum","171","0.0914763463703707","0.0790543793984373","0.103898313342304"
"Etwas zu gross","2005","3","Staedtischer Raum","263","0.0823988991035889","0.073404160758063","0.0913936374491149"
"Etwas zu gross","2005","3","Laendlicher Raum","213","0.107849930753798","0.0940504032821904","0.121649458225406"
"Etwas zu gross","2005","4","Staedtischer Raum","328","0.102838782994785","0.0931594901324481","0.112518075857122"
"Etwas zu gross","2005","4","Laendlicher Raum","220","0.159927842785347","0.142342928418134","0.17751275715256"
"Etwas zu gross","2005","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Etwas zu gross","2005","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Viel zu gross","2005","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Viel zu gross","2005","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Viel zu gross","2005","2","Staedtischer Raum","16","","",""
"Viel zu gross","2005","2","Laendlicher Raum","17","","",""
"Viel zu gross","2005","3","Staedtischer Raum","30","0.00970163745005247","0.00649532074508266","0.0129079541550223"
"Viel zu gross","2005","3","Laendlicher Raum","24","","",""
"Viel zu gross","2005","4","Staedtischer Raum","29","","",""
"Viel zu gross","2005","4","Laendlicher Raum","12","","",""
"Viel zu gross","2005","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Viel zu gross","2005","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Viel zu klein","2006","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Viel zu klein","2006","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Viel zu klein","2006","2","Staedtischer Raum","66","0.022100359624562","0.01732063976671","0.0268800794824141"
"Viel zu klein","2006","2","Laendlicher Raum","36","0.0160978525360185","0.0109308835468812","0.0212648215251558"
"Viel zu klein","2006","3","Staedtischer Raum","90","0.0274878586303191","0.0222352157237548","0.0327405015368834"
"Viel zu klein","2006","3","Laendlicher Raum","34","0.0157324135531864","0.0105051650710583","0.0209596620353145"
"Viel zu klein","2006","4","Staedtischer Raum","54","0.0147525671491474","0.0111176894690685","0.0183874448292263"
"Viel zu klein","2006","4","Laendlicher Raum","15","","",""
"Viel zu klein","2006","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Viel zu klein","2006","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Etwas zu klein","2006","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Etwas zu klein","2006","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Etwas zu klein","2006","2","Staedtischer Raum","678","0.187688733055278","0.17499363763778","0.200383828472776"
"Etwas zu klein","2006","2","Laendlicher Raum","271","0.103483974078217","0.0909787491884707","0.115989198967964"
"Etwas zu klein","2006","3","Staedtischer Raum","649","0.180118508530756","0.167772839814389","0.192464177247123"
"Etwas zu klein","2006","3","Laendlicher Raum","250","0.130748033464864","0.116586532046183","0.144909534883544"
"Etwas zu klein","2006","4","Staedtischer Raum","609","0.144248520617733","0.133655669755054","0.154841371480411"
"Etwas zu klein","2006","4","Laendlicher Raum","204","0.11570721834713","0.101031650210134","0.130382786484125"
"Etwas zu klein","2006","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Etwas zu klein","2006","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Gerade richtig","2006","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Gerade richtig","2006","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Gerade richtig","2006","2","Staedtischer Raum","2605","0.705233699360499","0.690409847256934","0.720057551464063"
"Gerade richtig","2006","2","Laendlicher Raum","1731","0.766358288444318","0.748985599355409","0.783730977533226"
"Gerade richtig","2006","3","Staedtischer Raum","2665","0.695077692706476","0.680287590312089","0.709867795100864"
"Gerade richtig","2006","3","Laendlicher Raum","1564","0.702602484371403","0.683400664772949","0.721804303969857"
"Gerade richtig","2006","4","Staedtischer Raum","3046","0.709680613373354","0.69599536025888","0.723365866487827"
"Gerade richtig","2006","4","Laendlicher Raum","1344","0.725530544739961","0.705057071873114","0.746004017606807"
"Gerade richtig","2006","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Gerade richtig","2006","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Etwas zu gross","2006","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Etwas zu gross","2006","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Etwas zu gross","2006","2","Staedtischer Raum","250","0.0746599234526583","0.066114175381812","0.0832056715235045"
"Etwas zu gross","2006","2","Laendlicher Raum","220","0.104751352769155","0.0921786807817567","0.117324024756553"
"Etwas zu gross","2006","3","Staedtischer Raum","296","0.0902093415302476","0.0810057698381725","0.0994129132223226"
"Etwas zu gross","2006","3","Laendlicher Raum","287","0.128531277858865","0.114472447472232","0.142590108245498"
"Etwas zu gross","2006","4","Staedtischer Raum","469","0.118861097445157","0.109103893100248","0.128618301790066"
"Etwas zu gross","2006","4","Laendlicher Raum","224","0.13190908436238","0.116383905395584","0.147434263329175"
"Etwas zu gross","2006","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Etwas zu gross","2006","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Viel zu gross","2006","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Viel zu gross","2006","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Viel zu gross","2006","2","Staedtischer Raum","35","0.0103172845070029","0.00703189908577825","0.0136026699282275"
"Viel zu gross","2006","2","Laendlicher Raum","21","","",""
"Viel zu gross","2006","3","Staedtischer Raum","22","","",""
"Viel zu gross","2006","3","Laendlicher Raum","42","0.0223857907516821","0.0161715389186977","0.0286000425846666"
"Viel zu gross","2006","4","Staedtischer Raum","48","0.012457201414609","0.00911316074163188","0.0158012420875861"
"Viel zu gross","2006","4","Laendlicher Raum","38","0.020477258307011","0.0139795558130174","0.0269749608010045"
"Viel zu gross","2006","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Viel zu gross","2006","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Viel zu klein","2007","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Viel zu klein","2007","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Viel zu klein","2007","2","Staedtischer Raum","86","0.0255416433824295","0.0200908322811356","0.0309924544837233"
"Viel zu klein","2007","2","Laendlicher Raum","27","","",""
