year,pgisced97,pli0082,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2017,Upper Secondary Level,At least once per week,0.10658359072690539,67,3614,0.10450071271389696,0.10866646873991381
2017,Upper Secondary Level,At least once per month,0.20932881117613877,117,3614,0.206582788242497,0.21207483410978054
2017,Upper Secondary Level,Seldom,0.3268522019306534,231,3614,0.3236861165544414,0.3300182873068654
2017,Upper Secondary Level,Never,0.3572353961663024,241,3614,0.35400098730770113,0.36046980502490367
2017,Post-secondary Non-tertiary Level,Never,1.0,36,3614,1.0,1.0
2017,Second Stage of Tertiary Education,At least once per week,0.11395950530789455,76,3614,0.11188951618775436,0.11602949442803473
2017,Second Stage of Tertiary Education,At least once per month,0.17565462486393624,136,3614,0.17317577401072415,0.17813347571714833
2017,Second Stage of Tertiary Education,Seldom,0.36447796700712337,274,3614,0.36134275477000005,0.3676131792442467
2017,Second Stage of Tertiary Education,Never,0.34590790282104583,239,3614,0.34280930156328127,0.3490065040788104
2018,Primary Level,At least once per week,0.15299865846871105,176,2848,0.1511209941415876,0.1548763227958345
2018,Primary Level,At least once per month,0.22281763212468517,263,2848,0.22064708938543134,0.224988174863939
2018,Primary Level,Seldom,0.3677971302717318,415,2848,0.3652819767759749,0.37031228376748865
2018,Primary Level,Never,0.256386579134872,245,2848,0.25410910555039357,0.25866405271935045
2018,Lower Secondary Level,At least once per week,0.2055758207670164,107,2848,0.2030237927481202,0.20812784878591256
2018,Lower Secondary Level,At least once per month,0.2700217884328533,172,2848,0.26721811421308056,0.272825462652626
2018,Lower Secondary Level,Seldom,0.32053194129860474,228,2848,0.31758485146293164,0.32347903113427784
2018,Lower Secondary Level,Never,0.20387044950152564,117,2848,0.20132630246597563,0.20641459653707564
2018,Upper Secondary Level,At least once per week,0.16259174305446622,86,2848,0.1600569634452287,0.16512652266370373
2018,Upper Secondary Level,At least once per month,0.27445804820087244,137,2848,0.27139261687091687,0.277523479530828
2018,Upper Secondary Level,Seldom,0.3895802959092384,217,2848,0.38623037074227257,0.3929302210762043
2018,Upper Secondary Level,Never,0.1733699128354228,95,2848,0.17076936521041425,0.17597046046043135
2018,Post-secondary Non-tertiary Level,Seldom,1.0,31,2848,1.0,1.0
2018,Second Stage of Tertiary Education,At least once per week,0.17708390598648835,115,2848,0.1745277085933394,0.1796401033796373
2018,Second Stage of Tertiary Education,At least once per month,0.27091171751359805,162,2848,0.2679357305989771,0.273887704428219
2018,Second Stage of Tertiary Education,Seldom,0.32264723153348956,186,2848,0.319516841228846,0.32577762183813314
2018,Second Stage of Tertiary Education,Never,0.22935714496642398,96,2848,0.22654194156685797,0.23217234836599
2019,Pre-primary Level,At least once per month,0.33920514335494867,113,27874,0.33796045193148083,0.3404498347784165
