year,bula_h,sampreg,pli0082,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2008,North Rhine-Westphalia,West,At least once per month,0.16125,724,3908,0.14972,0.17278
2008,North Rhine-Westphalia,West,Seldom,0.61875,2419,3908,0.60352,0.63398
2008,North Rhine-Westphalia,West,Never,0.19234,663,3908,0.17998,0.20470
2008,Hesse,West,At least once per week,0.03553,38,1306,0.02549,0.04558
2008,Hesse,West,At least once per month,0.20189,308,1306,0.18011,0.22367
2008,Hesse,West,Seldom,0.60031,767,1306,0.57373,0.62688
2008,Hesse,West,Never,0.16227,193,1306,0.14227,0.18228
2008,"Rhineland-Palatinate, Saarland",West,At least once per month,0.16708,202,1079,0.14481,0.18935
2008,"Rhineland-Palatinate, Saarland",West,Seldom,0.59964,665,1079,0.57039,0.62889
2008,"Rhineland-Palatinate, Saarland",West,Never,0.22241,212,1079,0.19759,0.24724
2008,Baden-Wuerttemberg,West,At least once per week,0.02483,55,2345,0.01853,0.03113
2008,Baden-Wuerttemberg,West,At least once per month,0.20478,527,2345,0.18844,0.22112
2008,Baden-Wuerttemberg,West,Seldom,0.61837,1452,2345,0.59871,0.63804
2008,Baden-Wuerttemberg,West,Never,0.15031,311,2345,0.13585,0.16478
2008,Bavaria,West,At least once per week,0.03165,95,2738,0.02509,0.03821
2008,Bavaria,West,At least once per month,0.24050,715,2738,0.22448,0.25651
2008,Bavaria,West,Seldom,0.57186,1589,2738,0.55332,0.59039
2008,Bavaria,West,Never,0.15600,339,2738,0.14240,0.16959
2008,Berlin,West,At least once per month,0.18959,75,371,0.14965,0.22954
2008,Berlin,West,Seldom,0.57989,234,371,0.52959,0.63018
2008,Berlin,West,Never,0.18287,62,371,0.14349,0.22226
2008,Berlin,East,At least once per month,0.25742,93,323,0.20966,0.30517
2008,Berlin,East,Seldom,0.53600,187,323,0.48153,0.59047
2008,Berlin,East,Never,0.17846,43,323,0.13664,0.22028
2008,Brandenburg,East,At least once per month,0.18204,169,800,0.15529,0.20880
2008,Brandenburg,East,Seldom,0.57494,487,800,0.54066,0.60922
2008,Brandenburg,East,Never,0.21430,144,800,0.18585,0.24275
2008,Mecklenburg-Western Pomerania,East,At least once per month,0.18599,104,467,0.15066,0.22131
2008,Mecklenburg-Western Pomerania,East,Seldom,0.53701,269,467,0.49174,0.58228
2008,Mecklenburg-Western Pomerania,East,Never,0.23413,94,467,0.19568,0.27258
2008,Saxony,East,At least once per week,0.03615,62,1430,0.02647,0.04583
2008,Saxony,East,At least once per month,0.20707,299,1430,0.18606,0.22808
2008,Saxony,East,Seldom,0.57848,846,1430,0.55288,0.60408
2008,Saxony,East,Never,0.17830,223,1430,0.15845,0.19815
2008,Saxony-Anhalt,East,At least once per month,0.20813,162,793,0.17986,0.23640
2008,Saxony-Anhalt,East,Seldom,0.57928,493,793,0.54489,0.61366
2008,Saxony-Anhalt,East,Never,0.19121,138,793,0.16382,0.21860
2008,Thuringa,East,At least once per month,0.15180,150,857,0.12776,0.17584
2008,Thuringa,East,Seldom,0.66324,566,857,0.63158,0.69490
2008,Thuringa,East,Never,0.17096,141,857,0.14574,0.19618
2013,Schleswig-Holstein,West,At least once per week,0.03786,44,901,0.02539,0.05033
2013,Schleswig-Holstein,West,At least once per month,0.28491,267,901,0.25542,0.31440
2013,Schleswig-Holstein,West,Seldom,0.54854,489,901,0.51602,0.58105
2013,Schleswig-Holstein,West,Never,0.12290,101,901,0.10145,0.14435
2013,Hamburg,West,At least once per month,0.30752,150,385,0.26136,0.35368
2013,Hamburg,West,Seldom,0.52984,185,385,0.47992,0.57976
2013,Hamburg,West,Never,0.14102,50,385,0.10621,0.17583
2013,Lower Saxony,West,At least once per week,0.03939,90,2442,0.03167,0.04710
2013,Lower Saxony,West,At least once per month,0.26530,692,2442,0.24779,0.28282
2013,Lower Saxony,West,Seldom,0.56140,1380,2442,0.54172,0.58109
2013,Lower Saxony,West,Never,0.13239,280,2442,0.11895,0.14584
2013,Bremen,West,At least once per month,0.30170,56,152,0.22849,0.37491
2013,Bremen,West,Seldom,0.56047,96,152,0.48131,0.63964
2013,North Rhine-Westphalia,West,At least once per week,0.03633,199,5086,0.03119,0.04147
2013,North Rhine-Westphalia,West,At least once per month,0.25655,1367,5086,0.24455,0.26856
2013,North Rhine-Westphalia,West,Seldom,0.55509,2849,5086,0.54143,0.56875
2013,North Rhine-Westphalia,West,Never,0.14975,671,5086,0.13994,0.15956
2013,Hesse,West,At least once per week,0.03603,75,1749,0.02729,0.04476
2013,Hesse,West,At least once per month,0.24606,480,1749,0.22587,0.26625
2013,Hesse,West,Seldom,0.56963,971,1749,0.54642,0.59285
2013,Hesse,West,Never,0.14630,223,1749,0.12973,0.16286
2013,"Rhineland-Palatinate, Saarland",West,At least once per week,0.04142,69,1406,0.03100,0.05184
2013,"Rhineland-Palatinate, Saarland",West,At least once per month,0.23038,337,1406,0.20836,0.25239
2013,"Rhineland-Palatinate, Saarland",West,Seldom,0.56143,777,1406,0.53548,0.58738
2013,"Rhineland-Palatinate, Saarland",West,Never,0.16500,223,1406,0.14559,0.18441
2013,Baden-Wuerttemberg,West,At least once per week,0.04325,160,2998,0.03596,0.05053
2013,Baden-Wuerttemberg,West,At least once per month,0.28713,946,2998,0.27093,0.30333
2013,Baden-Wuerttemberg,West,Seldom,0.55030,1567,2998,0.53249,0.56811
2013,Baden-Wuerttemberg,West,Never,0.11895,325,2998,0.10736,0.13054
2013,Bavaria,West,At least once per week,0.04274,208,4005,0.03648,0.04901
2013,Bavaria,West,At least once per month,0.29457,1220,4005,0.28045,0.30869
2013,Bavaria,West,Seldom,0.51616,2126,4005,0.50068,0.53164
2013,Bavaria,West,Never,0.14564,451,4005,0.13472,0.15657
2013,Berlin,West,At least once per month,0.26889,159,514,0.23052,0.30725
2013,Berlin,West,Seldom,0.55923,280,514,0.51627,0.60219
2013,Berlin,West,Never,0.13291,75,514,0.10353,0.16229
2013,Berlin,East,At least once per month,0.23277,123,415,0.19206,0.27348
2013,Berlin,East,Seldom,0.61237,240,415,0.56544,0.65930
2013,Berlin,East,Never,0.12128,52,415,0.08984,0.15273
2013,Brandenburg,East,At least once per month,0.21051,228,985,0.18504,0.23599
2013,Brandenburg,East,Seldom,0.59868,590,985,0.56806,0.62931
2013,Brandenburg,East,Never,0.17061,167,985,0.14711,0.19411
2013,Mecklenburg-Western Pomerania,East,At least once per week,0.06066,42,586,0.04131,0.08000
2013,Mecklenburg-Western Pomerania,East,At least once per month,0.28974,171,586,0.25298,0.32650
2013,Mecklenburg-Western Pomerania,East,Seldom,0.49953,274,586,0.45901,0.54005
2013,Mecklenburg-Western Pomerania,East,Never,0.15007,99,586,0.12113,0.17902
2013,Saxony,East,At least once per week,0.05015,91,1702,0.03978,0.06052
2013,Saxony,East,At least once per month,0.24605,456,1702,0.22558,0.26651
2013,Saxony,East,Seldom,0.55194,918,1702,0.52831,0.57558
2013,Saxony,East,Never,0.14998,237,1702,0.13301,0.16695
2013,Saxony-Anhalt,East,At least once per week,0.01846,34,961,0.00995,0.02698
2013,Saxony-Anhalt,East,At least once per month,0.28946,257,961,0.26077,0.31815
2013,Saxony-Anhalt,East,Seldom,0.51947,515,961,0.48787,0.55108
2013,Saxony-Anhalt,East,Never,0.17223,155,961,0.14835,0.19612
2013,Thuringa,East,At least once per week,0.02011,32,989,0.01135,0.02886
2013,Thuringa,East,At least once per month,0.20458,222,989,0.17942,0.22973
2013,Thuringa,East,Seldom,0.61245,589,989,0.58207,0.64283
2013,Thuringa,East,Never,0.16283,146,989,0.13981,0.18585
2017,Schleswig-Holstein,West,At least once per month,0.19593,50,215,0.14275,0.24911
2017,Schleswig-Holstein,West,Seldom,0.33291,87,215,0.26977,0.39605
2017,Schleswig-Holstein,West,Never,0.36017,78,215,0.29585,0.42448
2017,Lower Saxony,West,At least once per week,0.11428,61,500,0.08637,0.14220
2017,Lower Saxony,West,At least once per month,0.18151,99,500,0.14769,0.21533
2017,Lower Saxony,West,Seldom,0.31999,184,500,0.27906,0.36092
2017,Lower Saxony,West,Never,0.35937,156,500,0.31727,0.40147
2017,North Rhine-Westphalia,West,At least once per week,0.08495,76,944,0.06716,0.10275
2017,North Rhine-Westphalia,West,At least once per month,0.20033,160,944,0.17478,0.22587
2017,North Rhine-Westphalia,West,Seldom,0.26630,285,944,0.23809,0.29452
2017,North Rhine-Westphalia,West,Never,0.43214,423,944,0.40052,0.46376
2017,Hesse,West,At least once per month,0.15080,43,338,0.11259,0.18901
2017,Hesse,West,Seldom,0.28502,111,338,0.23682,0.33321
2017,Hesse,West,Never,0.46610,184,338,0.41284,0.51936
2017,"Rhineland-Palatinate, Saarland",West,At least once per month,0.16353,46,237,0.11635,0.21072
2017,"Rhineland-Palatinate, Saarland",West,Seldom,0.37328,95,237,0.31157,0.43498
2017,"Rhineland-Palatinate, Saarland",West,Never,0.38496,96,237,0.32288,0.44704
2017,Baden-Wuerttemberg,West,At least once per week,0.08026,42,456,0.05529,0.10522
2017,Baden-Wuerttemberg,West,At least once per month,0.23392,83,456,0.19502,0.27282
2017,Baden-Wuerttemberg,West,Seldom,0.30984,175,456,0.26735,0.35233
2017,Baden-Wuerttemberg,West,Never,0.36020,156,456,0.31609,0.40431
2017,Bavaria,West,At least once per month,0.17135,70,377,0.13326,0.20944
2017,Bavaria,West,Seldom,0.39644,159,377,0.34699,0.44588
2017,Bavaria,West,Never,0.34174,148,377,0.29380,0.38968
2017,Brandenburg,East,Seldom,0.22071,37,93,0.13596,0.30545
2017,Brandenburg,East,Never,0.46693,56,93,0.36498,0.56888
2017,Saxony,East,Seldom,0.38384,61,126,0.29859,0.46910
2017,Saxony,East,Never,0.43830,65,126,0.35132,0.52529
2017,Saxony-Anhalt,East,Seldom,0.51359,57,91,0.41033,0.61686
2017,Saxony-Anhalt,East,Never,0.34591,34,91,0.24764,0.44418
2017,Thuringa,East,Never,0.29105,32,32,0.13114,0.45096
2018,Schleswig-Holstein,West,At least once per week,0.22102,32,119,0.14615,0.29589
2018,Schleswig-Holstein,West,At least once per month,0.28576,33,119,0.20424,0.36727
2018,Schleswig-Holstein,West,Seldom,0.31191,54,119,0.22832,0.39550
2018,Lower Saxony,West,At least once per week,0.10593,44,394,0.07550,0.13635
2018,Lower Saxony,West,At least once per month,0.29006,114,394,0.24519,0.33492
2018,Lower Saxony,West,Seldom,0.44598,196,394,0.39683,0.49512
2018,Lower Saxony,West,Never,0.13784,40,394,0.10375,0.17192
2018,North Rhine-Westphalia,West,At least once per week,0.18684,107,731,0.15857,0.21512
2018,North Rhine-Westphalia,West,At least once per month,0.27078,228,731,0.23855,0.30302
2018,North Rhine-Westphalia,West,Seldom,0.28661,226,731,0.25380,0.31941
2018,North Rhine-Westphalia,West,Never,0.24214,170,731,0.21106,0.27321
2018,Hesse,West,At least once per week,0.12007,45,348,0.08587,0.15427
2018,Hesse,West,At least once per month,0.21602,80,348,0.17272,0.25933
2018,Hesse,West,Seldom,0.36441,139,348,0.31377,0.41505
