year,bula_h,regtyp,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2020,Bavaria,Urban regions,No,0.95547,1241,1306,0.94428,0.96666
2020,Bavaria,Rural regions,Yes,0.04222,75,1301,0.03129,0.05316
2020,Bavaria,Rural regions,No,0.95778,1226,1301,0.94684,0.96871
2020,Berlin,Urban regions,No,0.99371,848,848,0.98838,0.99903
2020,Brandenburg,Rural regions,Yes,0.04771,40,615,0.03085,0.06457
2020,Brandenburg,Rural regions,No,0.95229,575,615,0.93543,0.96915
2020,Mecklenburg-Western Pomerania,Urban regions,No,0.98603,62,62,0.95657,1.01548
2020,Mecklenburg-Western Pomerania,Rural regions,No,0.97889,264,264,0.96152,0.99627
2020,Saxony,Urban regions,No,0.97548,515,515,0.96211,0.98885
2020,Saxony,Rural regions,No,0.95080,415,415,0.92996,0.97163
2020,Saxony-Anhalt,Urban regions,No,0.99826,134,134,0.99118,1.00534
2020,Saxony-Anhalt,Rural regions,No,0.92673,399,399,0.90113,0.95233
2020,Thuringa,Urban regions,No,0.94066,181,181,0.90615,0.97518
2020,Thuringa,Rural regions,No,0.98097,368,368,0.96699,0.99495
2021,Schleswig-Holstein,Urban regions,No,0.97472,131,131,0.94774,1.00171
2021,Schleswig-Holstein,Rural regions,No,0.94361,233,233,0.91393,0.97329
2021,Hamburg,Urban regions,No,0.99607,235,235,0.98806,1.00409
2021,Lower Saxony,Urban regions,No,0.98282,404,404,0.97013,0.99551
2021,Lower Saxony,Rural regions,No,0.94315,512,512,0.92308,0.96323
2021,Bremen,Urban regions,No,0.99069,64,64,0.96699,1.01440
2021,North Rhine-Westphalia,Urban regions,Yes,0.03018,77,2013,0.02271,0.03766
2021,North Rhine-Westphalia,Urban regions,No,0.96982,1936,2013,0.96234,0.97729
2021,North Rhine-Westphalia,Rural regions,No,0.71691,37,37,0.56974,0.86407
2021,Hesse,Urban regions,No,0.96018,486,486,0.94278,0.97758
2021,Hesse,Rural regions,No,0.96919,106,106,0.93614,1.00224
2021,"Rhineland-Palatinate, Saarland",Urban regions,No,0.96776,352,352,0.94928,0.98624
2021,"Rhineland-Palatinate, Saarland",Rural regions,No,0.92671,106,106,0.87687,0.97656
2021,Baden-Wuerttemberg,Urban regions,Yes,0.03796,55,939,0.02573,0.05019
2021,Baden-Wuerttemberg,Urban regions,No,0.96204,884,939,0.94981,0.97427
2021,Baden-Wuerttemberg,Rural regions,No,0.91816,96,96,0.86303,0.97328
2021,Bavaria,Urban regions,Yes,0.03793,41,771,0.02444,0.05143
2021,Bavaria,Urban regions,No,0.96207,730,771,0.94857,0.97556
2021,Bavaria,Rural regions,Yes,0.03734,45,797,0.02417,0.05051
2021,Bavaria,Rural regions,No,0.96266,752,797,0.94949,0.97583
2021,Berlin,Urban regions,No,0.99278,506,506,0.98539,1.00016
2021,Brandenburg,Rural regions,No,0.95283,338,338,0.93019,0.97546
2021,Mecklenburg-Western Pomerania,Rural regions,No,0.97180,184,184,0.94781,0.99578
2021,Saxony,Urban regions,No,0.97233,348,348,0.95507,0.98959
2021,Saxony,Rural regions,No,0.93963,302,302,0.91273,0.96654
2021,Saxony-Anhalt,Rural regions,No,0.92694,243,243,0.89415,0.95973
2021,Thuringa,Urban regions,No,0.93227,115,115,0.88614,0.97840
2021,Thuringa,Rural regions,No,0.97435,225,225,0.95365,0.99505
2022,Schleswig-Holstein,Urban regions,No,0.97568,242,242,0.95623,0.99513
2022,Schleswig-Holstein,Rural regions,Yes,0.06406,31,395,0.03988,0.08823
2022,Schleswig-Holstein,Rural regions,No,0.93594,364,395,0.91177,0.96012
2022,Hamburg,Urban regions,No,0.96317,423,423,0.94520,0.98114
2022,Lower Saxony,Urban regions,Yes,0.04141,33,735,0.02700,0.05583
2022,Lower Saxony,Urban regions,No,0.95859,702,735,0.94417,0.97300
2022,Lower Saxony,Rural regions,Yes,0.07445,67,897,0.05726,0.09164
2022,Lower Saxony,Rural regions,No,0.92555,830,897,0.90836,0.94274
2022,Bremen,Urban regions,No,0.98188,137,137,0.95946,1.00430
2022,North Rhine-Westphalia,Urban regions,Yes,0.05427,276,3832,0.04709,0.06144
2022,North Rhine-Westphalia,Urban regions,No,0.94573,3556,3832,0.93856,0.95291
2022,North Rhine-Westphalia,Rural regions,No,0.82251,70,70,0.73235,0.91266
2022,Hesse,Urban regions,Yes,0.05096,59,1008,0.03738,0.06454
2022,Hesse,Urban regions,No,0.94904,949,1008,0.93546,0.96262
2022,Hesse,Rural regions,No,0.92963,219,219,0.89568,0.96358
2022,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.05067,47,704,0.03446,0.06688
2022,"Rhineland-Palatinate, Saarland",Urban regions,No,0.94933,657,704,0.93312,0.96554
2022,"Rhineland-Palatinate, Saarland",Rural regions,No,0.94572,175,175,0.91205,0.97938
2022,Baden-Wuerttemberg,Urban regions,Yes,0.05455,145,1984,0.04456,0.06455
2022,Baden-Wuerttemberg,Urban regions,No,0.94545,1839,1984,0.93545,0.95544
2022,Baden-Wuerttemberg,Rural regions,Yes,0.11729,47,302,0.08094,0.15364
2022,Baden-Wuerttemberg,Rural regions,No,0.88271,255,302,0.84636,0.91906
2022,Bavaria,Urban regions,Yes,0.03250,86,1725,0.02413,0.04087
2022,Bavaria,Urban regions,No,0.96750,1639,1725,0.95913,0.97587
2022,Bavaria,Rural regions,Yes,0.07193,125,1383,0.05831,0.08555
2022,Bavaria,Rural regions,No,0.92807,1258,1383,0.91445,0.94169
2022,Berlin,Urban regions,No,0.99437,1123,1123,0.98999,0.99875
2022,Brandenburg,Urban regions,No,0.99066,64,64,0.96691,1.01441
2022,Brandenburg,Rural regions,Yes,0.06768,50,673,0.04869,0.08668
2022,Brandenburg,Rural regions,No,0.93232,623,673,0.91332,0.95131
2022,Mecklenburg-Western Pomerania,Urban regions,No,0.99751,83,83,0.98672,1.00830
2022,Mecklenburg-Western Pomerania,Rural regions,No,0.94507,311,311,0.91970,0.97043
2022,Saxony,Urban regions,No,0.96593,616,616,0.95160,0.98027
2022,Saxony,Rural regions,Yes,0.06596,48,661,0.04703,0.08490
2022,Saxony,Rural regions,No,0.93404,613,661,0.91510,0.95297
2022,Saxony-Anhalt,Urban regions,No,0.98205,150,150,0.96074,1.00337
2022,Saxony-Anhalt,Rural regions,Yes,0.04405,35,523,0.02644,0.06165
2022,Saxony-Anhalt,Rural regions,No,0.95595,488,523,0.93835,0.97356
2022,Thuringa,Urban regions,No,0.93818,183,183,0.90320,0.97317
2022,Thuringa,Rural regions,No,0.97144,352,352,0.95402,0.98887
