"beruf","year","bildungsniveau","regtyp","n","percent","lower_confidence","upper_confidence"
"Angestellte, einfache Tätigkeiten","1991","(noch) kein Abschluss","Laendlicher Raum","48","0.193457227730175","0.131669183801033","0.255245271659317"
"Angestellte, einfache Tätigkeiten","1991","Hauptschule","Staedtischer Raum","1204","0.207048914851706","0.195088734740551","0.21900909496286"
"Angestellte, einfache Tätigkeiten","1991","Hauptschule","Laendlicher Raum","533","0.199241268395772","0.182917340664075","0.21556519612747"
"Angestellte, einfache Tätigkeiten","1991","Realschule","Staedtischer Raum","225","0.112706316867843","0.0978518684797477","0.127560765255939"
"Angestellte, einfache Tätigkeiten","1991","Realschule","Laendlicher Raum","257","0.157257557733762","0.137952285159027","0.176562830308498"
"Angestellte, einfache Tätigkeiten","1991","(Fach-)Abitur","Staedtischer Raum","108","0.115761866027013","0.0920439305751497","0.139479801478876"
"Angestellte, einfache Tätigkeiten","1991","(Fach-)Abitur","Laendlicher Raum","","","",""
"Angestellte, einfache Tätigkeiten","1991","AkademikerIn","Staedtischer Raum","48","0.0382750539658854","0.0262136377311273","0.0503364702006434"
"Angestellte, einfache Tätigkeiten","1991","AkademikerIn","Laendlicher Raum","67","0.0681503253334546","0.0492786828268813","0.087021967840028"
"Angestellte, qualifizierte Tätigkeiten","1991","(noch) kein Abschluss","Staedtischer Raum","49","0.059285970543148","0.0420480356489013","0.0765239054373948"
"Angestellte, qualifizierte Tätigkeiten","1991","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1991","Hauptschule","Staedtischer Raum","1086","0.235986760630483","0.223453262424282","0.248520258836684"
"Angestellte, qualifizierte Tätigkeiten","1991","Hauptschule","Laendlicher Raum","567","0.217425237219121","0.200567391751785","0.234283082686458"
"Angestellte, qualifizierte Tätigkeiten","1991","Realschule","Staedtischer Raum","709","0.393842680246798","0.37089161901799","0.416793741475605"
"Angestellte, qualifizierte Tätigkeiten","1991","Realschule","Laendlicher Raum","603","0.414741943071135","0.388615191190188","0.440868694952082"
"Angestellte, qualifizierte Tätigkeiten","1991","(Fach-)Abitur","Staedtischer Raum","197","0.312202670912616","0.277850194291273","0.346555147533958"
"Angestellte, qualifizierte Tätigkeiten","1991","(Fach-)Abitur","Laendlicher Raum","49","0.281872815346766","0.216687491664551","0.34705813902898"
"Angestellte, qualifizierte Tätigkeiten","1991","AkademikerIn","Staedtischer Raum","488","0.439714368688192","0.408510745140069","0.470917992236314"
"Angestellte, qualifizierte Tätigkeiten","1991","AkademikerIn","Laendlicher Raum","343","0.430268570063916","0.393191303769166","0.467345836358667"
"Selbstständige/ManagerInnen","1991","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Selbstständige/ManagerInnen","1991","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1991","Hauptschule","Staedtischer Raum","183","0.0407216134040058","0.0348876612951992","0.0465555655128124"
"Selbstständige/ManagerInnen","1991","Hauptschule","Laendlicher Raum","110","0.0503889712195778","0.0414492331627745","0.0593287092763811"
"Selbstständige/ManagerInnen","1991","Realschule","Staedtischer Raum","88","0.0551775898152518","0.0444523956929951","0.0659027839375085"
"Selbstständige/ManagerInnen","1991","Realschule","Laendlicher Raum","71","0.0550072959736677","0.042916716464003","0.0670978754833323"
"Selbstständige/ManagerInnen","1991","(Fach-)Abitur","Staedtischer Raum","38","0.0580530653192462","0.0407176081276479","0.0753885225108446"
"Selbstständige/ManagerInnen","1991","(Fach-)Abitur","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1991","AkademikerIn","Staedtischer Raum","116","0.128084717078577","0.107075940610215","0.149093493546939"
"Selbstständige/ManagerInnen","1991","AkademikerIn","Laendlicher Raum","59","0.0918508827489297","0.0702225493732013","0.113479216124658"
"In Ausbildung","1991","(noch) kein Abschluss","Staedtischer Raum","139","0.336421436740863","0.301933400741924","0.370909472739802"
"In Ausbildung","1991","(noch) kein Abschluss","Laendlicher Raum","60","0.495113830941275","0.416906488049825","0.573321173832725"
"In Ausbildung","1991","Hauptschule","Staedtischer Raum","170","0.0264792523682647","0.0217400690644929","0.0312184356720365"
"In Ausbildung","1991","Hauptschule","Laendlicher Raum","59","0.0232914411937584","0.0171274096753185","0.0294554727121983"
"In Ausbildung","1991","Realschule","Staedtischer Raum","212","0.0921925628782981","0.0786033745411112","0.105781751215485"
"In Ausbildung","1991","Realschule","Laendlicher Raum","147","0.0939148787727704","0.0784454441302797","0.109384313415261"
"In Ausbildung","1991","(Fach-)Abitur","Staedtischer Raum","184","0.253316829733239","0.221075740424534","0.285557919041943"
"In Ausbildung","1991","(Fach-)Abitur","Laendlicher Raum","71","0.345123893379675","0.276244449447206","0.414003337312143"
"In Ausbildung","1991","AkademikerIn","Staedtischer Raum","","","",""
"In Ausbildung","1991","AkademikerIn","Laendlicher Raum","","","",""
"In Rente oder Pension","1991","(noch) kein Abschluss","Staedtischer Raum","76","0.107797191142141","0.0851603421324862","0.130434040151796"
"In Rente oder Pension","1991","(noch) kein Abschluss","Laendlicher Raum","","","",""
"In Rente oder Pension","1991","Hauptschule","Staedtischer Raum","929","0.312238084996844","0.298559535684328","0.325916634309359"
"In Rente oder Pension","1991","Hauptschule","Laendlicher Raum","617","0.339737803350686","0.320381860710441","0.359093745990931"
"In Rente oder Pension","1991","Realschule","Staedtischer Raum","183","0.170340170031822","0.152681529121101","0.187998810942542"
"In Rente oder Pension","1991","Realschule","Laendlicher Raum","65","0.0939972082047386","0.0785216976159054","0.109472718793572"
"In Rente oder Pension","1991","(Fach-)Abitur","Staedtischer Raum","47","0.105166408818434","0.0824249057951791","0.12790791184169"
"In Rente oder Pension","1991","(Fach-)Abitur","Laendlicher Raum","","","",""
"In Rente oder Pension","1991","AkademikerIn","Staedtischer Raum","90","0.125139164174459","0.104338314704198","0.14594001364472"
"In Rente oder Pension","1991","AkademikerIn","Laendlicher Raum","88","0.186571776987003","0.157398487762235","0.215745066211771"
"Arbeitslose","1991","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Arbeitslose","1991","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Arbeitslose","1991","Hauptschule","Staedtischer Raum","171","0.0305750459807138","0.0254932327642646","0.035656859197163"
"Arbeitslose","1991","Hauptschule","Laendlicher Raum","138","0.0468605441654118","0.0382234816971647","0.0554976066336588"
"Arbeitslose","1991","Realschule","Staedtischer Raum","56","0.022983130394096","0.015944237980936","0.0300220228072559"
"Arbeitslose","1991","Realschule","Laendlicher Raum","91","0.0500826899643358","0.0385159901220451","0.0616493898066264"
"Arbeitslose","1991","(Fach-)Abitur","Staedtischer Raum","","","",""
"Arbeitslose","1991","(Fach-)Abitur","Laendlicher Raum","","","",""
"Arbeitslose","1991","AkademikerIn","Staedtischer Raum","","","",""
"Arbeitslose","1991","AkademikerIn","Laendlicher Raum","49","0.0657696860980043","0.0472069210657528","0.0843324511302559"
"Sonstige Nichterwerbspersonen","1991","(noch) kein Abschluss","Staedtischer Raum","150","0.160550155602707","0.133753339210727","0.187346971994686"
"Sonstige Nichterwerbspersonen","1991","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Sonstige Nichterwerbspersonen","1991","Hauptschule","Staedtischer Raum","610","0.13056100144829","0.120616011782596","0.140505991113983"
"Sonstige Nichterwerbspersonen","1991","Hauptschule","Laendlicher Raum","240","0.106412731547244","0.0938104419622853","0.119015021132203"
"Sonstige Nichterwerbspersonen","1991","Realschule","Staedtischer Raum","195","0.108905374718796","0.0942723106401513","0.123538438797441"
"Sonstige Nichterwerbspersonen","1991","Realschule","Laendlicher Raum","98","0.0950907330567226","0.0795348612009417","0.110646604912503"
"Sonstige Nichterwerbspersonen","1991","(Fach-)Abitur","Staedtischer Raum","68","0.0715939357775817","0.0524814750369531","0.0907063965182102"
"Sonstige Nichterwerbspersonen","1991","(Fach-)Abitur","Laendlicher Raum","","","",""
"Sonstige Nichterwerbspersonen","1991","AkademikerIn","Staedtischer Raum","53","0.0552087504577787","0.0408509851980268","0.0695665157175305"
"Sonstige Nichterwerbspersonen","1991","AkademikerIn","Laendlicher Raum","","","",""
"Beamte","1991","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Beamte","1991","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Beamte","1991","Hauptschule","Staedtischer Raum","56","0.0163893263196933","0.012641579802831","0.0201370728365557"
"Beamte","1991","Hauptschule","Laendlicher Raum","36","0.016642002908428","0.0114139160193433","0.0218700897975127"
"Beamte","1991","Realschule","Staedtischer Raum","73","0.0438521750470952","0.0342336873084377","0.0534706627857528"
"Beamte","1991","Realschule","Laendlicher Raum","34","0.0399076932228676","0.029527449545786","0.0502879368999492"
"Beamte","1991","(Fach-)Abitur","Staedtischer Raum","34","0.0569840587291767","0.0397992101500179","0.0741689073083355"
"Beamte","1991","(Fach-)Abitur","Laendlicher Raum","","","",""
"Beamte","1991","AkademikerIn","Staedtischer Raum","126","0.157580192893901","0.134675205494962","0.18048518029284"
"Beamte","1991","AkademikerIn","Laendlicher Raum","41","0.102357585958028","0.0796581793057329","0.125056992610324"
"Angestellte, einfache Tätigkeiten","1992","(noch) kein Abschluss","Staedtischer Raum","232","0.259359143302831","0.226937565255294","0.291780721350367"
"Angestellte, einfache Tätigkeiten","1992","(noch) kein Abschluss","Laendlicher Raum","49","0.223943019325218","0.161090844729217","0.286795193921219"
"Angestellte, einfache Tätigkeiten","1992","Hauptschule","Staedtischer Raum","1121","0.196150673507536","0.184308301026138","0.207993045988933"
"Angestellte, einfache Tätigkeiten","1992","Hauptschule","Laendlicher Raum","455","0.176192028356951","0.160206505692034","0.192177551021868"
"Angestellte, einfache Tätigkeiten","1992","Realschule","Staedtischer Raum","229","0.115455504292521","0.100361701170791","0.13054930741425"
"Angestellte, einfache Tätigkeiten","1992","Realschule","Laendlicher Raum","222","0.145404942014716","0.126431501009332","0.164378383020101"
"Angestellte, einfache Tätigkeiten","1992","(Fach-)Abitur","Staedtischer Raum","105","0.105046406249283","0.0824453236788756","0.127647488819691"
"Angestellte, einfache Tätigkeiten","1992","(Fach-)Abitur","Laendlicher Raum","","","",""
"Angestellte, einfache Tätigkeiten","1992","AkademikerIn","Staedtischer Raum","44","0.029278099141144","0.0187553677115758","0.0398008305707123"
"Angestellte, einfache Tätigkeiten","1992","AkademikerIn","Laendlicher Raum","52","0.0638672322405806","0.0448490502066708","0.0828854142744904"
"Angestellte, qualifizierte Tätigkeiten","1992","(noch) kein Abschluss","Staedtischer Raum","47","0.0593089167371266","0.0418360950630237","0.0767817384112295"
"Angestellte, qualifizierte Tätigkeiten","1992","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1992","Hauptschule","Staedtischer Raum","1043","0.23325753822876","0.220645098892581","0.245869977564939"
"Angestellte, qualifizierte Tätigkeiten","1992","Hauptschule","Laendlicher Raum","478","0.202078329875184","0.185229850144367","0.218926809606"
"Angestellte, qualifizierte Tätigkeiten","1992","Realschule","Staedtischer Raum","676","0.375834217643376","0.352958240471799","0.398710194814952"
"Angestellte, qualifizierte Tätigkeiten","1992","Realschule","Laendlicher Raum","523","0.360320451804869","0.334479886012156","0.386161017597582"
"Angestellte, qualifizierte Tätigkeiten","1992","(Fach-)Abitur","Staedtischer Raum","198","0.319851116505973","0.285470448203864","0.354231784808082"
"Angestellte, qualifizierte Tätigkeiten","1992","(Fach-)Abitur","Laendlicher Raum","54","0.259990265092778","0.196612570203681","0.323367959981874"
"Angestellte, qualifizierte Tätigkeiten","1992","AkademikerIn","Staedtischer Raum","455","0.414841273879789","0.384088276159237","0.445594271600342"
"Angestellte, qualifizierte Tätigkeiten","1992","AkademikerIn","Laendlicher Raum","320","0.451366132149159","0.412661136789424","0.490071127508894"
"Selbstständige/ManagerInnen","1992","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Selbstständige/ManagerInnen","1992","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1992","Hauptschule","Staedtischer Raum","186","0.0417102652804147","0.035747792863129","0.0476727376977004"
"Selbstständige/ManagerInnen","1992","Hauptschule","Laendlicher Raum","99","0.0500355823866213","0.0408878412449555","0.0591833235282872"
"Selbstständige/ManagerInnen","1992","Realschule","Staedtischer Raum","81","0.0518376753976538","0.0413664954345252","0.0623088553607825"
"Selbstständige/ManagerInnen","1992","Realschule","Laendlicher Raum","71","0.0576268775347142","0.0450839094078998","0.0701698456615285"
"Selbstständige/ManagerInnen","1992","(Fach-)Abitur","Staedtischer Raum","44","0.066528132149625","0.0481588719341503","0.0848973923650997"
"Selbstständige/ManagerInnen","1992","(Fach-)Abitur","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1992","AkademikerIn","Staedtischer Raum","132","0.149236187089538","0.126995345835703","0.171477028343374"
"Selbstständige/ManagerInnen","1992","AkademikerIn","Laendlicher Raum","59","0.0891452380623984","0.0669819153811845","0.111308560743612"
"In Ausbildung","1992","(noch) kein Abschluss","Staedtischer Raum","142","0.330195953309811","0.295407165868966","0.364984740750656"
"In Ausbildung","1992","(noch) kein Abschluss","Laendlicher Raum","64","0.421982251309596","0.347522356529437","0.496442146089755"
"In Ausbildung","1992","Hauptschule","Staedtischer Raum","164","0.0271013181691806","0.0222586411608399","0.0319439951775213"
"In Ausbildung","1992","Hauptschule","Laendlicher Raum","70","0.025355790999899","0.0187597650900885","0.0319518169097094"
"In Ausbildung","1992","Realschule","Staedtischer Raum","223","0.0937838827919052","0.0800145938647928","0.107553171719018"
"In Ausbildung","1992","Realschule","Laendlicher Raum","164","0.113025293029364","0.0959833241603446","0.130067261898384"
"In Ausbildung","1992","(Fach-)Abitur","Staedtischer Raum","182","0.242249896197985","0.210668364730898","0.273831427665072"
"In Ausbildung","1992","(Fach-)Abitur","Laendlicher Raum","65","0.314521086144203","0.247430573116235","0.381611599172172"
"In Ausbildung","1992","AkademikerIn","Staedtischer Raum","","","",""
"In Ausbildung","1992","AkademikerIn","Laendlicher Raum","","","",""
"In Rente oder Pension","1992","(noch) kein Abschluss","Staedtischer Raum","72","0.106244509483982","0.0834493757616261","0.129039643206337"
"In Rente oder Pension","1992","(noch) kein Abschluss","Laendlicher Raum","","","",""
"In Rente oder Pension","1992","Hauptschule","Staedtischer Raum","974","0.323479955235711","0.309528467854149","0.337431442617273"
"In Rente oder Pension","1992","Hauptschule","Laendlicher Raum","670","0.377014839605462","0.356680091773141","0.397349587437783"
"In Rente oder Pension","1992","Realschule","Staedtischer Raum","186","0.174622801111981","0.156691647696116","0.192553954527846"
"In Rente oder Pension","1992","Realschule","Laendlicher Raum","72","0.107757021844622","0.0910676232003705","0.124446420488874"
"In Rente oder Pension","1992","(Fach-)Abitur","Staedtischer Raum","46","0.0989112147313377","0.0769050203811605","0.120917409081515"
"In Rente oder Pension","1992","(Fach-)Abitur","Laendlicher Raum","","","",""
"In Rente oder Pension","1992","AkademikerIn","Staedtischer Raum","102","0.131994239864409","0.110866724471066","0.153121755257751"
"In Rente oder Pension","1992","AkademikerIn","Laendlicher Raum","92","0.194654537302147","0.163859225748837","0.225449848855458"
"Arbeitslose","1992","(noch) kein Abschluss","Staedtischer Raum","57","0.0603129068927244","0.0427022199810759","0.0779235938043729"
"Arbeitslose","1992","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Arbeitslose","1992","Hauptschule","Staedtischer Raum","213","0.0412520370397083","0.0353209893562264","0.0471830847231903"
"Arbeitslose","1992","Hauptschule","Laendlicher Raum","183","0.0627870681938162","0.0526087750142321","0.0729653613734002"
"Arbeitslose","1992","Realschule","Staedtischer Raum","80","0.0430697182075812","0.033481063459361","0.0526583729558015"
"Arbeitslose","1992","Realschule","Laendlicher Raum","146","0.0909691868852498","0.075491260110141","0.106447113660359"
"Arbeitslose","1992","(Fach-)Abitur","Staedtischer Raum","","","",""
"Arbeitslose","1992","(Fach-)Abitur","Laendlicher Raum","","","",""
"Arbeitslose","1992","AkademikerIn","Staedtischer Raum","64","0.0438210101596445","0.0310442593621813","0.0565977609571078"
"Arbeitslose","1992","AkademikerIn","Laendlicher Raum","48","0.0612374368688065","0.0425887776953265","0.0798860960422866"
"Sonstige Nichterwerbspersonen","1992","(noch) kein Abschluss","Staedtischer Raum","144","0.173604735056719","0.145585632026861","0.201623838086577"
"Sonstige Nichterwerbspersonen","1992","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Sonstige Nichterwerbspersonen","1992","Hauptschule","Staedtischer Raum","567","0.122667192430224","0.112883497852305","0.132450887008144"
"Sonstige Nichterwerbspersonen","1992","Hauptschule","Laendlicher Raum","192","0.0902052353216717","0.0781851290736028","0.102225341569741"
"Sonstige Nichterwerbspersonen","1992","Realschule","Staedtischer Raum","179","0.10559098625275","0.0910761204705692","0.12010585203493"
"Sonstige Nichterwerbspersonen","1992","Realschule","Laendlicher Raum","93","0.0878910528849738","0.0726515071902843","0.103130598579663"
"Sonstige Nichterwerbspersonen","1992","(Fach-)Abitur","Staedtischer Raum","78","0.0946678248325748","0.0730882163503666","0.116247433314783"
"Sonstige Nichterwerbspersonen","1992","(Fach-)Abitur","Laendlicher Raum","","","",""
"Sonstige Nichterwerbspersonen","1992","AkademikerIn","Staedtischer Raum","46","0.0579267290274043","0.0433455891104032","0.0725078689444054"
"Sonstige Nichterwerbspersonen","1992","AkademikerIn","Laendlicher Raum","","","",""
"Beamte","1992","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Beamte","1992","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Beamte","1992","Hauptschule","Staedtischer Raum","51","0.0143810201084653","0.0108303864573267","0.0179316537596039"
"Beamte","1992","Hauptschule","Laendlicher Raum","35","0.0163311252603954","0.0110130652017094","0.0216491853190815"
"Beamte","1992","Realschule","Staedtischer Raum","68","0.0398052143022329","0.0305713992366378","0.049039029367828"
"Beamte","1992","Realschule","Laendlicher Raum","35","0.0370051740014906","0.0268445698680699","0.0471657781349112"
"Beamte","1992","(Fach-)Abitur","Staedtischer Raum","33","0.0513737996123344","0.0351012057416527","0.067646393483016"
"Beamte","1992","(Fach-)Abitur","Laendlicher Raum","","","",""
"Beamte","1992","AkademikerIn","Staedtischer Raum","115","0.144143593755056","0.122220201253644","0.166066986256469"
"Beamte","1992","AkademikerIn","Laendlicher Raum","36","0.099243897551294","0.0759888762969252","0.122498918805663"
"Angestellte, einfache Tätigkeiten","1993","(noch) kein Abschluss","Staedtischer Raum","231","0.283522464632016","0.249621798605963","0.317423130658069"
"Angestellte, einfache Tätigkeiten","1993","(noch) kein Abschluss","Laendlicher Raum","41","0.152885512737517","0.0989463429821346","0.206824682492899"
"Angestellte, einfache Tätigkeiten","1993","Hauptschule","Staedtischer Raum","1110","0.20543124139946","0.193244489650556","0.217617993148364"
"Angestellte, einfache Tätigkeiten","1993","Hauptschule","Laendlicher Raum","430","0.178579818618943","0.162268690976965","0.194890946260921"
"Angestellte, einfache Tätigkeiten","1993","Realschule","Staedtischer Raum","215","0.104237609967866","0.0899169899693961","0.118558229966336"
"Angestellte, einfache Tätigkeiten","1993","Realschule","Laendlicher Raum","266","0.176623345920366","0.156212686762132","0.1970340050786"
"Angestellte, einfache Tätigkeiten","1993","(Fach-)Abitur","Staedtischer Raum","105","0.124809897449165","0.100465043460209","0.149154751438121"
"Angestellte, einfache Tätigkeiten","1993","(Fach-)Abitur","Laendlicher Raum","","","",""
"Angestellte, einfache Tätigkeiten","1993","AkademikerIn","Staedtischer Raum","50","0.0332760744105889","0.0222202841734769","0.0443318646477009"
"Angestellte, einfache Tätigkeiten","1993","AkademikerIn","Laendlicher Raum","48","0.0594811921927291","0.0409232690910095","0.0780391152944486"
"Angestellte, qualifizierte Tätigkeiten","1993","(noch) kein Abschluss","Staedtischer Raum","36","0.0420370370696875","0.0269430625673496","0.0571310115720254"
"Angestellte, qualifizierte Tätigkeiten","1993","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1993","Hauptschule","Staedtischer Raum","941","0.21595804230977","0.203545997932277","0.228370086687263"
"Angestellte, qualifizierte Tätigkeiten","1993","Hauptschule","Laendlicher Raum","413","0.170866680098855","0.154836958196915","0.186896402000795"
"Angestellte, qualifizierte Tätigkeiten","1993","Realschule","Staedtischer Raum","708","0.391061192462098","0.368191392148131","0.413930992776066"
"Angestellte, qualifizierte Tätigkeiten","1993","Realschule","Laendlicher Raum","489","0.342966024883282","0.317559037862743","0.36837301190382"
"Angestellte, qualifizierte Tätigkeiten","1993","(Fach-)Abitur","Staedtischer Raum","188","0.304421798210828","0.270526276922577","0.33831731949908"
"Angestellte, qualifizierte Tätigkeiten","1993","(Fach-)Abitur","Laendlicher Raum","59","0.322727681268254","0.258255527593761","0.387199834942747"
"Angestellte, qualifizierte Tätigkeiten","1993","AkademikerIn","Staedtischer Raum","452","0.389245598785981","0.3591905338104","0.419300663761563"
"Angestellte, qualifizierte Tätigkeiten","1993","AkademikerIn","Laendlicher Raum","301","0.414407603953494","0.375756013569964","0.453059194337025"
"Selbstständige/ManagerInnen","1993","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Selbstständige/ManagerInnen","1993","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1993","Hauptschule","Staedtischer Raum","187","0.0425585684669022","0.0364696719853833","0.0486474649484211"
"Selbstständige/ManagerInnen","1993","Hauptschule","Laendlicher Raum","94","0.0516965667521648","0.0422670458937231","0.0611260876106066"
"Selbstständige/ManagerInnen","1993","Realschule","Staedtischer Raum","88","0.0505843610481551","0.0403139101362434","0.0608548119600669"
"Selbstständige/ManagerInnen","1993","Realschule","Laendlicher Raum","76","0.0547315772473627","0.042557662415802","0.0669054920789233"
"Selbstständige/ManagerInnen","1993","(Fach-)Abitur","Staedtischer Raum","43","0.0723926254452275","0.0533046124417092","0.0914806384487458"
"Selbstständige/ManagerInnen","1993","(Fach-)Abitur","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1993","AkademikerIn","Staedtischer Raum","135","0.154283349529478","0.132017232712279","0.176549466346677"
"Selbstständige/ManagerInnen","1993","AkademikerIn","Laendlicher Raum","67","0.108595237131633","0.0841835013763143","0.133006972886952"
"In Ausbildung","1993","(noch) kein Abschluss","Staedtischer Raum","140","0.327478257015601","0.292179647016656","0.362776867014546"
"In Ausbildung","1993","(noch) kein Abschluss","Laendlicher Raum","68","0.461458515208699","0.386740392848592","0.536176637568807"
"In Ausbildung","1993","Hauptschule","Staedtischer Raum","143","0.024650476864312","0.0199733217080709","0.0293276320205531"
"In Ausbildung","1993","Hauptschule","Laendlicher Raum","65","0.0248435854821718","0.0182148698071189","0.0314723011572248"
"In Ausbildung","1993","Realschule","Staedtischer Raum","213","0.0928731461829547","0.0792702220122272","0.106476070353682"
"In Ausbildung","1993","Realschule","Laendlicher Raum","154","0.0995338063992687","0.0835104786958317","0.115557134102706"
"In Ausbildung","1993","(Fach-)Abitur","Staedtischer Raum","205","0.260649097724984","0.22831320326278","0.292984992187187"
"In Ausbildung","1993","(Fach-)Abitur","Laendlicher Raum","71","0.267200298030201","0.206178708334662","0.328221887725739"
"In Ausbildung","1993","AkademikerIn","Staedtischer Raum","","","",""
"In Ausbildung","1993","AkademikerIn","Laendlicher Raum","","","",""
"In Rente oder Pension","1993","(noch) kein Abschluss","Staedtischer Raum","81","0.107915988836413","0.0845782390687411","0.131253738604085"
"In Rente oder Pension","1993","(noch) kein Abschluss","Laendlicher Raum","","","",""
"In Rente oder Pension","1993","Hauptschule","Staedtischer Raum","984","0.325218575493011","0.311088053429188","0.339349097556835"
"In Rente oder Pension","1993","Hauptschule","Laendlicher Raum","694","0.392687447804794","0.371889774519779","0.413485121089809"
"In Rente oder Pension","1993","Realschule","Staedtischer Raum","187","0.172039957978512","0.154352210101441","0.189727705855583"
"In Rente oder Pension","1993","Realschule","Laendlicher Raum","72","0.107308782516393","0.0907433809985148","0.123874184034271"
"In Rente oder Pension","1993","(Fach-)Abitur","Staedtischer Raum","42","0.0839132096035488","0.0634904258437816","0.104335993363316"
"In Rente oder Pension","1993","(Fach-)Abitur","Laendlicher Raum","","","",""
"In Rente oder Pension","1993","AkademikerIn","Staedtischer Raum","120","0.142569581337836","0.121017689751927","0.164121472923744"
"In Rente oder Pension","1993","AkademikerIn","Laendlicher Raum","92","0.19700382225195","0.16579697743036","0.22821066707354"
"Arbeitslose","1993","(noch) kein Abschluss","Staedtischer Raum","44","0.0525073629258518","0.0357304817188239","0.0692842441328797"
"Arbeitslose","1993","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Arbeitslose","1993","Hauptschule","Staedtischer Raum","247","0.0492443329772367","0.0427175140014602","0.0557711519530132"
"Arbeitslose","1993","Hauptschule","Laendlicher Raum","204","0.0752060031512943","0.063974603831246","0.0864374024713426"
"Arbeitslose","1993","Realschule","Staedtischer Raum","86","0.0402881760913939","0.0310728138285598","0.0495035383542281"
"Arbeitslose","1993","Realschule","Laendlicher Raum","158","0.099566560174618","0.0835408877436645","0.115592232605572"
"Arbeitslose","1993","(Fach-)Abitur","Staedtischer Raum","","","",""
"Arbeitslose","1993","(Fach-)Abitur","Laendlicher Raum","","","",""
"Arbeitslose","1993","AkademikerIn","Staedtischer Raum","53","0.0481609883875458","0.0349631757347003","0.0613588010403913"
"Arbeitslose","1993","AkademikerIn","Laendlicher Raum","50","0.0772503640608666","0.0563021016816087","0.0981986264401245"
"Sonstige Nichterwerbspersonen","1993","(noch) kein Abschluss","Staedtischer Raum","138","0.1747185433244","0.146156863429234","0.203280223219566"
"Sonstige Nichterwerbspersonen","1993","(noch) kein Abschluss","Laendlicher Raum","30","0.14345990210181","0.0909200131814333","0.195999791022187"
"Sonstige Nichterwerbspersonen","1993","Hauptschule","Staedtischer Raum","558","0.120867239544776","0.111034591131499","0.130699887958053"
"Sonstige Nichterwerbspersonen","1993","Hauptschule","Laendlicher Raum","185","0.090010642700391","0.0778221444020916","0.10219914099869"
"Sonstige Nichterwerbspersonen","1993","Realschule","Staedtischer Raum","179","0.10636342162775","0.0919146873324426","0.120812155923057"
"Sonstige Nichterwerbspersonen","1993","Realschule","Laendlicher Raum","92","0.0814997189732412","0.0668559993697842","0.0961434385766982"
"Sonstige Nichterwerbspersonen","1993","(Fach-)Abitur","Staedtischer Raum","64","0.0701273169790019","0.0513174026004946","0.0889372313575091"
"Sonstige Nichterwerbspersonen","1993","(Fach-)Abitur","Laendlicher Raum","","","",""
"Sonstige Nichterwerbspersonen","1993","AkademikerIn","Staedtischer Raum","42","0.045813647958987","0.0329256175951432","0.0587016783228309"
"Sonstige Nichterwerbspersonen","1993","AkademikerIn","Laendlicher Raum","","","",""
"Beamte","1993","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Beamte","1993","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Beamte","1993","Hauptschule","Staedtischer Raum","52","0.016071522944531","0.0122783795758596","0.0198646663132023"
"Beamte","1993","Hauptschule","Laendlicher Raum","33","0.0161092553913859","0.0107476322604625","0.0214708785223094"
"Beamte","1993","Realschule","Staedtischer Raum","73","0.0425521346412699","0.0330925638932868","0.0520117053892529"
"Beamte","1993","Realschule","Laendlicher Raum","34","0.0377701838854691","0.0275667194113485","0.0479736483595896"
"Beamte","1993","(Fach-)Abitur","Staedtischer Raum","32","0.0551157710032854","0.0383061196521556","0.0719254223544152"
"Beamte","1993","(Fach-)Abitur","Laendlicher Raum","","","",""
"Beamte","1993","AkademikerIn","Staedtischer Raum","131","0.158031037406065","0.135546096527351","0.180515978284778"
"Beamte","1993","AkademikerIn","Laendlicher Raum","39","0.0955732065253892","0.072505172433602","0.118641240617176"
