"beruf","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"In Ausbildung","1985","Hamburg","Staedtischer Raum","","","",""
"In Ausbildung","1985","Hamburg","Laendlicher Raum","","","",""
"In Ausbildung","1985","Niedersachsen","Staedtischer Raum","65","0.115215857699861","0.0875329034681207","0.142898811931601"
"In Ausbildung","1985","Niedersachsen","Laendlicher Raum","78","0.129021572615613","0.102108714245102","0.155934430986124"
"In Ausbildung","1985","Bremen","Staedtischer Raum","","","",""
"In Ausbildung","1985","Bremen","Laendlicher Raum","","","",""
"In Ausbildung","1985","Nordrhein-Westfalen","Staedtischer Raum","322","0.104477063146806","0.0933097180324937","0.115644408261119"
"In Ausbildung","1985","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"In Ausbildung","1985","Hessen","Staedtischer Raum","92","0.0948452306551482","0.0764443849733061","0.11324607633699"
"In Ausbildung","1985","Hessen","Laendlicher Raum","","","",""
"In Ausbildung","1985","Rheinland-Pfalz,Saarland","Staedtischer Raum","57","0.0810863733572025","0.0597880853431728","0.102384661371232"
"In Ausbildung","1985","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"In Ausbildung","1985","Baden-Württemberg","Staedtischer Raum","167","0.0993499713994519","0.0853069258584073","0.113393016940496"
"In Ausbildung","1985","Baden-Württemberg","Laendlicher Raum","","","",""
"In Ausbildung","1985","Bayern","Staedtischer Raum","88","0.0856235980082071","0.0680423009356362","0.103204895080778"
"In Ausbildung","1985","Bayern","Laendlicher Raum","75","0.0793616075894102","0.0618856853134429","0.0968375298653776"
"In Ausbildung","1985","Saarland","Staedtischer Raum","","","",""
"In Ausbildung","1985","Saarland","Laendlicher Raum","","","",""
"In Ausbildung","1985","Berlin","Staedtischer Raum","","","",""
"In Ausbildung","1985","Berlin","Laendlicher Raum","","","",""
"In Ausbildung","1985","Brandenburg","Staedtischer Raum","","","",""
"In Ausbildung","1985","Brandenburg","Laendlicher Raum","","","",""
"In Ausbildung","1985","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"In Ausbildung","1985","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"In Ausbildung","1985","Sachsen","Staedtischer Raum","","","",""
"In Ausbildung","1985","Sachsen","Laendlicher Raum","","","",""
"In Ausbildung","1985","Sachsen-Anhalt","Staedtischer Raum","","","",""
"In Ausbildung","1985","Sachsen-Anhalt","Laendlicher Raum","","","",""
"In Ausbildung","1985","Thüringen","Staedtischer Raum","","","",""
"In Ausbildung","1985","Thüringen","Laendlicher Raum","","","",""
"In Rente oder Pension","1985","Schleswig-Holstein","Staedtischer Raum","","","",""
"In Rente oder Pension","1985","Schleswig-Holstein","Laendlicher Raum","31","0.242761040346891","0.180978153536459","0.304543927157322"
"In Rente oder Pension","1985","Hamburg","Staedtischer Raum","57","0.318247389078828","0.263094452738753","0.373400325418902"
"In Rente oder Pension","1985","Hamburg","Laendlicher Raum","","","",""
"In Rente oder Pension","1985","Niedersachsen","Staedtischer Raum","80","0.224915375917632","0.188714275276226","0.261116476559038"
"In Rente oder Pension","1985","Niedersachsen","Laendlicher Raum","107","0.256502580724989","0.221442689580201","0.291562471869777"
"In Rente oder Pension","1985","Bremen","Staedtischer Raum","40","0.476416311657525","0.385528538740956","0.567304084574094"
"In Rente oder Pension","1985","Bremen","Laendlicher Raum","","","",""
"In Rente oder Pension","1985","Nordrhein-Westfalen","Staedtischer Raum","365","0.208799602154882","0.193960446694512","0.223638757615253"
"In Rente oder Pension","1985","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"In Rente oder Pension","1985","Hessen","Staedtischer Raum","133","0.233191089155203","0.206634752624525","0.259747425685882"
"In Rente oder Pension","1985","Hessen","Laendlicher Raum","33","0.3115616364746","0.238651692943353","0.384471580005848"
"In Rente oder Pension","1985","Rheinland-Pfalz,Saarland","Staedtischer Raum","103","0.229598596999535","0.196783283406451","0.262413910592618"
"In Rente oder Pension","1985","Rheinland-Pfalz,Saarland","Laendlicher Raum","32","0.282543492958018","0.207963125721077","0.357123860194958"
"In Rente oder Pension","1985","Baden-Württemberg","Staedtischer Raum","197","0.203219301046166","0.184328460738276","0.222110141354057"
"In Rente oder Pension","1985","Baden-Württemberg","Laendlicher Raum","40","0.235478761606016","0.187060662847976","0.283896860364056"
"In Rente oder Pension","1985","Bayern","Staedtischer Raum","127","0.208448502971211","0.182925565974609","0.233971439967813"
"In Rente oder Pension","1985","Bayern","Laendlicher Raum","150","0.235855718133627","0.208408317339122","0.263303118928133"
"In Rente oder Pension","1985","Saarland","Staedtischer Raum","","","",""
"In Rente oder Pension","1985","Saarland","Laendlicher Raum","","","",""
"In Rente oder Pension","1985","Berlin","Staedtischer Raum","59","0.284959175180694","0.238587355238965","0.331330995122423"
"In Rente oder Pension","1985","Berlin","Laendlicher Raum","","","",""
"In Rente oder Pension","1985","Brandenburg","Staedtischer Raum","","","",""
"In Rente oder Pension","1985","Brandenburg","Laendlicher Raum","","","",""
"In Rente oder Pension","1985","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"In Rente oder Pension","1985","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"In Rente oder Pension","1985","Sachsen","Staedtischer Raum","","","",""
"In Rente oder Pension","1985","Sachsen","Laendlicher Raum","","","",""
"In Rente oder Pension","1985","Sachsen-Anhalt","Staedtischer Raum","","","",""
"In Rente oder Pension","1985","Sachsen-Anhalt","Laendlicher Raum","","","",""
"In Rente oder Pension","1985","Thüringen","Staedtischer Raum","","","",""
"In Rente oder Pension","1985","Thüringen","Laendlicher Raum","","","",""
"Arbeitslose","1985","Schleswig-Holstein","Staedtischer Raum","","","",""
"Arbeitslose","1985","Schleswig-Holstein","Laendlicher Raum","","","",""
"Arbeitslose","1985","Hamburg","Staedtischer Raum","","","",""
"Arbeitslose","1985","Hamburg","Laendlicher Raum","","","",""
"Arbeitslose","1985","Niedersachsen","Staedtischer Raum","","","",""
