"beruf","year","regtyp","n","percent","lower_confidence","upper_confidence"
"In Rente oder Pension","2001","Staedtischer Raum","3128","0.261624760251255","0.254406873018824","0.268842647483687"
"In Rente oder Pension","2001","Laendlicher Raum","1797","0.284829478396576","0.274706404643172","0.29495255214998"
"Selbstständige/ManagerInnen","2001","Staedtischer Raum","920","0.066951811641077","0.0628472638943906","0.0710563593877634"
"Selbstständige/ManagerInnen","2001","Laendlicher Raum","442","0.0591434390792773","0.0538525320874197","0.064434346071135"
"Sonstige Nichterwerbspersonen","2001","Staedtischer Raum","1474","0.091938955288216","0.0871939203632345","0.0966839902131974"
"Sonstige Nichterwerbspersonen","2001","Laendlicher Raum","569","0.0734127343995719","0.0675628943017523","0.0792625744973914"
"Angestellte, einfache Tätigkeiten","2002","Staedtischer Raum","2222","0.156276450553136","0.150506105449758","0.162046795656513"
"Angestellte, einfache Tätigkeiten","2002","Laendlicher Raum","1163","0.154484282352654","0.146451887779662","0.162516676925645"
"Angestellte, qualifizierte Tätigkeiten","2002","Staedtischer Raum","4287","0.26377251647714","0.256769652079099","0.270775380875181"
"Angestellte, qualifizierte Tätigkeiten","2002","Laendlicher Raum","2096","0.246880300943146","0.237296952825164","0.256463649061128"
"Arbeitslose","2002","Staedtischer Raum","713","0.0520194169272618","0.0484905328377818","0.0555483010167419"
"Arbeitslose","2002","Laendlicher Raum","597","0.0775376324339728","0.0715937167740832","0.0834815480938623"
"Beamte","2002","Staedtischer Raum","767","0.0326445738624326","0.0298206468313556","0.0354685008935095"
"Beamte","2002","Laendlicher Raum","313","0.0293544286427102","0.0256028919712492","0.0331059653141711"
"In Ausbildung","2002","Staedtischer Raum","1251","0.0714498605831117","0.0673567045048042","0.0755430166614193"
"In Ausbildung","2002","Laendlicher Raum","714","0.0783792866561021","0.0724059250211519","0.0843526482910523"
"In Rente oder Pension","2002","Staedtischer Raum","3274","0.271891042023634","0.264820534815636","0.278961549231632"
"In Rente oder Pension","2002","Laendlicher Raum","1803","0.280618566444892","0.270632835624162","0.290604297265623"
"Selbstständige/ManagerInnen","2002","Staedtischer Raum","1231","0.063337984086664","0.0594673821876787","0.0672085859856493"
"Selbstständige/ManagerInnen","2002","Laendlicher Raum","513","0.0569219043900548","0.0517725168098263","0.0620712919702832"
