year,pgisced97,plj0078,proportion,n,lower_confidence,upper_confidence
1993,higher vocational,Kaum,0.000984251968503937,16993,0.0005127751374608659,0.0014557287995470081
1993,higher vocational,Voll und ganz,0.0004921259842519685,16993,0.0001586594155590904,0.0008255925529448466
1993,higher vocational,Ueberwiegend,0.0004921259842519685,16993,0.0001586594155590904,0.0008255925529448466
1995,general elemantary,Gar nicht,0.1334841628959276,17246,0.12840824014656868,0.13856008564528652
1995,middle vocational,In mancher Beziehung,0.12047511312217195,17246,0.11561680988678222,0.12533341635756168
1995,inadequately,Gar nicht,0.11821266968325791,17246,0.11339401482635628,0.12303132454015955
1995,general elemantary,In mancher Beziehung,0.09785067873303167,17246,0.09341629762794434,0.102285059838119
1995,middle vocational,Gar nicht,0.09106334841628959,17246,0.08676946255283419,0.09535723427974499
1995,general elemantary,Kaum,0.07635746606334842,17246,0.0723938681015393,0.08032106402515754
1995,middle vocational,Kaum,0.06843891402714933,17246,0.06467040895151666,0.072207419102782
1995,inadequately,In mancher Beziehung,0.05429864253393665,17246,0.05091656645380489,0.05768071861406841
1995,inadequately,Kaum,0.04694570135746606,17246,0.043788744705978024,0.0501026580089541
1995,middle vocational,Ueberwiegend,0.038461538461538464,17246,0.03559136240715452,0.04133171451592241
1995,general elemantary,Ueberwiegend,0.03167420814479638,17246,0.029060389127219043,0.03428802716237371
1995,general elemantary,Voll und ganz,0.016402714932126698,17246,0.014506976521109965,0.01829845334314343
1995,vocational + Abi,In mancher Beziehung,0.014705882352941176,17246,0.012909327965925435,0.016502436739956917
1995,middle vocational,Voll und ganz,0.014705882352941176,17246,0.012909327965925435,0.016502436739956917
1995,higher education,In mancher Beziehung,0.011877828054298642,17246,0.0102609185284078,0.013494737580189485
1995,vocational + Abi,Gar nicht,0.011312217194570135,17246,0.009733823520107043,0.012890610869033228
1995,inadequately,Ueberwiegend,0.011312217194570135,17246,0.009733823520107043,0.012890610869033228
1995,vocational + Abi,Kaum,0.007352941176470588,17246,0.006077854063784763,0.008628028289156413
1995,in school,In mancher Beziehung,0.005656108597285068,17246,0.004536827794260108,0.006775389400310027
1995,higher education,Ueberwiegend,0.004524886877828055,17246,0.003523202392547095,0.005526571363109014
