year,quintil_oecd,sex,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2008,1st Quintile,female,Yes,0.63785,168,261,0.57942,0.69627
2008,1st Quintile,female,No,0.36215,93,261,0.30373,0.42058
2008,2nd Quintile,male,Yes,0.68677,381,554,0.64811,0.72542
2008,2nd Quintile,male,No,0.31323,173,554,0.27458,0.35189
2008,2nd Quintile,female,Yes,0.69684,294,430,0.65335,0.74034
2008,2nd Quintile,female,No,0.30316,136,430,0.25966,0.34665
2008,3rd Quintile,male,Yes,0.73665,574,782,0.70576,0.76754
2008,3rd Quintile,male,No,0.26335,208,782,0.23246,0.29424
2008,3rd Quintile,female,Yes,0.68510,439,640,0.64909,0.72112
2008,3rd Quintile,female,No,0.31490,201,640,0.27888,0.35091
2008,4th Quintile,male,Yes,0.76552,682,913,0.73803,0.79302
2008,4th Quintile,male,No,0.23448,231,913,0.20698,0.26197
2008,4th Quintile,female,Yes,0.70644,525,738,0.67356,0.73931
2008,4th Quintile,female,No,0.29356,213,738,0.26069,0.32644
2008,5th Quintile,male,Yes,0.78392,957,1205,0.76067,0.80716
2008,5th Quintile,male,No,0.21608,248,1205,0.19284,0.23933
2008,5th Quintile,female,Yes,0.73650,789,1070,0.71009,0.76291
2008,5th Quintile,female,No,0.26350,281,1070,0.23709,0.28991
2009,1st Quintile,male,Yes,0.63170,131,217,0.56737,0.69602
2009,1st Quintile,male,No,0.36830,86,217,0.30398,0.43263
2009,1st Quintile,female,Yes,0.64545,161,253,0.58639,0.70452
2009,1st Quintile,female,No,0.35455,92,253,0.29548,0.41361
2009,2nd Quintile,male,Yes,0.65215,281,431,0.60713,0.69716
2009,2nd Quintile,male,No,0.34785,150,431,0.30284,0.39287
2009,2nd Quintile,female,Yes,0.66607,235,352,0.61673,0.71541
2009,2nd Quintile,female,No,0.33393,117,352,0.28459,0.38327
2009,3rd Quintile,male,Yes,0.70969,464,689,0.67577,0.74361
2009,3rd Quintile,male,No,0.29031,225,689,0.25639,0.32423
2009,3rd Quintile,female,Yes,0.64431,370,575,0.60515,0.68348
2009,3rd Quintile,female,No,0.35569,205,575,0.31652,0.39485
2009,4th Quintile,male,Yes,0.73429,593,817,0.70398,0.76459
2009,4th Quintile,male,No,0.26571,224,817,0.23541,0.29602
2009,4th Quintile,female,Yes,0.73724,512,700,0.70461,0.76987
2009,4th Quintile,female,No,0.26276,188,700,0.23013,0.29539
2009,5th Quintile,male,Yes,0.79620,851,1081,0.77217,0.82022
2009,5th Quintile,male,No,0.20380,230,1081,0.17978,0.22783
2009,5th Quintile,female,Yes,0.70927,685,922,0.67994,0.73860
2009,5th Quintile,female,No,0.29073,237,922,0.26140,0.32006
2010,1st Quintile,male,Yes,0.61368,105,173,0.54091,0.68644
2010,1st Quintile,male,No,0.38632,68,173,0.31356,0.45909
2010,1st Quintile,female,Yes,0.56607,130,227,0.50145,0.63068
2010,1st Quintile,female,No,0.43393,97,227,0.36932,0.49855
2010,2nd Quintile,male,Yes,0.56419,242,414,0.51636,0.61201
2010,2nd Quintile,male,No,0.43581,172,414,0.38799,0.48364
2010,2nd Quintile,female,Yes,0.58495,235,363,0.53419,0.63571
2010,2nd Quintile,female,No,0.41505,128,363,0.36429,0.46581
2010,3rd Quintile,male,Yes,0.64599,416,628,0.60855,0.68342
2010,3rd Quintile,male,No,0.35401,212,628,0.31658,0.39145
2010,3rd Quintile,female,Yes,0.67941,366,552,0.64044,0.71838
2010,3rd Quintile,female,No,0.32059,186,552,0.28162,0.35956
2010,4th Quintile,male,Yes,0.69300,554,784,0.66069,0.72531
2010,4th Quintile,male,No,0.30700,230,784,0.27469,0.33931
2010,4th Quintile,female,Yes,0.68724,436,653,0.65165,0.72283
2010,4th Quintile,female,No,0.31276,217,653,0.27717,0.34835
2010,5th Quintile,male,Yes,0.78983,762,962,0.76407,0.81559
2010,5th Quintile,male,No,0.21017,200,962,0.18441,0.23593
2010,5th Quintile,female,Yes,0.71127,653,895,0.68157,0.74098
2010,5th Quintile,female,No,0.28873,242,895,0.25902,0.31843
2011,1st Quintile,male,Yes,0.66977,364,512,0.62899,0.71055
2011,1st Quintile,male,No,0.33023,148,512,0.28945,0.37101
2011,1st Quintile,female,Yes,0.68059,325,476,0.63866,0.72252
2011,1st Quintile,female,No,0.31941,151,476,0.27748,0.36134
2011,2nd Quintile,male,Yes,0.72558,588,803,0.69469,0.75646
2011,2nd Quintile,male,No,0.27442,215,803,0.24354,0.30531
2011,2nd Quintile,female,Yes,0.68069,465,662,0.64515,0.71623
2011,2nd Quintile,female,No,0.31931,197,662,0.28377,0.35485
2011,3rd Quintile,male,Yes,0.72325,659,881,0.69369,0.75281
2011,3rd Quintile,male,No,0.27675,222,881,0.24719,0.30631
2011,3rd Quintile,female,Yes,0.71116,536,756,0.67883,0.74348
2011,3rd Quintile,female,No,0.28884,220,756,0.25652,0.32117
2011,4th Quintile,male,Yes,0.76159,773,1013,0.73534,0.78785
2011,4th Quintile,male,No,0.23841,240,1013,0.21215,0.26466
2011,4th Quintile,female,Yes,0.75173,608,829,0.72230,0.78115
2011,4th Quintile,female,No,0.24827,221,829,0.21885,0.27770
2011,5th Quintile,male,Yes,0.84818,892,1071,0.82668,0.86968
2011,5th Quintile,male,No,0.15182,179,1071,0.13032,0.17332
2011,5th Quintile,female,Yes,0.76064,758,989,0.73404,0.78725
2011,5th Quintile,female,No,0.23936,231,989,0.21275,0.26596
2012,1st Quintile,male,Yes,0.67350,413,601,0.63598,0.71102
2012,1st Quintile,male,No,0.32650,188,601,0.28898,0.36402
2012,1st Quintile,female,Yes,0.63138,414,641,0.59400,0.66876
2012,1st Quintile,female,No,0.36862,227,641,0.33124,0.40600
2012,2nd Quintile,male,Yes,0.65162,598,869,0.61992,0.68332
2012,2nd Quintile,male,No,0.34838,271,869,0.31668,0.38008
2012,2nd Quintile,female,Yes,0.65428,545,813,0.62157,0.68700
2012,2nd Quintile,female,No,0.34572,268,813,0.31300,0.37843
2012,3rd Quintile,male,Yes,0.70397,776,1075,0.67667,0.73127
2012,3rd Quintile,male,No,0.29603,299,1075,0.26873,0.32333
2012,3rd Quintile,female,Yes,0.70436,684,956,0.67542,0.73330
2012,3rd Quintile,female,No,0.29564,272,956,0.26670,0.32458
2012,4th Quintile,male,Yes,0.74212,874,1157,0.71690,0.76734
2012,4th Quintile,male,No,0.25788,283,1157,0.23266,0.28310
2012,4th Quintile,female,Yes,0.72691,735,1038,0.69979,0.75403
2012,4th Quintile,female,No,0.27309,303,1038,0.24597,0.30021
2012,5th Quintile,male,Yes,0.80274,1006,1253,0.78070,0.82478
2012,5th Quintile,male,No,0.19726,247,1253,0.17522,0.21930
2012,5th Quintile,female,Yes,0.73015,840,1148,0.70446,0.75584
2012,5th Quintile,female,No,0.26985,308,1148,0.24416,0.29554
2013,1st Quintile,male,Yes,0.62802,344,519,0.58639,0.66964
2013,1st Quintile,male,No,0.37198,175,519,0.33036,0.41361
2013,1st Quintile,female,Yes,0.66187,410,601,0.62401,0.69972
2013,1st Quintile,female,No,0.33813,191,601,0.30028,0.37599
2013,2nd Quintile,male,Yes,0.70440,634,875,0.67415,0.73465
2013,2nd Quintile,male,No,0.29560,241,875,0.26535,0.32585
2013,2nd Quintile,female,Yes,0.65871,597,868,0.62714,0.69027
2013,2nd Quintile,female,No,0.34129,271,868,0.30973,0.37286
2013,3rd Quintile,male,Yes,0.68815,733,988,0.65925,0.71705
2013,3rd Quintile,male,No,0.31185,255,988,0.28295,0.34075
2013,3rd Quintile,female,Yes,0.70265,632,891,0.67262,0.73268
2013,3rd Quintile,female,No,0.29735,259,891,0.26732,0.32738
2013,4th Quintile,male,Yes,0.73176,847,1128,0.70590,0.75763
2013,4th Quintile,male,No,0.26824,281,1128,0.24237,0.29410
2013,4th Quintile,female,Yes,0.74443,770,1055,0.71810,0.77076
2013,4th Quintile,female,No,0.25557,285,1055,0.22924,0.28190
2013,5th Quintile,male,Yes,0.80092,995,1250,0.77877,0.82306
2013,5th Quintile,male,No,0.19908,255,1250,0.17694,0.22123
2013,5th Quintile,female,Yes,0.76254,841,1122,0.73763,0.78745
2013,5th Quintile,female,No,0.23746,281,1122,0.21255,0.26237
2014,1st Quintile,male,Yes,0.71465,421,601,0.67852,0.75079
2014,1st Quintile,male,No,0.28535,180,601,0.24921,0.32148
2014,1st Quintile,female,Yes,0.69501,418,636,0.65920,0.73082
2014,1st Quintile,female,No,0.30499,218,636,0.26918,0.34080
2014,2nd Quintile,male,Yes,0.72044,686,924,0.69149,0.74940
2014,2nd Quintile,male,No,0.27956,238,924,0.25060,0.30851
2014,2nd Quintile,female,Yes,0.67761,560,846,0.64609,0.70912
2014,2nd Quintile,female,No,0.32239,286,846,0.29088,0.35391
2014,3rd Quintile,male,Yes,0.68005,751,1068,0.65206,0.70804
2014,3rd Quintile,male,No,0.31995,317,1068,0.29196,0.34794
2014,3rd Quintile,female,Yes,0.69679,687,995,0.66821,0.72536
2014,3rd Quintile,female,No,0.30321,308,995,0.27464,0.33179
2014,4th Quintile,male,Yes,0.71483,901,1216,0.68944,0.74022
2014,4th Quintile,male,No,0.28517,315,1216,0.25978,0.31056
2014,4th Quintile,female,Yes,0.74424,823,1169,0.71922,0.76926
2014,4th Quintile,female,No,0.25576,346,1169,0.23074,0.28078
2014,5th Quintile,male,Yes,0.80847,1048,1305,0.78711,0.82983
2014,5th Quintile,male,No,0.19153,257,1305,0.17017,0.21289
2014,5th Quintile,female,Yes,0.74495,880,1205,0.72032,0.76957
2014,5th Quintile,female,No,0.25505,325,1205,0.23043,0.27968
2015,1st Quintile,male,Yes,0.70284,352,515,0.66333,0.74235
2015,1st Quintile,male,No,0.29716,163,515,0.25765,0.33667
2015,1st Quintile,female,Yes,0.68517,379,531,0.64563,0.72472
2015,1st Quintile,female,No,0.31483,152,531,0.27528,0.35437
2015,2nd Quintile,male,Yes,0.69330,613,830,0.66191,0.72469
2015,2nd Quintile,male,No,0.30670,217,830,0.27531,0.33809
2015,2nd Quintile,female,Yes,0.72429,603,834,0.69395,0.75464
2015,2nd Quintile,female,No,0.27571,231,834,0.24536,0.30605
2015,3rd Quintile,male,Yes,0.72313,735,965,0.69488,0.75137
2015,3rd Quintile,male,No,0.27687,230,965,0.24863,0.30512
2015,3rd Quintile,female,Yes,0.76963,698,914,0.74232,0.79694
2015,3rd Quintile,female,No,0.23037,216,914,0.20306,0.25768
2015,4th Quintile,male,Yes,0.75464,872,1116,0.72939,0.77990
2015,4th Quintile,male,No,0.24536,244,1116,0.22010,0.27061
2015,4th Quintile,female,Yes,0.76515,805,1049,0.73949,0.79082
2015,4th Quintile,female,No,0.23485,244,1049,0.20918,0.26051
2015,5th Quintile,male,Yes,0.83913,985,1185,0.81820,0.86006
2015,5th Quintile,male,No,0.16087,200,1185,0.13994,0.18180
2015,5th Quintile,female,Yes,0.82475,857,1067,0.80192,0.84757
2015,5th Quintile,female,No,0.17525,210,1067,0.15243,0.19808
2016,1st Quintile,male,Yes,0.70464,367,511,0.66505,0.74424
2016,1st Quintile,male,No,0.29536,144,511,0.25576,0.33495
2016,1st Quintile,female,Yes,0.70651,383,559,0.66873,0.74429
2016,1st Quintile,female,No,0.29349,176,559,0.25571,0.33127
2016,2nd Quintile,male,Yes,0.71896,635,858,0.68887,0.74906
2016,2nd Quintile,male,No,0.28104,223,858,0.25094,0.31113
2016,2nd Quintile,female,Yes,0.70224,587,806,0.67065,0.73383
2016,2nd Quintile,female,No,0.29776,219,806,0.26617,0.32935
2016,3rd Quintile,male,Yes,0.78079,734,938,0.75430,0.80728
2016,3rd Quintile,male,No,0.21921,204,938,0.19272,0.24570
2016,3rd Quintile,female,Yes,0.77159,717,964,0.74508,0.79811
2016,3rd Quintile,female,No,0.22841,247,964,0.20189,0.25492
2016,4th Quintile,male,Yes,0.76932,897,1121,0.74465,0.79399
2016,4th Quintile,male,No,0.23068,224,1121,0.20601,0.25535
2016,4th Quintile,female,Yes,0.74851,800,1065,0.72244,0.77458
2016,4th Quintile,female,No,0.25149,265,1065,0.22542,0.27756
2016,5th Quintile,male,Yes,0.81264,874,1076,0.78932,0.83597
2016,5th Quintile,male,No,0.18736,202,1076,0.16403,0.21068
2016,5th Quintile,female,Yes,0.78983,882,1128,0.76604,0.81362
2016,5th Quintile,female,No,0.21017,246,1128,0.18638,0.23396
2017,1st Quintile,male,Yes,0.68869,370,523,0.64897,0.72842
2017,1st Quintile,male,No,0.31131,153,523,0.27158,0.35103
2017,1st Quintile,female,Yes,0.67021,356,513,0.62949,0.71094
2017,1st Quintile,female,No,0.32979,157,513,0.28906,0.37051
2017,2nd Quintile,male,Yes,0.66061,545,776,0.62728,0.69395
2017,2nd Quintile,male,No,0.33939,231,776,0.30605,0.37272
2017,2nd Quintile,female,Yes,0.71348,542,736,0.68079,0.74617
2017,2nd Quintile,female,No,0.28652,194,736,0.25383,0.31921
2017,3rd Quintile,male,Yes,0.75483,652,845,0.72581,0.78385
2017,3rd Quintile,male,No,0.24517,193,845,0.21615,0.27419
2017,3rd Quintile,female,Yes,0.75302,626,849,0.72399,0.78205
2017,3rd Quintile,female,No,0.24698,223,849,0.21795,0.27601
2017,4th Quintile,male,Yes,0.79082,755,960,0.76507,0.81656
2017,4th Quintile,male,No,0.20918,205,960,0.18344,0.23493
2017,4th Quintile,female,Yes,0.75279,701,939,0.72518,0.78040
2017,4th Quintile,female,No,0.24721,238,939,0.21960,0.27482
2017,5th Quintile,male,Yes,0.82499,824,1014,0.80159,0.84839
2017,5th Quintile,male,No,0.17501,190,1014,0.15161,0.19841
2017,5th Quintile,female,Yes,0.76164,782,1013,0.73539,0.78789
2017,5th Quintile,female,No,0.23836,231,1013,0.21211,0.26461
2018,1st Quintile,male,Yes,0.71886,443,658,0.68448,0.75323
2018,1st Quintile,male,No,0.28114,215,658,0.24677,0.31552
2018,1st Quintile,female,Yes,0.63642,382,571,0.59693,0.67591
2018,1st Quintile,female,No,0.36358,189,571,0.32409,0.40307
2018,2nd Quintile,male,Yes,0.74416,658,926,0.71604,0.77228
2018,2nd Quintile,male,No,0.25584,268,926,0.22772,0.28396
2018,2nd Quintile,female,Yes,0.68441,637,935,0.65461,0.71422
2018,2nd Quintile,female,No,0.31559,298,935,0.28578,0.34539
2018,3rd Quintile,male,Yes,0.70552,734,997,0.67721,0.73383
2018,3rd Quintile,male,No,0.29448,263,997,0.26617,0.32279
2018,3rd Quintile,female,Yes,0.77817,741,1016,0.75261,0.80373
2018,3rd Quintile,female,No,0.22183,275,1016,0.19627,0.24739
2018,4th Quintile,male,Yes,0.78130,907,1154,0.75744,0.80516
2018,4th Quintile,male,No,0.21870,247,1154,0.19484,0.24256
2018,4th Quintile,female,Yes,0.75423,830,1114,0.72893,0.77952
2018,4th Quintile,female,No,0.24577,284,1114,0.22048,0.27107
2018,5th Quintile,male,Yes,0.82399,981,1245,0.80283,0.84515
2018,5th Quintile,male,No,0.17601,264,1245,0.15485,0.19717
2018,5th Quintile,female,Yes,0.76287,904,1179,0.73858,0.78716
2018,5th Quintile,female,No,0.23713,275,1179,0.21284,0.26142
2019,1st Quintile,male,Yes,0.72729,408,618,0.69215,0.76243
2019,1st Quintile,male,No,0.27271,210,618,0.23757,0.30785
2019,1st Quintile,female,Yes,0.78201,344,462,0.74432,0.81970
2019,1st Quintile,female,No,0.21799,118,462,0.18030,0.25568
2019,2nd Quintile,male,Yes,0.72289,585,775,0.69136,0.75442
2019,2nd Quintile,male,No,0.27711,190,775,0.24558,0.30864
2019,2nd Quintile,female,Yes,0.73041,580,815,0.69992,0.76089
2019,2nd Quintile,female,No,0.26959,235,815,0.23911,0.30008
2019,3rd Quintile,male,Yes,0.74134,687,895,0.71264,0.77005
2019,3rd Quintile,male,No,0.25866,208,895,0.22995,0.28736
2019,3rd Quintile,female,Yes,0.78399,709,917,0.75734,0.81064
2019,3rd Quintile,female,No,0.21601,208,917,0.18936,0.24266
2019,4th Quintile,male,Yes,0.75364,721,939,0.72607,0.78122
2019,4th Quintile,male,No,0.24636,218,939,0.21878,0.27393
2019,4th Quintile,female,Yes,0.76127,724,969,0.73441,0.78812
2019,4th Quintile,female,No,0.23873,245,969,0.21188,0.26559
2019,5th Quintile,male,Yes,0.85486,924,1103,0.83406,0.87566
2019,5th Quintile,male,No,0.14514,179,1103,0.12434,0.16594
2019,5th Quintile,female,Yes,0.77999,827,1065,0.75510,0.80488
2019,5th Quintile,female,No,0.22001,238,1065,0.19512,0.24490
2020,1st Quintile,male,Yes,0.61338,328,573,0.57347,0.65329
2020,1st Quintile,male,No,0.38662,245,573,0.34671,0.42653
2020,1st Quintile,female,Yes,0.56539,279,493,0.52159,0.60919
2020,1st Quintile,female,No,0.43461,214,493,0.39081,0.47841
2020,2nd Quintile,male,Yes,0.57104,529,845,0.53765,0.60443
2020,2nd Quintile,male,No,0.42896,316,845,0.39557,0.46235
2020,2nd Quintile,female,Yes,0.57626,527,909,0.54412,0.60841
2020,2nd Quintile,female,No,0.42374,382,909,0.39159,0.45588
2020,3rd Quintile,male,Yes,0.63545,573,922,0.60436,0.66653
2020,3rd Quintile,male,No,0.36455,349,922,0.33347,0.39564
2020,3rd Quintile,female,Yes,0.65844,583,954,0.62834,0.68855
2020,3rd Quintile,female,No,0.34156,371,954,0.31145,0.37166
2020,4th Quintile,male,Yes,0.70346,749,1088,0.67630,0.73061
2020,4th Quintile,male,No,0.29654,339,1088,0.26939,0.32370
2020,4th Quintile,female,Yes,0.65538,734,1131,0.62767,0.68309
2020,4th Quintile,female,No,0.34462,397,1131,0.31691,0.37233
2020,5th Quintile,male,Yes,0.72845,901,1241,0.70370,0.75321
2020,5th Quintile,male,No,0.27155,340,1241,0.24679,0.29630
2020,5th Quintile,female,Yes,0.70348,872,1289,0.67854,0.72842
2020,5th Quintile,female,No,0.29652,417,1289,0.27158,0.32146
2021,1st Quintile,male,Yes,0.73715,418,620,0.70247,0.77182
2021,1st Quintile,male,No,0.26285,202,620,0.22818,0.29753
2021,1st Quintile,female,Yes,0.66101,292,440,0.61673,0.70529
2021,1st Quintile,female,No,0.33899,148,440,0.29471,0.38327
2021,2nd Quintile,male,Yes,0.69796,407,582,0.66063,0.73530
2021,2nd Quintile,male,No,0.30204,175,582,0.26470,0.33937
2021,2nd Quintile,female,Yes,0.73053,463,622,0.69563,0.76543
2021,2nd Quintile,female,No,0.26947,159,622,0.23457,0.30437
2021,3rd Quintile,male,Yes,0.76570,490,663,0.73344,0.79797
2021,3rd Quintile,male,No,0.23430,173,663,0.20203,0.26656
2021,3rd Quintile,female,Yes,0.70579,525,736,0.67285,0.73874
2021,3rd Quintile,female,No,0.29421,211,736,0.26126,0.32715
2021,4th Quintile,male,Yes,0.78187,560,744,0.75217,0.81156
2021,4th Quintile,male,No,0.21813,184,744,0.18844,0.24783
2021,4th Quintile,female,Yes,0.72904,536,760,0.69741,0.76066
2021,4th Quintile,female,No,0.27096,224,760,0.23934,0.30259
2021,5th Quintile,male,Yes,0.77210,747,959,0.74554,0.79867
2021,5th Quintile,male,No,0.22790,212,959,0.20133,0.25446
2021,5th Quintile,female,Yes,0.73311,683,928,0.70463,0.76158
2021,5th Quintile,female,No,0.26689,245,928,0.23842,0.29537
2022,1st Quintile,male,Yes,0.67420,345,539,0.63460,0.71381
2022,1st Quintile,male,No,0.32580,194,539,0.28619,0.36540
2022,1st Quintile,female,Yes,0.67682,266,399,0.63087,0.72277
2022,1st Quintile,female,No,0.32318,133,399,0.27723,0.36913
2022,2nd Quintile,male,Yes,0.71369,422,587,0.67709,0.75029
2022,2nd Quintile,male,No,0.28631,165,587,0.24971,0.32291
2022,2nd Quintile,female,Yes,0.70550,434,612,0.66936,0.74164
2022,2nd Quintile,female,No,0.29450,178,612,0.25836,0.33064
2022,3rd Quintile,male,Yes,0.73840,485,663,0.70492,0.77189
2022,3rd Quintile,male,No,0.26160,178,663,0.22811,0.29508
2022,3rd Quintile,female,Yes,0.72499,532,733,0.69264,0.75734
2022,3rd Quintile,female,No,0.27501,201,733,0.24266,0.30736
2022,4th Quintile,male,Yes,0.73530,568,785,0.70442,0.76619
2022,4th Quintile,male,No,0.26470,217,785,0.23381,0.29558
2022,4th Quintile,female,Yes,0.74157,608,810,0.71140,0.77174
2022,4th Quintile,female,No,0.25843,202,810,0.22826,0.28860
2022,5th Quintile,male,Yes,0.77717,657,848,0.74915,0.80520
2022,5th Quintile,male,No,0.22283,191,848,0.19480,0.25085
2022,5th Quintile,female,Yes,0.75848,683,890,0.73034,0.78661
2022,5th Quintile,female,No,0.24152,207,890,0.21339,0.26966
