year,bula_h,regtyp,hlc0178,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2020,Lower Saxony,Rural regions,No,1.00000,803,16066,0,0.92728,0,1.06925
2020,Bremen,Urban regions,No,1.00000,138,16066,0,0.78994,0,1.25701
2020,North Rhine-Westphalia,Urban regions,Yes,0.02752,85,16066,0,0.02028,0,0.03397
2020,North Rhine-Westphalia,Urban regions,No,0.97248,3260,16066,0,0.92297,0,1.01716
2020,North Rhine-Westphalia,Rural regions,No,1.00000,51,16066,0,0.78887,0,1.28011
2020,Hesse,Urban regions,No,1.00000,901,16066,0,0.92750,0,1.06864
2020,Hesse,Rural regions,No,1.00000,189,16066,0,0.84647,0,1.18057
2020,"Rhineland-Palatinate, Saarland",Urban regions,No,1.00000,634,16066,0,0.91415,0,1.09626
2020,"Rhineland-Palatinate, Saarland",Rural regions,No,1.00000,213,16066,0,0.86428,0,1.18088
2020,Baden-Wuerttemberg,Urban regions,Yes,0.02300,37,16066,0,0.01383,0,0.03256
2020,Baden-Wuerttemberg,Urban regions,No,0.97700,1515,16066,0,0.92445,0,1.04106
2020,Baden-Wuerttemberg,Rural regions,No,1.00000,179,16066,0,0.83839,0,1.17472
2020,Bavaria,Urban regions,Yes,0.02751,36,16066,0,0.01655,0,0.04138
2020,Bavaria,Urban regions,No,0.97249,1263,16066,0,0.90369,0,1.03858
2020,Bavaria,Rural regions,Yes,0.02310,37,16066,0,0.01340,0,0.03427
2020,Bavaria,Rural regions,No,0.97690,1292,16066,0,0.91045,0,1.04475
2020,Berlin,Urban regions,No,1.00000,834,16066,0,0.90940,0,1.09095
2020,Brandenburg,Urban regions,No,1.00000,55,16066,0,0.77002,0,1.25384
2020,Brandenburg,Rural regions,No,1.00000,609,16066,0,0.89840,0,1.09381
2020,Mecklenburg-Western Pomerania,Urban regions,No,1.00000,63,16066,0,0.76378,0,1.21123
2020,Mecklenburg-Western Pomerania,Rural regions,No,1.00000,269,16066,0,0.85649,0,1.15535
2020,Saxony,Urban regions,No,1.00000,521,16066,0,0.89821,0,1.11365
2020,Saxony,Rural regions,No,1.00000,435,16066,0,0.91223,0,1.10776
2020,Saxony-Anhalt,Urban regions,No,1.00000,136,16066,0,0.82463,0,1.23590
2020,Saxony-Anhalt,Rural regions,No,1.00000,416,16066,0,0.88066,0,1.13067
2020,Thuringa,Urban regions,No,1.00000,187,16066,0,0.83233,0,1.20852
2020,Thuringa,Rural regions,No,1.00000,373,16066,0,0.87368,0,1.15587
2021,Schleswig-Holstein,Urban regions,No,1.00000,150,10833,0,0.79432,0,1.24387
2021,Schleswig-Holstein,Rural regions,No,1.00000,264,10833,0,0.85883,0,1.14908
2021,Hamburg,Urban regions,No,1.00000,255,10833,0,0.86315,0,1.12169
2021,Lower Saxony,Urban regions,No,1.00000,463,10833,0,0.89005,0,1.08759
2021,Lower Saxony,Rural regions,No,1.00000,570,10833,0,0.90121,0,1.09785
2021,Bremen,Urban regions,No,1.00000,78,10833,0,0.74924,0,1.29842
2021,North Rhine-Westphalia,Urban regions,Yes,0.02298,57,10833,0,0.01543,0,0.03006
2021,North Rhine-Westphalia,Urban regions,No,0.97702,2168,10833,0,0.93189,0,1.03087
2021,North Rhine-Westphalia,Rural regions,No,1.00000,47,10833,0,0.72247,0,1.32429
2021,Hesse,Urban regions,No,1.00000,540,10833,0,0.88547,0,1.09982
2021,Hesse,Rural regions,No,1.00000,133,10833,0,0.77813,0,1.17053
2021,"Rhineland-Palatinate, Saarland",Urban regions,No,1.00000,402,10833,0,0.87227,0,1.12027
2021,"Rhineland-Palatinate, Saarland",Rural regions,No,1.00000,118,10833,0,0.79540,0,1.18568
2021,Baden-Wuerttemberg,Urban regions,Yes,0.02440,35,10833,0,0.01655,0,0.03187
2021,Baden-Wuerttemberg,Urban regions,No,0.97560,1066,10833,0,0.90776,0,1.02881
2021,Baden-Wuerttemberg,Rural regions,No,1.00000,117,10833,0,0.79049,0,1.19221
2021,Bavaria,Urban regions,No,1.00000,841,10833,0,0.90610,0,1.07573
2021,Bavaria,Rural regions,No,1.00000,854,10833,0,0.91237,0,1.07972
2021,Berlin,Urban regions,No,1.00000,534,10833,0,0.89112,0,1.11448
2021,Brandenburg,Urban regions,No,1.00000,39,10833,0,0.74756,0,1.28682
2021,Brandenburg,Rural regions,No,1.00000,397,10833,0,0.89296,0,1.13251
2021,Mecklenburg-Western Pomerania,Urban regions,No,1.00000,48,10833,0,0.77021,0,1.33252
2021,Mecklenburg-Western Pomerania,Rural regions,No,1.00000,209,10833,0,0.87602,0,1.17530
2021,Saxony,Urban regions,No,1.00000,382,10833,0,0.87161,0,1.13524
2021,Saxony,Rural regions,No,1.00000,331,10833,0,0.88545,0,1.14018
2021,Saxony-Anhalt,Urban regions,No,1.00000,81,10833,0,0.69500,0,1.28376
2021,Saxony-Anhalt,Rural regions,No,1.00000,281,10833,0,0.84540,0,1.15954
2021,Thuringa,Urban regions,No,1.00000,133,10833,0,0.80327,0,1.20931
2021,Thuringa,Rural regions,No,1.00000,240,10833,0,0.84763,0,1.16467
