"plb0195_h","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Teils, teils","2002","(noch) kein Abschluss","8","0.124668750033236","0.0430964260352322","0.206241074031239"
"Teils, teils","2002","Hauptschule","537","0.249818902588531","0.231276950313767","0.268360854863295"
"Teils, teils","2002","Realschule","602","0.220738117679668","0.204938320777","0.236537914582336"
"Teils, teils","2002","(Fach-)Abitur","172","","",""
"Teils, teils","2002","AkademikerIn","332","0.151411409263619","0.136490573862293","0.166332244664946"
"Bezahlt","2002","(noch) kein Abschluss","31","0.420893122341481","0.298982066594175","0.542804178088787"
"Bezahlt","2002","Hauptschule","433","0.199503315116497","0.18238683028544","0.216619799947553"
"Bezahlt","2002","Realschule","301","0.117027463374762","0.104781622436645","0.129273304312879"
"Bezahlt","2002","(Fach-)Abitur","108","","",""
"Bezahlt","2002","AkademikerIn","111","","",""
"Nicht abgegolten","2002","(noch) kein Abschluss","3","","",""
"Nicht abgegolten","2002","Hauptschule","200","","",""
"Nicht abgegolten","2002","Realschule","358","0.132764074073109","0.119837601289673","0.145690546856544"
"Nicht abgegolten","2002","(Fach-)Abitur","163","","",""
"Nicht abgegolten","2002","AkademikerIn","959","0.395196565467521","0.374845884330008","0.415547246605033"
"Abgefeiert","2003","(noch) kein Abschluss","15","","",""
"Abgefeiert","2003","Hauptschule","928","0.500516134255455","0.478374960201699","0.52265730830921"
"Abgefeiert","2003","Realschule","1395","","",""
"Abgefeiert","2003","(Fach-)Abitur","466","0.515660289879773","0.483243531407754","0.548077048351792"
"Abgefeiert","2003","AkademikerIn","797","0.428865021683374","0.407277160131435","0.450452883235313"
"Teils, teils","2003","(noch) kein Abschluss","2","","",""
"Teils, teils","2003","Hauptschule","463","0.223386912775777","0.204942616553125","0.241831208998429"
"Teils, teils","2003","Realschule","543","0.205522399099859","0.189850989792031","0.221193808407687"
"Teils, teils","2003","(Fach-)Abitur","155","","",""
"Teils, teils","2003","AkademikerIn","306","0.153343863731743","0.137626971959155","0.169060755504332"
"Bezahlt","2003","(noch) kein Abschluss","21","","",""
"Bezahlt","2003","Hauptschule","369","0.185715558771116","0.168495164683555","0.202935952858678"
"Bezahlt","2003","Realschule","274","","",""
"Bezahlt","2003","(Fach-)Abitur","106","","",""
"Bezahlt","2003","AkademikerIn","115","","",""
"Nicht abgegolten","2003","(noch) kein Abschluss","3","","",""
"Nicht abgegolten","2003","Hauptschule","199","","",""
"Nicht abgegolten","2003","Realschule","342","0.121045503457672","0.108395368137878","0.133695638777466"
"Nicht abgegolten","2003","(Fach-)Abitur","186","","",""
"Nicht abgegolten","2003","AkademikerIn","801","0.349998309492607","0.329193193185957","0.370803425799256"
"Abgefeiert","2004","(noch) kein Abschluss","13","","",""
"Abgefeiert","2004","Hauptschule","848","0.489273235499596","0.466275778536743","0.512270692462448"
"Abgefeiert","2004","Realschule","1328","","",""
"Abgefeiert","2004","(Fach-)Abitur","473","0.550269678148559","0.517476324352959","0.583063031944159"
"Abgefeiert","2004","AkademikerIn","792","0.412127438044564","0.390495867140156","0.433759008948971"
"Teils, teils","2004","(noch) kein Abschluss","5","0.205613097226863","0.075389809971172","0.335836384482553"
"Teils, teils","2004","Hauptschule","423","0.219981862541979","0.200924817327155","0.239038907756802"
"Teils, teils","2004","Realschule","534","0.202834418357648","0.187037195756041","0.218631640959254"
"Teils, teils","2004","(Fach-)Abitur","147","","",""
"Teils, teils","2004","AkademikerIn","267","","",""
"Bezahlt","2004","(noch) kein Abschluss","18","","",""
"Bezahlt","2004","Hauptschule","335","0.176221190415502","0.158692714760539","0.193749666070464"
"Bezahlt","2004","Realschule","254","","",""
"Bezahlt","2004","(Fach-)Abitur","95","0.101091300057099","0.0812195259708554","0.120963074143343"
"Bezahlt","2004","AkademikerIn","94","0.0696065931253983","0.0584227980571619","0.0807903881936347"
"Nicht abgegolten","2004","(noch) kein Abschluss","1","","",""
"Nicht abgegolten","2004","Hauptschule","209","","",""
"Nicht abgegolten","2004","Realschule","373","0.143003459202231","0.129250427354243","0.15675649105022"
"Nicht abgegolten","2004","(Fach-)Abitur","169","","",""
"Nicht abgegolten","2004","AkademikerIn","836","0.382400526334386","0.361043371374877","0.403757681293895"
"Abgefeiert","2005","(noch) kein Abschluss","14","","",""
"Abgefeiert","2005","Hauptschule","819","0.507711302654727","0.483704797484645","0.531717807824808"
"Abgefeiert","2005","Realschule","1284","","",""
"Abgefeiert","2005","(Fach-)Abitur","460","0.555925821644916","0.522305389269818","0.589546254020014"
"Abgefeiert","2005","AkademikerIn","768","0.430871138710898","0.408201433868659","0.453540843553137"
"Teils, teils","2005","(noch) kein Abschluss","8","0.204318406395098","0.0793668996459839","0.329269913144212"
"Teils, teils","2005","Hauptschule","383","0.226284020202221","0.206191781979333","0.246376258425109"
"Teils, teils","2005","Realschule","489","0.210530387499187","0.19396245410914","0.227098320889235"
"Teils, teils","2005","(Fach-)Abitur","166","","",""
"Teils, teils","2005","AkademikerIn","277","","",""
"Bezahlt","2005","(noch) kein Abschluss","14","","",""
"Bezahlt","2005","Hauptschule","287","","",""
"Bezahlt","2005","Realschule","231","","",""
"Bezahlt","2005","(Fach-)Abitur","67","0.0912169262537483","0.0717348633052125","0.110698989202284"
"Bezahlt","2005","AkademikerIn","76","0.0503897165986592","0.0403756489490017","0.0604037842483166"
"Nicht abgegolten","2005","(noch) kein Abschluss","4","0.0650005243981106","-0.0113975142549512","0.141398563051172"
"Nicht abgegolten","2005","Hauptschule","177","","",""
"Nicht abgegolten","2005","Realschule","322","0.132920856254252","0.11912434844861","0.146717364059895"
"Nicht abgegolten","2005","(Fach-)Abitur","146","","",""
"Nicht abgegolten","2005","AkademikerIn","712","0.361155330021498","0.339166024637076","0.38314463540592"
"Abgefeiert","2006","(noch) kein Abschluss","11","","",""
"Abgefeiert","2006","Hauptschule","888","0.490137496248713","0.467132882234849","0.513142110262578"
"Abgefeiert","2006","Realschule","1453","","",""
"Abgefeiert","2006","(Fach-)Abitur","507","0.560450883687727","0.528721864378746","0.592179902996708"
"Abgefeiert","2006","AkademikerIn","816","0.395710720278293","0.374485567204279","0.416935873352306"
"Teils, teils","2006","(noch) kein Abschluss","2","","",""
"Teils, teils","2006","Hauptschule","405","0.217221745152707","0.198245928510471","0.236197561794943"
"Teils, teils","2006","Realschule","512","0.206494944880741","0.190820647239065","0.222169242522418"
"Teils, teils","2006","(Fach-)Abitur","155","","",""
"Teils, teils","2006","AkademikerIn","289","","",""
"Bezahlt","2006","(noch) kein Abschluss","16","","",""
"Bezahlt","2006","Hauptschule","314","0.181682714755679","0.163938894992515","0.199426534518842"
"Bezahlt","2006","Realschule","235","","",""
"Bezahlt","2006","(Fach-)Abitur","91","0.110603561141311","0.0905534671672437","0.130653655115378"
"Bezahlt","2006","AkademikerIn","96","0.0526225174325571","0.0429311107683034","0.0623139240968109"
"Nicht abgegolten","2006","(noch) kein Abschluss","4","0.0651332991119072","-0.0190580569590071","0.149324655182822"
"Nicht abgegolten","2006","Hauptschule","207","","",""
"Nicht abgegolten","2006","Realschule","362","0.139363080081187","0.125952659987571","0.152773500174804"
"Nicht abgegolten","2006","(Fach-)Abitur","187","","",""
"Nicht abgegolten","2006","AkademikerIn","838","0.400011731149589","0.37874762058902","0.421275841710158"
"Abgefeiert","2007","(noch) kein Abschluss","14","","",""
"Abgefeiert","2007","Hauptschule","795","0.496320395901458","0.471958163816535","0.520682627986382"
"Abgefeiert","2007","Realschule","1306","","",""
"Abgefeiert","2007","(Fach-)Abitur","473","0.536318846158799","0.50350119211315","0.569136500204448"
"Abgefeiert","2007","AkademikerIn","797","0.416588962395605","0.394583232580334","0.438594692210875"
"Teils, teils","2007","(noch) kein Abschluss","4","0.149658089768694","0.0175236686678701","0.281792510869519"
"Teils, teils","2007","Hauptschule","378","0.234488751116961","0.213844666637625","0.255132835596297"
"Teils, teils","2007","Realschule","508","0.230196605937075","0.21322731390457","0.24716589796958"
"Teils, teils","2007","(Fach-)Abitur","162","","",""
"Teils, teils","2007","AkademikerIn","291","","",""
"Bezahlt","2007","(noch) kein Abschluss","8","0.296484336138998","0.127320767667072","0.465647904610924"
"Bezahlt","2007","Hauptschule","258","","",""
"Bezahlt","2007","Realschule","217","","",""
"Bezahlt","2007","(Fach-)Abitur","71","0.0907451254482401","0.071841689382502","0.109648561513978"
"Bezahlt","2007","AkademikerIn","69","0.0460343831138589","0.0366802811173963","0.0553884851103216"
"Nicht abgegolten","2007","(noch) kein Abschluss","2","","",""
"Nicht abgegolten","2007","Hauptschule","187","","",""
"Nicht abgegolten","2007","Realschule","333","0.138232563532435","0.124319442098331","0.152145684966539"
"Nicht abgegolten","2007","(Fach-)Abitur","181","","",""
"Nicht abgegolten","2007","AkademikerIn","771","0.379410572779373","0.357750920667969","0.401070224890777"
"Abgefeiert","2008","(noch) kein Abschluss","9","0.330895325958143","0.172733751131032","0.489056900785253"
"Abgefeiert","2008","Hauptschule","749","0.468764005464011","0.44418912707232","0.493338883855702"
"Abgefeiert","2008","Realschule","1265","","",""
"Abgefeiert","2008","(Fach-)Abitur","476","0.579527702988256","0.546574301286723","0.612481104689788"
"Abgefeiert","2008","AkademikerIn","757","0.413457230287849","0.391095428074312","0.435819032501386"
"Teils, teils","2008","(noch) kein Abschluss","7","0.213721765989556","0.0759306757710715","0.35151285620804"
"Teils, teils","2008","Hauptschule","378","0.25610272493914","0.234607891408256","0.277597558470024"
"Teils, teils","2008","Realschule","546","0.236009180574831","0.218935254712846","0.253083106436816"
"Teils, teils","2008","(Fach-)Abitur","151","","",""
"Teils, teils","2008","AkademikerIn","258","","",""
"Bezahlt","2008","(noch) kein Abschluss","15","","",""
"Bezahlt","2008","Hauptschule","263","","",""
"Bezahlt","2008","Realschule","218","","",""
"Bezahlt","2008","(Fach-)Abitur","78","0.0983858811811181","0.0785033716227282","0.118268390739508"
"Bezahlt","2008","AkademikerIn","99","0.0658984845824694","0.0546323115868211","0.0771646575781177"
"Nicht abgegolten","2008","(noch) kein Abschluss","3","","",""
"Nicht abgegolten","2008","Hauptschule","194","","",""
"Nicht abgegolten","2008","Realschule","347","0.145441901429471","0.131266334336649","0.159617468522294"
"Nicht abgegolten","2008","(Fach-)Abitur","157","","",""
"Nicht abgegolten","2008","AkademikerIn","749","0.376864675941459","0.354859463519787","0.398869888363131"
"Abgefeiert","2009","(noch) kein Abschluss","9","0.523219713336291","0.331236785098143","0.715202641574439"
"Abgefeiert","2009","Hauptschule","630","0.466348399099261","0.439426242465049","0.493270555733473"
"Abgefeiert","2009","Realschule","1136","","",""
"Abgefeiert","2009","(Fach-)Abitur","427","0.558553200717077","0.523705650850049","0.593400750584105"
"Abgefeiert","2009","AkademikerIn","725","0.411756078445881","0.388604960675972","0.434907196215791"
"Teils, teils","2009","(noch) kein Abschluss","8","0.266475283524239","0.0965346395606263","0.436415927487851"
"Teils, teils","2009","Hauptschule","311","0.251675770359857","0.228255532571806","0.275096008147908"
"Teils, teils","2009","Realschule","464","0.227595108803189","0.209615392249037","0.245574825357341"
"Teils, teils","2009","(Fach-)Abitur","140","","",""
"Teils, teils","2009","AkademikerIn","254","","",""
"Bezahlt","2009","(noch) kein Abschluss","7","0.199639180122367","0.0459910723757786","0.353287287868955"
"Bezahlt","2009","Hauptschule","216","","",""
"Bezahlt","2009","Realschule","199","","",""
"Bezahlt","2009","(Fach-)Abitur","64","0.0834331840173734","0.064026458501259","0.102839909533488"
"Bezahlt","2009","AkademikerIn","88","0.065304965910361","0.0536829543841774","0.0769269774365446"
"Nicht abgegolten","2009","(noch) kein Abschluss","2","","",""
"Nicht abgegolten","2009","Hauptschule","162","","",""
"Nicht abgegolten","2009","Realschule","290","","",""
"Nicht abgegolten","2009","(Fach-)Abitur","149","","",""
"Nicht abgegolten","2009","AkademikerIn","669","0.349074613399548","0.326651393896075","0.371497832903021"
"Abgefeiert","2010","(noch) kein Abschluss","16","","",""
"Abgefeiert","2010","Hauptschule","879","0.503622297666956","0.480714615260297","0.526529980073616"
"Abgefeiert","2010","Realschule","1633","","",""
"Abgefeiert","2010","(Fach-)Abitur","656","0.607129315209298","0.578877746962304","0.635380883456292"
"Abgefeiert","2010","AkademikerIn","1014","","",""
"Teils, teils","2010","(noch) kein Abschluss","13","","",""
"Teils, teils","2010","Hauptschule","408","0.20241947029974","0.184010226046818","0.220828714552663"
"Teils, teils","2010","Realschule","586","0.198925027338623","0.184408714545196","0.21344134013205"
"Teils, teils","2010","(Fach-)Abitur","189","","",""
"Teils, teils","2010","AkademikerIn","350","0.155438170686506","0.140804704844363","0.170071636528648"
"Bezahlt","2010","(noch) kein Abschluss","20","","",""
"Bezahlt","2010","Hauptschule","363","0.194032815054922","0.175914457818023","0.212151172291821"
"Bezahlt","2010","Realschule","321","0.0988621345216508","0.0880082390784591","0.109716029964842"
"Bezahlt","2010","(Fach-)Abitur","115","","",""
"Bezahlt","2010","AkademikerIn","118","","",""
"Nicht abgegolten","2010","(noch) kein Abschluss","6","0.0767179744953015","0.00638119155373608","0.147054757436867"
"Nicht abgegolten","2010","Hauptschule","180","","",""
"Nicht abgegolten","2010","Realschule","365","0.150456820353467","0.13745591216875","0.163457728538184"
"Nicht abgegolten","2010","(Fach-)Abitur","188","","",""
"Nicht abgegolten","2010","AkademikerIn","873","0.352620307838337","0.333323484038893","0.37191713163778"
"Abgefeiert","2011","(noch) kein Abschluss","24","","",""
"Abgefeiert","2011","Hauptschule","990","0.467591463398779","0.446603322485326","0.488579604312232"
"Abgefeiert","2011","Realschule","1867","","",""
"Abgefeiert","2011","(Fach-)Abitur","757","0.56260438017714","0.536431753098916","0.588777007255365"
"Abgefeiert","2011","AkademikerIn","1258","","",""
"Teils, teils","2011","(noch) kein Abschluss","15","","",""
"Teils, teils","2011","Hauptschule","510","0.233921707835677","0.216114738107155","0.251728677564199"
"Teils, teils","2011","Realschule","731","0.207098960779045","0.193647084851652","0.220550836706438"
"Teils, teils","2011","(Fach-)Abitur","236","","",""
"Teils, teils","2011","AkademikerIn","388","0.155677411933019","0.142188292410047","0.169166531455991"
"Bezahlt","2011","(noch) kein Abschluss","30","0.323148966108289","0.223135982901524","0.423161949315053"
"Bezahlt","2011","Hauptschule","449","0.204571369970294","0.187602957389093","0.221539782551494"
"Bezahlt","2011","Realschule","422","0.11537274884869","0.104767614452062","0.125977883245317"
"Bezahlt","2011","(Fach-)Abitur","159","","",""
"Bezahlt","2011","AkademikerIn","129","","",""
"Nicht abgegolten","2011","(noch) kein Abschluss","15","","",""
"Nicht abgegolten","2011","Hauptschule","222","","",""
"Nicht abgegolten","2011","Realschule","466","0.162270072908427","0.150030799666746","0.174509346150107"
"Nicht abgegolten","2011","(Fach-)Abitur","228","","",""
"Nicht abgegolten","2011","AkademikerIn","1000","","",""
"Abgefeiert","2012","(noch) kein Abschluss","31","0.33358073906128","0.242080493684222","0.425080984438338"
"Abgefeiert","2012","Hauptschule","1037","","",""
"Abgefeiert","2012","Realschule","1992","","",""
"Abgefeiert","2012","(Fach-)Abitur","808","0.561831758766968","0.536519639802481","0.587143877731455"
"Abgefeiert","2012","AkademikerIn","1332","","",""
"Teils, teils","2012","(noch) kein Abschluss","22","","",""
"Teils, teils","2012","Hauptschule","541","0.255846784602568","0.237744968071434","0.273948601133702"
"Teils, teils","2012","Realschule","770","0.22271510903515","0.20902840526168","0.23640181280862"
"Teils, teils","2012","(Fach-)Abitur","285","","",""
"Teils, teils","2012","AkademikerIn","399","0.153175920504223","0.139883153709319","0.166468687299128"
"Bezahlt","2012","(noch) kein Abschluss","40","0.393734515652245","0.298918615836298","0.488550415468192"
"Bezahlt","2012","Hauptschule","442","0.194026343262324","0.177620756467689","0.210431930056959"
"Bezahlt","2012","Realschule","406","0.105473100394403","0.0953689111160444","0.115577289672762"
"Bezahlt","2012","(Fach-)Abitur","156","","",""
"Bezahlt","2012","AkademikerIn","137","","",""
"Nicht abgegolten","2012","(noch) kein Abschluss","9","0.0593189367722857","0.0134766910304056","0.105161182514166"
"Nicht abgegolten","2012","Hauptschule","212","","",""
"Nicht abgegolten","2012","Realschule","382","0.124153670676299","0.113306220757959","0.135001120594638"
"Nicht abgegolten","2012","(Fach-)Abitur","227","","",""
"Nicht abgegolten","2012","AkademikerIn","952","0.326818335416137","0.309506509232155","0.344130161600119"
"Abgefeiert","2013","(noch) kein Abschluss","50","0.348664686730345","0.268866301784783","0.428463071675906"
"Abgefeiert","2013","Hauptschule","1148","","",""
"Abgefeiert","2013","Realschule","1902","","",""
"Abgefeiert","2013","(Fach-)Abitur","943","0.547303736131155","0.524075487705115","0.570531984557196"
"Abgefeiert","2013","AkademikerIn","1450","","",""
"Teils, teils","2013","(noch) kein Abschluss","30","0.189666753564265","0.12401969952941","0.255313807599121"
"Teils, teils","2013","Hauptschule","607","0.240466617455026","0.22366027821282","0.257272956697232"
"Teils, teils","2013","Realschule","771","0.230589516432676","0.216513891082052","0.2446651417833"
"Teils, teils","2013","(Fach-)Abitur","330","0.204618832923214","0.185792780917632","0.223444884928796"
"Teils, teils","2013","AkademikerIn","425","0.149681654261929","0.13691117081514","0.162452137708717"
"Bezahlt","2013","(noch) kein Abschluss","50","0.393704126012901","0.311892486335565","0.475515765690237"
"Bezahlt","2013","Hauptschule","521","0.181922978416108","0.166752014646942","0.197093942185275"
"Bezahlt","2013","Realschule","400","0.105524247354169","0.0952575848077249","0.115790909900612"
"Bezahlt","2013","(Fach-)Abitur","242","","",""
"Bezahlt","2013","AkademikerIn","160","","",""
"Nicht abgegolten","2013","(noch) kein Abschluss","7","0.0679644336924892","0.0258195459540893","0.110109321430889"
"Nicht abgegolten","2013","Hauptschule","208","","",""
"Nicht abgegolten","2013","Realschule","367","0.124819726958085","0.113774891665115","0.135864562251056"
"Nicht abgegolten","2013","(Fach-)Abitur","249","","",""
"Nicht abgegolten","2013","AkademikerIn","963","0.329657674760757","0.312830461724925","0.34648488779659"
"Abgefeiert","2014","(noch) kein Abschluss","28","","",""
"Abgefeiert","2014","Hauptschule","959","0.461870031390471","0.440884405167291","0.48285565761365"
"Abgefeiert","2014","Realschule","1707","","",""
"Abgefeiert","2014","(Fach-)Abitur","858","0.523441052759506","0.499283456492739","0.547598649026272"
"Abgefeiert","2014","AkademikerIn","1401","","",""
"Teils, teils","2014","(noch) kein Abschluss","15","","",""
"Teils, teils","2014","Hauptschule","571","0.265780116343469","0.247185262613227","0.284374970073711"
"Teils, teils","2014","Realschule","751","0.236573448281581","0.221632635757778","0.251514260805385"
"Teils, teils","2014","(Fach-)Abitur","357","0.23996475493884","0.219308475018411","0.260621034859269"
"Teils, teils","2014","AkademikerIn","421","0.14753340143027","0.134402398781928","0.160664404078612"
"Bezahlt","2014","(noch) kein Abschluss","42","0.390006672867577","0.290876656545349","0.489136689189805"
"Bezahlt","2014","Hauptschule","460","0.188549861855248","0.172084833588911","0.205014890121585"
"Bezahlt","2014","Realschule","321","0.100932414339441","0.0903418503899056","0.111522978288976"
"Bezahlt","2014","(Fach-)Abitur","196","","",""
"Bezahlt","2014","AkademikerIn","147","","",""
"Nicht abgegolten","2014","(noch) kein Abschluss","8","0.109196099866474","0.04580894846325","0.172583251269698"
"Nicht abgegolten","2014","Hauptschule","178","","",""
"Nicht abgegolten","2014","Realschule","329","0.129137027828857","0.117347188354678","0.140926867303036"
"Nicht abgegolten","2014","(Fach-)Abitur","231","","",""
"Nicht abgegolten","2014","AkademikerIn","833","0.285365698987931","0.268644907191283","0.302086490784579"
"Abgefeiert","2015","(noch) kein Abschluss","","","",""
"Abgefeiert","2015","Hauptschule","","","",""
"Abgefeiert","2015","Realschule","","","",""
"Abgefeiert","2015","(Fach-)Abitur","","","",""
"Abgefeiert","2015","AkademikerIn","","","",""
"Teils, teils","2015","(noch) kein Abschluss","","","",""
"Teils, teils","2015","Hauptschule","","","",""
"Teils, teils","2015","Realschule","","","",""
"Teils, teils","2015","(Fach-)Abitur","","","",""
"Teils, teils","2015","AkademikerIn","","","",""
"Bezahlt","2015","(noch) kein Abschluss","","","",""
"Bezahlt","2015","Hauptschule","","","",""
"Bezahlt","2015","Realschule","","","",""
"Bezahlt","2015","(Fach-)Abitur","","","",""
"Bezahlt","2015","AkademikerIn","","","",""
"Nicht abgegolten","2015","(noch) kein Abschluss","","","",""
"Nicht abgegolten","2015","Hauptschule","","","",""
"Nicht abgegolten","2015","Realschule","","","",""
"Nicht abgegolten","2015","(Fach-)Abitur","","","",""
"Nicht abgegolten","2015","AkademikerIn","","","",""
"Abgefeiert","2016","(noch) kein Abschluss","","","",""
"Abgefeiert","2016","Hauptschule","","","",""
"Abgefeiert","2016","Realschule","","","",""
"Abgefeiert","2016","(Fach-)Abitur","","","",""
"Abgefeiert","2016","AkademikerIn","","","",""
"Teils, teils","2016","(noch) kein Abschluss","","","",""
"Teils, teils","2016","Hauptschule","","","",""
"Teils, teils","2016","Realschule","","","",""
"Teils, teils","2016","(Fach-)Abitur","","","",""
"Teils, teils","2016","AkademikerIn","","","",""
"Bezahlt","2016","(noch) kein Abschluss","","","",""
"Bezahlt","2016","Hauptschule","","","",""
"Bezahlt","2016","Realschule","","","",""
"Bezahlt","2016","(Fach-)Abitur","","","",""
"Bezahlt","2016","AkademikerIn","","","",""
"Nicht abgegolten","2016","(noch) kein Abschluss","","","",""
"Nicht abgegolten","2016","Hauptschule","","","",""
"Nicht abgegolten","2016","Realschule","","","",""
"Nicht abgegolten","2016","(Fach-)Abitur","","","",""
"Nicht abgegolten","2016","AkademikerIn","","","",""
"Abgefeiert","2017","(noch) kein Abschluss","","","",""
"Abgefeiert","2017","Hauptschule","","","",""
"Abgefeiert","2017","Realschule","","","",""
"Abgefeiert","2017","(Fach-)Abitur","","","",""
"Abgefeiert","2017","AkademikerIn","","","",""
"Teils, teils","2017","(noch) kein Abschluss","","","",""
"Teils, teils","2017","Hauptschule","","","",""
"Teils, teils","2017","Realschule","","","",""
"Teils, teils","2017","(Fach-)Abitur","","","",""
"Teils, teils","2017","AkademikerIn","","","",""
"Bezahlt","2017","(noch) kein Abschluss","","","",""
"Bezahlt","2017","Hauptschule","","","",""
"Bezahlt","2017","Realschule","","","",""
"Bezahlt","2017","(Fach-)Abitur","","","",""
"Bezahlt","2017","AkademikerIn","","","",""
"Nicht abgegolten","2017","(noch) kein Abschluss","","","",""
"Nicht abgegolten","2017","Hauptschule","","","",""
"Nicht abgegolten","2017","Realschule","","","",""
"Nicht abgegolten","2017","(Fach-)Abitur","","","",""
"Nicht abgegolten","2017","AkademikerIn","","","",""
"Abgefeiert","2018","(noch) kein Abschluss","32","0.373202774554715","0.27383092814105","0.47257462096838"
"Abgefeiert","2018","Hauptschule","841","0.474361912525532","0.451656805409979","0.497067019641085"
"Abgefeiert","2018","Realschule","1706","","",""
"Abgefeiert","2018","(Fach-)Abitur","991","0.608811847212079","0.585742009097849","0.63188168532631"
"Abgefeiert","2018","AkademikerIn","1535","","",""
"Teils, teils","2018","(noch) kein Abschluss","25","","",""
"Teils, teils","2018","Hauptschule","509","0.270894339328694","0.250686474127099","0.291102204530289"
"Teils, teils","2018","Realschule","725","0.248212450508281","0.232726264224154","0.263698636792407"
"Teils, teils","2018","(Fach-)Abitur","347","0.205860066416364","0.186746368206615","0.224973764626113"
"Teils, teils","2018","AkademikerIn","464","0.165180895394004","0.151711975719802","0.178649815068207"
"Bezahlt","2018","(noch) kein Abschluss","29","","",""
"Bezahlt","2018","Hauptschule","403","0.184648063680366","0.167005155718709","0.202290971642023"
"Bezahlt","2018","Realschule","330","0.112053402701564","0.100745265171529","0.123361540231599"
"Bezahlt","2018","(Fach-)Abitur","207","","",""
"Bezahlt","2018","AkademikerIn","181","","",""
"Nicht abgegolten","2018","(noch) kein Abschluss","5","0.0720453390291125","0.0189209781423268","0.125169699915898"
"Nicht abgegolten","2018","Hauptschule","105","","",""
"Nicht abgegolten","2018","Realschule","228","","",""
"Nicht abgegolten","2018","(Fach-)Abitur","174","","",""
"Nicht abgegolten","2018","AkademikerIn","740","0.261718177858181","0.245774640012892","0.27766171570347"
"Abgefeiert","2019","(noch) kein Abschluss","","","",""
"Abgefeiert","2019","Hauptschule","","","",""
"Abgefeiert","2019","Realschule","","","",""
"Abgefeiert","2019","(Fach-)Abitur","","","",""
"Abgefeiert","2019","AkademikerIn","","","",""
"Teils, teils","2019","(noch) kein Abschluss","","","",""
"Teils, teils","2019","Hauptschule","","","",""
"Teils, teils","2019","Realschule","","","",""
"Teils, teils","2019","(Fach-)Abitur","","","",""
"Teils, teils","2019","AkademikerIn","","","",""
"Bezahlt","2019","(noch) kein Abschluss","","","",""
"Bezahlt","2019","Hauptschule","","","",""
"Bezahlt","2019","Realschule","","","",""
"Bezahlt","2019","(Fach-)Abitur","","","",""
"Bezahlt","2019","AkademikerIn","","","",""
"Nicht abgegolten","2019","(noch) kein Abschluss","","","",""
"Nicht abgegolten","2019","Hauptschule","","","",""
"Nicht abgegolten","2019","Realschule","","","",""
"Nicht abgegolten","2019","(Fach-)Abitur","","","",""
"Nicht abgegolten","2019","AkademikerIn","","","",""
"Abgefeiert","2020","(noch) kein Abschluss","33","0.321822208070299","0.238581609789669","0.405062806350929"
"Abgefeiert","2020","Hauptschule","709","0.465976269503773","0.441617098790058","0.490335440217488"
"Abgefeiert","2020","Realschule","1614","","",""
"Abgefeiert","2020","(Fach-)Abitur","1079","","",""
"Abgefeiert","2020","AkademikerIn","1703","","",""
"Teils, teils","2020","(noch) kein Abschluss","28","","",""
"Teils, teils","2020","Hauptschule","481","0.297211212313223","0.274893723411804","0.319528701214643"
"Teils, teils","2020","Realschule","723","0.263098160481366","0.246748028560633","0.2794482924021"
"Teils, teils","2020","(Fach-)Abitur","397","0.219846737557292","0.201170813934823","0.238522661179761"
"Teils, teils","2020","AkademikerIn","507","0.160779137288934","0.148091722512837","0.173466552065032"
"Bezahlt","2020","(noch) kein Abschluss","45","0.312512970702513","0.229924070303186","0.39510187110184"
"Bezahlt","2020","Hauptschule","318","0.176039265097846","0.157441603014412","0.194636927181279"
"Bezahlt","2020","Realschule","240","","",""
"Bezahlt","2020","(Fach-)Abitur","222","","",""
"Bezahlt","2020","AkademikerIn","241","","",""
"Nicht abgegolten","2020","(noch) kein Abschluss","15","","",""
"Nicht abgegolten","2020","Hauptschule","103","","",""
"Nicht abgegolten","2020","Realschule","209","","",""
"Nicht abgegolten","2020","(Fach-)Abitur","191","","",""
"Nicht abgegolten","2020","AkademikerIn","769","0.215475785944442","0.201274666896075","0.229676904992809"
