,Unnamed: 0,year,age_gr,bula_h,plb0195_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
285,285,1990,46-65 y.,Baden-Wuerttemberg,Some of both,0.13388,35,4763,0.10378,0.16274
286,286,1990,46-65 y.,Baden-Wuerttemberg,Paid,0.35542,92,4763,0.30159,0.40655
287,287,1990,46-65 y.,Baden-Wuerttemberg,Not compensated,0.19648,31,4763,0.16776,0.22209
288,288,1990,46-65 y.,Bavaria,Comp. time,0.36716,51,4763,0.32549,0.41443
289,289,1990,46-65 y.,Bavaria,Paid,0.36217,72,4763,0.3075,0.41413
290,290,1990,46-65 y.,Bavaria,Not compensated,0.27067,35,4763,0.23619,0.30758
291,291,1990,46-65 y.,Berlin,Comp. time,1.0,38,4763,0.84504,1.19611
292,292,1990,46-65 y.,Brandenburg,Comp. time,0.5,49,4763,0.45516,0.54465
293,293,1990,46-65 y.,Brandenburg,Paid,0.5,53,4763,0.45932,0.53577
294,294,1990,46-65 y.,Mecklenburg-Western Pomerania,Paid,1.0,38,4763,0.92991,1.06868
295,295,1990,46-65 y.,Saxony,Comp. time,0.42111,92,4763,0.39743,0.44571
296,296,1990,46-65 y.,Saxony,Some of both,0.14524,35,4763,0.13523,0.15381
297,297,1990,46-65 y.,Saxony,Paid,0.43365,99,4763,0.40201,0.46675
298,298,1990,46-65 y.,Saxony-Anhalt,Comp. time,0.48114,50,4763,0.44126,0.52946
299,299,1990,46-65 y.,Saxony-Anhalt,Paid,0.51886,54,4763,0.45968,0.59132
300,300,1990,46-65 y.,Thuringa,Comp. time,0.34773,35,4763,0.31492,0.38272
301,301,1990,46-65 y.,Thuringa,Paid,0.65227,63,4763,0.59317,0.7061
302,302,1991,17-29 y.,Lower Saxony,Comp. time,0.52689,59,4161,0.43769,0.62467
303,303,1991,17-29 y.,Lower Saxony,Paid,0.47311,53,4161,0.37089,0.5787
304,304,1991,17-29 y.,North Rhine-Westphalia,Comp. time,0.31016,78,4161,0.2565,0.35893
305,305,1991,17-29 y.,North Rhine-Westphalia,Some of both,0.1432,35,4161,0.11334,0.17603
306,306,1991,17-29 y.,North Rhine-Westphalia,Paid,0.39304,124,4161,0.32086,0.45505
307,307,1991,17-29 y.,North Rhine-Westphalia,Not compensated,0.1536,33,4161,0.12364,0.1913
308,308,1991,17-29 y.,Hesse,Comp. time,0.69081,45,4161,0.54031,0.83973
309,309,1991,17-29 y.,Hesse,Paid,0.30919,31,4161,0.2371,0.38813
310,310,1991,17-29 y.,"Rhineland-Palatinate, Saarland",Paid,1.0,45,4161,0.82727,1.1539
311,311,1991,17-29 y.,Baden-Wuerttemberg,Comp. time,0.37929,74,4161,0.31728,0.4499
312,312,1991,17-29 y.,Baden-Wuerttemberg,Some of both,0.13163,36,4161,0.10525,0.16031
313,313,1991,17-29 y.,Baden-Wuerttemberg,Paid,0.48907,127,4161,0.40768,0.54892
314,314,1991,17-29 y.,Bavaria,Comp. time,0.44463,93,4161,0.39371,0.49819
315,315,1991,17-29 y.,Bavaria,Some of both,0.21923,43,4161,0.18583,0.25468
316,316,1991,17-29 y.,Bavaria,Paid,0.33613,86,4161,0.27984,0.393
317,317,1991,17-29 y.,Berlin,Comp. time,1.0,31,4161,0.79954,1.22529
318,318,1991,17-29 y.,Saxony,Comp. time,0.64499,55,4161,0.55832,0.73862
319,319,1991,17-29 y.,Saxony,Paid,0.35501,35,4161,0.31119,0.40235
320,320,1991,17-29 y.,Saxony-Anhalt,Comp. time,1.0,38,4161,0.88032,1.11026
321,321,1991,17-29 y.,Thuringa,Comp. time,1.0,38,4161,0.84077,1.15971
322,322,1991,30-45 y.,Lower Saxony,Comp. time,0.52507,44,4161,0.44587,0.61389
323,323,1991,30-45 y.,Lower Saxony,Paid,0.47493,55,4161,0.40545,0.53744
324,324,1991,30-45 y.,North Rhine-Westphalia,Comp. time,0.28436,107,4161,0.25897,0.31195
325,325,1991,30-45 y.,North Rhine-Westphalia,Some of both,0.15013,55,4161,0.13383,0.17322
326,326,1991,30-45 y.,North Rhine-Westphalia,Paid,0.40502,194,4161,0.37313,0.4419
327,327,1991,30-45 y.,North Rhine-Westphalia,Not compensated,0.16049,61,4161,0.13989,0.18009
328,328,1991,30-45 y.,Hesse,Comp. time,0.44084,52,4161,0.36993,0.49901
329,329,1991,30-45 y.,Hesse,Some of both,0.28868,45,4161,0.23379,0.35003
330,330,1991,30-45 y.,Hesse,Paid,0.27048,62,4161,0.20799,0.33154
331,331,1991,30-45 y.,"Rhineland-Palatinate, Saarland",Paid,1.0,46,4161,0.8846,1.12276
332,332,1991,30-45 y.,Baden-Wuerttemberg,Comp. time,0.31297,80,4161,0.26977,0.37014
333,333,1991,30-45 y.,Baden-Wuerttemberg,Some of both,0.20352,42,4161,0.15525,0.24339
334,334,1991,30-45 y.,Baden-Wuerttemberg,Paid,0.48351,147,4161,0.42011,0.54447
335,335,1991,30-45 y.,Bavaria,Comp. time,0.37667,86,4161,0.33821,0.41865
336,336,1991,30-45 y.,Bavaria,Some of both,0.12772,39,4161,0.10896,0.14685
337,337,1991,30-45 y.,Bavaria,Paid,0.35353,91,4161,0.30403,0.39567
338,338,1991,30-45 y.,Bavaria,Not compensated,0.14207,32,4161,0.11648,0.16579
339,339,1991,30-45 y.,Berlin,Comp. time,1.0,51,4161,0.79298,1.18689
340,340,1991,30-45 y.,Brandenburg,Comp. time,0.63231,59,4161,0.56792,0.73371
341,341,1991,30-45 y.,Brandenburg,Paid,0.36769,34,4161,0.31991,0.41556
342,342,1991,30-45 y.,Mecklenburg-Western Pomerania,Comp. time,1.0,50,4161,0.91303,1.09986
343,343,1991,30-45 y.,Saxony,Comp. time,0.49253,143,4161,0.45671,0.53602
344,344,1991,30-45 y.,Saxony,Some of both,0.13081,38,4161,0.11369,0.15075
345,345,1991,30-45 y.,Saxony,Paid,0.23763,64,4161,0.20916,0.26273
346,346,1991,30-45 y.,Saxony,Not compensated,0.13903,43,4161,0.12624,0.15104
347,347,1991,30-45 y.,Saxony-Anhalt,Comp. time,0.67297,88,4161,0.6201,0.72961
348,348,1991,30-45 y.,Saxony-Anhalt,Paid,0.32703,44,4161,0.28804,0.3665
349,349,1991,30-45 y.,Thuringa,Comp. time,0.6184,65,4161,0.52492,0.7118
350,350,1991,30-45 y.,Thuringa,Paid,0.3816,44,4161,0.31191,0.46941
351,351,1991,46-65 y.,Lower Saxony,Comp. time,0.38652,31,4161,0.32889,0.43171
352,352,1991,46-65 y.,Lower Saxony,Paid,0.61348,54,4161,0.51265,0.70829
353,353,1991,46-65 y.,North Rhine-Westphalia,Comp. time,0.26059,55,4161,0.23026,0.29095
354,354,1991,46-65 y.,North Rhine-Westphalia,Paid,0.42301,117,4161,0.3641,0.48508
355,355,1991,46-65 y.,North Rhine-Westphalia,Not compensated,0.3164,59,4161,0.27856,0.35514
356,356,1991,46-65 y.,Hesse,Comp. time,0.49048,40,4161,0.40623,0.57854
357,357,1991,46-65 y.,Hesse,Paid,0.50952,50,4161,0.39526,0.6102
358,358,1991,46-65 y.,Baden-Wuerttemberg,Comp. time,0.3431,56,4161,0.28774,0.39482
359,359,1991,46-65 y.,Baden-Wuerttemberg,Some of both,0.20696,38,4161,0.17684,0.23747
360,360,1991,46-65 y.,Baden-Wuerttemberg,Paid,0.44995,115,4161,0.38727,0.51788
361,361,1991,46-65 y.,Bavaria,Comp. time,0.35617,53,4161,0.31495,0.40097
362,362,1991,46-65 y.,Bavaria,Paid,0.34688,71,4161,0.29566,0.40056
363,363,1991,46-65 y.,Bavaria,Not compensated,0.29695,38,4161,0.27025,0.32163
364,364,1991,46-65 y.,Berlin,Comp. time,1.0,43,4161,0.85144,1.1601
365,365,1991,46-65 y.,Brandenburg,Comp. time,1.0,39,4161,0.89361,1.1229
366,366,1991,46-65 y.,Saxony,Comp. time,0.63016,67,4161,0.57709,0.6905
367,367,1991,46-65 y.,Saxony,Not compensated,0.36984,41,4161,0.34062,0.40858
368,368,1991,46-65 y.,Saxony-Anhalt,Comp. time,1.0,39,4161,0.8859,1.09384
369,369,1991,46-65 y.,Thuringa,Comp. time,1.0,35,4161,0.86342,1.12317
370,370,1992,17-29 y.,Lower Saxony,Comp. time,0.62719,59,3793,0.52415,0.73608
371,371,1992,17-29 y.,Lower Saxony,Paid,0.37281,43,3793,0.26521,0.48381
372,372,1992,17-29 y.,North Rhine-Westphalia,Comp. time,0.36441,72,3793,0.31462,0.42515
373,373,1992,17-29 y.,North Rhine-Westphalia,Some of both,0.17215,37,3793,0.1283,0.21658
374,374,1992,17-29 y.,North Rhine-Westphalia,Paid,0.46344,136,3793,0.38905,0.53509
375,375,1992,17-29 y.,Hesse,Comp. time,1.0,45,3793,0.74678,1.23977
376,376,1992,17-29 y.,"Rhineland-Palatinate, Saarland",Paid,1.0,34,3793,0.79427,1.23019
377,377,1992,17-29 y.,Baden-Wuerttemberg,Comp. time,0.3995,77,3793,0.33157,0.47055
378,378,1992,17-29 y.,Baden-Wuerttemberg,Some of both,0.1971,41,3793,0.15363,0.23683
379,379,1992,17-29 y.,Baden-Wuerttemberg,Paid,0.4034,105,3793,0.33962,0.46525
380,380,1992,17-29 y.,Bavaria,Comp. time,0.47869,98,3793,0.43004,0.53443
381,381,1992,17-29 y.,Bavaria,Some of both,0.18582,49,3793,0.13829,0.25263
382,382,1992,17-29 y.,Bavaria,Paid,0.33549,72,3793,0.28175,0.39486
383,383,1992,17-29 y.,Saxony,Comp. time,0.60089,43,3793,0.52518,0.67709
384,384,1992,17-29 y.,Saxony,Paid,0.39911,35,3793,0.3604,0.4439
385,385,1992,17-29 y.,Thuringa,Comp. time,1.0,34,3793,0.85235,1.14975
386,386,1992,30-45 y.,Lower Saxony,Comp. time,0.56918,50,3793,0.48641,0.65451
387,387,1992,30-45 y.,Lower Saxony,Paid,0.43082,50,3793,0.37761,0.48574
388,388,1992,30-45 y.,North Rhine-Westphalia,Comp. time,0.31683,118,3793,0.2901,0.34833
389,389,1992,30-45 y.,North Rhine-Westphalia,Some of both,0.13748,58,3793,0.11838,0.15958
390,390,1992,30-45 y.,North Rhine-Westphalia,Paid,0.37217,175,3793,0.34044,0.40438
391,391,1992,30-45 y.,North Rhine-Westphalia,Not compensated,0.17352,66,3793,0.15288,0.20137
392,392,1992,30-45 y.,Hesse,Comp. time,0.45409,50,3793,0.38008,0.5327
393,393,1992,30-45 y.,Hesse,Some of both,0.2806,33,3793,0.22519,0.34189
394,394,1992,30-45 y.,Hesse,Paid,0.26531,48,3793,0.21012,0.33496
395,395,1992,30-45 y.,"Rhineland-Palatinate, Saarland",Comp. time,0.47434,31,3793,0.39178,0.56718
396,396,1992,30-45 y.,"Rhineland-Palatinate, Saarland",Paid,0.52566,41,3793,0.45263,0.60711
397,397,1992,30-45 y.,Baden-Wuerttemberg,Comp. time,0.30569,78,3793,0.25936,0.35134
398,398,1992,30-45 y.,Baden-Wuerttemberg,Some of both,0.23282,49,3793,0.19641,0.28229
399,399,1992,30-45 y.,Baden-Wuerttemberg,Paid,0.46149,130,3793,0.4058,0.52659
400,400,1992,30-45 y.,Bavaria,Comp. time,0.38589,96,3793,0.34693,0.43267
401,401,1992,30-45 y.,Bavaria,Some of both,0.17231,47,3793,0.14587,0.20459
402,402,1992,30-45 y.,Bavaria,Paid,0.30032,86,3793,0.26481,0.346
403,403,1992,30-45 y.,Bavaria,Not compensated,0.14149,33,3793,0.11524,0.16561
404,404,1992,30-45 y.,Berlin,Comp. time,0.57787,51,3793,0.47642,0.68334
405,405,1992,30-45 y.,Berlin,Paid,0.42213,37,3793,0.35583,0.50418
406,406,1992,30-45 y.,Brandenburg,Comp. time,0.59464,51,3793,0.51426,0.69266
407,407,1992,30-45 y.,Brandenburg,Paid,0.40536,33,3793,0.34377,0.47181
408,408,1992,30-45 y.,Mecklenburg-Western Pomerania,Comp. time,1.0,34,3793,0.89337,1.10453
409,409,1992,30-45 y.,Saxony,Comp. time,0.36527,92,3793,0.33546,0.39701
410,410,1992,30-45 y.,Saxony,Some of both,0.24096,60,3793,0.22085,0.26128
411,411,1992,30-45 y.,Saxony,Paid,0.23735,56,3793,0.2104,0.27575
412,412,1992,30-45 y.,Saxony,Not compensated,0.15642,40,3793,0.14108,0.17503
413,413,1992,30-45 y.,Saxony-Anhalt,Comp. time,0.45719,68,3793,0.41067,0.50243
414,414,1992,30-45 y.,Saxony-Anhalt,Paid,0.34504,45,3793,0.29655,0.40108
415,415,1992,30-45 y.,Saxony-Anhalt,Not compensated,0.19777,31,3793,0.17589,0.21874
416,416,1992,30-45 y.,Thuringa,Comp. time,0.62897,59,3793,0.57797,0.69638
417,417,1992,30-45 y.,Thuringa,Paid,0.37103,34,3793,0.31314,0.44404
418,418,1992,46-65 y.,Lower Saxony,Comp. time,0.4997,39,3793,0.44389,0.55686
419,419,1992,46-65 y.,Lower Saxony,Paid,0.5003,48,3793,0.4344,0.56287
420,420,1992,46-65 y.,North Rhine-Westphalia,Comp. time,0.26165,52,3793,0.23524,0.28718
421,421,1992,46-65 y.,North Rhine-Westphalia,Paid,0.42459,107,3793,0.37243,0.4817
422,422,1992,46-65 y.,North Rhine-Westphalia,Not compensated,0.31376,53,3793,0.28423,0.35098
423,423,1992,46-65 y.,Hesse,Comp. time,0.49804,32,3793,0.41982,0.57961
424,424,1992,46-65 y.,Hesse,Paid,0.50196,37,3793,0.39635,0.6143
425,425,1992,46-65 y.,Baden-Wuerttemberg,Comp. time,0.43901,69,3793,0.36842,0.48816
426,426,1992,46-65 y.,Baden-Wuerttemberg,Some of both,0.16803,38,3793,0.13119,0.20549
427,427,1992,46-65 y.,Baden-Wuerttemberg,Paid,0.39297,94,3793,0.33525,0.45367
428,428,1992,46-65 y.,Bavaria,Comp. time,0.35041,52,3793,0.29791,0.39885
429,429,1992,46-65 y.,Bavaria,Paid,0.36243,67,3793,0.30047,0.42247
430,430,1992,46-65 y.,Bavaria,Not compensated,0.28715,37,3793,0.2479,0.32615
431,431,1992,46-65 y.,Berlin,Comp. time,1.0,35,3793,0.83755,1.21652
432,432,1992,46-65 y.,Saxony,Comp. time,0.59062,56,3793,0.53887,0.63478
433,433,1992,46-65 y.,Saxony,Not compensated,0.40938,35,3793,0.36259,0.44995
434,434,1992,46-65 y.,Thuringa,Comp. time,1.0,32,3793,0.87202,1.13754
435,435,1993,17-29 y.,Lower Saxony,Comp. time,0.5503,57,3517,0.45443,0.67818
436,436,1993,17-29 y.,Lower Saxony,Paid,0.4497,52,3517,0.36586,0.54088
437,437,1993,17-29 y.,North Rhine-Westphalia,Comp. time,0.36413,70,3517,0.29667,0.42503
438,438,1993,17-29 y.,North Rhine-Westphalia,Some of both,0.13235,37,3517,0.10639,0.15686
439,439,1993,17-29 y.,North Rhine-Westphalia,Paid,0.50351,123,3517,0.41604,0.58993
440,440,1993,17-29 y.,Hesse,Comp. time,1.0,42,3517,0.79006,1.23454
441,441,1993,17-29 y.,"Rhineland-Palatinate, Saarland",Paid,1.0,34,3517,0.77031,1.2864
442,442,1993,17-29 y.,Baden-Wuerttemberg,Comp. time,0.38593,78,3517,0.32798,0.44086
443,443,1993,17-29 y.,Baden-Wuerttemberg,Some of both,0.23112,48,3517,0.1905,0.27341
444,444,1993,17-29 y.,Baden-Wuerttemberg,Paid,0.38296,95,3517,0.31782,0.46412
445,445,1993,17-29 y.,Bavaria,Comp. time,0.4654,91,3517,0.42713,0.51848
446,446,1993,17-29 y.,Bavaria,Some of both,0.272,51,3517,0.22095,0.32988
447,447,1993,17-29 y.,Bavaria,Paid,0.2626,55,3517,0.21221,0.31018
448,448,1993,17-29 y.,Saxony,Comp. time,1.0,51,3517,0.88561,1.13949
449,449,1993,30-45 y.,Lower Saxony,Comp. time,0.55161,53,3517,0.47287,0.64355
450,450,1993,30-45 y.,Lower Saxony,Paid,0.44839,48,3517,0.39504,0.51401
451,451,1993,30-45 y.,North Rhine-Westphalia,Comp. time,0.29252,119,3517,0.26451,0.32473
452,452,1993,30-45 y.,North Rhine-Westphalia,Some of both,0.15641,68,3517,0.13307,0.18826
453,453,1993,30-45 y.,North Rhine-Westphalia,Paid,0.36454,178,3517,0.32914,0.39893
454,454,1993,30-45 y.,North Rhine-Westphalia,Not compensated,0.18653,71,3517,0.16378,0.21997
455,455,1993,30-45 y.,Hesse,Comp. time,0.69275,54,3517,0.56617,0.82355
456,456,1993,30-45 y.,Hesse,Paid,0.30725,42,3517,0.24214,0.39263
457,457,1993,30-45 y.,"Rhineland-Palatinate, Saarland",Paid,1.0,43,3517,0.88481,1.15476
458,458,1993,30-45 y.,Baden-Wuerttemberg,Comp. time,0.31948,76,3517,0.26972,0.37946
459,459,1993,30-45 y.,Baden-Wuerttemberg,Some of both,0.24089,53,3517,0.19568,0.2977
460,460,1993,30-45 y.,Baden-Wuerttemberg,Paid,0.43963,127,3517,0.37988,0.51362
461,461,1993,30-45 y.,Bavaria,Comp. time,0.39437,107,3517,0.35109,0.44463
462,462,1993,30-45 y.,Bavaria,Some of both,0.17259,49,3517,0.14451,0.20293
463,463,1993,30-45 y.,Bavaria,Paid,0.26916,80,3517,0.23553,0.30993
464,464,1993,30-45 y.,Bavaria,Not compensated,0.16388,43,3517,0.12898,0.20975
465,465,1993,30-45 y.,Berlin,Comp. time,1.0,55,3517,0.84361,1.16403
466,466,1993,30-45 y.,Brandenburg,Comp. time,1.0,49,3517,0.84851,1.17683
467,467,1993,30-45 y.,Mecklenburg-Western Pomerania,Comp. time,1.0,33,3517,0.84034,1.19865
468,468,1993,30-45 y.,Saxony,Comp. time,0.39153,105,3517,0.35648,0.42981
469,469,1993,30-45 y.,Saxony,Some of both,0.16368,41,3517,0.14355,0.18609
470,470,1993,30-45 y.,Saxony,Paid,0.26955,67,3517,0.23895,0.3126
471,471,1993,30-45 y.,Saxony,Not compensated,0.17524,44,3517,0.15207,0.21113
472,472,1993,30-45 y.,Saxony-Anhalt,Comp. time,0.43139,58,3517,0.38976,0.47436
473,473,1993,30-45 y.,Saxony-Anhalt,Paid,0.36004,47,3517,0.31908,0.41091
474,474,1993,30-45 y.,Saxony-Anhalt,Not compensated,0.20857,31,3517,0.18483,0.22715
475,475,1993,30-45 y.,Thuringa,Comp. time,0.46757,43,3517,0.41792,0.52299
476,476,1993,30-45 y.,Thuringa,Paid,0.53243,48,3517,0.45992,0.60963
477,477,1993,46-65 y.,Lower Saxony,Comp. time,0.54626,39,3517,0.47501,0.62475
478,478,1993,46-65 y.,Lower Saxony,Paid,0.45374,35,3517,0.39374,0.52737
479,479,1993,46-65 y.,North Rhine-Westphalia,Comp. time,0.27691,50,3517,0.25113,0.30228
480,480,1993,46-65 y.,North Rhine-Westphalia,Paid,0.43356,101,3517,0.37319,0.4942
481,481,1993,46-65 y.,North Rhine-Westphalia,Not compensated,0.28954,50,3517,0.25205,0.33134
482,482,1993,46-65 y.,Hesse,Paid,1.0,35,3517,0.81762,1.19993
483,483,1993,46-65 y.,Baden-Wuerttemberg,Comp. time,0.32439,60,3517,0.26671,0.3788
484,484,1993,46-65 y.,Baden-Wuerttemberg,Some of both,0.19204,38,3517,0.15905,0.22464
485,485,1993,46-65 y.,Baden-Wuerttemberg,Paid,0.29804,73,3517,0.24513,0.35551
486,486,1993,46-65 y.,Baden-Wuerttemberg,Not compensated,0.18554,31,3517,0.15462,0.21809
487,487,1993,46-65 y.,Bavaria,Comp. time,0.3651,54,3517,0.30672,0.41662
488,488,1993,46-65 y.,Bavaria,Paid,0.31465,54,3517,0.26521,0.36411
489,489,1993,46-65 y.,Bavaria,Not compensated,0.32025,42,3517,0.28244,0.35472
490,490,1993,46-65 y.,Berlin,Comp. time,1.0,33,3517,0.84419,1.20988
491,491,1993,46-65 y.,Saxony,Comp. time,0.49435,37,3517,0.4241,0.56843
492,492,1993,46-65 y.,Saxony,Not compensated,0.50565,37,3517,0.45706,0.56107
493,493,1993,46-65 y.,Saxony-Anhalt,Comp. time,1.0,32,3517,0.8313,1.1805
494,494,1994,17-29 y.,Lower Saxony,Comp. time,0.40991,54,3598,0.3538,0.4754
495,495,1994,17-29 y.,Lower Saxony,Some of both,0.29508,37,3598,0.22382,0.3821
496,496,1994,17-29 y.,Lower Saxony,Paid,0.29501,44,3598,0.23595,0.35353
497,497,1994,17-29 y.,North Rhine-Westphalia,Comp. time,0.48519,93,3598,0.40469,0.57895
498,498,1994,17-29 y.,North Rhine-Westphalia,Paid,0.39889,109,3598,0.32283,0.48262
499,499,1994,17-29 y.,North Rhine-Westphalia,Not compensated,0.11592,38,3598,0.0922,0.14849
500,500,1994,17-29 y.,Hesse,Comp. time,1.0,52,3598,0.77663,1.23195
501,501,1994,17-29 y.,Baden-Wuerttemberg,Comp. time,0.40172,79,3598,0.34505,0.47667
502,502,1994,17-29 y.,Baden-Wuerttemberg,Some of both,0.23253,45,3598,0.1731,0.29139
503,503,1994,17-29 y.,Baden-Wuerttemberg,Paid,0.36575,83,3598,0.31207,0.43153
504,504,1994,17-29 y.,Bavaria,Comp. time,0.52233,92,3598,0.48219,0.57378
505,505,1994,17-29 y.,Bavaria,Some of both,0.21251,37,3598,0.17365,0.2593
506,506,1994,17-29 y.,Bavaria,Paid,0.26516,54,3598,0.19664,0.33038
507,507,1994,17-29 y.,Saxony,Comp. time,1.0,38,3598,0.86005,1.15699
508,508,1994,17-29 y.,Saxony-Anhalt,Comp. time,1.0,35,3598,0.75739,1.2419
509,509,1994,17-29 y.,Thuringa,Comp. time,1.0,33,3598,0.79557,1.21253
510,510,1994,30-45 y.,Lower Saxony,Comp. time,0.48175,44,3598,0.3922,0.58516
511,511,1994,30-45 y.,Lower Saxony,Paid,0.51825,60,3598,0.44138,0.59832
512,512,1994,30-45 y.,North Rhine-Westphalia,Comp. time,0.33207,135,3598,0.30209,0.36511
513,513,1994,30-45 y.,North Rhine-Westphalia,Some of both,0.13209,64,3598,0.11452,0.15246
514,514,1994,30-45 y.,North Rhine-Westphalia,Paid,0.33752,157,3598,0.30326,0.37652
515,515,1994,30-45 y.,North Rhine-Westphalia,Not compensated,0.19832,72,3598,0.17087,0.22472
516,516,1994,30-45 y.,Hesse,Comp. time,0.7172,50,3598,0.54361,0.93278
517,517,1994,30-45 y.,Hesse,Paid,0.2828,31,3598,0.19602,0.39894
518,518,1994,30-45 y.,"Rhineland-Palatinate, Saarland",Comp. time,0.55827,41,3598,0.45696,0.6606
519,519,1994,30-45 y.,"Rhineland-Palatinate, Saarland",Paid,0.44173,40,3598,0.37328,0.52735
520,520,1994,30-45 y.,Baden-Wuerttemberg,Comp. time,0.3712,87,3598,0.30977,0.43962
521,521,1994,30-45 y.,Baden-Wuerttemberg,Some of both,0.27732,57,3598,0.21977,0.34553
522,522,1994,30-45 y.,Baden-Wuerttemberg,Paid,0.35148,91,3598,0.29506,0.42283
523,523,1994,30-45 y.,Bavaria,Comp. time,0.40976,115,3598,0.3723,0.44988
524,524,1994,30-45 y.,Bavaria,Some of both,0.16229,51,3598,0.13553,0.19448
525,525,1994,30-45 y.,Bavaria,Paid,0.29329,81,3598,0.25822,0.33854
526,526,1994,30-45 y.,Bavaria,Not compensated,0.13466,36,3598,0.11284,0.15731
527,527,1994,30-45 y.,Berlin,Comp. time,1.0,50,3598,0.85084,1.17892
528,528,1994,30-45 y.,Brandenburg,Comp. time,1.0,53,3598,0.88466,1.11579
529,529,1994,30-45 y.,Mecklenburg-Western Pomerania,Comp. time,1.0,40,3598,0.89181,1.1264
530,530,1994,30-45 y.,Saxony,Comp. time,0.36874,101,3598,0.34129,0.40632
531,531,1994,30-45 y.,Saxony,Some of both,0.1564,41,3598,0.13337,0.17879
532,532,1994,30-45 y.,Saxony,Paid,0.28176,64,3598,0.24077,0.31576
533,533,1994,30-45 y.,Saxony,Not compensated,0.1931,46,3598,0.16283,0.22674
534,534,1994,30-45 y.,Saxony-Anhalt,Comp. time,0.43135,51,3598,0.37845,0.49387
535,535,1994,30-45 y.,Saxony-Anhalt,Paid,0.29403,33,3598,0.25568,0.33572
536,536,1994,30-45 y.,Saxony-Anhalt,Not compensated,0.27462,34,3598,0.24338,0.30036
537,537,1994,30-45 y.,Thuringa,Comp. time,0.39268,50,3598,0.34698,0.43821
538,538,1994,30-45 y.,Thuringa,Paid,0.33727,38,3598,0.26957,0.4195
539,539,1994,30-45 y.,Thuringa,Not compensated,0.27005,32,3598,0.22586,0.32433
540,540,1994,46-65 y.,Lower Saxony,Comp. time,0.5445,46,3598,0.48115,0.61497
541,541,1994,46-65 y.,Lower Saxony,Paid,0.4555,40,3598,0.3792,0.53457
542,542,1994,46-65 y.,North Rhine-Westphalia,Comp. time,0.24962,61,3598,0.22404,0.27222
543,543,1994,46-65 y.,North Rhine-Westphalia,Some of both,0.11219,31,3598,0.09303,0.13179
544,544,1994,46-65 y.,North Rhine-Westphalia,Paid,0.38363,107,3598,0.33324,0.43029
545,545,1994,46-65 y.,North Rhine-Westphalia,Not compensated,0.25456,51,3598,0.20859,0.3006
546,546,1994,46-65 y.,Hesse,Comp. time,0.57153,34,3598,0.48004,0.66756
547,547,1994,46-65 y.,Hesse,Paid,0.42847,34,3598,0.31626,0.53392
548,548,1994,46-65 y.,Baden-Wuerttemberg,Comp. time,0.58126,63,3598,0.49715,0.69364
549,549,1994,46-65 y.,Baden-Wuerttemberg,Paid,0.41874,60,3598,0.32287,0.51533
550,550,1994,46-65 y.,Bavaria,Comp. time,0.43248,63,3598,0.37142,0.50213
551,551,1994,46-65 y.,Bavaria,Paid,0.2542,50,3598,0.21604,0.2935
552,552,1994,46-65 y.,Bavaria,Not compensated,0.31332,35,3598,0.27058,0.36083
553,553,1994,46-65 y.,Berlin,Comp. time,1.0,37,3598,0.84004,1.21671
554,554,1994,46-65 y.,Saxony,Comp. time,0.53672,47,3598,0.46968,0.62433
555,555,1994,46-65 y.,Saxony,Not compensated,0.46328,38,3598,0.40954,0.52141
556,556,1994,46-65 y.,Saxony-Anhalt,Comp. time,1.0,33,3598,0.83842,1.18199
557,557,1995,17-29 y.,Lower Saxony,Comp. time,0.50515,50,3910,0.44443,0.58386
558,558,1995,17-29 y.,Lower Saxony,Paid,0.49485,44,3910,0.39969,0.60808
559,559,1995,17-29 y.,North Rhine-Westphalia,Comp. time,0.4014,95,3910,0.33754,0.4792
560,560,1995,17-29 y.,North Rhine-Westphalia,Some of both,0.1375,40,3910,0.10994,0.16681
561,561,1995,17-29 y.,North Rhine-Westphalia,Paid,0.33621,104,3910,0.27607,0.4075
562,562,1995,17-29 y.,North Rhine-Westphalia,Not compensated,0.12489,33,3910,0.08998,0.1728
563,563,1995,17-29 y.,Hesse,Comp. time,1.0,59,3910,0.83744,1.19682
564,564,1995,17-29 y.,Baden-Wuerttemberg,Comp. time,0.43,74,3910,0.35176,0.52533
565,565,1995,17-29 y.,Baden-Wuerttemberg,Some of both,0.21027,44,3910,0.17051,0.25023
566,566,1995,17-29 y.,Baden-Wuerttemberg,Paid,0.35974,84,3910,0.29768,0.4219
567,567,1995,17-29 y.,Bavaria,Comp. time,0.51248,84,3910,0.45002,0.57998
568,568,1995,17-29 y.,Bavaria,Some of both,0.25713,38,3910,0.20238,0.35453
569,569,1995,17-29 y.,Bavaria,Paid,0.23039,56,3910,0.18745,0.27224
570,570,1995,17-29 y.,Saxony,Comp. time,1.0,51,3910,0.87187,1.14683
571,571,1995,17-29 y.,Saxony-Anhalt,Comp. time,1.0,34,3910,0.76289,1.30657
572,572,1995,30-45 y.,Lower Saxony,Comp. time,0.45678,72,3910,0.37795,0.5463
573,573,1995,30-45 y.,Lower Saxony,Some of both,0.17295,31,3910,0.1363,0.21202
574,574,1995,30-45 y.,Lower Saxony,Paid,0.37027,72,3910,0.32213,0.4223
