,Unnamed: 0,year,quintil_oecd,plb0195_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
350,350,2002,4th Quintile,Comp. time,0.5208,924,7029,0.49363,0.54674
351,351,2002,4th Quintile,Some of both,0.22136,398,7029,0.20556,0.23751
352,352,2002,4th Quintile,Paid,0.1211,217,7029,0.10677,0.13484
353,353,2002,4th Quintile,Not compensated,0.13674,275,7029,0.12388,0.15193
354,354,2002,5th Quintile,Comp. time,0.4902,1021,7029,0.462,0.51509
355,355,2002,5th Quintile,Some of both,0.18363,406,7029,0.16931,0.20049
356,356,2002,5th Quintile,Paid,0.06834,170,7029,0.06014,0.07877
357,357,2002,5th Quintile,Not compensated,0.25784,603,7029,0.23997,0.27818
358,358,2003,1st Quintile,Comp. time,0.52506,268,7548,0.48144,0.56893
359,359,2003,1st Quintile,Some of both,0.14251,98,7548,0.12274,0.16374
360,360,2003,1st Quintile,Paid,0.20859,112,7548,0.1806,0.24029
361,361,2003,1st Quintile,Not compensated,0.12384,76,7548,0.10237,0.14935
362,362,2003,2nd Quintile,Comp. time,0.4928,526,7548,0.46578,0.52114
363,363,2003,2nd Quintile,Some of both,0.23565,254,7548,0.21271,0.25811
364,364,2003,2nd Quintile,Paid,0.1804,193,7548,0.15837,0.20338
365,365,2003,2nd Quintile,Not compensated,0.09116,101,7548,0.07894,0.10497
366,366,2003,3rd Quintile,Comp. time,0.51021,705,7548,0.48323,0.53841
367,367,2003,3rd Quintile,Some of both,0.22578,321,7548,0.20723,0.24413
368,368,2003,3rd Quintile,Paid,0.14188,197,7548,0.12838,0.1579
369,369,2003,3rd Quintile,Not compensated,0.12212,185,7548,0.10526,0.13722
370,370,2003,4th Quintile,Comp. time,0.52665,986,7548,0.50072,0.54973
371,371,2003,4th Quintile,Some of both,0.21641,408,7548,0.19784,0.23246
372,372,2003,4th Quintile,Paid,0.11494,206,7548,0.1033,0.12791
373,373,2003,4th Quintile,Not compensated,0.142,289,7548,0.12599,0.15635
374,374,2003,5th Quintile,Comp. time,0.47818,1136,7548,0.45084,0.50423
375,375,2003,5th Quintile,Some of both,0.14864,405,7548,0.1374,0.16279
376,376,2003,5th Quintile,Paid,0.07809,189,7548,0.06828,0.0876
377,377,2003,5th Quintile,Not compensated,0.29508,893,7548,0.2763,0.31664
378,378,2004,1st Quintile,Comp. time,0.41409,222,7283,0.37664,0.45678
379,379,2004,1st Quintile,Some of both,0.17993,98,7283,0.15304,0.21089
380,380,2004,1st Quintile,Paid,0.24711,119,7283,0.20904,0.28927
381,381,2004,1st Quintile,Not compensated,0.15886,86,7283,0.13186,0.18875
382,382,2004,2nd Quintile,Comp. time,0.48505,483,7283,0.44635,0.52347
383,383,2004,2nd Quintile,Some of both,0.22869,236,7283,0.20332,0.25374
384,384,2004,2nd Quintile,Paid,0.16411,156,7283,0.14244,0.19061
385,385,2004,2nd Quintile,Not compensated,0.12214,111,7283,0.10415,0.14526
386,386,2004,3rd Quintile,Comp. time,0.5153,692,7283,0.49007,0.54341
387,387,2004,3rd Quintile,Some of both,0.21317,295,7283,0.1933,0.23066
388,388,2004,3rd Quintile,Paid,0.1445,169,7283,0.13055,0.15965
389,389,2004,3rd Quintile,Not compensated,0.12703,172,7283,0.11505,0.14267
390,390,2004,4th Quintile,Comp. time,0.57775,960,7283,0.54487,0.60824
391,391,2004,4th Quintile,Some of both,0.18896,349,7283,0.17286,0.20903
392,392,2004,4th Quintile,Paid,0.09094,178,7283,0.07974,0.10263
393,393,2004,4th Quintile,Not compensated,0.14235,294,7283,0.12764,0.15664
394,394,2004,5th Quintile,Comp. time,0.44719,1127,7283,0.42071,0.47104
395,395,2004,5th Quintile,Some of both,0.15777,413,7283,0.14265,0.17263
396,396,2004,5th Quintile,Paid,0.07464,185,7283,0.06609,0.08346
397,397,2004,5th Quintile,Not compensated,0.32041,938,7283,0.3018,0.34222
398,398,2005,1st Quintile,Comp. time,0.43651,205,6779,0.39633,0.48163
399,399,2005,1st Quintile,Some of both,0.2091,108,6779,0.17959,0.24304
400,400,2005,1st Quintile,Paid,0.1881,95,6779,0.1597,0.23461
401,401,2005,1st Quintile,Not compensated,0.1663,84,6779,0.135,0.21274
402,402,2005,2nd Quintile,Comp. time,0.49934,464,6779,0.46104,0.53669
403,403,2005,2nd Quintile,Some of both,0.21988,200,6779,0.19286,0.24615
404,404,2005,2nd Quintile,Paid,0.14946,137,6779,0.13092,0.16866
405,405,2005,2nd Quintile,Not compensated,0.13132,110,6779,0.11153,0.14984
406,406,2005,3rd Quintile,Comp. time,0.49743,666,6779,0.46664,0.52608
407,407,2005,3rd Quintile,Some of both,0.26013,332,6779,0.23549,0.28442
408,408,2005,3rd Quintile,Paid,0.14118,163,6779,0.11856,0.16119
409,409,2005,3rd Quintile,Not compensated,0.10126,146,6779,0.08812,0.1167
410,410,2005,4th Quintile,Comp. time,0.56862,935,6779,0.53484,0.59845
411,411,2005,4th Quintile,Some of both,0.19295,312,6779,0.17413,0.21633
412,412,2005,4th Quintile,Paid,0.09579,162,6779,0.08592,0.10633
413,413,2005,4th Quintile,Not compensated,0.14264,255,6779,0.1291,0.15877
414,414,2005,5th Quintile,Comp. time,0.49151,1110,6779,0.46371,0.52046
415,415,2005,5th Quintile,Some of both,0.15759,385,6779,0.14036,0.17146
416,416,2005,5th Quintile,Paid,0.05666,132,6779,0.04686,0.06606
417,417,2005,5th Quintile,Not compensated,0.29424,778,6779,0.27108,0.31877
418,418,2006,1st Quintile,Comp. time,0.43918,227,6677,0.39036,0.49368
419,419,2006,1st Quintile,Some of both,0.1928,97,6677,0.16409,0.22857
420,420,2006,1st Quintile,Paid,0.19709,95,6677,0.16395,0.23064
421,421,2006,1st Quintile,Not compensated,0.17092,85,6677,0.14468,0.20099
422,422,2006,2nd Quintile,Comp. time,0.46669,432,6677,0.43394,0.50568
423,423,2006,2nd Quintile,Some of both,0.21838,183,6677,0.18874,0.2456
424,424,2006,2nd Quintile,Paid,0.19467,154,6677,0.16669,0.22405
425,425,2006,2nd Quintile,Not compensated,0.12026,114,6677,0.10027,0.14101
426,426,2006,3rd Quintile,Comp. time,0.54282,712,6677,0.50955,0.57928
427,427,2006,3rd Quintile,Some of both,0.19858,268,6677,0.17488,0.21792
428,428,2006,3rd Quintile,Paid,0.12232,141,6677,0.10061,0.1438
429,429,2006,3rd Quintile,Not compensated,0.13628,183,6677,0.11724,0.15597
430,430,2006,4th Quintile,Comp. time,0.55583,885,6677,0.52279,0.58656
431,431,2006,4th Quintile,Some of both,0.20625,341,6677,0.18855,0.2239
432,432,2006,4th Quintile,Paid,0.09405,150,6677,0.0802,0.10685
433,433,2006,4th Quintile,Not compensated,0.14387,263,6677,0.12794,0.15991
434,434,2006,5th Quintile,Comp. time,0.4518,1051,6677,0.42637,0.4812
435,435,2006,5th Quintile,Some of both,0.16551,368,6677,0.14923,0.18037
436,436,2006,5th Quintile,Paid,0.07178,141,6677,0.06105,0.0855
437,437,2006,5th Quintile,Not compensated,0.3109,787,6677,0.28703,0.33421
438,438,2007,1st Quintile,Comp. time,0.3979,209,6944,0.3553,0.44992
439,439,2007,1st Quintile,Some of both,0.23726,118,6944,0.19188,0.2802
440,440,2007,1st Quintile,Paid,0.19462,92,6944,0.15904,0.23086
441,441,2007,1st Quintile,Not compensated,0.17023,92,6944,0.14525,0.19741
442,442,2007,2nd Quintile,Comp. time,0.49141,509,6944,0.45769,0.52313
443,443,2007,2nd Quintile,Some of both,0.23533,225,6944,0.21404,0.26381
444,444,2007,2nd Quintile,Paid,0.15504,138,6944,0.13293,0.17786
445,445,2007,2nd Quintile,Not compensated,0.11823,133,6944,0.1016,0.13705
446,446,2007,3rd Quintile,Comp. time,0.5275,698,6944,0.49477,0.5589
447,447,2007,3rd Quintile,Some of both,0.22102,279,6944,0.19999,0.24743
448,448,2007,3rd Quintile,Paid,0.10007,129,6944,0.08737,0.11405
449,449,2007,3rd Quintile,Not compensated,0.15141,206,6944,0.13033,0.16808
450,450,2007,4th Quintile,Comp. time,0.55709,981,6944,0.52816,0.58781
451,451,2007,4th Quintile,Some of both,0.19114,365,6944,0.17444,0.21145
452,452,2007,4th Quintile,Paid,0.09212,152,6944,0.08173,0.10624
453,453,2007,4th Quintile,Not compensated,0.15965,304,6944,0.14255,0.18016
454,454,2007,5th Quintile,Comp. time,0.45836,1048,6944,0.43213,0.48294
455,455,2007,5th Quintile,Some of both,0.18957,383,6944,0.17208,0.20839
456,456,2007,5th Quintile,Paid,0.0517,124,6944,0.04311,0.06034
457,457,2007,5th Quintile,Not compensated,0.30038,759,6944,0.27852,0.32059
458,458,2008,1st Quintile,Comp. time,0.44133,229,6851,0.38732,0.48643
459,459,2008,1st Quintile,Some of both,0.22763,109,6851,0.19123,0.26715
460,460,2008,1st Quintile,Paid,0.16338,84,6851,0.13924,0.18566
461,461,2008,1st Quintile,Not compensated,0.16766,91,6851,0.1416,0.19645
462,462,2008,2nd Quintile,Comp. time,0.4711,472,6851,0.43448,0.50359
463,463,2008,2nd Quintile,Some of both,0.21938,224,6851,0.19408,0.2464
464,464,2008,2nd Quintile,Paid,0.15775,147,6851,0.13547,0.17895
465,465,2008,2nd Quintile,Not compensated,0.15177,133,6851,0.1321,0.1753
466,466,2008,3rd Quintile,Comp. time,0.49929,702,6851,0.46497,0.53526
467,467,2008,3rd Quintile,Some of both,0.2379,312,6851,0.21665,0.25962
468,468,2008,3rd Quintile,Paid,0.12161,159,6851,0.10606,0.13512
469,469,2008,3rd Quintile,Not compensated,0.1412,219,6851,0.1271,0.16139
470,470,2008,4th Quintile,Comp. time,0.54353,912,6851,0.51415,0.57135
471,471,2008,4th Quintile,Some of both,0.20559,329,6851,0.18293,0.22365
472,472,2008,4th Quintile,Paid,0.09475,164,6851,0.08168,0.10525
473,473,2008,4th Quintile,Not compensated,0.15613,295,6851,0.13912,0.174
474,474,2008,5th Quintile,Comp. time,0.46545,1006,6851,0.43966,0.49757
475,475,2008,5th Quintile,Some of both,0.18296,392,6851,0.16455,0.20211
476,476,2008,5th Quintile,Paid,0.0659,136,6851,0.05463,0.07541
477,477,2008,5th Quintile,Not compensated,0.28568,736,6851,0.2632,0.31096
478,478,2009,1st Quintile,Comp. time,0.45899,219,6074,0.4096,0.51211
479,479,2009,1st Quintile,Some of both,0.18677,89,6074,0.1547,0.21929
480,480,2009,1st Quintile,Paid,0.2199,92,6074,0.18877,0.257
481,481,2009,1st Quintile,Not compensated,0.13433,70,6074,0.10374,0.16966
482,482,2009,2nd Quintile,Comp. time,0.453,366,6074,0.40568,0.4952
483,483,2009,2nd Quintile,Some of both,0.268,199,6074,0.23361,0.30481
484,484,2009,2nd Quintile,Paid,0.12989,110,6074,0.10453,0.15794
485,485,2009,2nd Quintile,Not compensated,0.14912,116,6074,0.12739,0.17862
486,486,2009,3rd Quintile,Comp. time,0.50861,662,6074,0.47314,0.54429
487,487,2009,3rd Quintile,Some of both,0.24599,299,6074,0.22022,0.27199
488,488,2009,3rd Quintile,Paid,0.11394,134,6074,0.09027,0.13956
489,489,2009,3rd Quintile,Not compensated,0.13146,169,6074,0.1111,0.15346
490,490,2009,4th Quintile,Comp. time,0.55072,840,6074,0.51412,0.58497
491,491,2009,4th Quintile,Some of both,0.20408,299,6074,0.18137,0.23129
492,492,2009,4th Quintile,Paid,0.09512,129,6074,0.08019,0.11177
493,493,2009,4th Quintile,Not compensated,0.15008,263,6074,0.13133,0.16884
494,494,2009,5th Quintile,Comp. time,0.44882,889,6074,0.41651,0.47976
495,495,2009,5th Quintile,Some of both,0.18798,336,6074,0.16398,0.20861
496,496,2009,5th Quintile,Paid,0.05808,123,6074,0.04487,0.0721
497,497,2009,5th Quintile,Not compensated,0.30513,670,6074,0.27635,0.3286
498,498,2010,1st Quintile,Comp. time,0.49721,198,5665,0.41916,0.5792
499,499,2010,1st Quintile,Some of both,0.20024,89,5665,0.15146,0.2533
500,500,2010,1st Quintile,Paid,0.18259,74,5665,0.13902,0.24041
501,501,2010,1st Quintile,Not compensated,0.11997,46,5665,0.07976,0.16719
502,502,2010,2nd Quintile,Comp. time,0.49442,405,5665,0.44275,0.53526
503,503,2010,2nd Quintile,Some of both,0.19487,169,5665,0.15737,0.23097
504,504,2010,2nd Quintile,Paid,0.168,116,5665,0.13352,0.19708
505,505,2010,2nd Quintile,Not compensated,0.14272,103,5665,0.11253,0.17289
506,506,2010,3rd Quintile,Comp. time,0.5384,645,5665,0.49199,0.57685
507,507,2010,3rd Quintile,Some of both,0.20943,237,5665,0.17715,0.24033
508,508,2010,3rd Quintile,Paid,0.11428,114,5665,0.09326,0.13342
509,509,2010,3rd Quintile,Not compensated,0.13789,165,5665,0.11803,0.15926
510,510,2010,4th Quintile,Comp. time,0.59035,818,5665,0.54983,0.63507
511,511,2010,4th Quintile,Some of both,0.19668,264,5665,0.1749,0.2246
512,512,2010,4th Quintile,Paid,0.07303,110,5665,0.05965,0.09081
513,513,2010,4th Quintile,Not compensated,0.13994,235,5665,0.11711,0.1644
514,514,2010,5th Quintile,Comp. time,0.48434,899,5665,0.45557,0.5191
515,515,2010,5th Quintile,Some of both,0.16026,294,5665,0.13982,0.18648
516,516,2010,5th Quintile,Paid,0.05913,103,5665,0.04814,0.07262
517,517,2010,5th Quintile,Not compensated,0.29627,581,5665,0.2656,0.3255
518,518,2011,1st Quintile,Comp. time,0.41346,428,7992,0.35838,0.46499
519,519,2011,1st Quintile,Some of both,0.23351,212,7992,0.18419,0.28585
520,520,2011,1st Quintile,Paid,0.21656,225,7992,0.17475,0.25915
521,521,2011,1st Quintile,Not compensated,0.13646,120,7992,0.09611,0.17498
522,522,2011,2nd Quintile,Comp. time,0.46901,743,7992,0.42306,0.51757
523,523,2011,2nd Quintile,Some of both,0.20185,314,7992,0.16791,0.23346
524,524,2011,2nd Quintile,Paid,0.16527,249,7992,0.13985,0.19725
525,525,2011,2nd Quintile,Not compensated,0.16388,175,7992,0.1364,0.1981
526,526,2011,3rd Quintile,Comp. time,0.53322,896,7992,0.48617,0.57778
527,527,2011,3rd Quintile,Some of both,0.20945,332,7992,0.18402,0.24423
528,528,2011,3rd Quintile,Paid,0.12129,184,7992,0.09728,0.14272
529,529,2011,3rd Quintile,Not compensated,0.13604,233,7992,0.11267,0.1595
530,530,2011,4th Quintile,Comp. time,0.55529,955,7992,0.51745,0.59738
531,531,2011,4th Quintile,Some of both,0.20156,365,7992,0.17674,0.23
532,532,2011,4th Quintile,Paid,0.08568,152,7992,0.06894,0.10175
533,533,2011,4th Quintile,Not compensated,0.15748,333,7992,0.13802,0.17932
534,534,2011,5th Quintile,Comp. time,0.46823,947,7992,0.43619,0.50299
535,535,2011,5th Quintile,Some of both,0.18505,356,7992,0.16584,0.20712
536,536,2011,5th Quintile,Paid,0.05193,110,7992,0.03971,0.06568
537,537,2011,5th Quintile,Not compensated,0.2948,663,7992,0.26252,0.32631
538,538,2012,1st Quintile,Comp. time,0.42966,561,9575,0.37888,0.48514
539,539,2012,1st Quintile,Some of both,0.20654,267,9575,0.1728,0.24614
540,540,2012,1st Quintile,Paid,0.23453,287,9575,0.2037,0.26548
541,541,2012,1st Quintile,Not compensated,0.12927,147,9575,0.1014,0.15841
542,542,2012,2nd Quintile,Comp. time,0.51854,867,9575,0.47371,0.57072
543,543,2012,2nd Quintile,Some of both,0.21699,368,9575,0.18158,0.2486
544,544,2012,2nd Quintile,Paid,0.15326,274,9575,0.13097,0.17988
545,545,2012,2nd Quintile,Not compensated,0.11121,169,9575,0.08753,0.13454
546,546,2012,3rd Quintile,Comp. time,0.53144,1143,9575,0.49096,0.58075
547,547,2012,3rd Quintile,Some of both,0.2198,393,9575,0.19237,0.25717
548,548,2012,3rd Quintile,Paid,0.12045,227,9575,0.10176,0.13902
549,549,2012,3rd Quintile,Not compensated,0.1283,266,9575,0.10889,0.14967
550,550,2012,4th Quintile,Comp. time,0.55718,1190,9575,0.52338,0.59471
551,551,2012,4th Quintile,Some of both,0.22737,470,9575,0.20681,0.25602
552,552,2012,4th Quintile,Paid,0.08189,174,9575,0.06728,0.09707
553,553,2012,4th Quintile,Not compensated,0.13356,372,9575,0.1198,0.15067
554,554,2012,5th Quintile,Comp. time,0.4833,1133,9575,0.45336,0.51751
555,555,2012,5th Quintile,Some of both,0.17738,400,9575,0.1582,0.19791
556,556,2012,5th Quintile,Paid,0.06837,139,9575,0.05637,0.08177
557,557,2012,5th Quintile,Not compensated,0.27095,728,9575,0.24687,0.2921
558,558,2013,1st Quintile,Comp. time,0.45276,522,9326,0.39681,0.51498
559,559,2013,1st Quintile,Some of both,0.2291,235,9326,0.18387,0.27821
560,560,2013,1st Quintile,Paid,0.21327,247,9326,0.17755,0.25538
561,561,2013,1st Quintile,Not compensated,0.10487,127,9326,0.0821,0.13349
562,562,2013,2nd Quintile,Comp. time,0.50515,876,9326,0.4598,0.55214
563,563,2013,2nd Quintile,Some of both,0.22667,403,9326,0.19943,0.24792
564,564,2013,2nd Quintile,Paid,0.17142,267,9326,0.14323,0.19517
565,565,2013,2nd Quintile,Not compensated,0.09675,165,9326,0.07687,0.12192
566,566,2013,3rd Quintile,Comp. time,0.52959,1063,9326,0.49299,0.56675
567,567,2013,3rd Quintile,Some of both,0.23773,404,9326,0.2102,0.27089
568,568,2013,3rd Quintile,Paid,0.1088,203,9326,0.09122,0.12647
569,569,2013,3rd Quintile,Not compensated,0.12388,245,9326,0.10157,0.14615
570,570,2013,4th Quintile,Comp. time,0.58358,1251,9326,0.54791,0.62228
571,571,2013,4th Quintile,Some of both,0.18277,403,9326,0.16321,0.20646
572,572,2013,4th Quintile,Paid,0.08713,193,9326,0.07648,0.0997
573,573,2013,4th Quintile,Not compensated,0.14652,352,9326,0.12982,0.16703
574,574,2013,5th Quintile,Comp. time,0.47463,1141,9326,0.44619,0.50366
575,575,2013,5th Quintile,Some of both,0.18445,381,9326,0.16244,0.20575
576,576,2013,5th Quintile,Paid,0.05582,124,9326,0.04473,0.06992
577,577,2013,5th Quintile,Not compensated,0.2851,724,9326,0.25733,0.31243
578,578,2014,1st Quintile,Comp. time,0.48079,543,10055,0.43181,0.5442
579,579,2014,1st Quintile,Some of both,0.19566,291,10055,0.16304,0.22537
580,580,2014,1st Quintile,Paid,0.21602,279,10055,0.18472,0.24661
581,581,2014,1st Quintile,Not compensated,0.10754,138,10055,0.08931,0.12932
582,582,2014,2nd Quintile,Comp. time,0.44674,863,10055,0.41165,0.48421
583,583,2014,2nd Quintile,Some of both,0.26861,445,10055,0.23559,0.30509
584,584,2014,2nd Quintile,Paid,0.16913,306,10055,0.14544,0.19093
585,585,2014,2nd Quintile,Not compensated,0.11553,179,10055,0.09294,0.14098
586,586,2014,3rd Quintile,Comp. time,0.51968,1106,10055,0.48186,0.55908
587,587,2014,3rd Quintile,Some of both,0.24271,469,10055,0.21731,0.26978
588,588,2014,3rd Quintile,Paid,0.12163,263,10055,0.10454,0.14489
589,589,2014,3rd Quintile,Not compensated,0.11597,243,10055,0.0984,0.13568
590,590,2014,4th Quintile,Comp. time,0.55841,1331,10055,0.52237,0.59088
591,591,2014,4th Quintile,Some of both,0.2208,518,10055,0.20367,0.24367
592,592,2014,4th Quintile,Paid,0.08283,190,10055,0.0721,0.09639
593,593,2014,4th Quintile,Not compensated,0.13796,342,10055,0.11921,0.15124
594,594,2014,5th Quintile,Comp. time,0.4953,1242,10055,0.4633,0.52505
595,595,2014,5th Quintile,Some of both,0.18594,440,10055,0.16802,0.20525
596,596,2014,5th Quintile,Paid,0.06915,159,10055,0.05955,0.08104
597,597,2014,5th Quintile,Not compensated,0.24961,708,10055,0.23035,0.2714
598,598,2018,1st Quintile,Comp. time,0.51054,476,9532,0.4531,0.58386
599,599,2018,1st Quintile,Some of both,0.2083,221,9532,0.17055,0.25307
600,600,2018,1st Quintile,Paid,0.19686,234,9532,0.1645,0.23561
601,601,2018,1st Quintile,Not compensated,0.08431,76,9532,0.06041,0.11393
602,602,2018,2nd Quintile,Comp. time,0.5146,939,9532,0.47218,0.54836
603,603,2018,2nd Quintile,Some of both,0.2609,466,9532,0.23005,0.28953
604,604,2018,2nd Quintile,Paid,0.14933,310,9532,0.13316,0.17269
605,605,2018,2nd Quintile,Not compensated,0.07517,140,9532,0.06313,0.08957
606,606,2018,3rd Quintile,Comp. time,0.5642,1147,9532,0.52891,0.59858
607,607,2018,3rd Quintile,Some of both,0.23245,468,9532,0.20983,0.25811
608,608,2018,3rd Quintile,Paid,0.103,222,9532,0.08821,0.1194
609,609,2018,3rd Quintile,Not compensated,0.10034,197,9532,0.08617,0.11556
610,610,2018,4th Quintile,Comp. time,0.54501,1227,9532,0.50669,0.5772
611,611,2018,4th Quintile,Some of both,0.23299,479,9532,0.21297,0.25627
612,612,2018,4th Quintile,Paid,0.10163,220,9532,0.08982,0.11587
613,613,2018,4th Quintile,Not compensated,0.12036,269,9532,0.10332,0.13916
614,614,2018,5th Quintile,Comp. time,0.53063,1307,9532,0.49557,0.56704
615,615,2018,5th Quintile,Some of both,0.18891,422,9532,0.1631,0.21169
616,616,2018,5th Quintile,Paid,0.06772,153,9532,0.05595,0.07984
617,617,2018,5th Quintile,Not compensated,0.21274,559,9532,0.19039,0.23105
618,618,2020,1st Quintile,Comp. time,0.52456,435,9206,0.4673,0.58745
619,619,2020,1st Quintile,Some of both,0.24966,258,9206,0.21733,0.28726
620,620,2020,1st Quintile,Paid,0.16206,153,9206,0.13309,0.19194
621,621,2020,1st Quintile,Not compensated,0.06372,52,9206,0.04339,0.08292
622,622,2020,2nd Quintile,Comp. time,0.50226,866,9206,0.46245,0.54897
623,623,2020,2nd Quintile,Some of both,0.27847,451,9206,0.24554,0.31695
624,624,2020,2nd Quintile,Paid,0.14413,224,9206,0.12267,0.16664
625,625,2020,2nd Quintile,Not compensated,0.07515,121,9206,0.05935,0.09015
626,626,2020,3rd Quintile,Comp. time,0.56687,1085,9206,0.53009,0.60928
627,627,2020,3rd Quintile,Some of both,0.28115,505,9206,0.24816,0.31691
628,628,2020,3rd Quintile,Paid,0.08694,179,9206,0.07305,0.10405
629,629,2020,3rd Quintile,Not compensated,0.06504,161,9206,0.05524,0.07816
630,630,2020,4th Quintile,Comp. time,0.59174,1297,9206,0.55004,0.63138
631,631,2020,4th Quintile,Some of both,0.21625,436,9206,0.19336,0.24199
632,632,2020,4th Quintile,Paid,0.08258,169,9206,0.06536,0.10011
633,633,2020,4th Quintile,Not compensated,0.10942,272,9206,0.09344,0.12688
634,634,2020,5th Quintile,Comp. time,0.55895,1347,9206,0.51903,0.59745
635,635,2020,5th Quintile,Some of both,0.17094,424,9206,0.14932,0.18961
636,636,2020,5th Quintile,Paid,0.07194,161,9206,0.059,0.08472
637,637,2020,5th Quintile,Not compensated,0.19817,610,9206,0.17716,0.21939
