year,sampreg,sex,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,East,male,Paid,0.03974,112,996,0.02760,0.05188
2014,East,male,Not compensated,0.04637,155,996,0.03330,0.05943
2014,East,female,Comp. time,0.17056,604,1010,0.14735,0.19377
2014,East,female,Some of both,0.04582,178,1010,0.03292,0.05872
2014,East,female,Paid,0.01935,83,1010,0.01085,0.02785
2014,East,female,Not compensated,0.03987,145,1010,0.02780,0.05194
2018,West,male,Comp. time,0.16435,1792,3940,0.15277,0.17592
2018,West,male,Some of both,0.08956,976,3940,0.08065,0.09848
2018,West,male,Paid,0.04456,549,3940,0.03811,0.05100
2018,West,male,Not compensated,0.05508,623,3940,0.04795,0.06220
2018,West,female,Comp. time,0.17488,2352,3924,0.16299,0.18677
2018,West,female,Some of both,0.05595,708,3924,0.04876,0.06314
2018,West,female,Paid,0.02704,430,3924,0.02196,0.03212
2018,West,female,Not compensated,0.03150,434,3924,0.02604,0.03697
2018,East,male,Comp. time,0.17906,491,983,0.15508,0.20304
2018,East,male,Some of both,0.07773,263,983,0.06098,0.09447
2018,East,male,Paid,0.03456,100,983,0.02314,0.04599
2018,East,male,Not compensated,0.04475,129,983,0.03182,0.05768
2018,East,female,Comp. time,0.17505,627,1025,0.15178,0.19833
2018,East,female,Some of both,0.05256,193,1025,0.03889,0.06623
2018,East,female,Paid,0.02730,112,1025,0.01732,0.03728
2018,East,female,Not compensated,0.02991,93,1025,0.01948,0.04035
2020,West,male,Comp. time,0.17083,1792,3926,0.15905,0.18260
2020,West,male,Some of both,0.09379,980,3926,0.08467,0.10291
2020,West,male,Paid,0.03928,500,3926,0.03321,0.04536
2020,West,male,Not compensated,0.04934,654,3926,0.04256,0.05611
2020,West,female,Comp. time,0.19292,2411,4031,0.18074,0.20510
2020,West,female,Some of both,0.06084,778,4031,0.05346,0.06822
2020,West,female,Paid,0.02576,404,4031,0.02087,0.03066
2020,West,female,Not compensated,0.02711,438,4031,0.02210,0.03213
2020,East,male,Comp. time,0.17421,465,969,0.15032,0.19811
2020,East,male,Some of both,0.08933,254,969,0.07136,0.10730
2020,East,male,Paid,0.03577,104,969,0.02407,0.04747
2020,East,male,Not compensated,0.04218,146,969,0.02952,0.05485
2020,East,female,Comp. time,0.20143,619,1014,0.17673,0.22613
2020,East,female,Some of both,0.05877,212,1014,0.04429,0.07325
2020,East,female,Paid,0.02665,97,1014,0.01673,0.03657
2020,East,female,Not compensated,0.02533,86,1014,0.01566,0.03501
2022,West,male,Comp. time,0.19300,2398,4807,0.18184,0.20415
2022,West,male,Some of both,0.08017,980,4807,0.07250,0.08785
2022,West,male,Paid,0.04874,582,4807,0.04265,0.05483
2022,West,male,Not compensated,0.05569,847,4807,0.04921,0.06218
2022,West,female,Comp. time,0.20414,2877,4852,0.19280,0.21548
2022,West,female,Some of both,0.06200,878,4852,0.05522,0.06879
2022,West,female,Paid,0.03317,488,4852,0.02813,0.03821
2022,West,female,Not compensated,0.03464,609,4852,0.02949,0.03978
2022,East,male,Comp. time,0.17655,597,1161,0.15461,0.19849
2022,East,male,Some of both,0.09297,277,1161,0.07626,0.10969
2022,East,male,Paid,0.04197,129,1161,0.03043,0.05350
2022,East,male,Not compensated,0.04470,158,1161,0.03281,0.05659
2022,East,female,Comp. time,0.18628,791,1265,0.16481,0.20774
2022,East,female,Some of both,0.06364,241,1265,0.05018,0.07709
2022,East,female,Paid,0.02620,111,1265,0.01739,0.03500
2022,East,female,Not compensated,0.02845,122,1265,0.01928,0.03761
