year,bula_h,pgisced97,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,Baden-Wuerttemberg,Upper Secondary Level,Paid,0.19339,172,369,0.15303,0.23374
1992,Bavaria,Lower Secondary Level,Comp. time,0.09016,37,93,0.03163,0.14868
1992,Bavaria,Lower Secondary Level,Paid,0.10964,56,93,0.04579,0.17348
1992,Bavaria,Upper Secondary Level,Comp. time,0.16527,143,398,0.12873,0.20180
1992,Bavaria,Upper Secondary Level,Some of both,0.07491,77,398,0.04902,0.10081
1992,Bavaria,Upper Secondary Level,Paid,0.14442,137,398,0.10984,0.17900
1992,Bavaria,Upper Secondary Level,Not compensated,0.05573,41,398,0.03317,0.07830
1992,Berlin,Upper Secondary Level,Comp. time,0.18519,51,96,0.10708,0.26331
1992,Berlin,Upper Secondary Level,Paid,0.16142,45,96,0.08743,0.23540
1992,Berlin,Second Stage of Tertiary Education,Comp. time,0.19912,31,31,0.05622,0.34202
1992,Brandenburg,Upper Secondary Level,Comp. time,0.14622,57,110,0.07989,0.21255
1992,Brandenburg,Upper Secondary Level,Paid,0.14454,53,110,0.07852,0.21055
1992,Brandenburg,Second Stage of Tertiary Education,Comp. time,0.20829,38,70,0.11247,0.30411
1992,Brandenburg,Second Stage of Tertiary Education,Not compensated,0.22053,32,70,0.12270,0.31836
1992,Mecklenburg-Western Pomerania,Upper Secondary Level,Comp. time,0.12651,36,75,0.05077,0.20225
1992,Mecklenburg-Western Pomerania,Upper Secondary Level,Paid,0.15979,39,75,0.07631,0.24328
1992,Saxony,Upper Secondary Level,Comp. time,0.15336,111,265,0.10989,0.19683
1992,Saxony,Upper Secondary Level,Some of both,0.07969,65,265,0.04702,0.11235
1992,Saxony,Upper Secondary Level,Paid,0.11539,89,265,0.07685,0.15393
1992,Saxony,Second Stage of Tertiary Education,Comp. time,0.18343,54,112,0.11143,0.25542
1992,Saxony,Second Stage of Tertiary Education,Not compensated,0.22505,58,112,0.14736,0.30274
1992,Saxony-Anhalt,Upper Secondary Level,Comp. time,0.11653,62,134,0.06200,0.17106
1992,Saxony-Anhalt,Upper Secondary Level,Paid,0.16211,72,134,0.09948,0.22475
1992,Saxony-Anhalt,Second Stage of Tertiary Education,Comp. time,0.20019,41,84,0.11411,0.28628
1992,Saxony-Anhalt,Second Stage of Tertiary Education,Not compensated,0.23802,43,84,0.14640,0.32964
1992,Thuringa,Upper Secondary Level,Comp. time,0.17197,87,146,0.11055,0.23339
1992,Thuringa,Upper Secondary Level,Paid,0.11998,59,146,0.06709,0.17287
1993,Schleswig-Holstein,Upper Secondary Level,Comp. time,0.16032,31,31,0.02902,0.29161
1993,Lower Saxony,Lower Secondary Level,Paid,0.13406,35,35,0.01953,0.24859
1993,Lower Saxony,Upper Secondary Level,Comp. time,0.16434,87,192,0.11179,0.21690
1993,Lower Saxony,Upper Secondary Level,Some of both,0.06837,35,192,0.03258,0.10416
1993,Lower Saxony,Upper Secondary Level,Paid,0.13099,70,192,0.08314,0.17883
1993,North Rhine-Westphalia,Primary Level,Paid,0.21870,35,35,0.07975,0.35764
1993,North Rhine-Westphalia,Lower Secondary Level,Paid,0.12485,86,86,0.05458,0.19513
1993,North Rhine-Westphalia,Upper Secondary Level,Comp. time,0.11657,146,501,0.08844,0.14470
1993,North Rhine-Westphalia,Upper Secondary Level,Some of both,0.03896,59,501,0.02200,0.05592
1993,North Rhine-Westphalia,Upper Secondary Level,Paid,0.16956,232,501,0.13667,0.20245
1993,North Rhine-Westphalia,Upper Secondary Level,Not compensated,0.05892,64,501,0.03828,0.07956
1993,North Rhine-Westphalia,Second Stage of Tertiary Education,Not compensated,0.25857,60,60,0.14685,0.37030
1993,Hesse,Upper Secondary Level,Comp. time,0.16259,72,161,0.10542,0.21977
1993,Hesse,Upper Secondary Level,Some of both,0.07744,38,161,0.03602,0.11885
1993,Hesse,Upper Secondary Level,Paid,0.10364,51,161,0.05641,0.15087
1993,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Comp. time,0.11636,37,98,0.05255,0.18017
1993,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Paid,0.17405,61,98,0.09859,0.24950
1993,Baden-Wuerttemberg,Primary Level,Paid,0.16912,31,31,0.03498,0.30326
1993,Baden-Wuerttemberg,Lower Secondary Level,Comp. time,0.07880,42,126,0.03157,0.12603
1993,Baden-Wuerttemberg,Lower Secondary Level,Paid,0.13203,84,126,0.07268,0.19137
1993,Baden-Wuerttemberg,Upper Secondary Level,Comp. time,0.15264,123,391,0.11694,0.18833
1993,Baden-Wuerttemberg,Upper Secondary Level,Some of both,0.09383,72,391,0.06489,0.12277
1993,Baden-Wuerttemberg,Upper Secondary Level,Paid,0.17430,159,391,0.13665,0.21195
1993,Baden-Wuerttemberg,Upper Secondary Level,Not compensated,0.05390,37,391,0.03149,0.07631
1993,Bavaria,Lower Secondary Level,Comp. time,0.08585,37,80,0.02407,0.14762
1993,Bavaria,Lower Secondary Level,Paid,0.08982,43,80,0.02677,0.15287
1993,Bavaria,Upper Secondary Level,Comp. time,0.18038,154,382,0.14177,0.21899
1993,Bavaria,Upper Secondary Level,Some of both,0.07914,69,382,0.05203,0.10625
1993,Bavaria,Upper Secondary Level,Paid,0.12291,113,382,0.08994,0.15587
1993,Bavaria,Upper Secondary Level,Not compensated,0.05916,46,382,0.03547,0.08285
1993,Bavaria,Second Stage of Tertiary Education,Not compensated,0.24592,41,41,0.11246,0.37937
1993,Berlin,Upper Secondary Level,Comp. time,0.17250,48,89,0.09356,0.25143
1993,Berlin,Upper Secondary Level,Paid,0.14793,41,89,0.07375,0.22211
1993,Berlin,Second Stage of Tertiary Education,Comp. time,0.23258,37,37,0.09457,0.37059
1993,Brandenburg,Upper Secondary Level,Comp. time,0.14691,58,96,0.07572,0.21809
1993,Brandenburg,Upper Secondary Level,Paid,0.11546,38,96,0.05119,0.17972
1993,Brandenburg,Second Stage of Tertiary Education,Comp. time,0.19114,31,64,0.09404,0.28824
1993,Brandenburg,Second Stage of Tertiary Education,Not compensated,0.25099,33,64,0.14392,0.35806
1993,Mecklenburg-Western Pomerania,Upper Secondary Level,Comp. time,0.14436,40,73,0.06318,0.22554
1993,Mecklenburg-Western Pomerania,Upper Secondary Level,Paid,0.12991,33,73,0.05225,0.20757
1993,Saxony,Upper Secondary Level,Comp. time,0.12715,97,249,0.08569,0.16861
1993,Saxony,Upper Secondary Level,Some of both,0.08683,58,249,0.05179,0.12188
1993,Saxony,Upper Secondary Level,Paid,0.12281,94,249,0.08196,0.16367
1993,Saxony,Second Stage of Tertiary Education,Comp. time,0.22206,61,116,0.14610,0.29803
1993,Saxony,Second Stage of Tertiary Education,Not compensated,0.22336,55,116,0.14724,0.29949
1993,Saxony-Anhalt,Upper Secondary Level,Comp. time,0.12801,57,130,0.07036,0.18567
1993,Saxony-Anhalt,Upper Secondary Level,Paid,0.15725,73,130,0.09443,0.22007
1993,Saxony-Anhalt,Second Stage of Tertiary Education,Comp. time,0.21571,41,77,0.12323,0.30818
1993,Saxony-Anhalt,Second Stage of Tertiary Education,Not compensated,0.17250,36,77,0.08756,0.25744
1993,Thuringa,Upper Secondary Level,Comp. time,0.12051,57,167,0.07099,0.17004
1993,Thuringa,Upper Secondary Level,Some of both,0.08246,40,167,0.04061,0.12430
1993,Thuringa,Upper Secondary Level,Paid,0.15187,70,167,0.09728,0.20647
1993,Thuringa,Second Stage of Tertiary Education,Not compensated,0.24235,31,31,0.08901,0.39569
1994,Schleswig-Holstein,Upper Secondary Level,Comp. time,0.16126,32,32,0.03179,0.29072
1994,Lower Saxony,Upper Secondary Level,Comp. time,0.16727,88,215,0.11726,0.21727
1994,Lower Saxony,Upper Secondary Level,Some of both,0.08667,45,215,0.04897,0.12436
1994,Lower Saxony,Upper Secondary Level,Paid,0.15659,82,215,0.10790,0.20528
1994,North Rhine-Westphalia,Lower Secondary Level,Paid,0.13600,89,89,0.06438,0.20763
1994,North Rhine-Westphalia,Upper Secondary Level,Comp. time,0.13848,172,501,0.10821,0.16876
1994,North Rhine-Westphalia,Upper Secondary Level,Some of both,0.05054,70,501,0.03134,0.06974
1994,North Rhine-Westphalia,Upper Secondary Level,Paid,0.15444,199,501,0.12276,0.18611
1994,North Rhine-Westphalia,Upper Secondary Level,Not compensated,0.05888,60,501,0.03824,0.07951
1994,North Rhine-Westphalia,Second Stage of Tertiary Education,Comp. time,0.13979,32,104,0.07282,0.20676
1994,North Rhine-Westphalia,Second Stage of Tertiary Education,Not compensated,0.32676,72,104,0.23618,0.41734
1994,Hesse,Upper Secondary Level,Comp. time,0.18291,78,164,0.12356,0.24226
1994,Hesse,Upper Secondary Level,Some of both,0.08167,42,164,0.03963,0.12372
1994,Hesse,Upper Secondary Level,Paid,0.09138,44,164,0.04715,0.13562
1994,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Comp. time,0.15179,46,103,0.08215,0.22142
1994,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Paid,0.14545,57,103,0.07703,0.21386
1994,Baden-Wuerttemberg,Lower Secondary Level,Comp. time,0.06581,33,100,0.01697,0.11466
1994,Baden-Wuerttemberg,Lower Secondary Level,Paid,0.12266,67,100,0.05804,0.18728
1994,Baden-Wuerttemberg,Upper Secondary Level,Comp. time,0.16368,133,329,0.12364,0.20372
1994,Baden-Wuerttemberg,Upper Secondary Level,Some of both,0.10008,76,329,0.06760,0.13256
1994,Baden-Wuerttemberg,Upper Secondary Level,Paid,0.13384,120,329,0.09699,0.17069
1994,Bavaria,Lower Secondary Level,Comp. time,0.09044,37,78,0.02638,0.15450
1994,Bavaria,Lower Secondary Level,Paid,0.06908,41,78,0.01244,0.12572
1994,Bavaria,Upper Secondary Level,Comp. time,0.19701,170,378,0.15686,0.23716
1994,Bavaria,Upper Secondary Level,Some of both,0.06943,61,378,0.04377,0.09509
1994,Bavaria,Upper Secondary Level,Paid,0.11751,111,378,0.08501,0.15002
1994,Bavaria,Upper Secondary Level,Not compensated,0.05398,36,378,0.03117,0.07679
1994,Bavaria,Second Stage of Tertiary Education,Not compensated,0.18873,33,33,0.05315,0.32430
1994,Berlin,Upper Secondary Level,Comp. time,0.19822,52,88,0.11445,0.28199
1994,Berlin,Upper Secondary Level,Paid,0.13514,36,88,0.06330,0.20698
1994,Brandenburg,Upper Secondary Level,Comp. time,0.12355,48,97,0.05772,0.18938
1994,Brandenburg,Upper Secondary Level,Paid,0.15084,49,97,0.07925,0.22244
1994,Brandenburg,Second Stage of Tertiary Education,Comp. time,0.19052,34,34,0.05653,0.32451
1994,Mecklenburg-Western Pomerania,Upper Secondary Level,Comp. time,0.16326,46,46,0.05527,0.27124
1994,Saxony,Upper Secondary Level,Comp. time,0.12954,98,239,0.08687,0.17220
1994,Saxony,Upper Secondary Level,Some of both,0.08340,56,239,0.04827,0.11853
1994,Saxony,Upper Secondary Level,Paid,0.12061,85,239,0.07924,0.16199
1994,Saxony,Second Stage of Tertiary Education,Comp. time,0.18941,55,117,0.11811,0.26072
1994,Saxony,Second Stage of Tertiary Education,Not compensated,0.26113,62,117,0.18120,0.34107
1994,Saxony-Anhalt,Upper Secondary Level,Comp. time,0.15754,68,126,0.09367,0.22140
1994,Saxony-Anhalt,Upper Secondary Level,Paid,0.12970,58,126,0.07080,0.18859
1994,Saxony-Anhalt,Second Stage of Tertiary Education,Comp. time,0.19699,34,75,0.10637,0.28761
1994,Saxony-Anhalt,Second Stage of Tertiary Education,Not compensated,0.21704,41,75,0.12312,0.31097
1994,Thuringa,Upper Secondary Level,Comp. time,0.15047,69,128,0.08829,0.21265
1994,Thuringa,Upper Secondary Level,Paid,0.12774,59,128,0.06969,0.18580
1994,Thuringa,Second Stage of Tertiary Education,Not compensated,0.25570,32,32,0.10213,0.40927
1995,Lower Saxony,Lower Secondary Level,Paid,0.11589,34,34,0.00668,0.22510
1995,Lower Saxony,Upper Secondary Level,Comp. time,0.18678,102,222,0.13539,0.23816
1995,Lower Saxony,Upper Secondary Level,Some of both,0.07043,38,222,0.03670,0.10417
1995,Lower Saxony,Upper Secondary Level,Paid,0.14330,82,222,0.09710,0.18949
1995,North Rhine-Westphalia,Lower Secondary Level,Comp. time,0.06760,31,114,0.02131,0.11389
1995,North Rhine-Westphalia,Lower Secondary Level,Paid,0.11865,83,114,0.05903,0.17828
1995,North Rhine-Westphalia,Upper Secondary Level,Comp. time,0.13765,183,555,0.10896,0.16634
1995,North Rhine-Westphalia,Upper Secondary Level,Some of both,0.04863,75,555,0.03072,0.06654
1995,North Rhine-Westphalia,Upper Secondary Level,Paid,0.16425,234,555,0.13340,0.19510
1995,North Rhine-Westphalia,Upper Secondary Level,Not compensated,0.06074,63,555,0.04085,0.08063
1995,North Rhine-Westphalia,First Stage of Tertiary Education,Comp. time,0.20303,32,32,0.06143,0.34464
1995,North Rhine-Westphalia,Second Stage of Tertiary Education,Comp. time,0.14082,43,114,0.07668,0.20495
1995,North Rhine-Westphalia,Second Stage of Tertiary Education,Not compensated,0.25908,71,114,0.17830,0.33987
1995,Hesse,Upper Secondary Level,Comp. time,0.17730,89,187,0.12241,0.23219
1995,Hesse,Upper Secondary Level,Some of both,0.11684,50,187,0.07067,0.16300
1995,Hesse,Upper Secondary Level,Paid,0.09436,48,187,0.05235,0.13637
1995,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Comp. time,0.14952,49,116,0.08435,0.21470
1995,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Paid,0.15996,67,116,0.09296,0.22695
1995,Baden-Wuerttemberg,Lower Secondary Level,Paid,0.11699,71,71,0.04169,0.19228
1995,Baden-Wuerttemberg,Upper Secondary Level,Comp. time,0.15283,119,375,0.11636,0.18930
1995,Baden-Wuerttemberg,Upper Secondary Level,Some of both,0.10630,85,375,0.07506,0.13754
1995,Baden-Wuerttemberg,Upper Secondary Level,Paid,0.13537,137,375,0.10070,0.17005
1995,Baden-Wuerttemberg,Upper Secondary Level,Not compensated,0.04737,34,375,0.02584,0.06890
1995,Baden-Wuerttemberg,Second Stage of Tertiary Education,Not compensated,0.28698,33,33,0.13025,0.44371
1995,Bavaria,Lower Secondary Level,Comp. time,0.08139,33,72,0.01779,0.14500
1995,Bavaria,Lower Secondary Level,Paid,0.05827,39,72,0.00378,0.11276
1995,Bavaria,Upper Secondary Level,Comp. time,0.19709,177,410,0.15854,0.23564
1995,Bavaria,Upper Secondary Level,Some of both,0.07321,74,410,0.04796,0.09845
1995,Bavaria,Upper Secondary Level,Paid,0.12153,122,410,0.08986,0.15319
1995,Bavaria,Upper Secondary Level,Not compensated,0.04661,37,410,0.02618,0.06705
1995,Bavaria,Second Stage of Tertiary Education,Not compensated,0.26188,47,47,0.13483,0.38894
1995,Berlin,Upper Secondary Level,Comp. time,0.19834,54,54,0.09099,0.30570
1995,Berlin,Second Stage of Tertiary Education,Comp. time,0.21877,36,36,0.08181,0.35574
1995,Brandenburg,Upper Secondary Level,Comp. time,0.13725,50,92,0.06655,0.20796
1995,Brandenburg,Upper Secondary Level,Paid,0.13313,42,92,0.06333,0.20293
1995,Brandenburg,Second Stage of Tertiary Education,Comp. time,0.19237,32,32,0.05361,0.33112
1995,Mecklenburg-Western Pomerania,Upper Secondary Level,Comp. time,0.21370,56,87,0.12707,0.30034
1995,Mecklenburg-Western Pomerania,Upper Secondary Level,Paid,0.12072,31,87,0.05186,0.18957
1995,Saxony,Upper Secondary Level,Comp. time,0.16148,117,249,0.11569,0.20728
1995,Saxony,Upper Secondary Level,Some of both,0.06887,50,249,0.03736,0.10039
1995,Saxony,Upper Secondary Level,Paid,0.12170,82,249,0.08101,0.16240
1995,Saxony,Second Stage of Tertiary Education,Comp. time,0.17340,53,110,0.10233,0.24448
1995,Saxony,Second Stage of Tertiary Education,Not compensated,0.26684,57,110,0.18380,0.34987
1995,Saxony-Anhalt,Upper Secondary Level,Comp. time,0.12374,55,160,0.07255,0.17492
1995,Saxony-Anhalt,Upper Secondary Level,Some of both,0.10917,50,160,0.06069,0.15764
1995,Saxony-Anhalt,Upper Secondary Level,Paid,0.12374,55,160,0.07255,0.17492
1995,Saxony-Anhalt,Second Stage of Tertiary Education,Comp. time,0.21750,36,71,0.12086,0.31415
1995,Saxony-Anhalt,Second Stage of Tertiary Education,Not compensated,0.17859,35,71,0.08887,0.26832
1995,Thuringa,Upper Secondary Level,Comp. time,0.13141,70,131,0.07333,0.18948
1995,Thuringa,Upper Secondary Level,Paid,0.13964,61,131,0.08005,0.19922
1995,Thuringa,Second Stage of Tertiary Education,Comp. time,0.26230,35,35,0.11444,0.41016
1996,Schleswig-Holstein,Upper Secondary Level,Comp. time,0.25608,39,39,0.11731,0.39486
1996,Lower Saxony,Upper Secondary Level,Comp. time,0.17220,98,230,0.12330,0.22111
1996,Lower Saxony,Upper Secondary Level,Some of both,0.06715,40,230,0.03473,0.09957
1996,Lower Saxony,Upper Secondary Level,Paid,0.15104,92,230,0.10466,0.19742
1996,North Rhine-Westphalia,Lower Secondary Level,Comp. time,0.07641,39,104,0.02510,0.12771
1996,North Rhine-Westphalia,Lower Secondary Level,Paid,0.09813,65,104,0.04068,0.15558
1996,North Rhine-Westphalia,Upper Secondary Level,Comp. time,0.16036,206,528,0.12903,0.19169
1996,North Rhine-Westphalia,Upper Secondary Level,Some of both,0.05718,85,528,0.03736,0.07701
1996,North Rhine-Westphalia,Upper Secondary Level,Paid,0.13969,190,528,0.11010,0.16929
1996,North Rhine-Westphalia,Upper Secondary Level,Not compensated,0.04125,47,528,0.02427,0.05823
1996,North Rhine-Westphalia,First Stage of Tertiary Education,Comp. time,0.23062,34,34,0.08690,0.37434
1996,North Rhine-Westphalia,Second Stage of Tertiary Education,Comp. time,0.17726,54,115,0.10716,0.24736
1996,North Rhine-Westphalia,Second Stage of Tertiary Education,Not compensated,0.24118,61,115,0.16265,0.31971
1996,Hesse,Upper Secondary Level,Comp. time,0.20072,82,166,0.13960,0.26183
1996,Hesse,Upper Secondary Level,Some of both,0.05912,32,166,0.02313,0.09511
1996,Hesse,Upper Secondary Level,Paid,0.08552,52,166,0.04285,0.12819
1996,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Comp. time,0.15385,52,116,0.08791,0.21980
1996,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Paid,0.16102,64,116,0.09384,0.22820
1996,Baden-Wuerttemberg,Lower Secondary Level,Comp. time,0.06715,35,82,0.01265,0.12166
1996,Baden-Wuerttemberg,Lower Secondary Level,Paid,0.06562,47,82,0.01169,0.11954
1996,Baden-Wuerttemberg,Upper Secondary Level,Comp. time,0.18864,158,330,0.14637,0.23092
1996,Baden-Wuerttemberg,Upper Secondary Level,Some of both,0.08302,66,330,0.05320,0.11283
1996,Baden-Wuerttemberg,Upper Secondary Level,Paid,0.11280,106,330,0.07862,0.14699
1996,Bavaria,Lower Secondary Level,Comp. time,0.07749,33,33,-0.01515,0.17013
1996,Bavaria,Upper Secondary Level,Comp. time,0.21615,195,418,0.17664,0.25566
1996,Bavaria,Upper Secondary Level,Some of both,0.07857,70,418,0.05275,0.10440
1996,Bavaria,Upper Secondary Level,Paid,0.10021,112,418,0.07139,0.12903
1996,Bavaria,Upper Secondary Level,Not compensated,0.04999,41,418,0.02908,0.07091
1996,Bavaria,Second Stage of Tertiary Education,Not compensated,0.20832,40,40,0.08086,0.33578
1996,Berlin,Upper Secondary Level,Comp. time,0.20317,57,57,0.09779,0.30856
1996,Berlin,Second Stage of Tertiary Education,Comp. time,0.29127,42,42,0.15219,0.43034
1996,Brandenburg,Upper Secondary Level,Comp. time,0.12209,50,85,0.05208,0.19211
1996,Brandenburg,Upper Secondary Level,Paid,0.11320,35,85,0.04545,0.18096
1996,Mecklenburg-Western Pomerania,Upper Secondary Level,Comp. time,0.17116,45,45,0.05987,0.28245
1996,Saxony,Upper Secondary Level,Comp. time,0.14296,103,237,0.09830,0.18762
1996,Saxony,Upper Secondary Level,Some of both,0.09923,66,237,0.06109,0.13738
1996,Saxony,Upper Secondary Level,Paid,0.09522,68,237,0.05777,0.13267
1996,Saxony,Second Stage of Tertiary Education,Comp. time,0.18688,57,116,0.11563,0.25812
1996,Saxony,Second Stage of Tertiary Education,Not compensated,0.24699,59,116,0.16817,0.32581
1996,Saxony-Anhalt,Upper Secondary Level,Comp. time,0.13986,61,116,0.07646,0.20325
1996,Saxony-Anhalt,Upper Secondary Level,Paid,0.12011,55,116,0.06070,0.17953
1996,Saxony-Anhalt,Second Stage of Tertiary Education,Comp. time,0.19441,33,71,0.10170,0.28712
1996,Saxony-Anhalt,Second Stage of Tertiary Education,Not compensated,0.22072,38,71,0.12357,0.31788
1996,Thuringa,Upper Secondary Level,Comp. time,0.16111,72,130,0.09767,0.22455
1996,Thuringa,Upper Secondary Level,Paid,0.13201,58,130,0.07360,0.19043
1996,Thuringa,Second Stage of Tertiary Education,Comp. time,0.24159,31,31,0.08842,0.39477
1997,Schleswig-Holstein,Upper Secondary Level,Comp. time,0.21578,32,32,0.07097,0.36059
1997,Lower Saxony,Upper Secondary Level,Comp. time,0.15955,85,182,0.10620,0.21290
1997,Lower Saxony,Upper Secondary Level,Some of both,0.08527,49,182,0.04458,0.12595
1997,Lower Saxony,Upper Secondary Level,Paid,0.07136,48,182,0.03385,0.10886
1997,North Rhine-Westphalia,Lower Secondary Level,Comp. time,0.06164,33,69,0.00447,0.11880
1997,North Rhine-Westphalia,Lower Secondary Level,Paid,0.03970,36,69,-0.00671,0.08611
1997,North Rhine-Westphalia,Upper Secondary Level,Comp. time,0.10288,148,413,0.07355,0.13222
1997,North Rhine-Westphalia,Upper Secondary Level,Some of both,0.05989,81,413,0.03698,0.08280
1997,North Rhine-Westphalia,Upper Secondary Level,Paid,0.09967,127,413,0.07074,0.12860
1997,North Rhine-Westphalia,Upper Secondary Level,Not compensated,0.06442,57,413,0.04072,0.08813
1997,North Rhine-Westphalia,Second Stage of Tertiary Education,Comp. time,0.16770,46,106,0.09624,0.23916
1997,North Rhine-Westphalia,Second Stage of Tertiary Education,Not compensated,0.20419,60,106,0.12709,0.28130
1997,Hesse,Upper Secondary Level,Comp. time,0.18198,76,107,0.10853,0.25543
1997,Hesse,Upper Secondary Level,Paid,0.06359,31,107,0.01714,0.11005
1997,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Comp. time,0.16046,51,95,0.08626,0.23466
1997,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Paid,0.10552,44,95,0.04341,0.16763
1997,Baden-Wuerttemberg,Lower Secondary Level,Comp. time,0.08573,33,72,0.02061,0.15085
1997,Baden-Wuerttemberg,Lower Secondary Level,Paid,0.05464,39,72,0.00177,0.10750
1997,Baden-Wuerttemberg,Upper Secondary Level,Comp. time,0.13834,121,289,0.09846,0.17821
1997,Baden-Wuerttemberg,Upper Secondary Level,Some of both,0.08346,70,289,0.05152,0.11540
1997,Baden-Wuerttemberg,Upper Secondary Level,Paid,0.06351,64,289,0.03534,0.09167
1997,Baden-Wuerttemberg,Upper Secondary Level,Not compensated,0.05027,34,289,0.02503,0.07550
1997,Bavaria,Lower Secondary Level,Comp. time,0.10083,39,39,0.00509,0.19656
1997,Bavaria,Upper Secondary Level,Comp. time,0.20697,188,314,0.16209,0.25186
1997,Bavaria,Upper Secondary Level,Some of both,0.06357,69,314,0.03654,0.09060
1997,Bavaria,Upper Secondary Level,Paid,0.04646,57,314,0.02314,0.06977
1997,Bavaria,Second Stage of Tertiary Education,Comp. time,0.19189,37,75,0.10217,0.28161
1997,Bavaria,Second Stage of Tertiary Education,Not compensated,0.21423,38,75,0.12075,0.30772
1997,Berlin,Upper Secondary Level,Comp. time,0.16246,40,40,0.04669,0.27823
1997,Berlin,Second Stage of Tertiary Education,Comp. time,0.20736,32,32,0.06464,0.35008
1997,Brandenburg,Upper Secondary Level,Comp. time,0.13602,49,49,0.03904,0.23300
1997,Brandenburg,Second Stage of Tertiary Education,Comp. time,0.21943,36,36,0.08232,0.35654
1997,Mecklenburg-Western Pomerania,Upper Secondary Level,Comp. time,0.14479,33,33,0.02287,0.26672
1997,Saxony,Upper Secondary Level,Comp. time,0.11691,82,199,0.07216,0.16167
1997,Saxony,Upper Secondary Level,Some of both,0.11539,77,199,0.07089,0.15989
1997,Saxony,Upper Secondary Level,Paid,0.06307,40,199,0.02921,0.09693
1997,Saxony,Second Stage of Tertiary Education,Comp. time,0.16579,50,103,0.09362,0.23797
1997,Saxony,Second Stage of Tertiary Education,Not compensated,0.23743,53,103,0.15485,0.32001
1997,Saxony-Anhalt,Upper Secondary Level,Comp. time,0.13726,57,125,0.07669,0.19783
1997,Saxony-Anhalt,Upper Secondary Level,Some of both,0.08038,34,125,0.03252,0.12823
1997,Saxony-Anhalt,Upper Secondary Level,Paid,0.07229,34,125,0.02671,0.11787
1997,Saxony-Anhalt,Second Stage of Tertiary Education,Comp. time,0.21281,33,65,0.11254,0.31309
1997,Saxony-Anhalt,Second Stage of Tertiary Education,Not compensated,0.19307,32,65,0.09636,0.28977
1997,Thuringa,Upper Secondary Level,Comp. time,0.14603,61,138,0.08690,0.20516
1997,Thuringa,Upper Secondary Level,Some of both,0.06949,41,138,0.02691,0.11207
1997,Thuringa,Upper Secondary Level,Paid,0.06897,36,138,0.02654,0.11140
1998,Schleswig-Holstein,Upper Secondary Level,Comp. time,0.21006,37,37,0.07699,0.34313
1998,Lower Saxony,Upper Secondary Level,Comp. time,0.15499,102,216,0.10662,0.20337
1998,Lower Saxony,Upper Secondary Level,Some of both,0.09956,64,216,0.05953,0.13958
1998,Lower Saxony,Upper Secondary Level,Paid,0.06920,50,216,0.03527,0.10312
1998,Lower Saxony,Second Stage of Tertiary Education,Comp. time,0.22711,31,31,0.07719,0.37703
1998,North Rhine-Westphalia,Lower Secondary Level,Comp. time,0.05039,32,64,-0.00363,0.10441
1998,North Rhine-Westphalia,Lower Secondary Level,Paid,0.05376,32,64,-0.00193,0.10946
1998,North Rhine-Westphalia,Upper Secondary Level,Comp. time,0.12906,193,462,0.09846,0.15967
1998,North Rhine-Westphalia,Upper Secondary Level,Some of both,0.05489,85,462,0.03410,0.07568
1998,North Rhine-Westphalia,Upper Secondary Level,Paid,0.08936,126,462,0.06332,0.11540
1998,North Rhine-Westphalia,Upper Secondary Level,Not compensated,0.05152,58,462,0.03134,0.07170
1998,North Rhine-Westphalia,First Stage of Tertiary Education,Comp. time,0.19930,33,33,0.06089,0.33771
1998,North Rhine-Westphalia,Second Stage of Tertiary Education,Comp. time,0.13169,48,150,0.07739,0.18599
1998,North Rhine-Westphalia,Second Stage of Tertiary Education,Some of both,0.12535,33,150,0.07219,0.17852
1998,North Rhine-Westphalia,Second Stage of Tertiary Education,Not compensated,0.20725,69,150,0.14217,0.27234
1998,Hesse,Upper Secondary Level,Comp. time,0.18761,83,153,0.12555,0.24967
1998,Hesse,Upper Secondary Level,Some of both,0.07177,38,153,0.03074,0.11280
1998,Hesse,Upper Secondary Level,Paid,0.04790,32,153,0.01395,0.08185
1998,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Comp. time,0.15781,62,62,0.06632,0.24930
1998,Baden-Wuerttemberg,Lower Secondary Level,Comp. time,0.10680,46,46,0.01656,0.19704
1998,Baden-Wuerttemberg,Upper Secondary Level,Comp. time,0.15222,123,270,0.10929,0.19515
1998,Baden-Wuerttemberg,Upper Secondary Level,Some of both,0.08955,80,270,0.05543,0.12367
1998,Baden-Wuerttemberg,Upper Secondary Level,Paid,0.06417,67,270,0.03489,0.09346
1998,Baden-Wuerttemberg,Second Stage of Tertiary Education,Not compensated,0.22518,32,32,0.07814,0.37222
1998,Bavaria,Lower Secondary Level,Comp. time,0.10301,40,40,0.00761,0.19841
1998,Bavaria,Upper Secondary Level,Comp. time,0.19034,195,358,0.14961,0.23106
