"plb0195_h","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Abgefeiert","1997","Ostdeutschland","606","0.426708193360519","0.400946771898846","0.452469614822192"
"Teils, teils","1997","Westdeutschland","651","0.202224100834087","0.188241905259112","0.216206296409062"
"Teils, teils","1997","Ostdeutschland","322","0.22089155155527","0.19928402904676","0.242499074063779"
"Bezahlt","1997","Westdeutschland","666","0.176211283342707","0.16294823854305","0.189474328142364"
"Bezahlt","1997","Ostdeutschland","208","0.148146358477848","0.129643260570839","0.166649456384856"
"Nicht abgegolten","1997","Westdeutschland","499","0.185603634627543","0.172069527442546","0.19913774181254"
"Nicht abgegolten","1997","Ostdeutschland","280","0.204253896606364","0.183255366276204","0.225252426936524"
"Abgefeiert","1998","Westdeutschland","1529","0.44586261130426","0.429388214228507","0.462337008380013"
"Abgefeiert","1998","Ostdeutschland","685","0.444838919461484","0.419856344925226","0.469821493997742"
"Teils, teils","1998","Westdeutschland","731","0.200677857184327","0.187403578706426","0.213952135662228"
"Teils, teils","1998","Ostdeutschland","350","0.237275079092074","0.215888745898334","0.258661412285813"
"Bezahlt","1998","Westdeutschland","662","0.173911194691672","0.161348655994143","0.186473733389201"
"Bezahlt","1998","Ostdeutschland","210","0.139008188192634","0.121616329461861","0.156400046923407"
"Nicht abgegolten","1998","Westdeutschland","575","0.179548336819741","0.166827447674995","0.192269225964487"
"Nicht abgegolten","1998","Ostdeutschland","275","0.178877813253808","0.159611064721316","0.1981445617863"
"Abgefeiert","1999","Westdeutschland","1506","0.458902990010818","0.442250971673114","0.475555008348522"
"Abgefeiert","1999","Ostdeutschland","693","0.450283573933587","0.425189450680595","0.47537769718658"
"Teils, teils","1999","Westdeutschland","727","0.200163317046225","0.186792382168722","0.213534251923728"
"Teils, teils","1999","Ostdeutschland","340","0.245217903701743","0.223518564930617","0.266917242472869"
"Bezahlt","1999","Westdeutschland","641","0.160674126448758","0.148402358088584","0.172945894808932"
"Bezahlt","1999","Ostdeutschland","205","0.130370720121955","0.11338762952153","0.147353810722379"
"Nicht abgegolten","1999","Westdeutschland","566","0.180259566494199","0.167413912807959","0.193105220180439"
"Nicht abgegolten","1999","Ostdeutschland","272","0.174127802242715","0.155000659463051","0.193254945022379"
"Abgefeiert","2000","Westdeutschland","2867","0.471519625649331","0.459065895497463","0.483973355801199"
"Abgefeiert","2000","Ostdeutschland","1022","0.481888415007743","0.460486893655362","0.503289936360125"
"Teils, teils","2000","Westdeutschland","1266","0.202324574577824","0.192302155541814","0.212346993613833"
"Teils, teils","2000","Ostdeutschland","433","0.223377661375348","0.205538084006489","0.241217238744208"
"Bezahlt","2000","Westdeutschland","1030","0.162075012660324","0.152881198197221","0.171268827123428"
"Bezahlt","2000","Ostdeutschland","276","0.132386608273571","0.117870676990948","0.146902539556194"
"Nicht abgegolten","2000","Westdeutschland","1009","0.164080787112521","0.154841336437846","0.173320237787196"
"Nicht abgegolten","2000","Ostdeutschland","363","0.162347315343337","0.14655250918594","0.178142121500734"
"Abgefeiert","2001","Westdeutschland","2545","0.452375669167555","0.439488374253821","0.465262964081289"
"Abgefeiert","2001","Ostdeutschland","968","0.487203973940098","0.465221012130537","0.509186935749658"
"Teils, teils","2001","Westdeutschland","1262","0.21648850660327","0.20582473369097","0.227152279515571"
"Teils, teils","2001","Ostdeutschland","442","0.228503003338283","0.21003705802275","0.246968948653816"
"Bezahlt","2001","Westdeutschland","966","0.164649205171516","0.155046689062749","0.174251721280283"
"Bezahlt","2001","Ostdeutschland","262","0.136959214430164","0.121838588930249","0.152079839930078"
"Nicht abgegolten","2001","Westdeutschland","957","0.166486619057658","0.156841296960367","0.17613194115495"
"Nicht abgegolten","2001","Ostdeutschland","314","0.147333808291456","0.131745492400041","0.162922124182871"
"Abgefeiert","2002","Westdeutschland","2654","0.470478804905927","0.45784515073017","0.483112459081683"
"Abgefeiert","2002","Ostdeutschland","968","0.512419466831179","0.490302041050586","0.534536892611771"
"Teils, teils","2002","Westdeutschland","1235","0.2059042879536","0.195669322058686","0.216139253848514"
"Teils, teils","2002","Ostdeutschland","422","0.22290904574356","0.204492916140554","0.241325175346566"
"Bezahlt","2002","Westdeutschland","787","0.141514478529867","0.132692130133454","0.150336826926279"
"Bezahlt","2002","Ostdeutschland","203","0.109797979941205","0.0959642258226054","0.123631734059805"
"Nicht abgegolten","2002","Westdeutschland","1320","0.182102428610606","0.172334002244797","0.191870854976416"
"Nicht abgegolten","2002","Ostdeutschland","369","0.154873507484056","0.138865104274078","0.170881910694034"
"Abgefeiert","2003","Westdeutschland","2650","0.493834394343072","0.480858616903666","0.506810171782478"
"Abgefeiert","2003","Ostdeutschland","971","0.552449299608645","0.529760201136499","0.575138398080791"
"Teils, teils","2003","Westdeutschland","1128","0.194975969723991","0.184693643654558","0.205258295793424"
"Teils, teils","2003","Ostdeutschland","358","0.202194461568277","0.183867812788474","0.220521110348081"
"Bezahlt","2003","Westdeutschland","706","0.134173023349538","0.125327071629614","0.143018975069462"
"Bezahlt","2003","Ostdeutschland","191","0.109168416229007","0.0949387008398827","0.123398131618132"
"Nicht abgegolten","2003","Westdeutschland","1219","0.177016612583399","0.16711059824031","0.186922626926488"
"Nicht abgegolten","2003","Ostdeutschland","325","0.13618782259407","0.120537305004073","0.151838340184068"
"Abgefeiert","2004","Westdeutschland","2558","0.491979548852467","0.478740670246049","0.505218427458885"
"Abgefeiert","2004","Ostdeutschland","926","0.52649705198494","0.503463081637484","0.549531022332395"
"Teils, teils","2004","Westdeutschland","1003","0.183343950302091","0.173097110157855","0.193590790446327"
"Teils, teils","2004","Ostdeutschland","388","0.22368182581521","0.204457783482912","0.242905868147508"
"Bezahlt","2004","Westdeutschland","631","0.127524590883469","0.118691541792653","0.136357639974285"
"Bezahlt","2004","Ostdeutschland","176","0.101232981864279","0.087317634049938","0.11514832967862"
"Nicht abgegolten","2004","Westdeutschland","1286","0.197151909961973","0.186616431569948","0.207687388353998"
"Nicht abgegolten","2004","Ostdeutschland","315","0.148588140335572","0.132179544828783","0.164996735842361"
"Abgefeiert","2005","Westdeutschland","2509","0.503580661255523","0.489853136071898","0.517308186439148"
"Abgefeiert","2005","Ostdeutschland","871","0.533595603876157","0.509761793918804","0.557429413833509"
"Teils, teils","2005","Westdeutschland","988","0.202531106006314","0.191497026103951","0.213565185908678"
"Teils, teils","2005","Ostdeutschland","349","0.207091144555409","0.187731453106337","0.226450836004481"
"Bezahlt","2005","Westdeutschland","525","0.109586775569648","0.101010311817507","0.11816323932179"
"Bezahlt","2005","Ostdeutschland","164","0.118344072014877","0.102911836119811","0.133776307909943"
"Nicht abgegolten","2005","Westdeutschland","1074","0.184301457168514","0.17365604186285","0.194946872474179"
"Nicht abgegolten","2005","Ostdeutschland","299","0.140969179553558","0.1243437646636","0.157594594443515"
"Abgefeiert","2006","Westdeutschland","2787","0.497209625191337","0.484202235880617","0.510217014502057"
"Abgefeiert","2006","Ostdeutschland","942","0.503100362892878","0.480123359066363","0.526077366719394"
"Teils, teils","2006","Westdeutschland","1022","0.182784059554298","0.172729467107711","0.192838652000886"
"Teils, teils","2006","Ostdeutschland","367","0.222568642940774","0.203452742623096","0.241684543258452"
"Bezahlt","2006","Westdeutschland","612","0.120844625750181","0.112365064417235","0.129324187083127"
"Bezahlt","2006","Ostdeutschland","150","0.102624681453148","0.0886788403445016","0.116570522561793"
"Nicht abgegolten","2006","Westdeutschland","1255","0.199161689504183","0.188772008372546","0.209551370635821"
"Nicht abgegolten","2006","Ostdeutschland","360","0.1717063127132","0.154375575053272","0.189037050373128"
"Abgefeiert","2007","Westdeutschland","2517","0.493806174954441","0.480172668446305","0.507439681462576"
"Abgefeiert","2007","Ostdeutschland","928","0.519226685947791","0.4960030137883","0.542450358107283"
"Teils, teils","2007","Westdeutschland","1003","0.200883615896485","0.18995794370211","0.211809288090861"
"Teils, teils","2007","Ostdeutschland","367","0.238577194694413","0.218766047870909","0.258388341517917"
"Bezahlt","2007","Westdeutschland","496","0.105389139884192","0.0970160471117493","0.113762232656635"
"Bezahlt","2007","Ostdeutschland","139","0.0835571028472685","0.0706945668203845","0.0964196388741525"
"Nicht abgegolten","2007","Westdeutschland","1150","0.199921069264882","0.18901504172605","0.210827096803714"
"Nicht abgegolten","2007","Ostdeutschland","344","0.158639016510527","0.141657424546775","0.17562060847428"
"Abgefeiert","2008","Westdeutschland","2444","0.486234031481298","0.472546231614869","0.499921831347727"
"Abgefeiert","2008","Ostdeutschland","877","0.513933311498138","0.490374579711469","0.537492043284807"
"Teils, teils","2008","Westdeutschland","1001","0.20321826311783","0.192198319892112","0.214238206343547"
"Teils, teils","2008","Ostdeutschland","365","0.242402035478944","0.222202651492261","0.262601419465628"
"Bezahlt","2008","Westdeutschland","529","0.112619613112262","0.10396215832273","0.121277067901795"
"Bezahlt","2008","Ostdeutschland","161","0.0918905061329964","0.0782743342765339","0.105506677989459"
"Nicht abgegolten","2008","Westdeutschland","1148","0.19792809228861","0.187016486283677","0.208839698293543"
"Nicht abgegolten","2008","Ostdeutschland","326","0.151774146889921","0.13486174667625","0.168686547103592"
"Abgefeiert","2009","Westdeutschland","2160","0.47919926991952","0.464612928883483","0.493785610955557"
"Abgefeiert","2009","Ostdeutschland","816","0.538479043938011","0.51380415663041","0.563153931245613"
"Teils, teils","2009","Westdeutschland","883","0.2087105785897","0.196844904700064","0.220576252479337"
"Teils, teils","2009","Ostdeutschland","339","0.251488977117269","0.230013954037773","0.272964000196766"
"Bezahlt","2009","Westdeutschland","445","0.112638925110297","0.103407963750742","0.121869886469851"
"Bezahlt","2009","Ostdeutschland","143","0.0733642436440124","0.0604588335001473","0.0862696537878775"
"Nicht abgegolten","2009","Westdeutschland","1018","0.199451226380483","0.18778407719552","0.211118375565446"
"Nicht abgegolten","2009","Ostdeutschland","270","0.136667735300707","0.119665851382528","0.153669619218885"
"Abgefeiert","2010","Westdeutschland","3247","0.512214118027642","0.500061629828219","0.524366606227064"
"Abgefeiert","2010","Ostdeutschland","1017","0.555981849325486","0.533826673616626","0.578137025034346"
"Teils, teils","2010","Westdeutschland","1187","0.183276276525975","0.173870047812463","0.192682505239488"
"Teils, teils","2010","Ostdeutschland","389","0.207253546385868","0.1891791971627","0.225327895609036"
"Bezahlt","2010","Westdeutschland","763","0.111553311632063","0.103899429978845","0.119207193285281"
"Bezahlt","2010","Ostdeutschland","199","0.0848368445269065","0.0724121406478222","0.0972615484059908"
"Nicht abgegolten","2010","Westdeutschland","1302","0.19295629381432","0.183362225103724","0.202550362524915"
"Nicht abgegolten","2010","Ostdeutschland","327","0.15192775976174","0.135921881076466","0.167933638447013"
"Abgefeiert","2011","Westdeutschland","3813","0.485350255598657","0.474306239577527","0.496394271619786"
"Abgefeiert","2011","Ostdeutschland","1199","0.539362105817009","0.518866348317633","0.559857863316385"
"Teils, teils","2011","Westdeutschland","1505","0.195038255005025","0.186282551673385","0.203793958336664"
"Teils, teils","2011","Ostdeutschland","424","0.194779507027818","0.178495061781393","0.211063952274243"
"Bezahlt","2011","Westdeutschland","990","0.12450844533404","0.11721271284136","0.131804177826721"
"Bezahlt","2011","Ostdeutschland","252","0.099971420872246","0.0876372486022549","0.112305593142237"
"Nicht abgegolten","2011","Westdeutschland","1559","0.195103044062278","0.186346239014882","0.203859849109674"
"Nicht abgegolten","2011","Ostdeutschland","397","0.165886966282927","0.150591507301725","0.181182425264129"
"Abgefeiert","2012","Westdeutschland","4068","0.500735474786781","0.489854854499535","0.511616095074028"
"Abgefeiert","2012","Ostdeutschland","1231","0.559171121160718","0.538710954055952","0.579631288265483"
"Teils, teils","2012","Westdeutschland","1566","0.206916141179976","0.198100764775275","0.215731517584677"
"Teils, teils","2012","Ostdeutschland","492","0.214538792761843","0.19762203707142","0.231455548452265"
"Bezahlt","2012","Westdeutschland","993","0.119731462867791","0.112666728224076","0.126796197511506"
"Bezahlt","2012","Ostdeutschland","216","0.0864200846308945","0.0748407819625929","0.0979993872991962"
"Nicht abgegolten","2012","Westdeutschland","1485","0.172616921165452","0.164392996554705","0.180840845776198"
"Nicht abgegolten","2012","Ostdeutschland","323","0.139870001446545","0.125576253229764","0.154163749663326"
"Abgefeiert","2013","Westdeutschland","4421","0.502652955116813","0.492240715738565","0.513065194495062"
"Abgefeiert","2013","Ostdeutschland","1177","0.547252293954695","0.526304406128492","0.568200181780898"
"Teils, teils","2013","Westdeutschland","1787","0.207598244286029","0.19915197729216","0.216044511279898"
"Teils, teils","2013","Ostdeutschland","418","0.209253419208902","0.192134621580168","0.226372216837635"
"Bezahlt","2013","Westdeutschland","1160","0.116471676683214","0.109791304562529","0.123152048803899"
"Bezahlt","2013","Ostdeutschland","240","0.10318061337812","0.0903788480556626","0.115982378700577"
"Nicht abgegolten","2013","Westdeutschland","1490","0.173277123913944","0.165395225266758","0.18115902256113"
"Nicht abgegolten","2013","Ostdeutschland","334","0.140313673458284","0.12569734405441","0.154930002862158"
"Abgefeiert","2014","Westdeutschland","4028","0.502442827345947","0.491519826975663","0.513365827716232"
"Abgefeiert","2014","Ostdeutschland","1057","0.538698663094729","0.516884029031214","0.560513297158244"
"Teils, teils","2014","Westdeutschland","1709","0.218289917852505","0.209265549315653","0.227314286389357"
"Teils, teils","2014","Ostdeutschland","454","0.221490365407759","0.203318812525145","0.239661918290372"
"Bezahlt","2014","Westdeutschland","1002","0.11480797489038","0.107843603835344","0.121772345945415"
"Bezahlt","2014","Ostdeutschland","195","0.0959705991761835","0.0830808933088869","0.10886030504348"
"Nicht abgegolten","2014","Westdeutschland","1310","0.164459279911168","0.156361049492944","0.172557510329391"
"Nicht abgegolten","2014","Ostdeutschland","300","0.143840372321329","0.128483583987559","0.1591971606551"
"Abgefeiert","2015","Westdeutschland","","","",""
"Abgefeiert","2015","Ostdeutschland","","","",""
"Teils, teils","2015","Westdeutschland","","","",""
"Teils, teils","2015","Ostdeutschland","","","",""
"Bezahlt","2015","Westdeutschland","","","",""
"Bezahlt","2015","Ostdeutschland","","","",""
"Nicht abgegolten","2015","Westdeutschland","","","",""
"Nicht abgegolten","2015","Ostdeutschland","","","",""
"Abgefeiert","2016","Westdeutschland","","","",""
"Abgefeiert","2016","Ostdeutschland","","","",""
"Teils, teils","2016","Westdeutschland","","","",""
"Teils, teils","2016","Ostdeutschland","","","",""
"Bezahlt","2016","Westdeutschland","","","",""
"Bezahlt","2016","Ostdeutschland","","","",""
"Nicht abgegolten","2016","Westdeutschland","","","",""
"Nicht abgegolten","2016","Ostdeutschland","","","",""
"Abgefeiert","2017","Westdeutschland","","","",""
"Abgefeiert","2017","Ostdeutschland","","","",""
"Teils, teils","2017","Westdeutschland","","","",""
"Teils, teils","2017","Ostdeutschland","","","",""
"Bezahlt","2017","Westdeutschland","","","",""
"Bezahlt","2017","Ostdeutschland","","","",""
"Nicht abgegolten","2017","Westdeutschland","","","",""
"Nicht abgegolten","2017","Ostdeutschland","","","",""
"Abgefeiert","2018","Westdeutschland","4144","0.527878834538489","0.516845159260967","0.53891250981601"
"Abgefeiert","2018","Ostdeutschland","1118","0.571105500964129","0.549458404797425","0.592752597130834"
"Teils, teils","2018","Westdeutschland","1684","0.225773738450277","0.216533205926906","0.235014270973648"
"Teils, teils","2018","Ostdeutschland","456","0.209688986841845","0.191883532320446","0.227494441363244"
"Bezahlt","2018","Westdeutschland","979","0.111951659975659","0.104982829326648","0.11892049062467"
"Bezahlt","2018","Ostdeutschland","212","0.0991579602829551","0.0860855896784127","0.112230330887498"
"Nicht abgegolten","2018","Westdeutschland","1057","0.134395767035576","0.126857373259876","0.141934160811275"
"Nicht abgegolten","2018","Ostdeutschland","222","0.120047551911071","0.105831713026297","0.134263390795845"
"Abgefeiert","2019","Westdeutschland","","","",""
"Abgefeiert","2019","Ostdeutschland","","","",""
"Teils, teils","2019","Westdeutschland","","","",""
"Teils, teils","2019","Ostdeutschland","","","",""
"Bezahlt","2019","Westdeutschland","","","",""
"Bezahlt","2019","Ostdeutschland","","","",""
"Nicht abgegolten","2019","Westdeutschland","","","",""
"Nicht abgegolten","2019","Ostdeutschland","","","",""
"Abgefeiert","2020","Westdeutschland","4210","0.552073843839298","0.541157090845171","0.562990596833426"
"Abgefeiert","2020","Ostdeutschland","1086","0.578779840557546","0.557069810263237","0.600489870851855"
"Teils, teils","2020","Westdeutschland","1764","0.23316451028933","0.223881816759897","0.242447203818762"
"Teils, teils","2020","Ostdeutschland","466","0.222830963754958","0.204533340917305","0.241128586592612"
"Bezahlt","2020","Westdeutschland","905","0.0995900920214506","0.0930162405735732","0.106163943469328"
"Bezahlt","2020","Ostdeutschland","201","0.094310483757684","0.0814600196173706","0.107160947897997"
"Nicht abgegolten","2020","Westdeutschland","1092","0.115171553849921","0.108163557972639","0.122179549727203"
"Nicht abgegolten","2020","Ostdeutschland","234","0.104078711929811","0.090652143182804","0.117505280676819"
