year,quintil_oecd,sex,plb0195_h,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1997,2nd Quintile,male,Paid,0.29806451612903223,16487,0.2910823691033444,0.30504666315472007
1997,2nd Quintile,male,Some of both,0.26838709677419353,16487,0.2616230477467255,0.27515114580166156
1997,2nd Quintile,male,Not compensated,0.11096774193548387,16487,0.10617325227427206,0.11576223159669567
1997,2nd Quintile,female,Comp. time,0.5523385300668151,16487,0.5447481629682998,0.5599288971653305
1997,2nd Quintile,female,Paid,0.16703786191536749,16487,0.16134402079954427,0.1727317030311907
1997,2nd Quintile,female,Some of both,0.15367483296213807,16487,0.14816985917861464,0.1591798067456615
1997,2nd Quintile,female,Not compensated,0.12694877505567928,16487,0.12186695394850378,0.13203059616285479
1997,3rd Quintile,male,Comp. time,0.3995067817509248,16487,0.3920302293088932,0.4069833341929564
1997,3rd Quintile,male,Some of both,0.2379778051787916,16487,0.23147744695971745,0.24447816339786577
1997,3rd Quintile,male,Paid,0.22441430332922319,16487,0.2180459754568198,0.23078263120162656
1997,3rd Quintile,male,Not compensated,0.1381011097410604,16487,0.1328347321104604,0.1433674873716604
1997,3rd Quintile,female,Comp. time,0.5667870036101083,16487,0.5592231009277125,0.574350906292504
1997,3rd Quintile,female,Some of both,0.16787003610108303,16487,0.16216488140815266,0.1735751907940134
1997,3rd Quintile,female,Not compensated,0.13898916967509026,16487,0.13370860896819484,0.14426973038198568
1997,3rd Quintile,female,Paid,0.1263537906137184,16487,0.12128216497718204,0.13142541625025475
1997,4th Quintile,male,Comp. time,0.34223706176961605,16487,0.3349946456924291,0.349479477846803
1997,4th Quintile,male,Some of both,0.25542570951585974,16487,0.24876881654014624,0.2620826024915733
1997,4th Quintile,male,Not compensated,0.22370617696160267,16487,0.2173450025157765,0.23006735140742884
1997,4th Quintile,male,Paid,0.17863105175292154,16487,0.17278405476347033,0.18447804874237275
1997,4th Quintile,female,Comp. time,0.5893271461716937,16487,0.5818176383545035,0.5968366539888839
1997,4th Quintile,female,Not compensated,0.16473317865429235,16487,0.1590709369134603,0.1703954203951244
1997,4th Quintile,female,Some of both,0.16241299303944315,16487,0.1567829644114974,0.1680430216673889
1997,4th Quintile,female,Paid,0.08352668213457076,16487,0.0793033252651522,0.08775003900398932
1997,5th Quintile,male,Not compensated,0.4453125,16487,0.43772599261469697,0.45289900738530303
1997,5th Quintile,male,Comp. time,0.28515625,16487,0.2782644564068394,0.2920480435931606
1997,5th Quintile,male,Some of both,0.18359375,16487,0.17768402381646323,0.18950347618353677
1997,5th Quintile,male,Paid,0.0859375,16487,0.08165926578950708,0.09021573421049292
1997,5th Quintile,female,Comp. time,0.5,16487,0.4923677030923441,0.5076322969076559
1997,5th Quintile,female,Not compensated,0.30412371134020616,16487,0.29710145930692916,0.31114596337348316
1997,5th Quintile,female,Some of both,0.13402061855670103,16487,0.1288203611971033,0.13922087591629875
1997,5th Quintile,female,Paid,0.061855670103092786,16487,0.058178532860205974,0.06553280734597959
1998,1st Quintile,male,Comp. time,0.29924242424242425,18147,0.292579741487733,0.3059051069971155
1998,1st Quintile,male,Paid,0.2878787878787879,18147,0.2812910631201163,0.2944665126374595
1998,1st Quintile,male,Some of both,0.26515151515151514,18147,0.25872908174449777,0.2715739485585325
1998,1st Quintile,male,Not compensated,0.14772727272727273,18147,0.1425646155444591,0.15288992991008638
1998,1st Quintile,female,Comp. time,0.4727272727272727,18147,0.46546325935198773,0.4799912861025577
1998,1st Quintile,female,Paid,0.2,18147,0.19418012518557587,0.20581987481442415
1998,1st Quintile,female,Some of both,0.17575757575757575,18147,0.17021976436175892,0.18129538715339258
1998,1st Quintile,female,Not compensated,0.15151515151515152,18147,0.1462983570106386,0.15673194601966445
1998,2nd Quintile,male,Comp. time,0.3865435356200528,18147,0.37945845603837597,0.3936286152017296
1998,2nd Quintile,male,Paid,0.2717678100263852,18147,0.2652950784809545,0.27824054157181594
1998,2nd Quintile,male,Some of both,0.22955145118733508,18147,0.22343266195427763,0.23567024042039253
1998,2nd Quintile,male,Not compensated,0.11213720316622691,18147,0.10754626502496659,0.11672814130748724
1998,2nd Quintile,female,Comp. time,0.5362318840579711,18147,0.5289761657728774,0.5434876023430647
1998,2nd Quintile,female,Some of both,0.18357487922705315,18147,0.17794215541762906,0.18920760303647724
1998,2nd Quintile,female,Paid,0.15942028985507245,18147,0.1540941213722777,0.1647464583378672
1998,2nd Quintile,female,Not compensated,0.12077294685990338,18147,0.1160317389026413,0.12551415481716544
1998,3rd Quintile,male,Comp. time,0.4050802139037433,18147,0.39793766251628804,0.4122227652911986
1998,3rd Quintile,male,Some of both,0.24064171122994651,18147,0.2344221109521373,0.24686131150775573
1998,3rd Quintile,male,Paid,0.2192513368983957,18147,0.21323155992401865,0.22527111387277277
1998,3rd Quintile,male,Not compensated,0.13502673796791445,18147,0.13005435144012556,0.13999912449570334
1998,3rd Quintile,female,Comp. time,0.5893805309734513,18147,0.5822228668821334,0.5965381950647692
1998,3rd Quintile,female,Some of both,0.17168141592920355,18147,0.16619468077029195,0.17716815108811515
1998,3rd Quintile,female,Paid,0.12212389380530973,18147,0.11735990658777798,0.1268878810228415
1998,3rd Quintile,female,Not compensated,0.1168141592920354,18147,0.11214081858117947,0.12148750000289132
1998,4th Quintile,male,Comp. time,0.34442595673876875,18147,0.33751222597101943,0.35133968750651806
1998,4th Quintile,male,Some of both,0.2762063227953411,18147,0.2697008651716198,0.28271178041906236
1998,4th Quintile,male,Not compensated,0.2146422628951747,18147,0.20866854053347025,0.22061598525687917
