,Unnamed: 0,year,bula_h,regtyp,pld0043,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
298,298,2013,Thuringa,Urban regions,Often,0.1106,37,24921,0.07938,0.14542
299,299,2013,Thuringa,Urban regions,Sometimes,0.32385,92,24921,0.24579,0.42728
300,300,2013,Thuringa,Urban regions,Seldom,0.37794,111,24921,0.28585,0.47965
301,301,2013,Thuringa,Urban regions,Never,0.18761,50,24921,0.1368,0.25336
302,302,2013,Thuringa,Rural regions,Often,0.06837,52,24921,0.05357,0.0863
303,303,2013,Thuringa,Rural regions,Sometimes,0.30894,205,24921,0.26871,0.36099
304,304,2013,Thuringa,Rural regions,Seldom,0.30714,234,24921,0.27354,0.35584
305,305,2013,Thuringa,Rural regions,Never,0.31555,190,24921,0.27908,0.3474
306,306,2018,Schleswig-Holstein,Urban regions,Often,0.12362,56,25185,0.08254,0.17272
307,307,2018,Schleswig-Holstein,Urban regions,Sometimes,0.46377,116,25185,0.36979,0.56723
308,308,2018,Schleswig-Holstein,Urban regions,Seldom,0.27474,97,25185,0.22441,0.3401
309,309,2018,Schleswig-Holstein,Urban regions,Never,0.13788,35,25185,0.09781,0.19436
310,310,2018,Schleswig-Holstein,Rural regions,Often,0.17118,92,25185,0.13718,0.21892
311,311,2018,Schleswig-Holstein,Rural regions,Sometimes,0.4092,239,25185,0.35317,0.45348
312,312,2018,Schleswig-Holstein,Rural regions,Seldom,0.29229,177,25185,0.24883,0.32548
313,313,2018,Schleswig-Holstein,Rural regions,Never,0.12733,81,25185,0.09957,0.15216
314,314,2018,Hamburg,Urban regions,Often,0.22381,85,25185,0.18257,0.26798
315,315,2018,Hamburg,Urban regions,Sometimes,0.32444,156,25185,0.26466,0.38669
316,316,2018,Hamburg,Urban regions,Seldom,0.31331,146,25185,0.25676,0.37786
317,317,2018,Hamburg,Urban regions,Never,0.13844,67,25185,0.10095,0.17843
318,318,2018,Lower Saxony,Urban regions,Very often,0.03212,52,25185,0.02345,0.04109
319,319,2018,Lower Saxony,Urban regions,Often,0.15842,199,25185,0.132,0.19054
320,320,2018,Lower Saxony,Urban regions,Sometimes,0.35504,376,25185,0.31429,0.39515
321,321,2018,Lower Saxony,Urban regions,Seldom,0.29197,287,25185,0.26168,0.33105
322,322,2018,Lower Saxony,Urban regions,Never,0.16245,140,25185,0.13297,0.1959
323,323,2018,Lower Saxony,Rural regions,Very often,0.03252,45,25185,0.02355,0.0435
324,324,2018,Lower Saxony,Rural regions,Often,0.14983,222,25185,0.12449,0.17575
325,325,2018,Lower Saxony,Rural regions,Sometimes,0.32947,572,25185,0.29842,0.36705
326,326,2018,Lower Saxony,Rural regions,Seldom,0.34416,454,25185,0.30918,0.38903
327,327,2018,Lower Saxony,Rural regions,Never,0.14403,180,25185,0.12265,0.16925
328,328,2018,Bremen,Urban regions,Often,0.17999,41,25185,0.11278,0.26361
329,329,2018,Bremen,Urban regions,Sometimes,0.30742,73,25185,0.23215,0.41216
330,330,2018,Bremen,Urban regions,Seldom,0.33171,64,25185,0.23474,0.45552
331,331,2018,Bremen,Urban regions,Never,0.18088,34,25185,0.10108,0.28628
332,332,2018,North Rhine-Westphalia,Urban regions,Very often,0.04039,215,25185,0.03415,0.04758
333,333,2018,North Rhine-Westphalia,Urban regions,Often,0.18637,971,25185,0.17328,0.1999
334,334,2018,North Rhine-Westphalia,Urban regions,Sometimes,0.34729,1899,25185,0.32885,0.36746
335,335,2018,North Rhine-Westphalia,Urban regions,Seldom,0.27558,1447,25185,0.25938,0.29013
336,336,2018,North Rhine-Westphalia,Urban regions,Never,0.15037,758,25185,0.13936,0.16259
337,337,2018,North Rhine-Westphalia,Rural regions,Sometimes,0.57608,36,25185,0.41985,0.78547
338,338,2018,North Rhine-Westphalia,Rural regions,Seldom,0.42392,35,25185,0.30913,0.53174
339,339,2018,Hesse,Urban regions,Very often,0.0341,68,25185,0.02566,0.04234
340,340,2018,Hesse,Urban regions,Often,0.19212,266,25185,0.16262,0.22146
341,341,2018,Hesse,Urban regions,Sometimes,0.34322,493,25185,0.31328,0.38147
342,342,2018,Hesse,Urban regions,Seldom,0.3064,377,25185,0.26436,0.34186
343,343,2018,Hesse,Urban regions,Never,0.12415,152,25185,0.10425,0.144
344,344,2018,Hesse,Rural regions,Often,0.12444,51,25185,0.09094,0.16524
345,345,2018,Hesse,Rural regions,Sometimes,0.39609,134,25185,0.32788,0.48713
346,346,2018,Hesse,Rural regions,Seldom,0.3198,98,25185,0.25953,0.39781
347,347,2018,Hesse,Rural regions,Never,0.15968,43,25185,0.11096,0.21347
348,348,2018,"Rhineland-Palatinate, Saarland",Urban regions,Very often,0.0362,54,25185,0.02802,0.0453
349,349,2018,"Rhineland-Palatinate, Saarland",Urban regions,Often,0.1766,182,25185,0.15212,0.20224
350,350,2018,"Rhineland-Palatinate, Saarland",Urban regions,Sometimes,0.35688,386,25185,0.32261,0.39437
351,351,2018,"Rhineland-Palatinate, Saarland",Urban regions,Seldom,0.25972,269,25185,0.22534,0.28849
352,352,2018,"Rhineland-Palatinate, Saarland",Urban regions,Never,0.17059,193,25185,0.14671,0.19552
353,353,2018,"Rhineland-Palatinate, Saarland",Rural regions,Often,0.20337,57,25185,0.13839,0.27361
354,354,2018,"Rhineland-Palatinate, Saarland",Rural regions,Sometimes,0.28943,119,25185,0.22966,0.34777
355,355,2018,"Rhineland-Palatinate, Saarland",Rural regions,Seldom,0.30055,122,25185,0.23274,0.36289
356,356,2018,"Rhineland-Palatinate, Saarland",Rural regions,Never,0.20666,87,25185,0.16489,0.25123
357,357,2018,Baden-Wuerttemberg,Urban regions,Very often,0.04671,105,25185,0.0383,0.05504
358,358,2018,Baden-Wuerttemberg,Urban regions,Often,0.16111,451,25185,0.14423,0.17991
359,359,2018,Baden-Wuerttemberg,Urban regions,Sometimes,0.35256,863,25185,0.32935,0.37893
360,360,2018,Baden-Wuerttemberg,Urban regions,Seldom,0.30165,713,25185,0.28058,0.32548
361,361,2018,Baden-Wuerttemberg,Urban regions,Never,0.13797,330,25185,0.12434,0.15332
362,362,2018,Baden-Wuerttemberg,Rural regions,Often,0.14726,46,25185,0.10229,0.20034
363,363,2018,Baden-Wuerttemberg,Rural regions,Sometimes,0.37313,115,25185,0.30519,0.44754
364,364,2018,Baden-Wuerttemberg,Rural regions,Seldom,0.26421,95,25185,0.2065,0.32232
365,365,2018,Baden-Wuerttemberg,Rural regions,Never,0.21541,55,25185,0.16339,0.28341
366,366,2018,Bavaria,Urban regions,Very often,0.05374,82,25185,0.03957,0.07065
367,367,2018,Bavaria,Urban regions,Often,0.16427,333,25185,0.14537,0.18595
368,368,2018,Bavaria,Urban regions,Sometimes,0.33189,644,25185,0.30199,0.36892
369,369,2018,Bavaria,Urban regions,Seldom,0.28486,520,25185,0.25685,0.31429
370,370,2018,Bavaria,Urban regions,Never,0.16524,232,25185,0.14099,0.18891
371,371,2018,Bavaria,Rural regions,Very often,0.02752,62,25185,0.02119,0.03536
372,372,2018,Bavaria,Rural regions,Often,0.18292,351,25185,0.15875,0.20496
373,373,2018,Bavaria,Rural regions,Sometimes,0.33921,716,25185,0.3175,0.3691
374,374,2018,Bavaria,Rural regions,Seldom,0.31178,695,25185,0.28228,0.34075
375,375,2018,Bavaria,Rural regions,Never,0.13857,338,25185,0.1236,0.15577
376,376,2018,Berlin,Urban regions,Very often,0.03983,48,25185,0.02824,0.05264
377,377,2018,Berlin,Urban regions,Often,0.19511,203,25185,0.1694,0.22191
378,378,2018,Berlin,Urban regions,Sometimes,0.31273,342,25185,0.27913,0.34368
379,379,2018,Berlin,Urban regions,Seldom,0.30538,293,25185,0.26827,0.33748
380,380,2018,Berlin,Urban regions,Never,0.14694,110,25185,0.12273,0.17111
381,381,2018,Brandenburg,Urban regions,Sometimes,1.0,42,25185,0.71036,1.4559
382,382,2018,Brandenburg,Rural regions,Very often,0.02386,32,25185,0.01549,0.03363
383,383,2018,Brandenburg,Rural regions,Often,0.12774,101,25185,0.10133,0.15889
384,384,2018,Brandenburg,Rural regions,Sometimes,0.35317,335,25185,0.30784,0.39237
385,385,2018,Brandenburg,Rural regions,Seldom,0.30366,286,25185,0.25786,0.34448
386,386,2018,Brandenburg,Rural regions,Never,0.19157,179,25185,0.16464,0.22234
387,387,2018,Mecklenburg-Western Pomerania,Urban regions,Sometimes,1.0,35,25185,0.65783,1.3274
388,388,2018,Mecklenburg-Western Pomerania,Rural regions,Often,0.12057,65,25185,0.09132,0.15003
389,389,2018,Mecklenburg-Western Pomerania,Rural regions,Sometimes,0.34361,160,25185,0.2801,0.42351
390,390,2018,Mecklenburg-Western Pomerania,Rural regions,Seldom,0.29089,158,25185,0.2541,0.3384
391,391,2018,Mecklenburg-Western Pomerania,Rural regions,Never,0.24492,106,25185,0.19918,0.29315
392,392,2018,Saxony,Urban regions,Often,0.16819,150,25185,0.13909,0.19643
393,393,2018,Saxony,Urban regions,Sometimes,0.30737,268,25185,0.26981,0.35707
394,394,2018,Saxony,Urban regions,Seldom,0.33453,272,25185,0.28143,0.38553
395,395,2018,Saxony,Urban regions,Never,0.18991,148,25185,0.15819,0.2276
396,396,2018,Saxony,Rural regions,Often,0.12723,83,25185,0.0919,0.16651
397,397,2018,Saxony,Rural regions,Sometimes,0.37713,247,25185,0.3329,0.42456
398,398,2018,Saxony,Rural regions,Seldom,0.32756,257,25185,0.28556,0.37189
399,399,2018,Saxony,Rural regions,Never,0.16808,150,25185,0.14243,0.20275
400,400,2018,Saxony-Anhalt,Urban regions,Sometimes,0.46086,64,25185,0.37545,0.55764
401,401,2018,Saxony-Anhalt,Urban regions,Seldom,0.32942,53,25185,0.26076,0.41863
402,402,2018,Saxony-Anhalt,Urban regions,Never,0.20972,34,25185,0.15436,0.28049
403,403,2018,Saxony-Anhalt,Rural regions,Often,0.12109,94,25185,0.09989,0.14599
404,404,2018,Saxony-Anhalt,Rural regions,Sometimes,0.32273,227,25185,0.28089,0.36942
405,405,2018,Saxony-Anhalt,Rural regions,Seldom,0.36029,252,25185,0.30858,0.42008
406,406,2018,Saxony-Anhalt,Rural regions,Never,0.19589,129,25185,0.16141,0.23958
407,407,2018,Thuringa,Urban regions,Often,0.11943,41,25185,0.09933,0.14277
408,408,2018,Thuringa,Urban regions,Sometimes,0.37305,98,25185,0.27092,0.51791
409,409,2018,Thuringa,Urban regions,Seldom,0.33305,98,25185,0.25783,0.40133
410,410,2018,Thuringa,Urban regions,Never,0.17446,51,25185,0.12075,0.24341
411,411,2018,Thuringa,Rural regions,Often,0.14897,81,25185,0.11088,0.18508
412,412,2018,Thuringa,Rural regions,Sometimes,0.25043,176,25185,0.19986,0.29745
413,413,2018,Thuringa,Rural regions,Seldom,0.36918,220,25185,0.31903,0.42095
414,414,2018,Thuringa,Rural regions,Never,0.23141,153,25185,0.20024,0.26592
