year,bula_h,regtyp,plj0175,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2022,Schleswig-Holstein,Urban regions,Yes,0.97328,274,274,0.95414,0.99241
2022,Schleswig-Holstein,Rural regions,Yes,0.96693,475,475,0.95083,0.98303
2022,Hamburg,Urban regions,Yes,0.93222,362,401,0.90759,0.95686
2022,Hamburg,Urban regions,No,0.06778,39,401,0.04314,0.09241
2022,Lower Saxony,Urban regions,Yes,0.92807,670,725,0.90925,0.94689
2022,Lower Saxony,Urban regions,No,0.07193,55,725,0.05311,0.09075
2022,Lower Saxony,Rural regions,Yes,0.94070,1012,1071,0.92655,0.95485
2022,Lower Saxony,Rural regions,No,0.05930,59,1071,0.04515,0.07345
2022,Bremen,Urban regions,Yes,0.89527,109,109,0.83752,0.95302
2022,North Rhine-Westphalia,Urban regions,Yes,0.91908,3546,3918,0.91054,0.92762
2022,North Rhine-Westphalia,Urban regions,No,0.08092,372,3918,0.07238,0.08946
2022,North Rhine-Westphalia,Rural regions,Yes,0.91599,106,106,0.86292,0.96905
2022,Hesse,Urban regions,Yes,0.91729,820,905,0.89934,0.93525
2022,Hesse,Urban regions,No,0.08271,85,905,0.06475,0.10066
2022,Hesse,Rural regions,Yes,0.95154,247,247,0.92470,0.97837
2022,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.93719,636,699,0.91920,0.95519
2022,"Rhineland-Palatinate, Saarland",Urban regions,No,0.06281,63,699,0.04481,0.08080
2022,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.96174,209,209,0.93568,0.98781
2022,Baden-Wuerttemberg,Urban regions,Yes,0.86870,1593,1808,0.85313,0.88427
2022,Baden-Wuerttemberg,Urban regions,No,0.13130,215,1808,0.11573,0.14687
2022,Baden-Wuerttemberg,Rural regions,Yes,0.92531,330,366,0.89834,0.95228
2022,Baden-Wuerttemberg,Rural regions,No,0.07469,36,366,0.04772,0.10166
2022,Bavaria,Urban regions,Yes,0.87354,1313,1498,0.85671,0.89038
2022,Bavaria,Urban regions,No,0.12646,185,1498,0.10962,0.14329
2022,Bavaria,Rural regions,Yes,0.94228,1558,1684,0.93113,0.95342
2022,Bavaria,Rural regions,No,0.05772,126,1684,0.04658,0.06887
2022,Berlin,Urban regions,Yes,0.93462,789,860,0.91809,0.95115
2022,Berlin,Urban regions,No,0.06538,71,860,0.04885,0.08191
2022,Brandenburg,Urban regions,Yes,0.93608,76,76,0.88072,0.99144
2022,Brandenburg,Rural regions,Yes,0.93177,790,825,0.91456,0.94899
2022,Brandenburg,Rural regions,No,0.06823,35,825,0.05101,0.08544
2022,Mecklenburg-Western Pomerania,Urban regions,Yes,0.90611,76,76,0.84010,0.97212
2022,Mecklenburg-Western Pomerania,Rural regions,Yes,0.96074,395,395,0.94157,0.97992
2022,Saxony,Urban regions,Yes,0.94954,708,708,0.93340,0.96567
2022,Saxony,Rural regions,Yes,0.94075,802,843,0.92480,0.95670
2022,Saxony,Rural regions,No,0.05925,41,843,0.04330,0.07520
2022,Saxony-Anhalt,Urban regions,Yes,0.98680,148,148,0.96836,1.00525
2022,Saxony-Anhalt,Rural regions,Yes,0.96811,631,631,0.95439,0.98183
2022,Thuringa,Urban regions,Yes,0.96227,211,211,0.93650,0.98804
2022,Thuringa,Rural regions,Yes,0.96759,473,473,0.95161,0.98356
