year,quintil_oecd_hh,sampreg,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,1st Quintile,East,Slightly Expensive,0.03928,51,1354,0.02893,0.04963
1991,2nd Quintile,West,Very Inexpensive,0.14949,92,854,0.12557,0.17342
1991,2nd Quintile,West,Inexpensive,0.28548,234,854,0.25517,0.31579
1991,2nd Quintile,West,Reasonable,0.40313,351,854,0.37021,0.43605
1991,2nd Quintile,West,Slightly Expensive,0.12255,131,854,0.10055,0.14456
1991,2nd Quintile,West,Too Expensive,0.03935,46,854,0.02630,0.05239
1991,3rd Quintile,West,Very Inexpensive,0.13747,94,749,0.11279,0.16214
1991,3rd Quintile,West,Inexpensive,0.34642,250,749,0.31232,0.38052
1991,3rd Quintile,West,Reasonable,0.40667,318,749,0.37147,0.44188
1991,3rd Quintile,West,Slightly Expensive,0.09441,87,749,0.07346,0.11537
1991,4th Quintile,West,Very Inexpensive,0.15205,90,648,0.12438,0.17972
1991,4th Quintile,West,Inexpensive,0.33230,228,648,0.29600,0.36859
1991,4th Quintile,West,Reasonable,0.35792,239,648,0.32098,0.39486
1991,4th Quintile,West,Slightly Expensive,0.12576,91,648,0.10021,0.15131
1991,5th Quintile,West,Very Inexpensive,0.19968,109,496,0.16447,0.23490
1991,5th Quintile,West,Inexpensive,0.30268,166,496,0.26221,0.34315
1991,5th Quintile,West,Reasonable,0.36528,164,496,0.32286,0.40770
1991,5th Quintile,West,Slightly Expensive,0.11671,57,496,0.08843,0.14500
1992,1st Quintile,West,Very Inexpensive,0.14976,44,421,0.11563,0.18389
1992,1st Quintile,West,Inexpensive,0.31575,135,421,0.27130,0.36021
1992,1st Quintile,West,Reasonable,0.36788,161,421,0.32176,0.41400
1992,1st Quintile,West,Slightly Expensive,0.14631,81,421,0.11251,0.18011
1992,1st Quintile,East,Inexpensive,0.12400,69,535,0.09604,0.15195
1992,1st Quintile,East,Reasonable,0.49067,275,535,0.44827,0.53307
1992,1st Quintile,East,Slightly Expensive,0.32706,191,535,0.28727,0.36686
1992,2nd Quintile,West,Very Inexpensive,0.12639,52,556,0.09874,0.15403
1992,2nd Quintile,West,Inexpensive,0.35507,189,556,0.31526,0.39488
1992,2nd Quintile,West,Reasonable,0.36157,225,556,0.32160,0.40155
1992,2nd Quintile,West,Slightly Expensive,0.13385,90,556,0.10553,0.16218
1992,2nd Quintile,East,Inexpensive,0.19409,72,386,0.15459,0.23360
1992,2nd Quintile,East,Reasonable,0.52177,220,386,0.47187,0.57166
1992,2nd Quintile,East,Slightly Expensive,0.23644,94,386,0.19400,0.27889
1992,3rd Quintile,West,Very Inexpensive,0.12799,74,629,0.10186,0.15412
1992,3rd Quintile,West,Inexpensive,0.33292,228,629,0.29606,0.36978
1992,3rd Quintile,West,Reasonable,0.41266,244,629,0.37415,0.45116
1992,3rd Quintile,West,Slightly Expensive,0.10628,83,629,0.08217,0.13038
1992,3rd Quintile,East,Reasonable,0.56267,120,166,0.48698,0.63836
1992,3rd Quintile,East,Slightly Expensive,0.21648,46,166,0.15364,0.27932
1992,4th Quintile,West,Very Inexpensive,0.13123,84,627,0.10478,0.15768
1992,4th Quintile,West,Inexpensive,0.32526,211,627,0.28856,0.36196
1992,4th Quintile,West,Reasonable,0.41910,259,627,0.38045,0.45775
1992,4th Quintile,West,Slightly Expensive,0.10037,73,627,0.07683,0.12391
1992,4th Quintile,East,Reasonable,0.62568,51,51,0.49154,0.75983
1992,5th Quintile,West,Very Inexpensive,0.19492,84,418,0.15690,0.23294
1992,5th Quintile,West,Inexpensive,0.31956,144,418,0.27480,0.36432
1992,5th Quintile,West,Reasonable,0.37609,144,418,0.32959,0.42258
1992,5th Quintile,West,Slightly Expensive,0.09597,46,418,0.06770,0.12424
1993,1st Quintile,West,Very Inexpensive,0.08736,37,493,0.06241,0.11231
1993,1st Quintile,West,Inexpensive,0.34794,157,493,0.30585,0.39003
1993,1st Quintile,West,Reasonable,0.39228,200,493,0.34913,0.43542
1993,1st Quintile,West,Slightly Expensive,0.14394,99,493,0.11292,0.17496
1993,1st Quintile,East,Inexpensive,0.07785,34,438,0.05272,0.10297
1993,1st Quintile,East,Reasonable,0.44791,186,438,0.40128,0.49453
1993,1st Quintile,East,Slightly Expensive,0.34547,162,438,0.30089,0.39006
1993,1st Quintile,East,Too Expensive,0.10811,56,438,0.07899,0.13722
1993,2nd Quintile,West,Very Inexpensive,0.11498,56,569,0.08875,0.14122
1993,2nd Quintile,West,Inexpensive,0.32454,169,569,0.28603,0.36304
1993,2nd Quintile,West,Reasonable,0.41803,257,569,0.37747,0.45859
1993,2nd Quintile,West,Slightly Expensive,0.12395,87,569,0.09685,0.15105
1993,2nd Quintile,East,Inexpensive,0.09323,40,403,0.06481,0.12166
1993,2nd Quintile,East,Reasonable,0.46498,182,403,0.41622,0.51373
1993,2nd Quintile,East,Slightly Expensive,0.32617,142,403,0.28035,0.37200
1993,2nd Quintile,East,Too Expensive,0.09637,39,403,0.06752,0.12521
1993,3rd Quintile,West,Very Inexpensive,0.15635,84,581,0.12680,0.18591
1993,3rd Quintile,West,Inexpensive,0.36268,212,581,0.32355,0.40180
1993,3rd Quintile,West,Reasonable,0.37317,209,581,0.33381,0.41253
1993,3rd Quintile,West,Slightly Expensive,0.09349,76,581,0.06980,0.11718
1993,3rd Quintile,East,Reasonable,0.44436,106,184,0.37237,0.51636
1993,3rd Quintile,East,Slightly Expensive,0.28516,78,184,0.21974,0.35057
1993,4th Quintile,West,Very Inexpensive,0.13663,82,584,0.10875,0.16451
1993,4th Quintile,West,Inexpensive,0.32627,199,584,0.28821,0.36433
1993,4th Quintile,West,Reasonable,0.39615,233,584,0.35645,0.43585
1993,4th Quintile,West,Slightly Expensive,0.11844,70,584,0.09221,0.14467
1993,4th Quintile,East,Reasonable,0.48777,63,102,0.39029,0.58526
1993,4th Quintile,East,Slightly Expensive,0.30575,39,102,0.21589,0.39560
1993,5th Quintile,West,Very Inexpensive,0.15412,65,419,0.11951,0.18874
1993,5th Quintile,West,Inexpensive,0.34321,149,419,0.29769,0.38873
1993,5th Quintile,West,Reasonable,0.38664,166,419,0.33996,0.43333
1993,5th Quintile,West,Slightly Expensive,0.08629,39,419,0.05937,0.11321
1994,1st Quintile,West,Very Inexpensive,0.11094,57,606,0.08591,0.13596
1994,1st Quintile,West,Inexpensive,0.29142,163,606,0.25521,0.32763
1994,1st Quintile,West,Reasonable,0.43361,274,606,0.39412,0.47310
1994,1st Quintile,West,Slightly Expensive,0.12399,112,606,0.09773,0.15025
1994,1st Quintile,East,Inexpensive,0.12136,47,354,0.08730,0.15543
1994,1st Quintile,East,Reasonable,0.46781,177,354,0.41575,0.51986
1994,1st Quintile,East,Slightly Expensive,0.32803,130,354,0.27905,0.37700
1994,2nd Quintile,West,Very Inexpensive,0.11317,53,522,0.08596,0.14037
1994,2nd Quintile,West,Inexpensive,0.33272,162,522,0.29226,0.37318
1994,2nd Quintile,West,Reasonable,0.43234,233,522,0.38980,0.47488
