"m11126","year","bildungsniveau","n","percent","lower_confidence","upper_confidence","NA"
"Sehr gut","2004","AkademikerIn","427","0.0992087300855275","0.0902611059524992","0.108156354218556",""
"Gut","2004","(noch) kein Abschluss","383","0.380593926879069","0.348995671549929","0.412192182208208",""
"Gut","2004","Hauptschule","2640","0.30843826681639","0.298352360666475","0.318524172966305",""
"Gut","2004","Realschule","2542","0.427822583573316","0.414878048127402","0.440767119019229",""
"Gut","2004","(Fach-)Abitur","1177","0.461837075168211","0.44187915144125","0.481794998895172",""
"Gut","2004","AkademikerIn","2061","0.443476482852324","0.428606935079977","0.458346030624671",""
"Zufriedenstellend","2004","(noch) kein Abschluss","184","0.239304741004945","0.211537965203909","0.26707151680598",""
"Zufriedenstellend","2004","Hauptschule","2940","0.361050689661221","0.350561725272128","0.371539654050315",""
"Zufriedenstellend","2004","Realschule","1768","0.318989446697643","0.306795217923426","0.33118367547186",""
"Zufriedenstellend","2004","(Fach-)Abitur","563","0.241961746218794","0.224816923834089","0.2591065686035",""
"Zufriedenstellend","2004","AkademikerIn","1270","0.30714599388764","0.293338527442461","0.320953460332818",""
"Weniger gut","2004","(noch) kein Abschluss","73","0.102369685428436","0.0826418749359356","0.122097495920936",""
"Weniger gut","2004","Hauptschule","1486","0.197922094716909","0.18922106334519","0.206623126088628",""
"Weniger gut","2004","Realschule","587","0.120319292404781","0.111807531257294","0.128831053552268",""
"Weniger gut","2004","(Fach-)Abitur","218","0.112360747431569","0.0997180532351357","0.125003441628002",""
"Weniger gut","2004","AkademikerIn","445","0.12057566981783","0.110829145233143","0.130322194402517",""
"Schlecht","2004","(noch) kein Abschluss","30","0.0502459008778537","0.0360291499620827","0.0644626517936246",""
"Schlecht","2004","Hauptschule","505","0.0696502879093339","0.0640912467393099","0.0752093290793578",""
"Schlecht","2004","Realschule","134","0.027489361151763","0.0232115780176172","0.0317671442859089",""
"Schlecht","2004","(Fach-)Abitur","47","0.0268508683386451","0.0203796963686429","0.0333220403086473",""
"Schlecht","2004","AkademikerIn","85","0.0295931233566793","0.0245209622725455","0.0346652844408131",""
"Sehr gut","2005","(noch) kein Abschluss","240","0.229467613915512","0.202041746996497","0.256893480834526",""
"Sehr gut","2005","Hauptschule","408","0.0558703041565649","0.0506893502913321","0.0610512580217976",""
"Sehr gut","2005","Realschule","489","0.0868292634931348","0.0792895335992104","0.0943689933870593",""
"Sehr gut","2005","(Fach-)Abitur","307","0.131672292330249","0.117829305293394","0.145515279367104",""
"Sehr gut","2005","AkademikerIn","416","0.0979321519783278","0.0888925485898689","0.106971755366787",""
"Gut","2005","(noch) kein Abschluss","359","0.364881553005664","0.333483151896382","0.396279954114946",""
"Gut","2005","Hauptschule","2384","0.302424863235947","0.29206372134381","0.312786005128084",""
"Gut","2005","Realschule","2421","0.427558351815321","0.414311580308395","0.440805123322247",""
"Gut","2005","(Fach-)Abitur","1094","0.454383189434829","0.433998890318712","0.474767488550946",""
"Gut","2005","AkademikerIn","1875","0.438231620634214","0.423141329244204","0.453321912024224",""
"Zufriedenstellend","2005","(noch) kein Abschluss","195","0.270374528031076","0.241405288371335","0.299343767690817",""
"Zufriedenstellend","2005","Hauptschule","2815","0.372003236022319","0.36109999932727","0.382906472717368",""
"Zufriedenstellend","2005","Realschule","1717","0.333270273446342","0.320648512957648","0.345892033935036",""
"Zufriedenstellend","2005","(Fach-)Abitur","630","0.275060424628804","0.256779180702767","0.293341668554842",""
"Zufriedenstellend","2005","AkademikerIn","1324","0.312922917428967","0.298820663117539","0.327025171740395",""
"Weniger gut","2005","(noch) kein Abschluss","76","0.100377215680652","0.0807773989126349","0.119977032448669",""
"Weniger gut","2005","Hauptschule","1468","0.200698335880096","0.191663284582652","0.209733387177539",""
"Weniger gut","2005","Realschule","610","0.12643304646171","0.117534375757515","0.135331717165906",""
"Weniger gut","2005","(Fach-)Abitur","209","0.110379459224554","0.097550621361418","0.123208297087689",""
"Weniger gut","2005","AkademikerIn","445","0.121994274014754","0.112040551649154","0.131947996380354",""
"Schlecht","2005","(noch) kein Abschluss","33","0.0348990893670962","0.0229289935718105","0.0468691851623818",""
"Schlecht","2005","Hauptschule","474","0.0690032607050733","0.063285680506033","0.0747208409041136",""
"Schlecht","2005","Realschule","121","0.0259090647834921","0.0216553109275713","0.0301628186394129",""
"Schlecht","2005","(Fach-)Abitur","52","0.0285046343815644","0.0216919402897583","0.0353173284733705",""
"Schlecht","2005","AkademikerIn","93","0.0289190359437368","0.0238223631663899","0.0340157087210837",""
"Sehr gut","2006","(noch) kein Abschluss","246","0.238087158078422","0.210121189113947","0.266053127042897",""
"Sehr gut","2006","Hauptschule","422","0.059053250397968","0.0539267496495689","0.0641797511463671",""
"Sehr gut","2006","Realschule","543","0.0983037120348506","0.0906203629594956","0.105987061110206",""
"Sehr gut","2006","(Fach-)Abitur","328","0.133304043251026","0.119855790642067","0.146752295859984",""
"Sehr gut","2006","AkademikerIn","476","0.10454538139697","0.0956784320618288","0.113412330732111",""
"Gut","2006","(noch) kein Abschluss","373","0.367977431948928","0.336311948408277","0.39964291548958",""
"Gut","2006","Hauptschule","2543","0.305067232016762","0.295053734962567","0.315080729070957",""
"Gut","2006","Realschule","2610","0.427114957340005","0.414349346608127","0.439880568071884",""
"Gut","2006","(Fach-)Abitur","1173","0.451642833976473","0.431953086994161","0.471332580958785",""
"Gut","2006","AkademikerIn","2066","0.430469184634647","0.416119919561734","0.44481844970756",""
"Zufriedenstellend","2006","(noch) kein Abschluss","167","0.22787984699995","0.200337265536495","0.255422428463406",""
"Zufriedenstellend","2006","Hauptschule","3113","0.378406139587036","0.367858651497775","0.388953627676297",""
"Zufriedenstellend","2006","Realschule","1852","0.331229069921718","0.319082927163122","0.343375212680315",""
"Zufriedenstellend","2006","(Fach-)Abitur","667","0.276448233493804","0.258753153695956","0.294143313291653",""
"Zufriedenstellend","2006","AkademikerIn","1425","0.314206300238551","0.30075376306304","0.327658837414062",""
"Weniger gut","2006","(noch) kein Abschluss","79","0.129224097069181","0.107198170182766","0.151250023955595",""
"Weniger gut","2006","Hauptschule","1492","0.182540968717945","0.174139992175617","0.190941945260274",""
"Weniger gut","2006","Realschule","629","0.116128117507542","0.107860148930798","0.124396086084286",""
"Weniger gut","2006","(Fach-)Abitur","223","0.106267905122278","0.0940747654521277","0.118461044792429",""
"Weniger gut","2006","AkademikerIn","494","0.119323182410459","0.109928746522712","0.128717618298206",""
"Schlecht","2006","(noch) kein Abschluss","26","","","",""
"Schlecht","2006","Hauptschule","552","0.0749324092802889","0.0692065828396537","0.080658235720924",""
"Schlecht","2006","Realschule","134","0.0272241431958837","0.0230244364382893","0.0314238499534781",""
"Schlecht","2006","(Fach-)Abitur","63","0.0323369841564187","0.0253381993547006","0.0393357689581368",""
"Schlecht","2006","AkademikerIn","113","0.0314559513193731","0.0263975752832044","0.0365143273555418",""
"Sehr gut","2007","(noch) kein Abschluss","237","0.255041952125455","0.225565163440117","0.284518740810792",""
"Sehr gut","2007","Hauptschule","337","0.0481747958239456","0.0432766755777671","0.053072916070124",""
"Sehr gut","2007","Realschule","479","0.0882552955375438","0.0807034089479786","0.095807182127109",""
"Sehr gut","2007","(Fach-)Abitur","313","0.137118859720434","0.123229426217162","0.151008293223707",""
"Sehr gut","2007","AkademikerIn","410","0.0917666426175504","0.083219843403845","0.100313441831256",""
"Gut","2007","(noch) kein Abschluss","346","0.372976079325845","0.340272823453201","0.405679335198489",""
"Gut","2007","Hauptschule","2283","0.291641720505719","0.281245099468702","0.302038341542736",""
"Gut","2007","Realschule","2419","0.435391481745938","0.422191840586967","0.448591122904909",""
"Gut","2007","(Fach-)Abitur","1140","0.456343294285921","0.43623067378279","0.476455914789051",""
"Gut","2007","AkademikerIn","2017","0.453639702815519","0.438901061473992","0.468378344157046",""
"Zufriedenstellend","2007","(noch) kein Abschluss","163","0.22627469238689","0.197979031580978","0.254570353192801",""
"Zufriedenstellend","2007","Hauptschule","2860","0.396842365552138","0.385651457422911","0.408033273681364",""
"Zufriedenstellend","2007","Realschule","1744","0.326521722222391","0.314037362228195","0.339006082216587",""
"Zufriedenstellend","2007","(Fach-)Abitur","636","0.277795607041093","0.259709162638662","0.295882051443523",""
"Zufriedenstellend","2007","AkademikerIn","1375","0.30488383446418","0.291255014678776","0.318512654249584",""
"Weniger gut","2007","(noch) kein Abschluss","70","0.108303620721691","0.0872881831284142","0.129319058314969",""
"Weniger gut","2007","Hauptschule","1411","0.198075187308159","0.188958800074777","0.20719157454154",""
"Weniger gut","2007","Realschule","630","0.122670458204437","0.113936727069842","0.131404189339032",""
"Weniger gut","2007","(Fach-)Abitur","220","0.106840271608649","0.0943666517031124","0.119313891514186",""
"Weniger gut","2007","AkademikerIn","481","0.118752612809491","0.109175538354295","0.128329687264686",""
"Schlecht","2007","(noch) kein Abschluss","24","","","",""
"Schlecht","2007","Hauptschule","451","0.0652659308100392","0.0596161941534858","0.0709156674665926",""
"Schlecht","2007","Realschule","148","0.0271610422896904","0.0228334918299469","0.0314885927494338",""
"Schlecht","2007","(Fach-)Abitur","47","0.0219019673439028","0.0159918894590042","0.0278120452288014",""
"Schlecht","2007","AkademikerIn","100","0.0309572072932599","0.0258296004173233","0.0360848141691965",""
"Sehr gut","2008","(noch) kein Abschluss","196","0.234167238335895","0.203737959427814","0.264596517243975",""
"Sehr gut","2008","Hauptschule","331","0.0558621399204711","0.0504144844882511","0.0613097953526911",""
"Sehr gut","2008","Realschule","452","0.0892597952960448","0.0814614391583933","0.0970581514336963",""
"Sehr gut","2008","(Fach-)Abitur","284","0.127485964162011","0.113459907855945","0.141512020468078",""
"Sehr gut","2008","AkademikerIn","416","0.102540865422835","0.0933554900314484","0.111726240814221",""
"Gut","2008","(noch) kein Abschluss","312","0.398480985868563","0.363301450045074","0.433660521692053",""
"Gut","2008","Hauptschule","2100","0.292954192666487","0.282158344345686","0.303750040987288",""
"Gut","2008","Realschule","2263","0.43388874981439","0.420333174488616","0.447444325140165",""
"Gut","2008","(Fach-)Abitur","1040","0.469515432135125","0.448527024353017","0.490503839917233",""
"Gut","2008","AkademikerIn","1896","0.436003279621746","0.420988317295617","0.451018241947875",""
"Zufriedenstellend","2008","(noch) kein Abschluss","134","0.201661070213013","0.172829631749889","0.230492508676137",""
"Zufriedenstellend","2008","Hauptschule","2581","0.385000571783497","0.373458037242647","0.396543106324347",""
"Zufriedenstellend","2008","Realschule","1679","0.327326981547124","0.314492723296144","0.340161239798103",""
"Zufriedenstellend","2008","(Fach-)Abitur","582","0.267779896439011","0.249157824953577","0.286401967924444",""
"Zufriedenstellend","2008","AkademikerIn","1341","0.324863406727164","0.31068304528606","0.339043768168267",""
"Weniger gut","2008","(noch) kein Abschluss","85","0.139200372113673","0.114327103689191","0.164073640538155",""
"Weniger gut","2008","Hauptschule","1362","0.199839472516378","0.19035392642444","0.209325018608317",""
"Weniger gut","2008","Realschule","604","0.118846251678623","0.109995167767223","0.127697335590023",""
"Weniger gut","2008","(Fach-)Abitur","226","0.113861465875367","0.100502975646052","0.127219956104683",""
"Weniger gut","2008","AkademikerIn","459","0.11383226806862","0.104215442471954","0.123449093665286",""
"Schlecht","2008","(noch) kein Abschluss","17","","","",""
"Schlecht","2008","Hauptschule","453","0.0663436231131664","0.0604398961205029","0.0722473501058298",""
"Schlecht","2008","Realschule","137","0.0306782216638178","0.0259616445124476","0.035394798815188",""
"Schlecht","2008","(Fach-)Abitur","40","0.0213572413884854","0.0152772515679273","0.0274372312090436",""
"Schlecht","2008","AkademikerIn","78","0.0227601801596358","0.0182444341718285","0.0272759261474432",""
"Sehr gut","2009","(noch) kein Abschluss","176","0.217002668998434","0.185906357135013","0.248098980861855",""
"Sehr gut","2009","Hauptschule","269","0.0497865371979729","0.0443821104133059","0.05519096398264",""
"Sehr gut","2009","Realschule","374","0.0801494183607779","0.0724824525896919","0.087816384131864",""
"Sehr gut","2009","(Fach-)Abitur","254","0.12046831375301","0.106220341415438","0.134716286090582",""
"Sehr gut","2009","AkademikerIn","391","0.103106663617158","0.0937108829393758","0.11250244429494",""
"Gut","2009","(noch) kein Abschluss","283","0.391802590640869","0.354976794964428","0.428628386317309",""
"Gut","2009","Hauptschule","1804","0.277666675060595","0.266538760223106","0.288794589898085",""
"Gut","2009","Realschule","2074","0.409019691885946","0.395137012087061","0.422902371684831",""
"Gut","2009","(Fach-)Abitur","933","0.450005749031361","0.428229703869909","0.471781794192813",""
"Gut","2009","AkademikerIn","1803","0.443247509565769","0.427898747942414","0.458596271189125",""
"Zufriedenstellend","2009","(noch) kein Abschluss","136","0.228958910302814","0.197262232832738","0.260655587772889",""
"Zufriedenstellend","2009","Hauptschule","2520","0.41290717692655","0.400673339945334","0.425141013907767",""
"Zufriedenstellend","2009","Realschule","1653","0.354896225863037","0.341385453556832","0.368406998169241",""
"Zufriedenstellend","2009","(Fach-)Abitur","566","0.298808979486918","0.278773215943747","0.318844743030088",""
"Zufriedenstellend","2009","AkademikerIn","1303","0.313105197004904","0.298776412264423","0.327433981745385",""
"Weniger gut","2009","(noch) kein Abschluss","56","0.118810389357123","0.0944009334932891","0.143219845220958",""
"Weniger gut","2009","Hauptschule","1236","0.19548956019017","0.185635602017697","0.205343518362644",""
"Weniger gut","2009","Realschule","583","0.126528624783621","0.117141481959055","0.135915767608187",""
"Weniger gut","2009","(Fach-)Abitur","213","0.109685930400511","0.0960074459030081","0.123364414898014",""
"Weniger gut","2009","AkademikerIn","436","0.114625860846647","0.104782943768443","0.124468777924851",""
"Schlecht","2009","(noch) kein Abschluss","24","","","",""
"Schlecht","2009","Hauptschule","393","0.0641500506247114","0.0580619096540562","0.0702381915953666",""
"Schlecht","2009","Realschule","134","0.0294060391066185","0.0246356725593912","0.0341764056538458",""
"Schlecht","2009","(Fach-)Abitur","39","0.0210310273282003","0.0147503626076122","0.0273116920487885",""
"Schlecht","2009","AkademikerIn","91","0.0259147689655224","0.0210057890524438","0.0308237488786009",""
"Sehr gut","2010","(noch) kein Abschluss","304","0.245874055620692","0.219988365239341","0.271759746002043",""
"Sehr gut","2010","Hauptschule","573","0.0605025705941766","0.0551154287691001","0.0658897124192531",""
"Sehr gut","2010","Realschule","725","0.0839301985752516","0.0773489066604162","0.0905114904900869",""
"Sehr gut","2010","(Fach-)Abitur","474","0.124737923029772","0.113030651586074","0.136445194473469",""
"Sehr gut","2010","AkademikerIn","810","0.120241268194104","0.111546311490195","0.128936224898012",""
"Gut","2010","(noch) kein Abschluss","417","0.392412611946933","0.363059286315243","0.421765937578624",""
"Gut","2010","Hauptschule","2386","0.278252396856899","0.268126445664293","0.288378348049506",""
"Gut","2010","Realschule","3046","0.412682049493014","0.400996956513832","0.424367142472197",""
"Gut","2010","(Fach-)Abitur","1416","0.440369965142709","0.422780739085004","0.457959191200414",""
"Gut","2010","AkademikerIn","2429","0.438933020545188","0.425666246315629","0.452199794774747",""
"Zufriedenstellend","2010","(noch) kein Abschluss","209","0.196035272667057","0.172169963389132","0.219900581944981",""
"Zufriedenstellend","2010","Hauptschule","2753","0.386422415556122","0.375419960688578","0.397424870423666",""
"Zufriedenstellend","2010","Realschule","2064","0.337254544505931","0.32603332571632","0.348475763295542",""
"Zufriedenstellend","2010","(Fach-)Abitur","829","0.309539999643624","0.29315995697477","0.325920042312479",""
"Zufriedenstellend","2010","AkademikerIn","1492","0.293934183150972","0.281755327093344","0.306113039208599",""
"Weniger gut","2010","(noch) kein Abschluss","102","0.122782618039826","0.103053688682135","0.142511547397517",""
"Weniger gut","2010","Hauptschule","1376","0.205167942356841","0.196043294003971","0.214292590709711",""
"Weniger gut","2010","Realschule","789","0.130798798606343","0.122795854527246","0.13880174268544",""
"Weniger gut","2010","(Fach-)Abitur","285","0.102675958226551","0.0919213049884239","0.113430611464679",""
"Weniger gut","2010","AkademikerIn","545","0.120217456988683","0.111523243597586","0.128911670379779",""
"Schlecht","2010","(noch) kein Abschluss","31","0.0428954417254918","0.0307148966500366","0.055075986800947",""
"Schlecht","2010","Hauptschule","436","0.0696546746359609","0.0639026475632205","0.0754067017087013",""
"Schlecht","2010","Realschule","195","0.0353344088194599","0.0309523817655171","0.0397164358734028",""
"Schlecht","2010","(Fach-)Abitur","56","0.0226761539573438","0.0174015321748559","0.0279507757398317",""
"Schlecht","2010","AkademikerIn","99","0.0266740711210541","0.0223664980273405","0.0309816442147677",""
"Sehr gut","2011","(noch) kein Abschluss","372","0.257949152517435","0.234329458279505","0.281568846755366",""
"Sehr gut","2011","Hauptschule","576","0.0521782197059378","0.0475776179616493","0.0567788214502262",""
"Sehr gut","2011","Realschule","780","0.090669893481115","0.0843620066227948","0.0969777803394352",""
"Sehr gut","2011","(Fach-)Abitur","576","0.168012783441065","0.15585359298259","0.18017197389954",""
"Sehr gut","2011","AkademikerIn","840","0.129771968673441","0.121411816183706","0.138132121163177",""
"Gut","2011","(noch) kein Abschluss","561","0.380298803031707","0.354090190356639","0.406507415706776",""
"Gut","2011","Hauptschule","2848","0.288941135736182","0.279564131024162","0.298318140448202",""
"Gut","2011","Realschule","3460","0.412990780552721","0.402174344261196","0.423807216844246",""
"Gut","2011","(Fach-)Abitur","1692","0.44870341236979","0.432528292439422","0.464878532300158",""
"Gut","2011","AkademikerIn","2861","0.442521834539089","0.430165532904145","0.454878136174033",""
"Zufriedenstellend","2011","(noch) kein Abschluss","234","0.206741304669533","0.184878220192056","0.22860438914701",""
"Zufriedenstellend","2011","Hauptschule","3329","0.385090326587415","0.375023475687523","0.395157177487307",""
"Zufriedenstellend","2011","Realschule","2490","0.329466292642282","0.31914088137499","0.339791703909573",""
"Zufriedenstellend","2011","(Fach-)Abitur","925","0.259225003844841","0.2449736286672","0.273476379022481",""
"Zufriedenstellend","2011","AkademikerIn","1731","0.283192604527056","0.271984055110499","0.294401153943612",""
"Weniger gut","2011","(noch) kein Abschluss","121","0.123949488575404","0.106159431999604","0.141739545151204",""
"Weniger gut","2011","Hauptschule","1685","0.206821711856343","0.198442751374986","0.215200672337699",""
"Weniger gut","2011","Realschule","989","0.134197526768881","0.126709399378186","0.141685654159577",""
"Weniger gut","2011","(Fach-)Abitur","359","0.0993549064751061","0.0896263887556723","0.10908342419454",""
"Weniger gut","2011","AkademikerIn","641","0.118311551375967","0.110276690369728","0.126346412382206",""
"Schlecht","2011","(noch) kein Abschluss","30","0.0310612512059197","0.0216953834591384","0.0404271189527011",""
"Schlecht","2011","Hauptschule","538","0.0669686061141228","0.0617974169197734","0.0721397953084723",""
"Schlecht","2011","Realschule","241","0.0326755065550014","0.0287698970954863","0.0365811160145166",""
"Schlecht","2011","(Fach-)Abitur","80","0.0247038938691979","0.0196558151028711","0.0297519726355246",""
"Schlecht","2011","AkademikerIn","134","0.0262020408844468","0.0222282115779037","0.0301758701909898",""
"Sehr gut","2012","(noch) kein Abschluss","380","0.239467810383495","0.216532498918482","0.262403121848507",""
"Sehr gut","2012","Hauptschule","573","0.0601682596166262","0.0551699624064915","0.0651665568267608",""
"Sehr gut","2012","Realschule","713","0.0836129075691481","0.0774699582211453","0.0897558569171509",""
"Sehr gut","2012","(Fach-)Abitur","498","0.149349091876942","0.13762744616734","0.161070737586544",""
"Sehr gut","2012","AkademikerIn","758","0.1294949375067","0.12109898681976","0.137890888193641",""
"Gut","2012","(noch) kein Abschluss","529","0.363224571476954","0.337377994854488","0.38907114809942",""
"Gut","2012","Hauptschule","2852","0.300635431214744","0.290997469597804","0.310273392831684",""
"Gut","2012","Realschule","3378","0.406199813978964","0.395300709533458","0.41709891842447",""
"Gut","2012","(Fach-)Abitur","1698","0.446434717905859","0.430086326933468","0.462783108878251",""
"Gut","2012","AkademikerIn","2926","0.457900668738512","0.445441676708237","0.470359660768788",""
"Zufriedenstellend","2012","(noch) kein Abschluss","251","0.226913309165958","0.204403782973141","0.249422835358774",""
"Zufriedenstellend","2012","Hauptschule","3238","0.386577178201272","0.376341623858548","0.396812732543996",""
"Zufriedenstellend","2012","Realschule","2561","0.350571724797589","0.339982727706794","0.361160721888385",""
"Zufriedenstellend","2012","(Fach-)Abitur","929","0.282805150001819","0.267994509154671","0.297615790848968",""
"Zufriedenstellend","2012","AkademikerIn","1723","0.283834028315423","0.272559538340621","0.295108518290225",""
"Weniger gut","2012","(noch) kein Abschluss","129","0.131488111483242","0.113326541094492","0.149649681871991",""
"Weniger gut","2012","Hauptschule","1554","0.192746363657646","0.184455278046284","0.201037449269009",""
"Weniger gut","2012","Realschule","928","0.127125548969321","0.119733018872698","0.134518079065944",""
"Weniger gut","2012","(Fach-)Abitur","356","0.103323717259708","0.0933138235716933","0.113333610947723",""
"Weniger gut","2012","AkademikerIn","611","0.106460159833632","0.0987474258805303","0.114172893786734",""
"Schlecht","2012","(noch) kein Abschluss","41","0.0389061974903516","0.0285138286423368","0.0492985663383664",""
"Schlecht","2012","Hauptschule","478","0.0598727673097114","0.0548859750098541","0.0648595596095688",""
"Schlecht","2012","Realschule","220","0.0324900046849773","0.0285553791432729","0.0364246302266817",""
"Schlecht","2012","(Fach-)Abitur","71","0.0180873229556707","0.0137046890672537","0.0224699568440878",""
"Schlecht","2012","AkademikerIn","125","0.0223102056057325","0.0186169432399581","0.0260034679715068",""
"Sehr gut","2013","(noch) kein Abschluss","517","0.265782482554792","0.245138631398824","0.28642633371076",""
"Sehr gut","2013","Hauptschule","770","0.0605045445906002","0.0556998385908252","0.0653092505903751",""
"Sehr gut","2013","Realschule","795","0.0865021896621842","0.0802821773408199","0.0927222019835486",""
"Sehr gut","2013","(Fach-)Abitur","748","0.161390120242209","0.150595639200656","0.172184601283761",""
"Sehr gut","2013","AkademikerIn","1006","0.137339974491844","0.129194132010723","0.145485816972965",""
"Gut","2013","(noch) kein Abschluss","652","0.366547434862729","0.344029046071707","0.389065823653751",""
"Gut","2013","Hauptschule","3094","0.290822696334331","0.281670674645524","0.299974718023138",""
"Gut","2013","Realschule","3323","0.39561256584748","0.384792829176531","0.406432302518429",""
"Gut","2013","(Fach-)Abitur","2018","0.44052828193669","0.425961645720249","0.455094918153131",""
"Gut","2013","AkademikerIn","3064","0.428873896720075","0.417161426450024","0.440586366990127",""
"Zufriedenstellend","2013","(noch) kein Abschluss","336","0.196915126263431","0.178331287303032","0.215498965223829",""
"Zufriedenstellend","2013","Hauptschule","3365","0.384811721247901","0.37500658460258","0.394616857893223",""
"Zufriedenstellend","2013","Realschule","2518","0.343947801849888","0.333436913915435","0.354458689784341",""
"Zufriedenstellend","2013","(Fach-)Abitur","1133","0.274902496256291","0.261802509554532","0.28800248295805",""
"Zufriedenstellend","2013","AkademikerIn","1914","0.285670089457988","0.27497955315431","0.296360625761667",""
"Weniger gut","2013","(noch) kein Abschluss","189","0.125587166916061","0.110100924103045","0.141073409729076",""
"Weniger gut","2013","Hauptschule","1692","0.196471599510402","0.188464486014697","0.204478713006107",""
"Weniger gut","2013","Realschule","999","0.138464468849344","0.130822069852238","0.146106867846449",""
"Weniger gut","2013","(Fach-)Abitur","461","0.103158889158359","0.0942341734571225","0.112083604859596",""
"Weniger gut","2013","AkademikerIn","726","0.121598420062295","0.113863991904886","0.129332848219704",""
"Schlecht","2013","(noch) kein Abschluss","65","0.0451677894029874","0.0354628434790663","0.0548727353269085",""
"Schlecht","2013","Hauptschule","538","0.0673894383167658","0.0623373427019785","0.0724415339315531",""
"Schlecht","2013","Realschule","211","0.0354729737911037","0.0313800850543607","0.0395658625278466",""
"Schlecht","2013","(Fach-)Abitur","102","0.0200202124064509","0.0159103601711175","0.0241300646417842",""
"Schlecht","2013","AkademikerIn","149","0.0265176192677977","0.0227152963009946","0.0303199422346008",""
"Sehr gut","2014","(noch) kein Abschluss","404","0.245752092874362","0.223468809419054","0.26803537632967",""
"Sehr gut","2014","Hauptschule","542","0.0590265620359471","0.0539432194997022","0.0641099045721919",""
"Sehr gut","2014","Realschule","600","0.0773405846506","0.0710562181754481","0.0836249511257519",""
"Sehr gut","2014","(Fach-)Abitur","581","0.160089760147396","0.148655902229713","0.171523618065079",""
"Sehr gut","2014","AkademikerIn","771","0.13113590442662","0.122747975849389","0.139523833003852",""
"Gut","2014","(noch) kein Abschluss","539","0.363263025488679","0.338370775838712","0.388155275138646",""
"Gut","2014","Hauptschule","2601","0.283270062833197","0.273551208775398","0.292988916890995",""
"Gut","2014","Realschule","2906","0.392388647390174","0.380901604951593","0.403875689828754",""
"Gut","2014","(Fach-)Abitur","1809","0.456877987659176","0.441345414933434","0.472410560384918",""
"Gut","2014","AkademikerIn","2891","0.433121169180106","0.420808057590126","0.445434280770087",""
"Zufriedenstellend","2014","(noch) kein Abschluss","290","0.220355612586067","0.198902819098117","0.241808406074017",""
"Zufriedenstellend","2014","Hauptschule","3044","0.380693126567109","0.370219974326408","0.39116627880781",""
"Zufriedenstellend","2014","Realschule","2328","0.353039735121107","0.341796593864897","0.364282876377316",""
"Zufriedenstellend","2014","(Fach-)Abitur","1074","0.259252133963539","0.24558772188401","0.272916546043067",""
"Zufriedenstellend","2014","AkademikerIn","1748","0.292701574038776","0.281394978283864","0.304008169793687",""
"Weniger gut","2014","(noch) kein Abschluss","147","0.121799464979073","0.104871955941795","0.138726974016351",""
"Weniger gut","2014","Hauptschule","1586","0.214277795799488","0.205427453927009","0.223128137671968",""
"Weniger gut","2014","Realschule","928","0.146669692943744","0.13834696218457","0.154992423702919",""
"Weniger gut","2014","(Fach-)Abitur","406","0.102913430374659","0.0934391162264566","0.11238774452286",""
"Weniger gut","2014","AkademikerIn","683","0.118246089804541","0.110222197673784","0.126269981935297",""
"Schlecht","2014","(noch) kein Abschluss","54","0.0488298040718193","0.0376754321022971","0.0599841760413414",""
"Schlecht","2014","Hauptschule","484","0.0627324527642585","0.0575022939940203","0.0679626115344966",""
"Schlecht","2014","Realschule","179","0.0305613398943757","0.0265120074631947","0.0346106723255567",""
"Schlecht","2014","(Fach-)Abitur","81","0.0208666878552306","0.0164096918058847","0.0253236839045765",""
"Schlecht","2014","AkademikerIn","128","0.024795262549957","0.0209311457331808","0.0286593793667331",""
"Sehr gut","2015","(noch) kein Abschluss","359","0.245014565177645","0.222181437723554","0.267847692631737",""
"Sehr gut","2015","Hauptschule","570","0.0558385699843045","0.0507631516685612","0.0609139883000477",""
"Sehr gut","2015","Realschule","558","0.0783906304465287","0.0719246410769424","0.084856619816115",""
"Sehr gut","2015","(Fach-)Abitur","675","0.154082319795405","0.143118016427926","0.165046623162884",""
"Sehr gut","2015","AkademikerIn","901","0.138545712778183","0.130089072319311","0.147002353237055",""
"Gut","2015","(noch) kein Abschluss","544","0.352547341434062","0.327183624695123","0.377911058173",""
"Gut","2015","Hauptschule","2476","0.286603614788738","0.27660849840782","0.296598731169656",""
"Gut","2015","Realschule","2800","0.402625641089795","0.390827774784675","0.414423507394915",""
"Gut","2015","(Fach-)Abitur","1866","0.430276464407859","0.415239974601165","0.445312954214553",""
"Gut","2015","AkademikerIn","2935","0.434797655000441","0.422662906586371","0.446932403414511",""
"Zufriedenstellend","2015","(noch) kein Abschluss","246","0.204478156908456","0.183066529450121","0.225889784366791",""
"Zufriedenstellend","2015","Hauptschule","2901","0.376651275102809","0.365940600385586","0.387361949820032",""
"Zufriedenstellend","2015","Realschule","2200","0.341133518698924","0.329728647865842","0.352538389532006",""
"Zufriedenstellend","2015","(Fach-)Abitur","1132","0.296168703771193","0.28230291891037","0.310034488632016",""
"Zufriedenstellend","2015","AkademikerIn","1788","0.290495283275204","0.279382255784922","0.301608310765486",""
"Weniger gut","2015","(noch) kein Abschluss","170","0.137434204873681","0.119155572580515","0.155712837166847",""
"Weniger gut","2015","Hauptschule","1483","0.2152179774381","0.206133595878256","0.224302358997943",""
"Weniger gut","2015","Realschule","901","0.143258762900647","0.134830949705408","0.151686576095885",""
