"year","regtyp","sex","mean","median","n","lower_confidence","upper_confidence"
"2012","Laendlicher Raum","maennlich","29.57","13.5","2540","26.34","32.8"
"2012","Laendlicher Raum","weiblich","15.3","7.5","2776","14.02","16.58"
"2012","Staedtischer Raum","maennlich","23.1","11.5","4524","21.25","24.95"
"2012","Staedtischer Raum","weiblich","15.52","7.5","4840","14.45","16.59"
"2013","Laendlicher Raum","maennlich","29.71","12.5","2712","26.92","32.5"
"2013","Laendlicher Raum","weiblich","16.51","7.5","2961","15.22","17.8"
"2013","Staedtischer Raum","maennlich","24.05","11.5","5400","22.54","25.56"
"2013","Staedtischer Raum","weiblich","14.52","7.5","5728","13.61","15.43"
"2014","Laendlicher Raum","maennlich","","","","",""
"2014","Laendlicher Raum","weiblich","","","","",""
"2014","Staedtischer Raum","maennlich","","","","",""
"2014","Staedtischer Raum","weiblich","","","","",""
"2015","Laendlicher Raum","maennlich","18.05","10.5","2383","17.16","18.94"
"2015","Laendlicher Raum","weiblich","14.49","8.5","2621","13.87","15.11"
"2015","Staedtischer Raum","maennlich","17.31","10.5","4582","16.6","18.02"
"2015","Staedtischer Raum","weiblich","13.21","7.5","4896","12.73","13.69"
"2016","Laendlicher Raum","maennlich","","","","",""
"2016","Laendlicher Raum","weiblich","","","","",""
"2016","Staedtischer Raum","maennlich","","","","",""
"2016","Staedtischer Raum","weiblich","","","","",""
"2017","Laendlicher Raum","maennlich","18.72","11.5","2467","17.84","19.6"
"2017","Laendlicher Raum","weiblich","14.75","8.5","2786","14.1","15.4"
"2017","Staedtischer Raum","maennlich","16.7","10.5","4504","16.06","17.34"
"2017","Staedtischer Raum","weiblich","13.4","8.5","5089","12.98","13.82"
"2018","Laendlicher Raum","maennlich","","","","",""
"2018","Laendlicher Raum","weiblich","","","","",""
"2018","Staedtischer Raum","maennlich","","","","",""
"2018","Staedtischer Raum","weiblich","","","","",""
"2019","Laendlicher Raum","maennlich","18.58","12.5","2420","17.75","19.41"
"2019","Laendlicher Raum","weiblich","14.71","9.5","2537","14.03","15.39"
"2019","Staedtischer Raum","maennlich","15.96","9.5","4550","15.31","16.61"
"2019","Staedtischer Raum","weiblich","13.19","7.5","4816","12.69","13.69"
